4r3/3R1pk1/2B3p1/1Pb3P1/6KP/8/8/8 w - -,c6d5
rn1q1rk1/1b1n1ppp/3ppb2/pB6/Pp1NP3/1N2BP2/1PPQ2PP/R4RK1 w - -,c2c4
8/1k6/1p4r1/2b2N2/2P4R/2r1P1P1/5R1P/6K1 w - -,h4e4
5b1r/2k3pp/2p1np2/pp2p3/1P2P3/P1B2P2/5KPP/1R1R4 w - -,d1d3
2rr2k1/p1n1qppn/4p2p/4P2N/1ppPR3/P4Q2/1PB2PPP/3R2K1 w - -,e4g4
r2r2k1/ppq4p/5pp1/2pP1N2/2P1p3/P3PnPP/1B3PKn/R2QRB2 w - -,f5h6
8/4k2p/p4p2/1p3p2/3P1P2/8/PPK4P/8 b - -,e7d6
1kbrr3/2p3pp/pp1b1p2/2p5/4Pn2/P3BP2/1PP1N1PP/2KR3R w - -,e3f4
r1b2r2/pp2ppkp/1qp3p1/3p4/3Pn2P/2N1P3/PPP1BPP1/1R1QK2R w K -,c3e4
8/1R2k1pp/7n/3pP3/r2N2P1/7P/8/6K1 b - -,e7e8
R3R1n1/3q2pk/1pp2p1p/3p4/8/6N1/PP3PPP/6K1 w - -,e8g8
8/3rk2p/8/P4p2/2B1pP2/1P1pK3/7P/3R4 b - -,d7a7
r2r2k1/1p2bpp1/1q2bn1p/pPp5/P1N5/1Q1PP3/1B2BPPP/3R1RK1 b - -,b6c7
2kr3r/pppnqpp1/2b1p2p/3n4/2PPN3/P2B1PB1/1P1Q2PP/R4RK1 b - -,d5f6
r1r3k1/p2q1ppp/1p2pn2/8/1pPP4/3Q2P1/P2NPPKP/R4R2 b - -,b6b5
3r2k1/5p2/1q2pnpp/1B6/PQ6/7P/5PP1/2R3K1 b - -,f6d5
r4rk1/pp5p/2bRpp2/8/8/1P3N2/P1P2PPP/2R3K1 b - -,e6e5
4r1k1/1r3pp1/5n1p/p7/4P1P1/1b1R1P1P/1P1R3B/1B4K1 w - -,d3d8
1r4k1/6p1/2pR2Kp/2B5/1P4P1/2b3P1/5P2/8 b - -,b8c8
5n2/3p4/pp2rk1p/5p2/1P3P1P/PKR3P1/2BR4/2r5 w - -,d2d5
8/6kp/6p1/Rb6/4B2P/5PK1/3r2P1/8 b - -,b5e8
r2q1rk1/1ppnn3/p2p1bpp/3Ppp2/2P1P3/5P2/PP1N1BPP/RN1QR1K1 b - -,f6g5
6rk/2p1qrp1/3p2Rp/p1p2P2/4P1QR/1PP4P/P7/7K b - -,e7f8
6r1/7R/8/8/8/4KBk1/8/8 w - -,f3d5
rn1qkb1r/pbpp1ppp/1p3p2/8/3PP3/8/PPP2PPP/RN1QKBNR w KQkq -,f2f3
3r2k1/5bp1/1q2pp1p/pp6/2pPP1P1/P4P2/1P1QN1PK/2R5 b - -,b6c7
r2qk2r/pp1n1p1p/2pbp3/8/P1BPp1Q1/8/1P3PPP/R1B2RK1 w kq -,c4e6
1brr2k1/1b2qppp/p3pn2/1p6/1P1R4/PB2PN1P/1B2QPP1/R5K1 b - -,d8d4
1k4rr/p2qn3/1p3p1p/3p1P1P/1PpPpP2/P1P3NQ/6R1/6RK b - -,g8g7
rnb2rk1/ppp1qpp1/4p2p/3p4/2PP4/2n1PN2/PP3PPP/2RQKB1R w K -,c1c3
5k2/5n2/3b4/p7/8/1PQ2N2/5r1P/7K b - -,f2a2
7r/p3bppp/1k2pn2/2p3B1/8/1N4P1/PPR1PPKP/8 b - -,b6b5
r2q1rk1/pp1n1ppp/n1pb4/3p4/3P4/P1NNP3/1P2QPPP/R1B2RK1 b - -,a6c7
r2q1rk1/pb1nbppp/1p3n2/2pp2B1/3P4/1QNBPN2/PP3PPP/R4RK1 w - c6,g5f6
r4r1k/3b1ppp/8/3NP3/1p3P2/n2B4/P1P2KPP/R5R1 b - -,a8b8
5r1k/p1p4p/1p2Pn2/4q1p1/P3p3/1R5B/1PP5/1K1Q4 b - -,h8g7
r3r1k1/p3nppn/2qN2bp/1p2p3/2p1P3/2P2Q1P/PPB2PP1/R1B1R1K1 w - -,d6e8
8/6p1/5p1p/3p4/1nk1p3/2p1P1PP/2N2P2/2K5 w - -,c2d4
5r1k/1rp3pb/p2q4/2pp4/3P4/2P1R1NP/PP4P1/R2Q2K1 w - -,b2b3
8/5Bp1/1b6/p4P1p/P4P1k/5R1P/7r/5K2 b - -,h2b2
r3brk1/ppp1q1pp/1b2p3/3pP3/3P4/3B1N1P/PP2QPP1/R4RK1 w - -,a1c1
r1bqr1k1/pp3ppp/1bn2n2/3p2B1/3N4/2P2N2/PP2BPPP/R2Q1RK1 b - -,h7h6
r4rk1/1p1nq3/p2p3p/b2Pp1p1/2P2p2/P4Q2/1PB1RPPP/2BR2K1 w - g6,b2b4
r1r3k1/1p1nppbp/1q2bnp1/pP6/Q1BP4/4PN2/1B1N1PPP/R4RK1 b - -,e6c4
r5k1/3npp1p/3p2p1/1rpP4/1P3P2/P5PP/3RP1B1/1R4K1 w - -,b1b3
2rq1r2/pp2p1bk/2p1n1pp/3n1p2/7P/2NPP1P1/PP1B1PB1/1RQ1R1K1 w - -,c3d5
5r1k/p3p2p/1p4pb/2p2n2/q1N2P2/2P4P/1P2Q1P1/2B1R1K1 b - -,a4a6
r2q1rk1/1bbn1pp1/2p2n1p/pp2p3/1P1PN3/P1NBP3/1BQ2PPP/R4RK1 b - -,d8e7
r1b2rk1/pp3ppp/1bpq4/3pp1B1/B3PPn1/2PP4/PP1NQ1PP/R4R1K b - f3,d6g6
r3r3/pp2k1p1/4pqn1/2bpn1NQ/8/2PB4/PP3PPP/R1B2RK1 w - -,d3g6
5rk1/2Q2p1p/4p1p1/3pP3/8/P5RP/5qPK/8 w - -,a3a4
r1b2rk1/ppbp2pp/3Npnq1/2B5/1PP5/5BPP/P3PP2/R2Q1K1R w - -,d6c8
3r2k1/6bp/2pNRp2/1b1n2p1/3P4/rP3NB1/5PPP/2R3K1 w - -,f3d2
r3k2r/p2bb2p/2pq2p1/2p3Q1/2Pp4/1N1B4/PP3P1P/4RRK1 b kq -,e8f7
r1bqkb1r/pp1n1ppp/2p2n2/3p4/3P1B2/2N2N2/PPQ1PPPP/R3KB1R b KQkq -,f8e7
8/6kp/3p2p1/2bBp3/2P1P3/1P4KP/1r6/R7 w - -,a1f1
r4rk1/1q2bppp/ppp1pn2/4P3/2P5/1PN3P1/PB3PKP/2RQ1R2 b - -,c6c5
r4rk1/pb3Nbp/1p2p1p1/7n/2Bq1B2/7P/PP1Q1PP1/2R1R1K1 w - -,f7h6
r3rbk1/pp2qppp/2n1bn2/1N1p4/1P6/P4NP1/1B2PPBP/2RQ1RK1 b - -,f6e4
4r1k1/6np/1q1p4/1p1n1p2/3p1P2/1QP5/1P4PP/R1B2N1K b - -,b6c6
b2q2k1/8/P2p4/3Pp1bp/4P3/5P2/2Q2BP1/5BK1 w - -,c2b1
2nqnbk1/5r1p/p1Np2p1/1p1Pp1P1/1P2P1P1/P3Q1K1/2R1NB2/8 b - -,d8d7
2rqkb1r/pp1n1ppp/2p2n2/3p4/2PPp3/1PN1P3/P3BPPP/R1BQ1RK1 b k -,f8b4
5r2/1p4k1/pN3p1p/2R3pP/2Ppr1P1/6K1/P7/5R2 b - -,f8f7
r4k2/5p2/4nP2/2P3p1/p5R1/P3B1P1/8/6K1 w - -,e3g5
8/6pp/b7/8/1k2N3/4P1P1/3K3P/8 b - -,b4c4
5rk1/1p1nbpp1/p2p2qp/P2Pp3/N7/4B3/1PP1QPPP/3R2K1 b - -,f7f5
1k5r/pp1qnB2/3p2p1/2p1bb1p/8/2NP4/PPP3PP/R3QR1K w - h6,e1h4
r1b1r1k1/1pq2pbp/p2p1np1/P1pP4/8/2N1B2P/1PP1BPP1/R2Q1RK1 b - -,c8d7
6k1/4pp1p/3p2p1/2nP4/4P3/2P3P1/3N1PKP/8 b - -,g6g5
1rbqr1k1/b1p2pp1/2np1n1p/1p2p3/pP1PP2B/P1P2N1P/2B2PP1/RN1QR1K1 w - -,d4e5
8/1R6/2n3rp/1pk1p3/p3N3/5P1P/PP2PK2/8 b - -,c5c4
1r1b2k1/1pp2pp1/p2p2rp/3N1P2/2P1P2q/1P4PQ/P3R1K1/4R3 b - -,h4h3
3r2k1/3b1p2/2np1P1p/p5r1/2NpP1PK/P1p2B2/2P5/3R2R1 w - -,c4b6
8/6p1/2nk3p/1p2p2P/1P2P1P1/2K1B3/8/8 b - -,d6e6
1r5r/3nkp1p/p2p1bp1/3P4/3BP3/2P4P/K1P1BP2/1R2R3 b - -,h8c8
r1b2bk1/2q2p1p/2p2np1/p3p3/P2pP3/1P4PP/2QN1P2/3RRBK1 w - -,d1c1
r7/3k1ppp/1p2p3/2p1P2P/n1R5/P3PKP1/1p2P3/1R6 w - -,c4f4
8/5pk1/2p3p1/Q1Pp3p/3P1q1P/8/6K1/8 b - -,f4e4
r1bqr1k1/1pp2pp1/3p3p/p1bnp3/2Pn4/2BP2PP/PP1NPPB1/R2Q1RK1 w - -,c4d5
1r2r1k1/2p1npp1/pb1p1n1p/1p2p3/3PPP2/P1PQBPNq/BP5P/R4R1K b - -,e5f4
3k3r/ppr2pp1/1n1b3p/3p4/3P4/4P1P1/PP2NPBP/1K1R3R b - -,d8e7
8/7p/4p3/Bp1b2P1/3P4/2P5/p1r3k1/K3R3 w - -,a5b4
4Qbk1/p2b3p/1p3qp1/4p3/P2pP3/BP4PP/8/5BK1 w - -,f1c4
