8/5p2/p2R1p1k/1p5p/1P5P/r2p2PK/8/8 w - -,d6f6
1r2q1k1/4rp1p/2PB2p1/1p1P4/2pb4/4N2P/1PQ2nP1/R4RK1 b - -,e7e3
r5k1/p2qn1bp/2pp2p1/2p1p3/4P3/2NPBP2/PPPQ3P/R5K1 w - -,a1f1
r3k2r/pp1bq1pp/2n1p3/1B1p1p1n/3P4/2N1PN2/PP3PPP/R2Q1RK1 b kq -,e8g8
4r1k1/p2p1rp1/3B2np/3QP2q/5p2/2R2b2/P4PPP/4R1K1 w - -,c3f3
r4rk1/pp4p1/4p2p/2P1P3/6n1/P3P3/1B4PP/R4RK1 w - -,b2d4
6k1/1p1r2p1/pq2p2p/8/P1Q5/3n4/1P3PPP/1R1N2K1 b - -,d7d4
4q1k1/pp3pp1/n3p1p1/P2pP1Q1/1PrP4/1RrN2P1/5P1P/1R4K1 w - -,b3c3
8/8/2k4r/1p6/1K1RN3/P7/8/8 w - -,e4c3
r2k1r2/ppp3pb/3p3p/8/2Nn4/2R4P/PP1N1PP1/2R3K1 w - -,g1f1
6k1/1p1bqpp1/3p3p/rNp1n3/2P5/4P3/P1Q1BPPP/1R4K1 w - -,c2d2
7r/8/5p2/3p3p/3k3K/4R3/6P1/8 w - -,e3e6
8/4brkp/p3q1p1/3pp1P1/1p1r4/P1Q2PN1/1PP5/1K3RR1 w - -,a3b4
8/4p3/3r1kp1/7p/4B2P/6P1/1R3K2/8 w - -,f2e3
1r2rbk1/1bq2pp1/pnpp1n1p/1p1Pp3/2P1P3/1P2BN1P/P1B2PP1/R2QRNK1 w - -,f3d2
3rk3/4qp2/2p5/2P2Q2/3P1NPp/4r3/PR4P1/4KR2 w - -,b2e2
3r1rk1/pp3p1p/1q4p1/3p1P2/2n5/2P1PRN1/PPQ1R2P/6K1 b - -,d8e8
8/6b1/4k3/3QP1p1/3K4/8/7p/8 b - -,e6f5
2r2rk1/pp1qppbp/8/3p4/2nPpB2/1QN3P1/PP2PP1P/2RR2K1 b - -,f7f5
6k1/5p2/6p1/p1R3P1/3p1P2/P1p2K2/3r4/8 b - -,c3c2
4r1k1/5N1p/p3P1p1/3PK3/P2Q3P/1r6/3R2P1/5q2 b - -,f1f7
rnbq1rk1/pp3ppp/5n2/2bp4/8/2N1PN2/PP2BPPP/R1BQK2R b KQ -,b8c6
7k/1pp4p/p2pB1p1/3P2p1/2PbP3/2r5/P6P/5RK1 w - -,g1g2
8/8/p2k2pB/1p1np2p/6PP/5r2/P2K2R1/8 w - -,g4h5
r2qk2r/1b2bppp/p1nppn2/6B1/Np2P3/1N4P1/PPP1QPBP/R3K2R w KQkq -,e4e5
8/7R/6k1/5p2/2B1bP1P/4K3/8/7r w - -,c4g8
2r1k3/2r1npp1/4p3/4P2p/R4P1P/2pN2P1/2R1K3/8 w - -,d3f2
rnb1k2r/ppppq1pp/4p3/5p2/2PPn3/2B2N2/PPQ1PPPP/R3KB1R w KQkq f6,e2e3
2rqr1k1/3bb1pp/p2p3n/1P1Ppp2/P1p1P3/2N3PP/1B3P2/R2QRBK1 w - f6,b5a6
Q7/4k1p1/5PP1/7K/8/p3q2P/8/8 b - -,g7f6
r3r1k1/1b1n1pb1/1p1q3p/pP1p2p1/2pP2B1/2N1P1PP/P1Q2P2/1R1RN1K1 w - -,e1f3
7r/1p1kpp2/p2p1b1r/3P1p1n/2P2P2/1P2B2P/P3B1RK/5R2 b - -,h5f4
r4rk1/p4p2/pbpP2qp/4Pb2/3pN1p1/3N4/PP3PPP/R1Q1R1K1 w - -,d3f4
r1bq1rk1/1p1nbppp/p3pn2/8/Q1pN4/2N3P1/PP2PPBP/R1BR2K1 w - -,a4c4
k7/P1r3b1/1N2p3/3p2p1/2p2pP1/2P2B2/5PP1/4RK2 b - -,a8a7
8/7p/8/8/3p1Q1P/3kq1PK/P1p5/8 w - -,f4f5
1n1r2k1/1p1q1rb1/1nppb1pp/1P2p3/2P1P3/5NPP/1B1NQPBK/3R1R2 b - -,b6a4
8/3bk2p/8/2P1pp2/n3N3/4K1P1/7P/3B4 w - -,d1a4
5r2/1p4k1/1p3q1b/7Q/5P2/6PB/r7/3R1RK1 b - -,f8d8
4r3/5pbk/q1N3p1/2nBp2p/2P5/6P1/2Q2P1K/4R3 b - -,f7f5
r1bq1rk1/pp2npbp/2npp1p1/2p5/4PP2/2NP1NP1/PPP3BP/R1BQ1R1K b - -,a8b8
rn1q1rk1/pbp2pbp/1p2pnp1/3p4/2PP4/1PN2NP1/PB2PPBP/R2Q1RK1 b - -,b8d7
2rr1bk1/pb2qp1p/1p6/3p2p1/1n1Nn3/1PN1P1P1/PB3PBP/1QRR2K1 b - -,e7e8
r2r2k1/pbqnppb1/1pn3pp/2p5/1P2P3/Q1P1BN1P/P2NBPP1/2R2RK1 b - -,c6e5
4r1nr/ppqk3p/3b1p2/3pn3/2pN1B2/P1P3P1/1P2QP1P/RN3RK1 b - -,d7c8
2r1kn1R/1p2b3/p4p2/5BP1/5P2/PQ6/KP3B2/2q5 b - -,c8d8
1r1r2k1/3b1pb1/1p1p2p1/p2Pp2p/2p4P/P1NnP1P1/1P1BKPB1/1R5R b - -,d3c5
rn1q1rk1/1bp2pbp/pp2pnp1/4N3/P2P4/2N5/1PP1BPPP/R1BQR1K1 w - -,c1g5
r2qrbk1/1p1b3p/2p3p1/1nNp1p2/p2P4/PPR1P1P1/1B3PBP/Q1R3K1 w - -,c3d3
r1bqkbnr/pp3ppp/2n1p3/2pp4/2P5/1P3NP1/P2PPP1P/RNBQKB1R w KQkq -,f1g2
r5k1/1bq4p/p4rp1/Ppppp3/1P3PR1/2PBP3/3Q2PP/R5K1 b - -,e5e4
1Q5r/4bpkp/2Q1b3/4p1p1/B2p4/8/2PB1PPP/6K1 b - -,h8b8
r2r2k1/2b4p/p3ppp1/1p1b4/1P1P1PN1/2P3P1/3B3P/RR4K1 b - -,g8f7
6k1/5p2/1pr3pp/8/p2rPP2/1R1PR2P/P5PK/8 w - -,b3b5
r3n1k1/pbbqr1pp/1pp1p3/5p2/2PPNP2/1P1B4/PB3QPP/3R1RK1 w - -,e4c3
r4rk1/2q2ppp/p2b2b1/1p1P4/2p5/2P1RQPP/PP1B2P1/R4B1K b - -,a8d8
6k1/6p1/1n1p1p2/pB3P1P/1p1PP3/1P1K4/6P1/8 b - -,g8h7
2kr3r/1pqbnpb1/p1npp1p1/2p4p/4PP2/2PPB1PP/PP1Q2B1/1RNN1RK1 b - -,e6e5
2r3k1/p2b4/1p2p1pp/3pP3/1RrB1P2/P1P1R1P1/6P1/6K1 w - -,g1f2
r1bq1rk1/pp1nbppp/4p3/3N4/3P4/PP1B2N1/5PPP/R1BQK2R b KQ -,d8a5
7r/1p4k1/p4pn1/2pq1bp1/3pN3/P2P2P1/1P1QRPK1/4R3 b - -,f5h3
8/2b2k2/7p/4N3/P1K2PP1/8/8/8 b - -,f7e6
r1bq2k1/ppp2np1/5r1p/3B3Q/3N4/2P3P1/P1P2P1P/1R3RK1 b - -,c7c6
3r4/5k2/3pRN2/1npP1KPp/8/pP3N2/P7/2n5 w - -,g5g6
rnb1kbnr/pp3ppp/1q2p3/2ppP3/3P4/1P2B3/P1P2PPP/RN1QKBNR b KQkq -,b8c6
rr3nk1/2qb1pbp/p2p1np1/2pPp3/2P1P3/P1NBBN1P/1R1Q1PP1/5RK1 w - -,f1b1
8/1b6/8/2p2k1P/p4P2/P3K3/4N1p1/8 b - -,b7a6
rnb2rk1/pp2npp1/3p1q1p/3Pp3/P1B5/2P1PN2/1P1N2PP/R2Q1RK1 b - -,e7g6
r1bqk2r/1p2ppbp/p2p1np1/8/4PP2/2pB4/PP1PN1PP/R1BQ1RK1 w kq -,d2c3
8/5pk1/5b2/3P2p1/1Q1BP1B1/3K1Pq1/3R4/3r4 b - -,g3e1
6k1/1p3p1p/7r/8/4p1p1/1P2PNP1/P2R1P1P/6K1 b - -,g4f3
3r1qk1/1bp3np/p3p1p1/4P3/8/P1Np3P/2PQ2P1/1NKR4 w - -,c2d3
1rq1rnk1/p4pp1/2n1p1p1/1p1pP1N1/7Q/2P4P/PP3PP1/R1B1R1K1 w - -,f2f4
r4rk1/3R1p1p/B3p1p1/2p2nP1/2P2P2/4P2P/PbN2K2/1R6 b - -,f8b8
r1bq1rk1/1pp2pb1/p2p1npp/8/3BP3/2N2P2/PPPQB1PP/2KR3R w - -,d4e3
r4rk1/2q1n1pp/p2b4/1p2ppBQ/8/1PP4P/1P1N1PP1/3RR1K1 w - b6,d2f3
2b5/1pN3kp/1Pp3p1/R4p2/8/2q4P/5QP1/4rBK1 b - -,c3a5
r3r1k1/pp1bb1p1/2n1p2p/2q1Pp1Q/2N5/1P4P1/P2N1PBP/R1R4K b - -,c6e5
4r1k1/1b1n1pbp/p2p2p1/2pP4/2R2P2/1rN3PP/1P2P1B1/2B1R1K1 w - -,c4e4
5rk1/1RR2p2/8/6p1/7P/1P3P2/P5K1/8 w - -,c7f7
r4k2/p4pb1/1p2p3/n1q2p2/Q5bN/2P3P1/P4P1P/1R2RBK1 b - -,c5c3
r4rk1/pp1b1ppp/2nqpn2/3p4/3P4/2NBPN2/PP3PPP/2RQ1RK1 b - -,f8c8
