8/1K6/1p1p4/3P4/P2bP1k1/1P6/8/8 b - -,g4f4
6k1/bpq2pp1/p2r3p/Pnp1p3/4P3/2P2BPP/1P2QPK1/3RB3 b - -,c5c4
1nrq1rk1/1b1nppb1/p2p2pp/1p4B1/4PPB1/PNN5/1PP3PP/R3QR1K w - -,g5h4
8/2R5/1r3k1p/6pK/2B5/7P/8/8 b - -,f6f5
5r1k/R3p1n1/2bpB1pb/8/3BP3/1PN5/1P5P/6K1 b - -,h6g5
8/1bp2k2/1p1p2rp/5p2/1PPB4/4PP1P/5K2/3R4 b - -,f7e6
2r1b3/6kp/4ppp1/r7/p2K1PP1/R2B3P/8/R7 b - -,a5d5
8/5p2/1p1k4/p1p2K2/2P5/1P1PN3/Pb6/8 b - -,d6c6
5R2/8/8/P4P2/4k3/3p4/r7/3K4 b - -,a2a5
1Rb5/2r5/p1Pk3p/5p2/B3p3/4P2P/5PP1/5K2 w - -,f1e1
8/3k4/3p4/pN1p4/P2P3p/1P3K1P/5b2/8 b - -,f2e1
3r4/2q2pkp/b3pnp1/4N3/2P2P2/1P1p2PP/5QB1/3R2K1 b - -,d3d2
8/6pk/PR2p2p/1P1pN2P/3P2P1/2K5/r5b1/8 w - -,b6b7
8/3R3p/5pp1/1k6/p1r5/K4P2/6PP/8 b - -,h7h5
1r1qr1k1/1p3nbn/p2p2p1/P1pP1b1p/5B2/2N2PN1/1P1QB1PP/R4R1K b - -,f5d7
r4k2/ppq2pp1/3bpn1r/3p1n1p/3P1P2/2PQ1N1P/PP2NBP1/4RRK1 w - -,e2g3
1r2r1k1/2p1q2p/3p2p1/n2P4/1Q2PpP1/1P3P2/P2N4/2R1Kb1R w K -,b4a5
r1bq1rk1/pppn1pbp/5np1/3p4/2NPP3/3B1N2/PP3PPP/R1BQ1RK1 w - -,e4e5
r4rk1/pp1bppbp/q1np1np1/8/3PP3/1N2BPP1/PP1QN1BP/R4RK1 b - -,b7b6
r1b2rk1/pp1pbppp/5n2/4q3/2P1pB2/2N3P1/PP2BP1P/R2Q1RK1 b - -,e5a5
3R4/5k2/p1b3r1/P3p3/2P1nprp/B6P/1P4P1/4RBK1 b - -,g4g5
5Q2/5p1k/5rp1/8/6KP/5P2/8/8 w - -,f3f4
2kr3r/1p1q2pp/p3bp2/2p1n3/4P3/2PPR1NP/P5PN/R2Q2K1 b - -,e5d3
4rrk1/p1pq2pp/2p2p2/2Pp4/8/3P2P1/PP1Q1PP1/R4RK1 b - -,d7e7
rnb1k2r/p3np1p/1p2p2p/2ppP3/q2P4/P1P2N2/2PB1PP1/R2QKB1R b KQkq -,c8a6
8/8/4k1p1/4p3/6PP/3r1pK1/5P2/R7 w - -,a1h1
1r1q1rk1/p3pp1p/3pb1pQ/8/1p2P1P1/1N1R1P2/PPP4P/2K4R b - -,e6b3
r4k1r/pp2ppbp/n1p3p1/3BN3/4qB2/7P/PPPQ1PP1/3R1K1R b - -,e4d5
r7/8/P5R1/2p4p/3k4/8/4K1P1/8 w - -,e2d2
8/6k1/4p3/3pPp2/3Bn1pp/p2Q4/P5PP/1rq2RK1 w - -,d3b1
1k2r3/1b1B2p1/p2b1pNp/q2pp3/3P4/P2QP1P1/1P3PP1/2R3K1 b - -,e8d8
k3q2r/1p3pQP/p3p3/1b2P3/P5P1/2P5/1PB5/1K1R4 b - a3,b5c6
r1b2rk1/1pb1nppp/p7/4p1PP/8/1N2BP2/PPP1N3/2K3RR w - -,e3c5
8/p4pr1/1p2pNkb/8/5PpQ/3q4/PP5P/5RK1 w - -,f6g4
r3k2r/pppn1ppp/4b3/3p4/1q1PnP2/2NN1Q2/PPP3PP/R3KB1R b KQkq -,b4d4
8/7p/3p2p1/3Pk3/1p6/1P2K2P/P5P1/8 b - -,e5d5
r1b1k2r/3nppbp/pq1p1np1/2pP4/2B1P3/2N5/PP2NPPP/R1BQ1RK1 b kq -,e8g8
3n1rk1/5ppp/8/2qP4/1p1p1r2/1B6/1PP2QPP/5R1K w - -,f2f4
r4rk1/p2R1ppp/8/8/1p3P2/2p2B2/P4KPP/R7 b - -,f8d8
3qb1r1/6rk/2p1p2p/1pPpPp1n/pP1P2p1/P3P1P1/3QNR1P/5BRK w - -,e2c3
rnb2rk1/pp2ppbp/5np1/q1P5/2pQ4/2N1PN2/PP2BPPP/R1B2RK1 b - -,b8d7:f6d7
r1bq1rk1/5ppp/p1np4/1p1Np1b1/4P3/4BP2/PPP3PP/R2QKB1R b KQ -,g5e3
4kr1b/4p2p/1r1p4/p1pPpPPN/P5RP/1pP5/1P6/5RK1 w - -,g5g6
5r1k/1p3qb1/p1p4p/P1QBp3/1P4p1/3P1rP1/1B2RP1P/4R1K1 b - -,c6d5
8/p3Qkbp/3q2p1/1bpP2p1/8/2B4P/P4PP1/4R1K1 b - -,d6e7
8/p7/P3k2p/1P5P/n3K3/8/8/5B2 b - -,a4c3
4rr1k/pp4bp/3npqp1/3p4/3NnPQ1/2P1B2P/PPB3P1/4RRK1 w - -,c2a4
8/8/1r3pk1/7P/5RP1/5PK1/8/8 b - -,g6h6
8/8/3K1k2/R1P5/8/7r/8/8 b - -,h3d3
8/3b2p1/2p3k1/2Pp1n1p/3Pp3/4P2P/N5P1/5NK1 w - -,g1f2
3r4/1PR5/5kp1/6p1/4K1P1/4P3/5P2/8 b - -,d8b8
4R3/3RP3/1pk5/p3r1p1/8/1P4r1/K7/8 w - -,e8d8
b1rr2k1/p4pp1/4pn1p/qBN5/P2P3Q/4R3/5PPP/5RK1 w - -,e3g3
8/5pk1/5p1p/2p5/prPp1RP1/7P/P1PK2P1/8 w - -,d2d3
8/6pp/pRp4b/r6k/2P3NP/3K2P1/P7/8 w - -,g4h6
k2r3r/pp2n1p1/8/8/1P1pNQP1/7P/1Pq2PK1/R6R b - -,e7g6
6r1/p1kn4/2p1pQp1/4P2p/1qp4P/8/1PP3P1/1NK4R w - -,f6e6
2r2rk1/4b2p/p2pbnp1/q3p3/2PnN3/P1BBN3/5PPP/1R1Q1RK1 b - -,a5c7
8/8/r4k1p/5p2/5P1P/2R1PK2/8/8 w - -,h4h5
4r3/pk1p4/7p/5pp1/3p1r1P/PP1R1P1R/2P2K2/8 w - -,h4g5
2r3k1/1p3ppp/8/4P3/1q1pQ3/1P6/5PPP/R5K1 b - -,b4d2
8/4N3/2k5/p1P5/2K5/8/8/1r6 b - -,c6b7
r2q1rk1/pbpnbppp/1p2p3/8/2P1p3/1P2P1P1/PB1P1PBP/R2QNRK1 b - -,d7c5
2rr4/1b3kpp/p3pp2/2bn4/Pp6/1B1R1PB1/NPP2PKP/3R4 w - -,c2c4
r1b2rk1/pp3pbp/1qpp1np1/2nPp3/2P1P3/2N2NPP/PP2QPB1/R1B2RK1 b - -,c8d7
rn1q1rk1/pp3pb1/2p2npp/4p3/2P1P3/2N2BP1/PP3P1P/R1BQ1RK1 w - -,c1e3
2r1r1k1/p2bpp1p/3p2p1/q2P4/Pp1Q4/1B3P2/1PP2KPP/R3R3 w - -,e1e2
r3r1k1/1p1nppbp/3p2p1/pNnP2P1/1qP2P2/1P2B3/P2QB2P/2R2RK1 b - -,b4d2
2r5/1p4k1/pN6/P3n3/1P2P3/8/8/6K1 w - -,b6c8
r4b1r/pp1k1ppp/4p3/3nq3/8/P7/1P3PPP/RNBQ1RK1 w - -,f1e1
r4rn1/1bp1qpbk/1p1p1npp/P2Pp2P/P3P3/2P1B1N1/2BN1PP1/R2QR1K1 b - -,b6a5
r3k2r/pppb1ppp/2n1pq2/5n2/2NP4/2Q1B1P1/PP2PPBP/R2R2K1 b kq -,a8d8
8/1p3k1p/3p2pP/3P1p2/2P2Q2/1P4P1/P3rRK1/4q3 w - -,f2e2
r2q1rk1/pp1b1pbp/4p1pn/3pP3/3Q1P2/2N2N1P/PPP3P1/R1BR2K1 b - -,f7f6
rnbqkb1r/pp3ppp/3p4/2pPp3/5nP1/2N1BP2/PPP1P2P/R2QKBNR w KQkq -,d1d2
5r1k/1bp3b1/1p1pr2p/p2Nn2q/2P2p1B/1P3P1P/P1Q1B1P1/2RR2K1 w - -,h4f2
r1bqk2r/p2p1ppp/2p1pn2/8/1b2P3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,f1d3:d1d4
1r2kq2/1p3pN1/p2p1n2/2pPn3/P3P1b1/2N1B3/1P1QB3/R3K3 b Q -,f8g7
r1bqnrk1/pp3pp1/2npp2p/1N1p4/3PP1P1/Q6P/P1P1NPB1/1R3RK1 b - -,d5e4
1k4r1/pp4rp/2p1Qb1q/5N2/5P2/2P2B2/PP1B2PP/R5K1 b - -,h6g6
8/8/3k2p1/3n2P1/P2Np2P/6K1/8/8 b - -,d6c5
2rq1rk1/pb2b1pp/1p2p3/5pBQ/1n1P4/2n2N2/PP3PPP/1B1RR1K1 w - -,g5e7
r1b2rk1/1p1nqpbp/2pp2p1/p1n5/2PNP3/2N1B1PP/PPQ2PB1/R4RK1 w - a6,a1d1
2rq2r1/pp3pk1/2p1pb1p/2QnNp1b/1P6/P5P1/1B1P1PBP/R3R1K1 w - -,c5a7
r3r1k1/pp1q1pb1/3p2p1/2pP1b1p/2Pp1B1P/3P1PP1/PP1Q2B1/R3R1K1 b - h3,g7e5
