8/5p2/4n1k1/5Rpp/p7/2R1K1PP/5P2/8 b - -,g6f5
8/5pk1/6pp/6n1/1N1rp1P1/6P1/P3R1K1/8 w - -,b4c2
r5k1/q4p2/3NpQp1/2p4p/1b4PP/4P3/5P2/3R2K1 b - -,c5c4
3b2k1/p4p1p/1p4p1/8/5N2/B5P1/b4P1P/6K1 b - -,a2c4
8/1b1r2qk/2Nbp1pp/2P2n2/1p1pB3/3Q1RPP/4RP2/6K1 w - -,c5d6
1r5k/6bP/p2p2R1/3Pp3/2p1P3/2NnBP2/Pr6/K6R b - -,b2c2
r3kbnr/pbqn1ppp/1p1pp3/2p5/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 w kq -,f1e1
8/2p5/pp2p3/4kb1p/1PR5/P1N3P1/1KP4P/5r2 w - -,c4c7
7k/r2n1Q1n/pp5B/2b1pp2/P3q3/8/1P4PP/R4R1K b - -,e4g4
r2q1rk1/pbpn1pbp/1p2pnp1/3p4/2PP4/1PNBPN2/PB3PPP/2RQ1RK1 b - -,a7a6
r3r1k1/p1p2ppp/2Npb3/8/5P2/1PnB4/P1P3PP/4RRK1 b - -,e6d7
3B4/1p3p1p/p3k3/P3n3/4p2K/4P2P/6P1/8 w - -,h4g5
4r1k1/p3ppbp/5np1/4Nb2/1r6/NP3BP1/P3PP1P/2RR2K1 w - -,c1c7
1rr3k1/3b1p1p/2p1pp2/3p4/4PP2/1P2b1P1/P1B1N2P/1K1R1R2 w - -,e2c3
2q3k1/3N2p1/2nQ3p/1r2p3/3pP3/3P3P/5PP1/R5K1 w - -,a1c1
1R6/1pr1rpk1/pR4p1/2p5/2P3KP/PP6/5P2/8 b - -,e7e4
r1r1nk2/1R3pp1/pBP1b2p/P1K1p3/4P3/5P2/4B2P/3R4 b - -,g7g6
r5k1/pprn1pp1/4p2p/1PPnP3/3R4/B4N2/5KPP/2R5 w - -,c5c6
r1bqk2r/pppp1ppp/2n2n2/4p3/1bP5/2N2N2/PPQPPPPP/R1B1KB1R w KQkq -,g2g3
7r/5p1k/4p3/P3Bn1p/8/3B1P2/1r4PP/3R2K1 b - -,b2a2
4b3/8/2P5/pp1P3k/5K1p/PP2N1p1/8/8 w - -,f4f3
r2qr1k1/1pp1bppp/2n2n2/4p3/2PpP1b1/p2P1N2/PPBNQPPP/R1B1R1K1 w - -,h2h3
2rq1rk1/p2nbppp/bpp1pn2/3p4/2PP4/1PN3P1/P1QBPPBP/3RNRK1 w - -,c3a4
8/3N1pk1/p1r1p2p/3n1p1P/PP6/5P2/6P1/1R4K1 b - -,c6d6
2r2k2/1q1b1pp1/p2p2np/Pp1Pp3/4P3/1Q1B1N2/1PR2PPP/6K1 w - -,f3e1
3b4/3q1rkp/3pRp2/pprN1Pp1/8/1PP3QP/P5P1/3R3K b - -,d7c8
8/8/7k/6Rp/1p1NK2P/2b1P1P1/5r2/8 w - -,d4f5
r1bq1rk1/ppp2ppp/2n2n2/3pp3/2B1P3/2PP1N2/P1PB1PPP/R2QK2R w KQ d6,e4d5
r2qnrk1/1p2bppp/2p1p3/p1n5/2Pp1P2/1P1P2P1/PBN2PBP/R2Q1RK1 b - -,e7f6
3q1bk1/3p1ppp/2nr4/1Q6/8/2PBBP2/1P3KPP/R7 w - -,a1a4
8/3rk3/3np1p1/1P3p1p/4P3/1K3PPP/R2N4/8 w - -,b3b4
3qk2r/2ppbppp/1pn1p3/r3P3/5B2/2P2N2/PP3PPP/R2QR1K1 b k -,e8g8
r1b1k2r/4qp2/2n2n1p/p2p2p1/1ppP4/PP2P1B1/4NPPP/RBQ2RK1 b kq -,c8a6
r4rk1/2q1bppb/4pn1p/p2pN3/1B1P4/1n3NP1/R1P1PPBP/Q4RK1 w - -,c2b3
5R2/8/8/2p4p/3k4/8/7r/3K4 b - -,c5c4
8/8/8/8/1pp1k3/5n2/1K6/8 b - -,c4c3
8/5p2/2k3pp/R2p4/3Pn3/1P2K1P1/7P/8 b - -,h6h5
r1b1k2r/1p3nbp/p2qp1p1/2p2p2/P1B2P2/2P2R2/1P1PN1PP/R1BQ2K1 b kq -,e8g8
2rq1rk1/pp2p1bp/3ppnp1/1N2n3/4P1PP/4BP2/PPPQB3/R3K2R b KQ -,e5c4
3qrr2/2nb1pbk/p2p2p1/1p5p/P1pPPp2/2P2N1P/1PBN1PP1/1R1QR1K1 w - -,a4b5
8/4k2p/4p1bP/3pK3/p2P4/p3NP1P/1P6/8 w - -,b2a3
2r2r1k/1p4pp/p2p2bq/3B4/P2Qpb2/2P1N1P1/1P3P1P/R3R1K1 b - -,f4e5
4r1k1/p4ppp/P7/5b1q/2pPpR2/1nP1P3/2Q3PP/1BB3K1 w - -,b1a2
r6r/pp1bkp2/4p3/3pPnp1/3P4/P1PB1PP1/3K1B2/R6R b - -,f7f6
2r2rk1/4bppp/3ppn2/qp6/3RP3/1PN2Q2/PB3PPP/3R2K1 w - -,b3b4
8/6pk/6q1/p3Rp1p/5Q2/1P5P/r4PP1/6K1 w - -,e5f5
5r2/pkp1bpp1/1p3n1p/2p1N3/7B/2P5/PP3PPP/3R2K1 w - -,f2f3
4r2k/1pp1r1bp/1n4p1/1b1P2N1/4BB2/pP5P/P2K2P1/4R2R b - -,e7d7
1R6/5p2/4bk1p/1R5P/8/5PK1/r7/8 b - -,a2a1
r3k1r1/pbqn1p2/2p2p1p/1P2P3/2B5/2P1PQB1/5PPP/R4RK1 b q -,e8c8
2kr3r/2q2ppp/pp2p1n1/8/1nP1Nb1P/4BN2/PP2QPP1/1K2R2R b - -,f4e3
5k2/1p3p1p/p2pp1r1/4b3/6q1/3Q2N1/PP3PPP/2R3K1 b - -,h7h5
5k2/7R/4P3/5p2/3K3B/5b1r/8/8 w - -,e6e7
5rk1/1p5p/4p1p1/8/6P1/5nQ1/P1q4P/1R3R1K b - -,c2a2
8/5pk1/4p1p1/8/7p/4R3/r5PP/5K2 b - -,g6g5
3q1bk1/7p/4b1p1/1R2p3/4P3/P2r2P1/5PBK/4Q3 b - -,d8d4
r3kb1r/4nppp/p2p4/1b6/4P3/2N2P2/PPP2P1P/R1B1K2R b KQkq -,b5c6
rnb1k1r1/ppq1np1Q/4p3/3pP3/3p4/P1P5/2P2PPP/R1B1KBNR w KQq -,g1e2:e1d1
1r2r1k1/2q2pp1/b6p/p1ppbN2/4n2B/1PP2Q1P/P1B2PP1/3RR1K1 b - -,e4c3
2r3k1/2r2p1p/6p1/1p1Pp3/4P1PP/pP1RP3/P1Q5/1K5R b - -,c7c2
r2q1rk1/pp1bn1b1/2pp3p/1P3p1n/P1PPp1pP/1NB1P1P1/2QNBP2/R3K2R w KQ -,d2f1
5k2/2R5/8/4K3/5P2/8/8/5r2 b - -,f1a1
8/8/2K5/rRB2p2/k7/8/8/8 w - -,b5b1
r3k2r/ppqn1ppp/2pbpn2/3p4/4P1b1/3P1NP1/PPPNQPBP/R1B1R1K1 b kq -,e8g8
6k1/2n2pb1/2B1p1p1/4P2p/p2p3P/P2N1QP1/1Pq2PK1/8 w - -,g2h3
2b2r2/p4kpp/8/2P5/1R2p3/P2p3P/5PP1/3B2K1 b - -,f8e8
2r2rk1/p1qp2pp/4p3/2bp4/1P3p2/P7/2Q1K1PP/R1B2B1R w - -,c1b2
r1nq1rk1/n4pb1/p5pp/P3p3/3pP3/NQ1P2P1/5PBP/1RB2RK1 b - -,d8a5
2r5/8/1p3k1K/1P5P/8/8/8/1R6 w - -,b1f1
6k1/3R1pp1/p3r3/P3p2p/4P3/1r3P2/1P4PP/2R3K1 w - h6,c1c8
2nr4/2kn2pp/rppb1p2/p3p3/P3P3/1N1RB3/1PPNKPPP/3R4 w - -,d2c4
r2q1rk1/1b2bppp/p3pn2/1p1Pn3/8/1BN5/PP2QPPP/R1BR2K1 w - -,d5e6
6k1/p4b1p/1p1q2p1/2r2pQP/1P1p4/P2P2PB/5P2/4R1K1 b - b3,c5e5
2r5/p4kp1/3b3p/5p2/3p4/3N4/PPP2PPP/2R3K1 b - -,g7g5
2kr2nr/1ppq4/1p1p4/4ppPp/PPPnN3/3P1PP1/4P1K1/R1BQ1R2 w - -,e4f2
8/5p2/k5p1/4p2p/3r4/2R1K1P1/4P2P/8 w - -,c3c7
8/R5p1/5p2/3P1k1P/p7/7r/4K3/8 w - -,a7g7
r1b2rk1/ppq1bppp/2n1p3/8/5B2/3B1NN1/PPP1QPPP/3R1RK1 b - -,c7f4
3r3k/pp1rb2p/2np1qp1/2pRp3/2P5/P3PNNP/1PQ2PP1/3R2K1 w - -,f3d2
4r1k1/4rpp1/p1q5/Rp5p/2p1PRnP/1Q4PK/PPP4B/8 w - -,b3a3
8/p2R1Np1/k1p5/2b3Br/P3n1p1/6Pr/4PP1P/5RK1 w - -,g5h4
5r1k/p4pp1/3B4/2p4p/Pn6/2bP3P/6PN/5R1K b - -,f8c8
8/5pk1/4b1p1/1B5p/5P1P/1p2R1K1/1P4P1/3r4 b - -,d1d4
8/n4pkp/1p2p2p/p3P3/P7/4q3/2p2PPP/5RK1 w - -,f2e3
r4rk1/pp3pbp/2n3p1/2R1p2q/Q2P2b1/4PNB1/P3BPPP/4K2R b K -,f8c8
8/1pp1r1kp/p1n3p1/8/2B2P2/1P4PP/P2R4/5K2 w - -,f1f2
