2r5/2P5/5R2/3kpn2/8/3PpK2/8/8 b - -,f5d4
6k1/5pp1/3q4/6P1/1pB1Qn2/1P3P2/PK6/8 w - -,b2c2:e4a8
8/5pk1/2p3p1/Q1Pp3p/3P1q1P/8/5K2/8 w - -,f2g2
2k4r/1pp3p1/p2qpn1p/P3p3/2RrP3/2Q5/1P3PPP/4RNK1 w - -,e1c1
1r3rk1/p1qn1pbp/2n1p1p1/2ppP3/1P3PP1/3P1QNP/PP1B2B1/R4R1K b - -,c6b4
4r1k1/1b3ppp/p2bqn2/8/Pp1Bn3/1P1BNN1P/5PP1/1QR3K1 w - -,d3c4
r3k1nr/1b1n1Nb1/pq2p1pp/1p1pP3/2pP1P1P/2P2N2/PPB1Q1P1/R1B1K2R b KQkq -,e8f7
r1bq2rk/pp2ppbp/2npn3/8/2P1PP2/1PN1B2P/P2QN1BK/3R1R2 b - -,e6f8
8/6k1/4Q3/q1P2ppp/3P4/8/5KP1/8 w - -,e6e5
8/4k2p/8/4p1P1/3pP2P/2r5/2pK4/2R5 b - -,h7h6
3r1r2/ppq3bk/3ppnpp/1Pp5/4P3/P1N1B2P/2PQ1PP1/R4RK1 w - -,a1b1
8/p5pp/1p6/2k1K3/P1P5/6PP/5P2/8 b - -,c5c4
1r1r1k2/1p3pbp/pnp1p1p1/8/1P1P3P/1NPB2P1/1P2RP2/3R2K1 b - -,b6d7
8/1Q3pk1/4nbp1/7p/N2rB2P/1P4P1/q1P2P2/4R1K1 b - -,a2a3
1r3r2/5p2/p2k4/PP2pBp1/7p/4K1nP/5RP1/2R5 w - -,c1c6
r1bq1rk1/ppp3pp/2nppn2/5p2/1bPP4/2N2NP1/PP1BPPBP/R2Q1RK1 b - -,e6e5
4b2k/4q2r/1p1p1p1n/p2PpP1p/2PpP2P/3N3B/PP1Q2rK/6R1 w - -,g1g2
4k3/5p2/8/4P3/1Q6/pP4P1/P3p2K/5q2 w - -,b4b8
1r1qkbnr/3b1p2/1pp1p1p1/p2pP2p/P1PP1PP1/1P1B1N1P/3B2K1/2RRQ3 b k -,g8h6
r1br2k1/1pq1bppp/p1nPp3/8/N3n3/4PNP1/PPQB1PBP/2R2RK1 b - -,e4d6
r5nk/pb1n1q2/4pPBp/1p1pP1rP/2pP1R2/2P1N3/PP1N3Q/R6K b - -,f7f8
8/r7/8/8/7P/6K1/p1k2P2/R7 w - -,h4h5
r2qk1nr/1p3p1p/pNbp2pb/P1p1p2P/2B1Pn2/2P2QN1/1P1P1PP1/R1B1K2R b KQkq -,a8b8
r4k2/1pp3bQ/4P3/p3Pp2/8/2N5/P1q2PP1/n4K1R b - -,c2d3
8/1p1bk3/p2pN2p/2pP3B/2P1K3/1Pb5/7P/8 w - -,e4f5
1r1rn1k1/pp3pbp/n1p1b1p1/4p1P1/2P1N3/BP2P2P/P3NPB1/R4RK1 b - -,b7b5
rn3rk1/4ppb1/pqpp2p1/1p3PBn/4P3/P1NB3P/1PP3Q1/R3K2R b KQ -,b8d7
r2q1rk1/pp3pbp/1n6/Q2p2p1/b1p5/2P1PBBP/PP1R1PP1/RN4K1 b - -,a4c6
8/1k2pp2/5r2/3P2pp/1pK5/1B3P2/6PP/8 b - -,f6b6
1k6/p2r1Rpp/Pp6/2nP4/8/5B1P/5PP1/6K1 w - -,f7f8
1r1r2k1/2q1b1pp/2n2p2/p1p1p3/1pP1Q1P1/3PPN2/P4P1P/BR1R2K1 b - -,d8e8
r4rk1/3nbppp/bqn1p3/p1ppP3/1p1P1P2/2PNBN2/PP1QB1PP/R4RK1 b - -,b4c3
3r1k2/7p/5b2/3P1Pq1/4QR2/1P4P1/P5KP/8 w - -,h2h4
2n5/1p5p/5ppk/8/4P2P/7q/2r3B1/3R2K1 w - -,g2h3
5r1k/p1r3p1/1n5p/R3p3/8/1B4P1/PP3P1P/R5K1 b - -,f8e8
r4rk1/1p2bppp/2ppBn2/p5B1/Pq2P3/2N2Q1P/1PP2PP1/R3R1K1 b - -,f7e6
2r3k1/p4p1p/3p2pB/3Pb3/4Q3/1P5P/P4PK1/3qR3 b - -,d1h5
8/1p4qk/p6p/P2pP3/3QpP2/1P2P3/5K1P/8 b - -,g7g4
1r2b1n1/p5k1/2q1pr1p/1p1p2pP/3P4/5NPB/PP2QP2/R4RK1 w - -,f3e5
5k2/6p1/3p3p/5q2/8/1Q4K1/P5PP/8 b - -,f5e5
7k/1Brn3p/P5p1/5pP1/1P2p2P/8/3K1b2/7R w - -,h4h5
r1r3k1/p2q1pbp/3p1np1/N2npP2/1p6/3QBPP1/PP2N1BP/2R1R1K1 w - -,f5g6
2r3k1/pp1q1rpp/5p2/1RPpp3/P7/2QP2P1/4PP1P/5RK1 w - -,c3b4
r1n1k2r/3qbp2/2p1p1p1/1p1pP2p/pP1P1P1P/P1P1Q1P1/5B2/R3RBK1 w kq -,f1h3
rr4k1/5pb1/2p3p1/1p1b4/p1nP2qp/P1B2B2/1P3PPP/R2R1NK1 w - -,f3g4
8/8/3k4/1p6/3P4/1B2KN1r/8/8 b - -,h3h1
5qk1/8/1Q1Pp1pp/2p1n3/2P5/PP6/3NK1P1/8 b - -,e5d7
8/5pk1/6p1/2P1p2p/4B3/5P1P/6PK/3r4 w - -,e4b7
8/b5pk/p3Q1p1/8/1P4Pp/5B1P/P2q1PK1/8 w - -,e6e2
8/1bN2p1p/p4kp1/1pP5/7P/P1nB2P1/5P2/6K1 w - -,c5c6
r1b1kb1r/pp1n1ppp/4p3/q2pP3/3p4/P1P2N2/1P3PPP/R1BQKB1R w KQkq -,b2b4
8/R7/P7/4kp1p/2r5/6P1/5PK1/8 w - -,a7a8
r3rqk1/pp3pbp/2p1bnp1/P1n1p1B1/4P2N/2N2QPP/1PP2PB1/R2R2K1 b - -,c5d7
rnbqkb1r/1p2pp1p/p4np1/3p4/3P1B2/1QN1P3/PP3PPP/R3KBNR b KQkq -,b8c6
3r1rk1/3qn1bp/1pnpb1p1/2p1P3/p3P3/1PP1B1P1/P3NNBP/2QR1RK1 b - -,c6e5
5r1k/p7/8/1p6/7P/6K1/B4PP1/8 w - b6,f2f4
rn1qnrk1/1p4bp/p2p4/2pPpb2/2P5/2N1BN1P/PP1Q1PB1/R3K2R b KQ -,b8d7
6k1/5pb1/pp2r1pn/8/2P4P/1N2PR2/P5R1/6K1 w - -,h4h5
r1bqk2r/pp2npbp/2np2p1/2p1p3/2P5/2NP1NP1/PP1BPPBP/R2Q1RK1 b kq -,e8g8:a8b8
6k1/2r1p2p/5Rp1/3p4/P2n2PP/3B1N2/5P2/6K1 b - -,c7c1
5Q2/8/3kp3/6p1/1K6/8/8/7q b - -,d6e5:d6d7
5k2/2qbr1b1/p2N2Q1/n1p5/2P2p1P/P3P3/K3B3/3R4 w - -,h4h5
r3qrnk/1ppb2bp/n2p2p1/p2Ppp2/2P1P3/PPN1BP2/3NB1PP/1R1QR1K1 b - -,g7h6
r1r5/PR6/2p2k2/2P5/5pPp/1B2P2P/8/6K1 w - -,e3f4
r1bq1rk1/5pbp/pp1p2p1/4p3/2PnPn2/1P1BNN2/PB1Q1PPP/R3R1K1 w - -,b2d4
3rq1k1/1p3pp1/6p1/p1pQ4/PbP5/4P1P1/1B3P1P/R5K1 w - -,d5b7
r2qk2r/pp3pp1/5b1p/3p1b2/8/6P1/PP3PBP/R1BQR1K1 b kq -,f5e6
4R2k/1p4p1/3b1r1p/pBpP1p2/P6q/1P3Q1P/5PP1/6K1 b - -,h8h7
rn1q1rk1/1b2bppp/p3pn2/1pp5/3P4/1PNBPN2/PB3PPP/R2Q1RK1 w - c6,d4c5
8/5pk1/6p1/7p/5P1P/2q1n1PB/4Q2K/8 w - -,e2f2
1r4k1/B2n3p/b2Pp3/1p6/2p1BnPp/1P3P2/P2R4/4R2K b - -,b8c8
1Rnb3r/1p1q1pk1/1P1p2p1/2pPp3/2N1P3/3P2P1/1Q3PB1/6K1 b - -,c8b6
r3k2r/pppq3p/3bp1p1/3pn2Q/2P5/4B2P/PPP2PP1/2KR1B1R w kq -,h5h4
5rk1/2P2p2/1Q1Rpbpp/p7/1p6/6BP/qP3PP1/6K1 w - -,d6d8
8/p3r1k1/6p1/pNPB1p2/8/8/5K2/8 b - -,a7a6
r2k2nr/pppn1pbp/6p1/4p1N1/2b1P3/2N5/PP1B1PPP/2KR1B1R b - e3,c4e6
r1bqkb1r/ppp3pp/1n6/8/1P1Pp3/4B3/1P3PPP/RN1QK1NR w KQkq -,d1h5
2b1rr2/p3q1kp/1pp3pN/2bpP1Q1/P7/3B3P/1PP1RPP1/5RK1 w - -,g5e7
r1bqk2r/ppp1nppp/2n1p3/1B4B1/3Pp3/P1N5/1PP2PPP/R2QK2R b KQkq -,f7f6:e8g8
1r2r1k1/2q3bp/bn1p1pp1/3P4/1p2PP1P/nPp1BNN1/2P2RB1/2RQ2K1 w - -,h4h5
4Q3/1b4k1/7p/2pP2p1/6R1/5B2/3KP3/1q3r2 w - -,e8e7
r3r1k1/pp3pbp/1n1R1Pp1/2p3B1/2P1P1P1/2N3nP/PP6/RB4K1 b - -,g7f8
2r5/bp3p2/3p1kpp/Pp1P4/1PP5/3K2PP/3NRP2/8 b - -,b5c4
r1bq1rk1/p4ppp/2p5/2bp4/N3n3/1P2P3/PB2BPPP/R2Q1RK1 b - -,c5e7
r1bqk2r/ppp1ppb1/2np1np1/7p/3PP2P/2N1BP1N/PPP3P1/R2QKB1R b KQkq -,c8h3
r1b1kb1r/pp2Nppp/2n5/4q3/2Pp4/8/PP1B1PPP/R2QKBNR w KQkq -,d1e2
r2qkb1r/pp3ppp/4pn2/3p1b2/1P6/1P4P1/2P2pBP/RNBQNRK1 w kq -,f1f2
rnbq1rk1/1p1p1ppp/p4n2/4p3/4P3/1NPB4/P1P2PPP/R1BQ1RK1 b - -,d7d5
2k5/1pp5/p1nn2p1/5p1p/P4R1P/1PB2BP1/K1P2P2/4r3 b - -,e1f1
