8/8/P3pk2/8/3pPbP1/3N4/2p5/5K2 b - -,f4b8
3b1k2/R7/1p1p4/3P4/2Pr3p/7P/6K1/5B2 w - -,f1e2
q3r1k1/2n2ppp/2P2b2/3p4/1Q6/4B2P/1PP2PB1/5RK1 b - -,a8c6
3k2nr/4ppbp/6p1/p1pP2N1/b7/3B4/P4PPP/1R4K1 b - -,g8h6
8/1R3pk1/1p2qnp1/1Qb1p2p/4P3/1p2PKPP/5P2/8 b - -,f6e4
8/8/4kRKp/6p1/7r/3B3P/8/8 b - -,e6e7
1rb2rk1/2p2ppp/p1q1pn2/1p5P/1b1P4/2N5/PPPBQPP1/2KR1B1R b - -,b4c3
r1bq1r2/p2p2kp/2p1np2/6pQ/2P5/5N2/PP3PPP/RN2R1K1 w - -,g2g3
8/8/p1p4R/1p2p3/1P2k2P/2P5/3K3r/8 w - -,d2c1
6k1/p4p1p/B3p1p1/2b1B3/8/7P/1P3PP1/5K2 b - -,g8f8
2r5/4k3/1r1n1p2/p2Pp1p1/bPp1P1Pp/2P2K1P/1PNR4/R4B2 b - -,a4c2
r1b1kb1r/1p2npp1/1qn1p2p/p2pP3/3p1P2/P2B1N2/1PPN2PP/R1BQ1RK1 w kq -,f1e1
3qk2r/2p2p2/rp2n1pb/3pPp2/3P1P1p/1PB4Q/2P1N1PP/2R2RK1 w k -,c3e1
r5k1/P4pp1/4n2p/RppbP3/4p3/2P1PPB1/3N2PP/6K1 b - -,d5c6
8/4k3/8/6R1/1p6/1PP4r/2K5/8 b - -,h3c3
r1bq1rk1/1pp1ppbp/1nn3p1/p3P3/P7/1B3N1P/1PP1QPP1/RNB2RK1 b - -,c6d4
r3k2r/1pp1qp1p/p2p1nb1/4p1p1/4P1P1/1PPPP2P/1P1N3N/R2Q1RK1 w kq -,d1f3
rnbqkbnr/pp1p1ppp/8/2p1p3/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq c6,f1g2
r1qr2k1/pp1nbppp/4p1b1/P1p5/3PPB2/1QP2N1P/5PP1/R3RBK1 b - -,d7f6
r1bq1rk1/3nbppp/p1n1p3/1pppP3/5P2/P1NP1NP1/1PPB2BP/R2Q1RK1 b - -,d8c7
r4rk1/3q1ppp/p1pb4/3n4/3B4/1P4P1/P4PBP/2RQ1RK1 w - -,d4b2
5rk1/pB1R1pb1/1p2p1pp/2p1P3/2q2PP1/4KN2/7P/3R4 w - -,b7e4
8/8/P1k5/2p3p1/3pP3/K2B1bP1/P7/8 w - -,a3a4
8/p4k2/4p1p1/1p6/1P1P4/P4KP1/5P2/8 w - -,f3e4
3q1rk1/1br2p1p/p3pbp1/1p1nN3/1P1PnP2/PB6/1B1Q2PP/3RR1K1 w - -,e1e4
r2qr1k1/p4pp1/4bn1p/3p4/2pb1N2/2P2P2/1PBQ2PP/R4R1K w - -,d2d4
1r3rk1/p1p2ppp/2p1b3/8/PbP5/3BBP2/P1K3PP/1R5R b - -,c6c5
8/2p2pkp/p2q4/8/2p5/3p1Q1P/PP1B1P2/6K1 b - -,d6e6
r4rk1/p5pp/1pn5/2n1p1B1/3pP3/5RP1/PP3PBP/2R3K1 b - -,a7a5
2r3k1/1b3pp1/1q6/p2pP3/1pr5/1R3N1P/PP1Q1PP1/5RK1 b - -,a5a4
8/8/8/2Pkp2p/7P/2r2pP1/5K2/4R3 w - -,c5c6
r1r3k1/pp2ppbp/q2p2p1/n2P4/2P1P1b1/3QB1P1/P2N1PBP/2R2RK1 b - -,b7b6
r1b1kb1r/1p3ppp/p2pp3/5PBn/3RP3/2N5/PPP3PP/2K2B1R b kq -,f8e7
r2qk2r/1p1bbppp/p1n1p3/2npP3/5B2/P1NB1N1P/1PP2PP1/R2QK2R w KQkq -,d3e2
3r2k1/n5pp/B2pb3/P1p5/4P3/8/3R2PP/1N4K1 w - -,a6b7
3r1rk1/ppq1ppbp/2p3p1/3n1bQ1/3PN2N/1BP3P1/PP3PP1/R3R1K1 b - -,f5c8
r4r1k/1p2b1pp/2np4/q1n1p1P1/P1Q1P3/2N1B2P/1KP2P2/3R1B1R w - -,c4b5
r2qk2r/pb2ppbp/1pnp2p1/2p5/2PP4/2Q1BNP1/PP2PPBP/R4RK1 w kq -,c3d2
r1bqk2r/4npbp/2p1p1p1/p1pp4/4PP1Q/2NP1N2/PPP3PP/R1B2RK1 w kq -,c3a4
6k1/3npp2/3p1b2/1q4p1/Np2P2p/1P3P1P/P4BP1/4Q1K1 w - -,e1d2
2n2r2/2N1q1pk/1BQ3p1/3Ppp2/1b2n3/7P/4BPP1/1R4K1 w - -,c7e6
r4rk1/1b3ppp/p3q3/1p1pN3/3P1Q2/5R2/PP3PPP/R5K1 b - -,a8c8
4r1k1/4r1p1/1p3q1p/2pPNb2/ppP2P2/4R1QP/PP5K/6R1 b - -,g8h7
1k1r3r/2p2pp1/B2p1q1p/3P4/b4P1P/3R4/PPP2QP1/2K5 w - -,d3d4
8/5k2/5Ppp/2p1N3/B3N3/5K1P/1r4P1/8 b - -,f7e6
4b3/1R3p2/1p3k2/2bB1Pp1/p3K1Pp/P6P/1P6/8 w - -,b7a7
8/1R6/1p4kp/2p2p2/p1P5/P1n2PP1/6KP/2r5 w - -,b7b6
r5k1/p1q2ppp/4pn2/2p5/2P1b3/1P4P1/P2R1PBP/3QN1K1 b - -,e4g2
5k2/5ppp/8/2r5/p4PP1/R1pp1K2/Pnb1B2P/2R5 w - -,f3f2
r2q1rk1/pp2bppp/1np1pn2/5b2/2PP3N/2N1B2P/PP2BPP1/R2Q1RK1 b - -,f5g6
2rr2k1/1b3ppp/p3p3/P7/R1n1P3/1nN3P1/4NPBP/4R1K1 b - -,b3a5
r1bq1rk1/pp2ppbp/1nB3p1/8/3P3Q/2N2N2/PP3PPP/R1B1K2R b KQ -,b7c6
1rq1k2r/3bppb1/2np2p1/1p5p/1P4nP/2NP1NP1/3BPPB1/1R1Q1RK1 b k -,c6b4
8/8/3Q1bpk/5p2/8/5qPP/7K/8 b - -,f3f2
3r4/2p1q1pk/1b1rp2p/4p3/2Q1P3/pPP2P2/P2R2PP/KN5R w - -,c4e2
4rrk1/Nbp3pp/pp1bqn2/3pN3/3Pp3/1P2P3/PB2B1PP/2RQ1RK1 w - -,a7c6
8/4B1p1/4K1k1/pp2p2p/1Pn4P/r3p1P1/8/5R2 b - -,e3e2
r3kbnr/1bqp1ppp/p3p3/1p6/4P3/2NPBN2/PP3PPP/R2Q1RK1 w kq -,a1c1
8/1kp2p2/1pp3p1/p1n1q3/4P3/3PQ1P1/PPP1N3/1K6 w - -,e3f3
8/1p4k1/p1nP3p/P3r2P/2N5/8/6P1/5RK1 w - -,c4e5
8/8/2B4b/1p5P/2pk1p1P/8/P1K5/8 b - -,b5b4
r1b1r3/p5kp/2p2np1/qp3p2/4p3/1PnP2P1/P1PN1PBP/R2NRQK1 w - -,a2a3
8/8/2b4p/2k5/2pp1PP1/N7/3K3P/8 b - -,c6e4
8/8/r5k1/7p/2p2R2/P1P1N1p1/P3K3/8 b - -,a6a3
8/p4kp1/1p3n1p/n1p1p3/R1P5/P2rB2P/3N1PP1/5K2 b - -,a5c6
1rbr1k2/2q2n1p/3ppbpP/p7/1pn1PN2/1N3P2/PPP2Q2/1KBR1BR1 w - -,f1c4
r2qk2r/1p3p2/p2p1bp1/3Np2p/3NPPbP/6P1/PPPQ4/1K1R3R w kq -,d4e2
8/2p5/3p2p1/1PpP1p2/2Pq3p/1Pk4P/6P1/3B1R1K w - -,h1h2
rnbq1rk1/p1pp1ppp/1p2pn2/8/1bPP4/2NBP3/PP1B1PPP/R2QK1NR b KQ -,c8b7
r1bqk2r/pp3ppp/2nbpn2/8/2BP4/2N2N2/PP3PPP/R1BQ1RK1 b kq -,e8g8
2k3r1/1pp2p1p/p3b3/2q2p2/7b/P2B1Q2/1PP1NP1P/1R2K3 w - -,e2g3
2rq1rk1/pp1nppb1/2p1b1pp/2Pp4/3P4/3BPNBP/PP2QPP1/R1R3K1 b - -,d7f6
r1bq1rk1/1pp2ppp/p2p1nn1/2bPp3/2P1P3/2N2N1P/PP2BPP1/R1BQ1RK1 w - -,a2a3
rnb2rk1/pp1Qppbp/6p1/2p5/3PP3/4BN2/PP2BPPP/R3K2R b KQ -,b8d7
1r1q1rk1/1p3ppp/pNnpb3/3Np1b1/2B1P3/8/PPP2PPP/R2QK2R b KQ -,g8h8
r1bq1rk1/1p1n1ppp/p1n1p3/2bpP3/3N1P2/2N1B3/PPPQB1PP/R3K2R b KQ -,c6d4:d7e5
r3k3/3n1pp1/2p3p1/1p1pp2r/pP1P4/P1q1PP2/R1PN1QPP/3R2K1 w q -,d2b1
r1bqk2r/ppp2pp1/3bpn2/3pNn1p/3P1B2/2PBP3/PP1N1PPP/R2QK2R w KQkq h6,d1f3
1r4k1/p4pbp/4p1p1/6P1/4N1N1/3B3P/1r6/5RK1 b - -,b8b3
3r2k1/p4pp1/1p5p/3Pp2B/7P/P3B3/2r2PP1/3R2K1 b - -,c2c3
8/8/3pBq2/5p2/6pk/8/5Q2/5K2 b - -,h4g5
r4rk1/pp3p2/5pp1/4N3/8/1P6/1P3PPP/R4RK1 b - -,f6e5
4r1k1/p1q2pp1/1p5p/3QN3/3P4/6BP/P4PP1/6K1 w - -,d5b3
