8/5p2/6k1/2pK2p1/2r4p/7P/1P3RP1/8 b - -,c4c1
6k1/1p3p2/6p1/1Pp1r2p/7P/R1n1PBP1/7K/8 b - -,c3b5
5r1k/p2Q2pp/1p1p2q1/3n4/1P1BpP2/P3P3/6PP/5RK1 b - -,g6f7
2rq1rk1/1p2bb1p/4ppp1/3p4/2nP4/P1N1P1B1/1Q3PPP/2RR1BK1 w - -,b2b7
r2qk1nr/pp3pb1/2npb1p1/2pNp2p/2P1P3/3P2PP/PP2NP2/R1BQKB1R w KQkq -,e2c3
8/8/6K1/4r3/3kp1Bb/7P/8/1R6 b - -,e4e3
8/5pkp/1p4p1/pPp5/q7/4Q3/PP3PBP/6K1 w - -,e3c3
r2q1rk1/ppp2pbp/1n6/3Pn1p1/3B4/2N2P2/PP2BP1P/R2Q2RK b - -,e5g6
r2n2k1/2q2p2/pp3bp1/2p1p2p/2Q1P2P/2P2NPB/PP3P2/3R2K1 b - -,b6b5
2r2rk1/pp4pp/1qn1pb2/3p4/1P1P4/P2BPN2/6PP/1QR2RK1 b - -,h7h6
r4bk1/5pp1/p1qprnbp/1p2pN2/2n1P2P/2P2QN1/PPB2PP1/R1B1R1K1 w - -,h4h5
4r1k1/5pbp/2qp2p1/8/1RP1n3/3pP1P1/3N1P1P/3Q1RK1 b - -,e4c3
5rk1/5p2/pq2pnp1/2p3N1/5P1p/2P1B3/P2Q2PP/5RK1 w - -,c3c4
r2r2k1/ppq1bppp/2p1pn2/8/2PP4/2B2N2/PP2QPPP/3RR1K1 b - -,a7a5
2brr2k/2q3pp/p4p2/Pp1P4/2p1P2P/2B3R1/3Q1PP1/4R1K1 b - -,c7f7
8/8/8/5B2/3k3p/2p2K2/8/8 w - -,f3g4
2rq1rk1/pp2bppb/2n1pn1p/3p1P2/P1p1P2N/1P1P2P1/1BPN2BP/R2Q1RK1 b - -,c4d3
r4rk1/1pq1bppp/p2p1n2/3bp3/P3PP2/3QBB2/1PP3PP/R4RK1 w - -,e4d5
8/5k2/1R6/5pp1/4r3/6P1/6K1/8 b - -,e4e6
6kr/ppp2bpp/8/3p4/1B6/3P4/P1P2PPP/2RKr3 w - -,d1e1
r1b1k2r/2qpbppp/p3pn2/1p6/3QP1P1/2N1BP2/PPP4P/2KR1B1R b kq -,c8b7
2r5/1br1k2p/2p2pp1/8/3R1P1P/3P4/4P1B1/2R3K1 w - -,d4c4
r1b1rnk1/p1q2ppp/1p1p1n2/2pPp3/2P1P1PN/2PQ3P/P3BP2/R1B2RK1 b - g3,f8g6
r2b1rk1/1p1b1ppp/3p3q/p2NPp2/5P2/P1B2QP1/1P4KP/3R1R2 b - -,d7c6
r2qkb1r/1b3ppp/p1npPn2/2p5/1p2P3/2NP2PN/PPP3BP/R1BQ1RK1 b kq -,b4c3
8/1pR5/5k2/PP6/3r2p1/6P1/7P/6K1 b - -,d4a4
rn1qkb1r/ppp2ppb/4pn1p/3p4/3P3B/2N2P2/PPPQP1PP/R3KBNR w KQkq -,e1c1
8/5pk1/3p2p1/1R1P2P1/p1n3B1/8/P5KP/r7 w - -,g4e2
4R3/pp1n3k/4Np1p/7P/b5P1/P4r2/1Pp5/2K5 w - -,e8e7
1r4k1/4pp2/pr2b1p1/4b2p/2p5/2N3PP/PPRRPPB1/6K1 b - -,h5h4
5Rk1/pr2q1pp/3Qp3/4n3/7P/6P1/6B1/R5K1 b - -,g8f8
rnbqkb1r/ppp2ppp/4pn2/8/3P4/5B2/PPP2PPP/RNBQK1NR b KQkq -,c7c5:f8e7
2br4/4q1k1/2n2bnp/1pNp1pp1/pPpP4/P1P1PN1P/3Q2PB/3BR2K w - -,d1c2
5rk1/pB1R1ppq/6b1/4PpPp/8/2r4P/Pb4Q1/4RNK1 b - -,b2a3
r1b1qrk1/pp1n1pbp/5np1/3p2B1/3Pp3/Q1N1P3/PP1NBPPP/R4RK1 w - -,c3b5
2kr1b1r/ppq2b1p/2n3p1/3p2N1/2p1pP1N/2P1P1P1/PPQ1B1P1/2KR3R b - -,h7h5
2kr3r/1bpnq1p1/pp1pp1n1/6Pp/Q1P1PP2/P1N1B3/1P2B2R/2KR4 b - -,d8f8
r1b1k2r/ppp2ppp/1nn1pq2/8/1b1PPB2/2N2N2/PP3PPP/2RQKB1R w Kkq -,f4c7
1qrr2k1/1p1bbpp1/p2ppn1p/8/2Pn4/1P2QNP1/PB2PPBP/2RR2K1 w - -,b2d4
6k1/1nq2pBp/4b1p1/3pPpN1/pp1n2PQ/7P/PP1N2B1/6K1 b - -,g8g7
1r1q1rk1/1p1n1pbp/p1p2np1/2P1p3/4P3/1QN1BBPP/PP3P2/R4RK1 w - -,a1d1
5rk1/p4rqp/1pbPp1p1/2p1Ppb1/2P1p3/1P2P1P1/PQ5P/2BBRRK1 b - -,g5d8
8/3k4/R7/8/3K1N2/8/8/7r b - -,h1d1
r2qk2r/ppp2ppp/2n5/3pP3/1bP3b1/4PNP1/PP3PP1/RN1QKB1R w KQkq -,b1c3
r2q1rk1/pb2bppp/1pn1pn2/2pp4/2PP4/1PNBPN2/PB3PPP/R2Q1RK1 w - -,c4d5:a1c1
r1bqk2r/pppp1ppp/2n2n2/2b1p3/1PP1P3/P2P4/5PPP/RNBQKBNR b KQkq b3,c5d4
1nkr1bnr/ppp2pp1/8/1P5p/Q1Pp4/5NPq/P2NPP1P/R1B2RK1 w - -,c1a3
8/ppQ2nk1/2p3pp/8/4P3/3B3P/PqP3P1/6K1 b - -,b2a1
r2q1rk1/p2nbp2/1p2p2p/1N1b2p1/8/5NP1/PPQ1PPBP/3R1RK1 w - -,f3d4
2r2rk1/1b3ppp/pp6/2np1q2/3BnN2/1P2PB2/P1Q2PPP/3R1RK1 w - -,c2b2
r3k2r/pp1q1ppp/3bp3/8/3B4/2P2Q2/PP3PPP/R3K2R b KQkq -,e8g8
2rr2k1/1b1n1ppp/p3p3/P7/1qnNP3/4Q1P1/5PBP/RN2R1K1 w - -,e3c3
r2q1rk1/1b1nbppp/p1pp1n2/1P2p3/3PP3/2N1BN1P/BPP2PP1/R2QR1K1 b - -,a6b5
3k4/p4Qb1/3p2Bp/2pP4/2Pp2q1/P5P1/7P/6K1 w - -,f7g8
r1bqk2r/1p2ppb1/p1np1np1/7p/3N1B2/1NP3P1/PP2PPBP/R2Q1RK1 b kq -,c8d7
2k3rr/p1qnb3/bpnNp1pp/2p1P3/2Pp1B2/3P1NP1/PP2QPB1/R3R1K1 b - -,c8b8
rnbqk2r/pp4pp/2p4n/3Ppp2/8/NP3NP1/P2PPPBP/R2Q1RK1 b kq -,e5e4
3rk1nr/4bppp/pqb1p3/1p2P1B1/5Q2/P1N5/1PP1B1PP/2KR3R w k -,h1f1
3r1knR/pp3p2/5Pn1/5NP1/4K3/3r4/PP2N3/7R b - -,d3d5
6k1/p5pp/1bnPp3/3r4/5rq1/2B2N2/PP1NQ1BP/5R1K b - -,d5h5
2k3r1/p1bbqp2/4p3/2Pp2rp/8/P1N4P/2PQNPP1/R5RK b - -,e7c5
6k1/5p2/p1p1pbp1/Pr2p3/1P1B1P2/6P1/6K1/2R4R b - -,e5d4
r1bqk2r/2p1bppp/p2p1n2/1p2p3/4P3/1nNP1N1P/PPP2PP1/R1BQ1RK1 w kq -,a2b3
r1bq1rk1/pppp1ppp/2n5/2b1n3/2P5/4PN2/PP2BPPP/RNBQ1RK1 w - -,f3e5:b1d2:b1c3
rnbqk2r/ppp2pbp/3p1np1/3Pp3/2P1P3/2N5/PP2BPPP/R1BQK1NR b KQkq -,e8g8:a7a5
r2q1rk1/3nppbp/6p1/ppP5/p2PBB2/4PN1P/b5P1/2RQK2R w K -,d1e2
6k1/p1rr1p2/1p2pRp1/3q3p/3P3P/2P3Q1/P5P1/5RK1 b - -,g8g7
3r4/5p2/p1n1pkp1/Pp1r3p/4RP2/1NP2KPP/1P2R3/8 w - -,e4e3
rnbqk2r/ppp2p2/4p1pp/3pP3/1b1P2Q1/2nB4/PPPB1PPP/R3K1NR b KQkq -,c3a2
1B6/7p/2k3p1/p2p1pP1/5P1P/P3P3/5K2/8 b - -,c6b5
r2q1rk1/pp1nbppp/2p1pn2/3pN1B1/3P1P2/2NPP3/PP4PP/R2Q1RK1 w - -,a1c1
2rrb3/1p3kbp/p1nnp1p1/2Np1p2/P2P4/1P2P3/N1R1BPPP/2R1BK2 b - -,c8c7
3r2k1/p3r2p/1npp1pp1/5q2/1PP1pP2/1R1PB1QP/6P1/5RK1 w - -,e3b6
1k5r/ppqrb1pp/1np2pPn/3p1P2/2P2P2/2N3BB/PP2Q2P/2KRR3 w - -,c4d5
r3kb1r/1pqnpppp/p4n2/5b2/Q7/N1P1BN1P/PP3PP1/3RKB1R b Kkq -,e7e6
4r1k1/1bq2r1p/p5p1/2P1bpP1/2QRp3/1N6/PB6/K2R4 b - -,e4e3
6rk/2pbR2p/p2p4/3Pp2q/2p1Pr2/2N5/PPKQ1R2/8 w - -,e7d7
r3r1k1/pp2qppn/2p5/4p1p1/P3P3/4Q2P/RPP1NPP1/3R2K1 b - -,h7f8
1q3rk1/1b1n1ppp/pp1bpn2/3pN3/1B1P4/1Q4P1/PPR1PPBP/1N4K1 b - -,d6b4
2r5/5k1p/1p6/3NPp2/p2Pn3/8/Pn5P/5RBK w - -,d5b6
4k2r/bp2qp1p/p1n5/3rPQ2/1P1p4/P2P2PP/2R4K/1NB2R2 w k -,c2c6
8/6p1/4k2p/8/pBP4P/1P3KP1/P7/4r3 b - -,a4b3
r6n/pp4r1/2bk4/3pp1NP/P2n4/2R2P2/2P3P1/R1BK1B2 w - -,f3f4
2br4/1q3k1p/3P1np1/2p5/8/2P1Q2P/5PP1/3RR1K1 w - -,e3c5
r1bqrbk1/3n1p1p/pp1p2p1/4p2n/1PP1P3/P3NNP1/1BB1QP1P/R1R3K1 b - -,c8b7
