8/8/2B5/7p/3R2p1/1kn1P1P1/8/r3K3 w - -,e1f2
r4rk1/pbq2pbp/Bpn2np1/2p1p3/4P3/1PP2N1P/PB1NQPP1/R4RK1 w - -,a6b7
8/1p3k2/p6p/3q1p2/7P/6P1/1P2QP1K/8 w - -,e2e3
8/p2r4/Pp3p1B/1Pb1nk1p/2P4P/5P2/8/4RK2 w - -,f1e2
1rb2b2/2q2k2/1pPp4/1QpPp1pp/1P2Pp2/5PP1/R4B1P/5BK1 b - -,f8e7
3q1rk1/4ppbp/2p1bnp1/1p6/2PP3N/1PB3P1/3Q1PBP/R5K1 w - b6,d2e2
8/2p3k1/3p2p1/3P1p2/p1P2P1P/P5K1/1N1n4/8 b - -,g7f7
r2q1rk1/1pb2ppp/p1n5/2PpNn2/3P4/1P6/1B1QNPPP/R4RK1 b - -,f5d4
4rk2/3R3p/6p1/p1p1P1B1/5q2/8/5PPP/5K2 w - -,g5f4
3r2k1/p1pr1pp1/1p2p2p/5Q2/3PR2P/1P1R4/P1P2PP1/1K6 b - -,e6f5
5k1r/5b2/2p4R/p4Np1/P3Pn2/8/1PP2K2/3N4 b - -,h8h6
8/5p2/1nN2k2/1P1p2pp/3K4/5PP1/7P/8 b - -,f6e6
6n1/2k5/4r3/pR1p1Rr1/p1pP2Pp/P3K2B/2P4P/8 w - -,e3f4
r2q1rk1/pp1nppbp/n2p2p1/2pP2N1/2P1P3/2N1B3/PP2QPPP/R4RK1 b - -,a6c7
rnbq1rk1/1p2n1pp/p4p2/3p2B1/1b1N4/2N2B2/PPP2PPP/R2Q1RK1 w - -,g5e3
r1bqkn1r/pp3ppp/2nb4/2p1p1P1/2NpP2P/3P1N1B/PPP1QP2/R1B1K2R b KQkq -,c8h3
5rk1/ppq3p1/2p1b1Bp/2Ppp3/3P4/P3P3/1P2Q1PP/R5K1 w - -,a1f1
5nk1/2q1b1p1/b1p1pr1p/p3p2Q/Pp2P3/4BN1P/1PPRNPP1/6K1 b - -,e7d6
r4rk1/pb1qnpb1/1pnpp1pp/2p5/1PP5/PQN1PNP1/1B1P1PBP/1R3RK1 w - -,f1d1
r1bq1rk1/pppn1pbp/3p1np1/4P3/2B1PB2/2N2N2/PPPQ1PPP/R3K2R b KQ -,d6e5
r3r1k1/pp1N1pp1/1npq3p/3p4/1P1P2n1/2NBP1P1/P1Q2PP1/1R3RK1 b - -,b6d7
5rr1/1q2k3/pp1pp2p/8/P1PQ1P2/1P5P/4p1PK/4R1R1 w - -,e1e2
8/1Q6/6kp/P2pP3/4pP2/1P2P3/7q/5K2 w - -,b7a6
rnq1k2r/pppnbppp/3p2b1/3Pp3/2P3PN/1Q5P/PP1NPPB1/R1B1K2R w KQkq -,h4g6
r3qb2/p1kb3R/1np1p1Q1/1p1nP3/2pPB3/P1N3P1/1P3P2/R3K3 w Q -,g6g4
r2qk2r/p1pn1ppp/1p2pn2/3p4/3P4/P1P1PQ2/2P2PPP/R1B1K1NR w KQkq -,g1e2
rn3rk1/4p1bp/1np1b1p1/4P1N1/3P4/q1pB4/2Q2PP1/1RB1K2R b K -,a3a2
1r6/6pp/1brpkp2/1p2p3/8/1P1RB1P1/5PKP/3R4 w - -,e3d2
6k1/7p/p1pq2r1/4R3/2Q3P1/1P5K/P6P/8 b - -,g8g7
8/2k5/4R1pn/5p2/1P3P1p/5P1P/8/7K w - -,e6g6
8/3B4/8/pprpk2P/4p3/P1P3K1/2R5/8 b - -,e5f6
r7/2rkp3/p2p4/2P2p1p/1P1BbP1P/R5P1/1R1K4/8 b - -,c7b7
2r1k2r/pp3p1p/1b2p3/5p2/b7/1NP3P1/PP3PBP/3R1RK1 b k -,c8c7
8/8/2bk4/p1p1R3/PpP1P2p/1P5r/3NK3/8 w - -,e5h5
2r3k1/r6p/p1p1pp1q/2Rp4/3Pb2B/1P2PP2/P5P1/3Q1RK1 w - -,f3e4
4rrk1/1pb1q1pp/p1n1pn2/P1p1p3/2NpP3/3P2PB/1PPB1P1P/1R1Q1RK1 w - -,b2b4:d1e1
4rk2/pN3p1p/4pp2/2q1n3/6Q1/2P5/PP3PPP/3rR1K1 w - -,g4d1
8/6k1/6p1/p2B4/2P3R1/7P/5qPK/8 b - -,a5a4
2r3k1/R4pp1/4p3/4P2p/1P2rP2/1RP1n1PK/7P/8 w - -,b4b5
2r2rk1/pp2bppp/4q3/3pP2Q/3P4/P1N5/1P4PP/2R2RK1 b - -,c8c4
4rrk1/p1nb2pp/1p6/3P1p2/PP3P2/2NK4/6BP/4RR2 b - -,c7a6
5rk1/pp3r1p/5BpQ/2bpPp2/7P/8/P5P1/7K b - h3,c5e7
8/4Nprk/q3b1r1/P1PBp3/4Pb1p/1N6/1P3RpP/4Q1K1 w - -,e7g6
r2q1rk1/3pppbp/n4np1/2pP4/4P3/PP6/1BQ2PPP/RN3KNR b - -,e7e6
3r2k1/p4p1p/4p3/1Pb1n3/R7/6P1/5PBP/2B3K1 w - -,c1e3
r5k1/4bpp1/r3p2p/np1pPP1P/3P2P1/p4R2/RP1BN3/6K1 w - -,d2a5
1b6/1Rq2p2/2np1k1p/5p2/3Pp2N/Q1P3PP/2B2P2/6K1 b - -,c7b7
r1bqk2r/1p3ppp/p2ppn2/2b1n3/2P1P3/2NB4/PPN2PPP/R1BQ1R1K w kq -,d3e2
8/5p2/5kp1/1p5p/1P2Pp1P/P1R1K1P1/r7/8 w - -,e3f4
4rrk1/1bq2pb1/p2pp1p1/1p2n1B1/3NP2Q/1BP5/PP4PP/3R1RK1 w - -,d1e1
r5k1/rnpbq2p/1p1p2p1/p2Ppp2/1PP5/P1Q1P3/2BN1PPP/R4RK1 w - -,h2h3
8/6pk/5p2/2R1p2p/8/1n4PB/1P3P1P/6K1 b - -,b3c5
8/5pk1/1P1R1p2/8/4b2P/7P/6r1/6K1 w - -,g1f1
2r3k1/p2q1p1p/1p1pp1p1/3Pb3/1P6/PP2B2P/2RQ1PP1/6K1 w - -,d5e6
r4b1k/2q4p/3pQ3/4p3/4P2B/8/5PP1/1R4K1 b - -,f8g7
r1b2rk1/pp3p1p/n1pp2p1/4b1P1/2P1P3/2N5/PP3PP1/R1BR1BK1 w - -,c1e3
8/5pb1/1p2k1p1/pPp1p2p/P3P2P/1PB3P1/5P2/3K4 b - -,g7h6
r3r1k1/1p5p/p2p2bb/3Pp1Q1/2P5/3q2NP/5PPK/2R2R2 w - -,g5h6
rnbq1rk1/pp2npbp/2p3p1/3pp3/2P5/1QNP1NP1/PP2PPBP/R1B2RK1 b - -,b8a6
r3r1k1/5pn1/2pqb1p1/ppRp4/P2P2Pb/4PPN1/5QKP/BB2R3 b - -,b5b4
2rr2k1/5ppp/p3p3/1p2R3/1n1PB3/5P2/1P3P1P/4R1K1 w - -,e1d1
8/5k2/2R5/6Kp/2P5/6P1/7r/8 w - h6,c6f6
2rr2k1/pnq2pp1/4bn1p/8/N2Pp3/1P2N3/PQ2BPPb/R1B2R1K b - -,h2d6
8/1p2k3/p3n1p1/P3Pp1p/1P1p1P1P/3K2PB/8/2R5 w - -,h3g2
r2qk2r/pp1nbppp/2p5/3p1b2/3PNP2/4PN2/PP2B1PP/R1BQ1RK1 b kq -,f5e4
5rk1/2q3pp/5p2/n3p3/Pp2P3/3P1NP1/5PKP/2R5 w - -,c1c7
r4rk1/p1p1bppp/2p1q3/4B3/8/3P1Q1P/PPP2PP1/R3R1K1 b - -,e6d7
rq2r1k1/1p1n2b1/p2pbBp1/8/4P1PQ/2NR4/PP2B2P/5R1K b - -,d7f6
6r1/p1k2p2/4p3/2P5/1P3b2/P2B1P2/4K2p/7R w - -,e2f1
r2r2k1/pp3pp1/3b1p1p/1N1P4/Pn6/5B1P/1P3PP1/2RR2K1 b - -,a7a6
r2q1rk1/pb1nppbp/1pnp2p1/8/2PpP3/2N1B1PP/PP2NPB1/R2Q1RK1 w - -,e2d4
1r3rk1/2q1ppbp/2Bp1np1/p7/Q1P5/P1N3Pb/1P2PP1P/1RBR2K1 b - -,h3f5
r2q1rk1/p4p1p/1p4p1/4p3/Q2bP3/6P1/P3BP1P/1R3RK1 b - -,d8e7
rn1qr1k1/pb1p1ppp/1ppb1n2/3P2B1/2P5/2N2N2/PP2BPPP/R2QK2R w KQ -,e1g1
r4rk1/3Pqpp1/b1p4p/1pN5/1pn5/1Qb2N2/4BPPP/2RR2K1 w - -,c5a6
r4rn1/3bqnk1/p2p2p1/2pPp2p/1pP1P2P/1P3NP1/P2QBRKN/5R2 b - -,g8h6
2b1r1k1/1p3p2/5p1p/r2p4/p2P3N/P7/2P2PPP/1R2R1K1 b - -,e8e1
r1b1rqk1/5pb1/pp1p1np1/2PPn2p/P3P3/2N1BP2/3QBNPP/1RR3K1 b - -,b6c5
1q1r3r/1p3pk1/p5pn/2NP4/2Rp1bP1/1Q3B2/PP3PK1/4R3 b - -,h6g4
8/6p1/2k4p/4K3/3P3P/P7/2b5/8 w - -,e5e6
7R/1p4k1/p1r1b3/6p1/1R1p4/8/P4PK1/8 w - -,h8d8
8/1Pk5/3N3P/4P3/3KP3/8/8/1r6 b - -,b1h1
8/R4pkp/1p1Rp1p1/1Pr1p3/P1r1nP2/2N4P/1P4P1/7K w - -,d6b6
1r4k1/3bbppp/rq2p3/3pP3/p2N4/2B3P1/PPRQ1P1P/R5K1 b - -,b8c8
