8/5k1p/pp1p4/2pP4/P4PP1/8/1P3K2/8 w - -,f2e3
5k2/1R6/5p1p/p4Nn1/8/6P1/rP3PKP/8 b - -,h6h5
6k1/5p2/6p1/8/2q5/5P2/pbQ3KP/8 w - -,c2b2
3rkb1r/1p1qpp2/p2p1p1p/2p5/3Pb2N/2P1N3/PP3PPP/R2QR1K1 w k -,f2f3
r2qk2r/1p2bpp1/1nn1p3/3pP2p/p2P4/P1NQ1N2/1P3PPP/R1B1R1K1 w kq -,c3b5
2r1r1k1/p3ppb1/1pqn2p1/2p5/3P4/1QP1PNB1/P4PP1/2RR2K1 w - -,d4d5
2r2rk1/pb3pp1/1p1qp1p1/3p2Nn/3P1b1Q/PP1B4/2P2PPP/R1B2RK1 w - -,g5h3
8/5p2/1p2p1k1/4P1pp/1p1P4/1P1RK2P/3R2P1/4q3 w - -,d2e2
8/3R1pk1/5b2/8/8/5K2/Prp4P/3B4 w - -,d7c7
r2q1rk1/pb2npbp/1p2p1p1/1P1n4/3P4/PQ1NBN2/4BPPP/2RR2K1 b - -,a8c8
k2r2nr/p2b1R1p/1pq1n1p1/2p1p3/2Q1P3/1NP1B2P/P1B3P1/1R4K1 w - -,b1d1
r5k1/1q2pp1p/3p2p1/n1p5/1r6/1PQ1P3/P2N1PPP/R2R2K1 b - -,b4g4
5n2/5k2/4p3/5p1p/2pPpP1B/1P2P3/3K4/8 w - -,b3c4
3r3r/pQ2k3/1p2p3/6Rp/2P2PpP/P7/5qB1/7K b - -,e7d6
r1bqk2r/p2pppbp/2p3pn/2p1P3/3P4/5N2/PPP2PPP/RNBQ1RK1 b kq d3,c5d4
r1b3k1/2q1bppp/p4n2/1p1rp3/4P3/1P2BB2/P1P2QPP/R4R1K w - -,e4d5
1r4kb/p3Q3/4N1p1/8/8/8/q4PPP/5RK1 w - -,g2g3
8/2p2k1p/1pPp1Rpq/3P1r2/1PP3R1/2Q2p1P/5P2/7K b - -,f5f6
r1b2rk1/pp2qpp1/5n1p/2ppB3/7Q/PP1BP3/2PP2PP/RN3RK1 b - -,e7e5
r1N2r1k/p1N2pp1/1p5q/1B4nn/1B6/P3P3/1P3Q1P/R4R1K b - -,g5e4
2rr4/pp2kppp/4p3/3n4/4N3/PP2P3/5PPP/R1R1K3 b - -,f7f5
r1bk4/pp3p2/4p3/3pn2N/4r3/P7/4BPPP/2R2RK1 w - -,h5g3
4r1k1/1p3ppp/2nb1qb1/p2p4/3Pr1N1/PP1Q3P/1B3PP1/R3RBK1 b - -,f6f4
r3k2r/p1p5/1p1p1q1p/2nP1pp1/4b3/P1P1P1B1/3Q1PPP/3RKB1R b Kkq -,g5g4
1r3rk1/2n4p/3p1qn1/P1pP1p2/2Bb1P2/2N3QP/1P2RBP1/R6K b - -,g8h8
3n4/4r1k1/3p2pP/2pP1q1P/1pB2P2/1PbR2B1/7K/3Q4 b - -,g7h6
8/6r1/1P1p4/4p3/2P1P2k/7P/5pBK/8 w - -,g2f1
3rkbnr/pp4pp/1qn1pp2/3P4/2P5/2B2B2/P4PPP/RN1Q1RK1 b k -,g8e7
rnbq1rk1/1p3ppp/p4n2/4N3/8/2BP4/PP3PPP/R2Q1RK1 b - -,b8d7
8/6k1/1N1p1n2/4q3/1Q1n4/1P5P/P4PP1/6K1 b - -,d4e2
r1bq1rk1/4bppp/2p2n2/p2p1PB1/Np1P4/3B1Q2/PPP3PP/R4RK1 w - a6,f1e1
r1bq1rk1/1p2bppp/p2pp3/4n3/3NP1n1/2N1B3/PPPQBPPP/R4RK1 w - -,h2h3
8/1p3kbp/5pp1/1p1p1b2/1P1B4/1N2P3/P4PPP/5K2 b - -,f5d3
r1b2rk1/pp5p/2p1p3/6pq/1PQPP3/2N3PP/P2R1nB1/4R1K1 b - -,f2h3
7r/pp1k4/n1p1p3/3pP3/3PnPP1/2P4r/PP2R2P/R1B3K1 b - -,h8h4
8/p5p1/1p2p3/2p1kp2/2P1P3/1P3KP1/P4P2/8 w - -,e4f5
3qr1k1/r2n1pbp/b1pp2p1/8/PPpPPNP1/7P/1B1Q1RB1/R5K1 b - a3,d8b6
2rr2k1/5ppp/p1b1p3/1pN1b1q1/1Pn1P3/P1NR1P1P/2Q1K1P1/2R2B2 b - -,d8d3
Q7/8/6pk/5p2/1p1q4/1P4P1/P6K/8 b - -,h6g5
rn1qk2r/p4ppp/b2bpn2/4N3/P2P4/2p3N1/4BPPP/R1BQ1RK1 w kq -,e2f3
rnbq1rk1/ppN2ppp/2p5/3p4/3Q1B2/b1P5/P1P2PPP/2KR1B1R w - -,c1b1
2r3k1/bp3p1p/p3rBp1/8/3P1Q2/Pq4P1/1P3P1P/2R1R1K1 b - -,c8e8
3n3r/3k1ppp/8/p3p3/Pp2P3/5P2/1P4PP/2R3K1 w - -,g1f2
5R2/3q2pk/p2Pr2p/2pQ1P2/2P2P2/8/7P/6K1 b - -,d7d6
4Q2R/5rp1/p5k1/1p3p2/3P2q1/P1P3P1/5PK1/8 w - -,h8f8
r5k1/1p2qppb/1Bp2n1p/p3b3/P3P3/1P1Q2P1/N4PBP/2R3K1 b - -,e5c7
rnbqk2r/ppp1p1bp/3p1np1/5p2/3P4/2P3PN/PP2PPBP/RNBQK2R w KQkq -,e1g1
r1b1r1k1/pp3ppp/8/2bPnp2/3p3q/1B1P2NP/PPP3P1/R1B1QRK1 w - -,e1f2
r3r1k1/2n4p/p1n1q1p1/2p1p1B1/Pp2Q1N1/2P4P/1P3PP1/R3R1K1 b - -,b4c3
8/5pk1/R5p1/6P1/1p2pP2/4P3/2r5/5K2 w - -,a6b6
2r2rk1/2q1ppbp/p1np1np1/1p4B1/2b1PP2/1NN2B2/PPPR2PP/R2Q3K w - -,c3d5
r2qr1k1/pp2bbp1/5n1p/n2pNP2/3P1P2/P1N5/3BP1BP/RQ3RK1 w - -,d2e1
3q2rk/4bR1P/p3p3/3p2pQ/1PrP4/PN6/6P1/5RK1 b - -,g8g7
r1r3k1/4qpp1/1p2p2p/1R6/2P5/2P5/P4PPP/R2Q2K1 b - -,c8c4
5k2/pp3n1p/2ppp1p1/4p3/4P3/2NPP2P/PPP2KP1/8 w - -,c3e2
4r1k1/p1r4p/1pb3p1/3pqp2/1PpR4/2Q1P1P1/P1R2PBP/6K1 b - -,c7d7
r3k2r/pb1nbpp1/4pn1p/q7/Np1pP3/1P1BB3/P2N1PPP/R2Q1RK1 w kq -,e3d4
r1b2rk1/ppq2pp1/2pb1n2/3p3p/2P2P2/1PNBP2P/PBQ3P1/R4RK1 b - -,f8e8
8/2k4q/1pn1BP1Q/p1p1p1PK/P7/2P5/1P6/8 b - -,h7e4
4r1k1/4rp1p/1p3q2/2pP1p2/2Pb1P2/8/2Q3PP/1RB2R1K w - -,b1b3
r4rk1/3n1p1p/3p1qp1/p1pP4/1p6/PPn1PB1P/1N1Q1PP1/R4RK1 w - -,b2c4
r3r1k1/1b1q1pp1/1Pp2b1p/p1R5/P2p1B2/1P4P1/3Q1P1P/2R2BK1 b - -,f6e7
8/4k3/p1bp4/1p1K4/2p5/8/PPP4P/8 w - -,d5c6
r3rbk1/2qn1ppp/p1p2nb1/1p2pN2/P3P3/1PB1Q1PP/2PN1PB1/R4R1K w - -,f5h4
5bk1/6p1/p2p4/1pp2PBq/Pnb5/4rN2/1P3PP1/1B1Q2K1 w - -,g5e3
r2q1rk1/pppb1pb1/2np1npp/4p1N1/1PP5/2NP2P1/P3PPBP/1RBQ1RK1 w - -,b4b5
r1b1r1k1/1p1nqppp/p2b1n2/3pp3/8/NP1P1NP1/PB1QPPBP/R1R3K1 w - -,a3c2
r2q4/pb3Bkp/1p4p1/2p1P3/P4P2/1Q6/6PP/3R2K1 b - -,d8e7
7r/1p3p2/3ppk2/p1r1q1p1/2PQPnR1/1P3P2/P2R3P/5B1K b - -,e5d4
1R6/3b4/7k/8/3K3P/1B6/8/8 w - -,b3d1
r3k2r/1pqbbpp1/p2ppn1p/8/2nNPPP1/2N1B2P/PPP1Q1B1/2KRR3 w kq -,e3g1
1nb1k2r/5pp1/p2p3p/N2PpP2/N2pP1P1/8/2P4P/R5K1 w k -,a1b1
8/1pq1r1k1/5p1p/P2R2p1/4P1P1/3Q3P/5PK1/8 b - -,c7c6
2rr4/pp3pkp/3R2p1/8/2P1b3/1P6/PB3PPP/R5K1 b - -,g7f8
r3k2r/pp3ppp/3nb3/3p4/3B1P2/2P5/PP4PP/2KR1B1R b kq -,f7f6
r2qr1n1/pp3p1k/3p2bp/n1p2N2/2PPpQ2/P1P1P2P/R5P1/1BB2RK1 w - -,f5d6
r1bq1rk1/1pp1npbp/6p1/p7/1n1N4/BP3NP1/P1Q1PPBP/2R2RK1 w - -,c2c7
r2qk2r/ppp2ppp/2n1pn2/8/2NP4/4PP2/PP1Q1P1P/2KR1B1R b kq -,d8e7
r4rk1/2q2ppp/p4B2/5b2/B1p1p3/P3P2P/5PP1/2RQ1RK1 b - -,g7f6
8/2B2k2/p7/2p5/1pP5/1P1nQ2P/r5BK/5q2 w - -,e3e4
r2q1rk1/pp1n1ppp/2p1pn2/8/PbBPP3/2N2b1P/1P2QPP1/R1B2RK1 w - -,e2f3:g2f3
2r2rk1/p4np1/5p2/pb2pPP1/1nNpP3/1P1Pb1N1/6B1/3Q1R1K b - -,e3g5
5r1k/1ppqn1b1/3p3p/3Pp3/1PP1Npn1/r5P1/2QBBP1P/R3R1K1 b - -,a3a1
