8/R3bk2/4p2p/1Q3p2/4qP2/6PK/7P/8 b - -,e4f3
8/ppn5/2p2k1p/2PpNb2/P2K4/6r1/3R4/2R5 w - -,e5d3
8/6kp/6p1/1pKB2P1/5r2/2PR2R1/8/1r6 b - -,h7h6
8/3kB3/8/7K/p5PP/P7/1r6/8 w - -,e7f6
r1bq1rk1/1pp2pp1/p2p2np/2bP4/3N1P2/3Q2P1/PPP3BP/R1B2RK1 b - f3,d8f6
r1bqr1k1/1pp1bpp1/p1np1n1p/4p3/1PP5/P1NP1NP1/4PPBP/R1BQ1RK1 w - -,h2h3
r1b2k1r/pp1pp1N1/5pp1/1R1q3p/7P/2QBBP2/3K2P1/7R b - -,d5a2
r1bq1rk1/pp1n1ppp/3ppn2/2p5/2PP4/2bQPN2/PP2BPPP/R1B2RK1 w - -,b2c3
4rr1k/1R6/p2p4/4b3/P4nq1/1Q4N1/1P3BP1/4R1K1 b - -,f8g8
r4rk1/1pp2ppp/2n1b3/8/1p6/4P3/PP2BPPP/2NRK2R w K -,b2b3
2r2r1k/6bp/1q2p1p1/8/R6P/1Q4P1/P3RPB1/6K1 b - -,g7d4
8/p7/1p2k3/2P3pp/1PP5/PQ6/2K5/4q3 b - -,e1f2
2k2bnr/1rq5/1pb1PP2/p1p3Bp/P7/1P1B1N1P/4Q3/5RRK b - -,c8b8
8/p2kn1rp/4p3/3p1p2/2N5/4P1P1/PP3PKP/5R2 b - -,d5c4
r4rk1/pp1qbppp/2n2n2/3p2B1/3NP3/2N3Pb/PP3PB1/R2Q1RK1 w - -,e4d5
q3rrk1/1p3p1p/2pR2p1/1pQ2PPP/2n1P3/P1P3N1/1PB5/5R1K b - -,e8e5
r3k2r/ppp2ppp/2nb4/3p1n2/3P4/2P2N1P/PP3PP1/RNB2RK1 w kq -,b1d2
r5k1/1p5p/1p2bp2/3p4/1P5P/P3P1P1/3P4/R4BK1 w - -,a3a4
rnbqr1k1/pp1p1pb1/2p2npp/6B1/2PNP3/2N2P2/PP2B1PP/R2QK2R w KQ -,g5h4
8/7R/5k2/1r6/4BK2/5P2/8/8 w - -,h7b7
3r2k1/7p/p3p3/4N3/1p3P2/PRb5/3p2PP/3K4 b - -,a6a5
2rq1rk1/2n1ppbp/p5p1/1p1pPb2/2nP4/P1N1B2P/BP2QPP1/2RRN1K1 w - -,a2b1
8/5p1p/8/3pk3/p3rpPP/P2B4/5K2/3N4 b - -,e4d4
8/1pr1kp2/2pR4/p1P1PPK1/P7/8/7r/1R6 w - -,f5f6
6r1/4kp2/1pr1p1p1/pR1p3p/P2P1P2/2PK2PP/1P6/4R3 b - -,e7d6
r3k2r/pp3ppp/2nqbB2/3p4/2pP1N2/2P5/P1PQ1PPP/2K1RB1R b kq -,g7f6
n6r/1pk2p2/2p2p2/p7/1b2PPN1/8/P1P1N2P/2KR4 w - -,d1h1
r1bqkb1r/pp2pppp/2np1n2/8/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq -,f6g4:a7a6:e7e6:e7e5:g7g6
2b2rk1/4qnbp/p2p2p1/1npP1p2/1rN2P2/2N1P1BP/RP4P1/3QRBK1 w - -,d1c2
2rr2k1/1bq1npbp/ppnpp1p1/2p5/P1P1PP2/2NP1NP1/1PQ2BBP/3RR1K1 w - -,b2b3
4n1k1/ppr2p2/4r2P/3p1N2/3P4/1P6/P3R3/5BK1 w - -,f5e3
2b2k1r/2q1bpp1/p3pn1p/2n1P3/1r1N3P/3B2Q1/1PPBN1P1/2KRR3 b - -,f6e4
5r1k/6bp/pB4p1/1p6/7P/q1r5/P1R1BPP1/3Q1K1R b - h3,b5b4
8/4R3/4k3/6P1/8/r3BK2/8/8 b - -,e6e7
rn2kbnr/pp2ppp1/1qp4p/3p1b2/3P3B/1P1BP3/P1P2PPP/RN1QK1NR b KQkq -,f5d3
8/1p3p2/4pPk1/q5Pp/p1p1NQ2/P2r4/1P4P1/5R1K b - -,a5f5
r3r1k1/1p3ppp/2pb1n2/5q2/p1QP4/P1N2NP1/1P3PKP/R3R3 b - -,e8d8
8/4ppr1/1N1pk1p1/6P1/1K2P1pP/8/8/6R1 b - -,f7f5
r2q1rk1/1p2ppbp/3pbnp1/8/p1PBP3/2N5/PP1QBPPP/R4RK1 b - -,d8a5
2rq1rk1/pb2bppp/1p3n2/3pN3/5B2/2PB3Q/P4PPP/R2R2K1 w - -,e5d7
5q1k/5B2/8/5Q1p/6p1/6PP/1b3P1K/8 w - -,f5h5
2r3k1/p6p/3p2p1/2pq1r1n/1P2p2Q/P2pP3/1B1P3P/R4RK1 w - -,f1f5
r1nqb1k1/pp1r1pbp/2p1pn2/2P1Bp2/2NP4/1B3QNP/PP4P1/3R1RK1 b - -,c8e7
2r2rk1/pb2qppp/1p2p3/6n1/1PB1P3/PQ3P1P/1B2KP2/2RR4 b - -,g5h3
r6k/pp1b2p1/4pr2/3pR3/8/3B4/PP3PPP/1R4K1 b - -,a8c8
br3rk1/4qpb1/4p1pp/pp1pP3/2pN1PP1/P1P1PQ2/1PBK2P1/1R5R w - -,f4f5
2Q5/pp3pk1/2p3p1/4P3/3q1P2/6P1/PR3K1P/8 w - -,f2f3
r2qk2r/p2p3p/np1P2pb/1Np1Pp2/2Q5/P4N2/1PP2P1P/R3K1R1 w Qkq -,c4a4
8/8/p5rp/1pk5/4R1P1/P2K1P2/8/8 w - -,e4e5
r4rk1/pp1nbppp/2n1p3/q1Pp4/3P1B2/2N2N2/PP1Q1PPP/1R2R1K1 b - -,b7b6
8/6k1/5np1/8/1R5P/4NP2/r4K2/8 w - -,f2f1
1r3k2/5r2/5bR1/1P1R1N2/3P1K2/8/8/8 b - -,f6d8
r3k2r/ppp2pbp/2n3p1/5b2/3Pp1nP/1PN1P3/PB1N1PP1/R3KB1R w KQkq -,f1b5
1r3rk1/p1p1q1b1/3p3p/3P1bpB/Q1P5/N2nB3/P2K1P1N/R6R b - -,g7a1
1k1r4/1pn2R1p/pq4p1/3n4/B1QP2P1/7P/PP2N3/6K1 b - -,b6e6
3r4/3r2bk/p3p2p/3b1P2/8/4N3/PP3P2/1B1RR1K1 b - -,h7h8
8/5p2/N1Bp1k1p/7P/1PP2K2/1r6/8/8 w - -,b4b5
R5nr/1pqnbpk1/1p1pp1p1/7p/3PPB2/1QP5/4NPPP/5RK1 b - -,h5h4
1k1r3r/pqnn1p2/1p2p1pp/P1ppP3/3P1P1Q/2P2N2/1P2N1PP/R4RK1 b - -,b6b5
8/8/4k3/2P2r2/8/1K1RB2P/8/8 b - -,f5f3
r1q2r2/ppp3kp/3p2n1/3Nn3/2B1Ppb1/P1Q2N2/1PP2PP1/2KR3R b - -,c8d7
4r3/3R4/4rbk1/4pp2/P6p/2P2P1P/1P4P1/3Q3K b - -,e5e4
r1bq1rk1/1p1Nb1p1/2p1p2p/p2p1p1n/3P1B2/1QP1PP2/PP1N2PP/2KR1B1R b - -,d8d7
4r1k1/2q2ppp/5n2/2Pb4/1pNP4/BBn2P2/3Q2PP/R5K1 b - -,e8e2
6kr/pr3pp1/3B4/1P2pP1p/4P3/1R1n2q1/P5P1/R5K1 b - -,g3f2
2R5/1p6/p2Bp1k1/3pP1p1/3n2r1/PP2K3/5P2/8 w - -,c8g8
8/8/4n2P/2p1P1n1/8/p2N2P1/2k1K3/8 w - -,d3e1
8/6k1/7p/pP4b1/Pr6/3K4/1PBp4/5R2 w - -,b2b3
8/nk6/1b2p1p1/3pPnPp/p1pP3P/P1P5/1K3B2/1N2N3 w - -,b1d2
1r4k1/2r2ppp/p3p3/2b1q3/Qn6/2N2BP1/1P2PP1P/R4RK1 w - -,f1d1
r2n3r/5p2/1q2p1k1/p3Pp1p/1pPp1P1P/1P1P1bPN/R6K/R2Q4 w - -,d1f3
r3k2r/pb1pp1bp/1p2n1p1/q4P2/2P5/2N1BP2/PP1QB1PP/2R1K2R b Kkq -,g6f5
r1bq1rk1/pp3ppp/4pb2/2p5/3n2PP/1P1Q4/PBPP1P2/2KR1BNR b - h3,d8d5
r3r1k1/p1n2ppp/1p6/4p3/2PpP2P/1P4PB/P2q1P2/4RNK1 w - -,f1d2
2rq1rk1/1p1b2bp/1B1p1pp1/1P6/4P3/p1Nn1PPP/P5B1/1R3RQK b - -,d8e8
k4r2/8/p4N1p/2p1Q3/4P1K1/2Pr4/pq6/R5R1 b - -,b2e2
r3bq1k/1p4b1/p1p1pnBp/8/P1Pr4/5RQP/1P3PP1/2B1R1K1 b - -,f8b4
r1bb1rk1/pp3np1/3p1n1p/2qN1p2/2P2P2/1P4P1/P2Q1NBP/R1B2RK1 w - -,d2d3
2kr1b1r/1pp3pp/p1q1pp1n/3p4/5Pb1/1P1PPN2/PBPN2PP/R2Q1RK1 w - -,a2a3
2r1kb1r/1bq2pp1/3ppn2/p5B1/1n2PP1P/1NN4R/1PPQ2B1/1K1R4 b k -,f6d7
4kb1r/1p1q1pp1/1B2p1b1/3pP2p/2Q3P1/2P4P/PP3P2/R2R2K1 w - -,c4c7
bk1rr3/p2q4/1pn1p2p/1B1p1pp1/3N4/1QP5/5PPP/R1B2RK1 w - -,b3a4
r1b1kb1r/1p2pppp/pqnp1n2/8/3NP3/2N3P1/PPP2PBP/R1BQK2R w KQkq -,d4c6
8/6pp/3k4/3P1p2/n1KN1p2/P7/6PP/8 b - -,g7g6
