8/8/4npk1/6p1/4K2p/7P/1R4P1/8 b - -,e6f4
3r3Q/3r3R/2p1ppk1/p5p1/1pPq4/1P3R2/P4PP1/6K1 w - -,h7h6
3r2k1/p1r2p1p/Qpnq1pp1/8/3P4/2P2N1P/P4PP1/1R2R1K1 w - -,f3d2
r1bqrnk1/pp3pb1/2n3p1/2p1pP2/3pP1NP/3P1N1B/PPP1Q3/R1B2RK1 b - -,g6f5
8/6p1/3n1k1p/2pPp3/5P1P/3BK1P1/8/8 w - -,h4h5
8/1pr5/1R3p2/P2p2kp/3P2P1/6P1/5K2/8 b - -,g5g4
r1b1r2k/pp5p/1qn3pB/3p2Q1/4B3/8/PP3PP1/R3R1K1 b - -,b6b2
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/1Q3N2/PP2PPPP/RNB1KB1R w KQkq -,g2g3:c1g5:b1c3
6k1/1R6/6P1/5B2/1p1p2K1/p1r5/P7/4b3 b - -,c3e3
8/4r1kp/P2Q4/1n3BpP/4r1P1/8/5PK1/8 w - -,h5h6
1r1q1r2/4p1kp/1pbp2p1/pN2p3/2P2P2/4Q3/PP4PP/R2R2K1 w - -,f4e5
2rr2k1/1q3pb1/p1npp2p/1p4p1/3NP3/P1P2NP1/1P2QPP1/2R1R1K1 b - -,b7b6
8/1r1b2k1/4pNqp/3pP3/6PP/4Q3/5P2/2R3K1 b - h3,b7b1
7r/3k4/rpR3Pp/2pP1p2/2P5/2PK4/p7/R7 w - -,d3e3
2rr4/pp2kpp1/7p/3p1b2/3P4/8/PP1KBPPP/R1R5 b - -,e7d6
4k1r1/4P3/p7/2r1Q1pp/2b5/1P6/1P5P/1K6 w - -,e5c5
r4rk1/pb2qppp/1pnppn2/2b5/1PP1P3/P1N2NP1/2QB1PBP/R4RK1 b - -,c5d4
rnbqkbnr/ppp1pppp/8/8/2pP4/5N2/PP2PPPP/RNBQKB1R b KQkq -,b7b5:a7a6:g8f6:e7e6:c7c6:c7c5
r3k2r/1bp1qppp/p2b4/1p6/3Pp3/1PP5/2P1QPPP/R1B1NRK1 b kq -,e8g8
6k1/4bppp/3p1n2/2n1p3/8/2B1N1PP/4PPB1/6K1 b - -,g8f8
rn2k1r1/3p1p1p/p1q1p3/8/4Q3/1Nb5/P1P2PPP/1RB2RK1 w q -,b3c5
1n1q1rk1/r1p1bppp/bp2p3/p7/3PQ3/P4NP1/1P2PPBP/R1B1K2R w KQ -,e1g1
5bk1/pp3p1p/3Pr1pP/4P3/5Q2/q3PB2/6P1/5RK1 b - -,g6g5
8/8/5k2/p2R2pp/r7/P2NK3/6P1/8 b - -,a4a3
5R2/8/8/6pp/6k1/4K3/8/8 w - -,e3f2
5k2/p4p1p/1p3p1N/8/5P2/1B2b3/PP1r3P/1K3R2 w - -,h6f5
r4rk1/2p3b1/3qp1p1/1P1p2B1/p3PPQ1/PnN4R/1P4P1/1K1R4 w - -,e4e5
r2qkb1r/3n1ppp/b1n1p3/p2pP3/3P4/4BNP1/P3NPBP/R2QR1K1 b kq -,f8b4
r1r3k1/8/pnnbp1p1/1p1p1p2/3P1P1p/P1P4P/1P2B1P1/2BNRRK1 b - -,g8f7
2r1r1k1/p4pbp/1p1p1qp1/2pP4/2bnPN2/P2N2P1/RP3PBP/1Q2R1K1 w - -,b2b3
r6k/6bp/p1r3q1/1p1Q1pp1/PP1Pp3/4P1P1/3N1PBP/4R1K1 b - -,g6e6
r3r1k1/4nppp/p2Rb3/qp2Pp2/5P2/4B1Q1/PPP1B1PP/5R1K w - -,a2a3
r1bqkb1r/p2p1ppp/2n1pn2/1Qp5/3P4/5NP1/PPP1PP1P/RNB1KB1R w KQkq -,c2c3
q7/r3k3/1Rp2pp1/1nP1p2p/1P2P2P/4B1P1/1Q3P1K/8 w - -,b2e2
r1bq1rk1/1p2n1pp/p1pp4/5p2/2PPpNnP/2N1P1P1/PP2BP2/R2QK2R b KQ -,g4h6
r4rk1/2q1bppp/bnp1p3/p2n4/P1B5/1PP2N2/2QN1PPP/R1B1R1K1 b - -,f8d8
r5k1/5p1p/2p1rp2/p2p4/Pb6/3R4/NPP2PPP/R4K2 b - -,b4d6
8/5bk1/R7/4B3/2p5/P1K3p1/6r1/8 b - -,g7f8
4k2r/1b3ppp/pn2p3/1p1pP3/1P3P2/P7/3K2PP/R4B1R w k -,a1c1
8/1k6/8/8/7p/7K/8/8 b - -,b7b6
1r1r2k1/2qnb1p1/2p2p1p/2p1p3/p1P1P3/P1BRQN1P/1P3PP1/3R2K1 w - -,f3h4
r5k1/3n1ppp/p1pq3r/8/N2pPPQ1/1P5P/P5P1/2R2RK1 w - -,e4e5
Q1nr4/1pk4q/1p1b1p2/2pP4/3p1Np1/R5P1/P4PBr/1R3K2 b - -,h7b1
r4rk1/pp2bppp/1q1p4/3Qp3/4P3/2R2N2/PPP2PPP/2K4R w - -,h1f1
8/pp1r4/2P4p/5R2/1P2k1PP/P5K1/8/8 b - -,b7c6
1rb2rk1/2p2ppp/p1p1p3/3Q4/3PN3/6P1/PP2PP1P/R4RK1 b - -,c6d5
rnbqr1k1/pp3pb1/1np3pp/4p3/1P6/P1NP1NP1/3BPPBP/1R1Q1RK1 b - b3,b6d5
4k3/4p3/1r4p1/3P4/pp5P/4R3/P4P2/6K1 b - -,b4b3
r1bqk2r/pp1n2B1/2n1p2p/3p1p2/5P2/1P2P3/P3B1PP/RN1Q1RK1 b kq -,h8h7
r2qr1k1/pppn1pbp/2np2p1/8/4PPP1/2N4P/PPP1RBB1/R2Q2K1 w - -,d1d2
3q1rk1/2p5/3p1nnp/2PPp3/2N1P1p1/7P/2Q2BP1/R5K1 w - -,a1a3
r3kb1r/ppq2pp1/2p1pnp1/2P5/2Q2PP1/2N1B2P/PP6/R3K2R w KQkq -,e1c1
8/8/4p3/3pk3/2p5/b3q1p1/K1Q5/8 b - -,e3b3
r5k1/2p2pp1/8/3p3p/1p1Nb3/7P/1PP1R3/6K1 b - -,a8a2
5qrk/1p3p2/p3p1pp/2npP1QP/5N2/1Pn1R1N1/2r2PP1/R5K1 w - -,g5f6
r3r1k1/6pp/qP1Pp3/p1P2pN1/P2p1P2/5QP1/5K1P/2R5 w - -,d6d7
r3kb1r/ppqb1ppp/2n1pn2/1Bp5/3pPP2/3P1N2/PPPBN1PP/R2Q1RK1 b kq -,f8e7
rnbqk2r/pp1pnpbp/2p3p1/4p3/2P5/2NP1NP1/PP2PPBP/R1BQK2R b KQkq -,e8g8
rnbqr1k1/pp3ppp/3b4/3p4/3Pn3/2NB1N2/PP3PPP/R1BQ1RK1 w - -,h2h3
2kr3r/ppq1bp2/2p1p3/6Pb/2PPN3/P3NPP1/1P2Q3/R2R2K1 b - -,e7g5
4r3/p7/2R1pk2/3p1p2/1P1P2r1/P5P1/3R3P/6K1 b - -,e8b8
8/7p/5Np1/4p3/2r2p2/4B1P1/4kP1P/1K6 w - -,g3f4
1qr1rnk1/1b1nbppp/pp1pp3/8/NPPNPP2/P3QB1P/5BP1/2R1R1K1 w - -,e1d1
8/7p/2k5/4Kp2/7P/8/8/1b6 w - -,h4h5
r4rk1/pp2ppb1/6p1/2pP1bp1/2P1qB2/3nPP2/P2QB1PP/2R2RK1 b - -,d3c1
6k1/3r1pp1/p3rbp1/1pP1p3/1P1pP3/P5BP/5PP1/R2R2K1 w - -,g1f1
8/5pk1/4r1p1/8/4bn1p/R6P/P1p2qPK/2Q3R1 w - -,a3f3
8/pbP1k2p/6p1/8/3N4/P7/8/2K5 w - -,d4c6
8/p3k1b1/4p3/7R/PP4r1/3K2P1/4N3/8 w - -,h5h4
r2q1rk1/5p1p/3pb1pQ/4p3/pp2P3/1P1R1PN1/1PP3PP/2K4R w - -,b3a4
2Q2n2/p4kpp/4p3/3pPp1P/3N1K2/1P3P2/3Q2P1/6qn b - -,h7h6
r1q1bbk1/r7/1n1p3p/2pPp1pP/ppP1PpP1/1P1B1P2/P1QKN3/1RB4R b - -,b6d7
8/2r5/pk1bP3/3B4/1p1Q3P/qPrR2P1/2PR4/1K6 b - -,d6c5
3r4/1b1q1kpp/1P3p2/8/3B1P2/2P5/4Q1pP/4R1K1 b - -,d8e8
4r3/p5k1/2pp4/8/2P4b/1PNB2q1/P2Q1r2/1K1R4 w - -,d2c1
3rk2r/pp3pbp/1qn1b1p1/2pP4/2P2B2/5N2/PP1Q1PPP/R3KB1R b KQk -,e8g8
b3r1k1/5ppp/p7/Np4q1/1P1Qp3/P7/4BPPP/2R3K1 b - -,g5c1
r4rk1/pbqp2pp/1p2p3/4N3/1P3n1n/2P2N2/P2Q1PPP/R1R2BK1 w - -,f3h4
5r2/1pp2rkp/pq4p1/4p3/4P3/3R1P1P/1P2Q1P1/3R2K1 w - -,g1h1
r3kb1r/pp1n1p2/2p4p/2nq1pp1/3P3B/1P2PP2/P3Q1PP/RN2NRK1 b kq -,g5h4
8/1b2k3/p3p3/4N3/1p1KPN2/8/PPP5/4r3 w - -,e5g6
