8/8/5kp1/4b3/4B1KP/8/4P3/8 b - -,e5d6
rnb1r1k1/2qn2bp/p2p1pp1/1p1P4/2p1PP1B/2N3N1/PP1Q2PP/1B2RRK1 b - -,d7f8
8/5p1k/6p1/3pr2p/7P/R1P2KP1/2r2P2/5R2 w - -,f3g2
r5k1/1p3ppp/p1br4/3p3q/3P3n/1Q1NPP2/PP3RP1/R1B3K1 w - -,d3f4
r1b2rk1/p4ppp/2p5/3p3q/Pp2N3/3Q4/1PP2PPP/R3R1K1 w - d6,e4c5
k7/8/1K6/8/4Rb2/8/8/8 b - -,f4g3
4r3/p4p2/1p4p1/8/6kP/2PKR1P1/PP6/8 b - -,e8e3
3rk1r1/1b3p1p/pqn2p2/4p3/1P1pP3/3B1P2/PPNQ2PP/1K1R3R b - -,d8b8
rnbq1rk1/1p2bppp/2p1p3/p2p3n/2PP1B2/5NP1/PPQ1PPBP/RN3RK1 w - -,f4c1
8/8/8/5p2/6kp/5R2/5KP1/1r6 b - -,b1b2
8/5p1k/1p2q1pp/1Q6/8/1P3P1P/5KP1/8 b - -,h6h5
2rrb1k1/ppq1bpp1/4pn1p/4N3/7B/2PB4/PP2QPPP/3RR1K1 w - -,d3b1
1r2kb1r/p2p1ppp/b1p5/2ppPq2/P7/2PP1N2/1P3RPP/R1BQ2K1 b k -,f5d3
r2qrbk1/3n1pp1/p3b2p/P2pP3/3Q4/4B1NP/2B2PP1/R3R1K1 b - -,g7g6
r1br2k1/ppqn1pbp/2pp1np1/4p3/2PPP3/2N1BNPP/PP3PB1/R2Q1RK1 w - -,a1c1
qr4k1/R2npp1p/3p2p1/1PpP4/4P3/1P4P1/1Q3PBP/4R1K1 b - -,a8a7
r5k1/rp2qbpn/1npp1p1p/3PpP2/1PP1P3/1QN3PP/5RBK/1RB5 b - -,b6a4
8/7p/p5kP/1b3r2/4R3/2P1B1P1/6PK/8 b - -,b5c6
3r1rk1/pp2ppbp/q1n1b1p1/1R6/5BP1/1BP1PN1P/P3QP2/1R4K1 w - -,b3e6
r1bq1rk1/1p2bppp/1np2n2/p2p4/P2NP3/2N4P/1PP1BPP1/R1BQR1K1 w - -,e4d5
2rr2k1/1b1nbppp/1q2pn2/1pp5/4P3/NP1P1NPP/1B2QPB1/R4RK1 w - -,f1d1
r2qk2r/pppbbppp/2np1n2/8/2PN4/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,e8g8
2r5/R2nk2p/1p2p1p1/8/1PP5/4K2P/4B1P1/8 b - -,e7d6
b1r5/P1b2p1k/5P1p/P4N2/1Pr1pP2/3p2P1/6P1/1RR2BK1 b - -,c4c1
r1b1k1nr/pppp1ppp/8/2b3q1/3pP3/2PP4/PP3PPP/RNBQKB1R b KQkq -,g5g6
1r2k2r/2qb1pp1/2nb1n1p/1pp1p3/4P3/2P1NN2/1PB2PPP/R1BQR1K1 b k -,b8d8
8/1p3pk1/4p1p1/1R4P1/5P2/P1P3q1/1P1K4/7q w - -,d2c2
r1bq1rk1/pp2npbp/2p3p1/2n5/4PP2/2P4N/PP1NQ1BP/R1B2RK1 w - -,h3f2
r4rk1/pp3ppp/2q5/2b1N2b/8/2P4P/PP2QPP1/R1B1R1K1 b - -,h5e2
r1b2r1k/bpp2ppp/p4N2/2P2q2/7R/3P3P/PB2QPP1/5RK1 w - -,g2g4
1R6/8/k7/7r/1NK5/8/8/8 b - -,a6a5
b2q1b2/6kp/6p1/1BpP3r/4QP2/2P1N1P1/1P6/3R2K1 w - -,e4e8
5rk1/p4p1p/bp2pbp1/2rP4/q3B3/2N3P1/PP3P1P/2RR2K1 w - -,c3a4
2k5/7R/3r4/2KN4/4B2p/3P2b1/4b3/8 w - -,h7h8
3r4/R3kp2/4p1p1/4P1P1/4KP2/8/8/8 b - -,e7f8
r1r3k1/4bppp/nqp1pn2/p7/PpQP4/1P1NP3/N4PPP/R1BR2K1 w - -,c1b2
8/1ppR3p/p4rpk/4p3/4P3/5P1P/1P4P1/7K w - -,d7c7
4B3/7p/4pp1k/5p2/3q3P/6P1/1R5K/5R2 w - -,b2f2
r1bq1rk1/ppp3bp/2np1np1/4pp2/2PP4/2N2NP1/PPQ1PPBP/R1B2RK1 w - e6,d4e5
r1b2rk1/pp3ppp/1q2pn2/6N1/3P4/2N5/PP3PPP/2RQR1K1 w - -,d1d3
2r5/R3bk1p/5pp1/1Q2pb2/6q1/2P1R1B1/PP3P1P/2K5 b - -,c8d8
r1b2rk1/pp2bpp1/1q2pn1p/2P1N3/5B2/2P5/PPB1QPPP/R4RK1 b - -,b6c5
6k1/q2n1ppp/pn1p1b2/1p1P4/1N1BPpb1/PP6/3N2PP/1Q3BK1 w - -,d4f2
r4rk1/pp1qppbp/2n3p1/3pP3/3P4/1P3N2/PB1Q1PPP/R3R1K1 b - -,f8c8
r3q1k1/2n1p1bp/r2pP1p1/2p3B1/5P2/2PQ1N2/P5PP/3RR1K1 b - -,c7b5
r1bqn1k1/p4rb1/3p1n2/2pPp1pp/2P1Pp2/P1N2P1P/3BBNP1/1R1Q1RK1 b - -,g8h8
5r2/6bk/5q1p/2R1pp1Q/pP1p4/P2P3P/B4PP1/6K1 b - -,e5e4
1r4rk/1p5p/pN1p3b/3Pp2n/QPN2p2/3q2p1/P4BPP/2R1K1R1 w - -,a4d1
r2qk2r/ppp3pp/4p3/1PPp1p2/2nP4/4P3/PB1Q1PPP/R4RK1 w kq -,d2c2
8/5p2/4p1k1/4K3/6pP/7r/5R1P/8 b - -,h3e3
r2qnr1k/ppnb2bp/3p4/3Ppp2/P1N2P2/2N1B2P/1P2B1P1/R2Q1R1K b - -,f8g8
2rq1rk1/pb1pppbp/1p2n1p1/8/2P1P3/1PN1B3/P4PPP/1BRQK2R w K -,e1g1
r4rk1/1pqnbpp1/2p1pn1p/p4N1P/2PP4/3Q1N2/PP1B1PP1/1K1RR3 b - -,e7b4
1r1q1rk1/4b1pp/pN1p4/P2Pnp2/1R1B4/3p4/1P4PP/R2Q2K1 w - f6,b4b3
r1bq1r1k/1p2bppn/7p/p3pP2/4N2P/3P1QP1/PP1B2BK/R4R2 b - -,c8d7
r1br1nk1/4n1p1/pp3q1p/3pN3/B1pP4/2P3B1/P2Q1PPP/4RRK1 w - -,e5f3
rnbq1rk1/p1p2ppp/1p1p1n2/8/1PPPp3/P1Q1P3/3N1PPP/R1B1KB1R b KQ -,c7c6
8/6k1/5pp1/4K3/6r1/4N2p/8/5R2 w - -,e5d5
r1b2rk1/1pp1qpb1/p5pp/8/3pP3/1Q1P1N2/PP3PPP/R1B1R1K1 w - -,c1d2
r2rb1k1/ppq1bp1p/4p1p1/2p1N3/3PQPP1/3BP3/PP5P/2R2RK1 b - -,c7b6
r1bqkbnr/p4p1p/3N4/2ppP3/3p2p1/8/PP3PPP/RNBQ1RK1 b kq -,f8d6
r5k1/6b1/1q4pp/pQ1P1p2/5Nb1/B1r1P1P1/P4K1P/1R2R2B b - -,b6b5
3r4/1prnkppp/p2p4/P2P4/2PR4/8/1P2B1PP/2KR4 b - c3,d7e5
1rb2rk1/p2nqppp/1p2p3/2p1P3/3PB3/2P2N2/P4PPP/R2QR1K1 w - -,d1a4
8/3k4/1P1bp1pp/2p5/Nr2R1P1/1PK2P1P/8/8 b - -,b4b5
r2r2k1/1pq2ppp/p1bppb2/8/3NPP1P/2NQ4/PPP3P1/2KR3R w - -,g2g4
5rk1/5ppp/p3q3/2p5/N1Pn4/1P4PP/P4Q2/5RK1 b - -,e6d6
1rbq1r1k/5p1p/2np2pb/p2Np3/2B1P3/2P1N3/RP3PPP/3Q1RK1 w - -,d1d3
r1bq1rk1/pp2bppp/2n1pn2/3p4/8/2NP1NP1/PP2PPBP/R1BQ1RK1 w - -,b2b3
r2r2k1/pb3pbp/3pp1p1/1pq2P2/4P3/1BP1N1Q1/PP4PP/3R1R1K b - -,b7e4
2k5/pp1bn3/4pp1p/q2pP2P/2p1r3/P1P1B2B/2P1K3/R5Q1 w - -,e5f6
r3k2r/pb1q1p2/2pp3p/1pbPp3/6p1/1BPP4/PP2QPPP/R1B2R1K w kq -,d3d4
r3kb1r/pp3ppp/2pn4/3p1N2/3P4/2P5/PP3PPP/R1B1K2R w KQkq -,f5d6
8/1B3pk1/P7/8/5PKp/r7/3R1b2/8 b - -,f2g3
1rr3k1/3nbp1p/b1n1p1pP/qpppP3/p4B2/2PP1NP1/PP2QPB1/2R1RNK1 w - -,f3g5
r1bqkb1r/1p2pppp/p1n2n2/6B1/2BP4/2N2N2/PP3PPP/R2QK2R b KQkq -,b7b5
r4rk1/p2q1ppp/1p1p4/4pN1b/4P3/1P2P2P/1PPQ2P1/R4RK1 w - -,d2d6
3rr1k1/1pp2pp1/p1nq1n1p/2Qp1B2/3P3B/4PP2/PP3P1P/R4R1K w - -,c5d6
8/8/p3p3/1p2k1K1/1P1q4/P4Q2/8/8 w - -,f3f6
r2qrbk1/1bp2ppp/pn1p1n2/1p1Pp3/4P3/1PP2NN1/P1B2PPP/1RBQR1K1 b - -,a8c8
6r1/2q5/6pk/1p4Rp/1P1BPp1P/2n2Q2/8/7K b - -,c3a2
4K3/8/1p1p4/8/pkP3R1/8/8/8 w - -,c4c5
r1b1k2r/pp1qBp1p/2pPp3/7p/2nP4/5Q2/PP4PP/R4RK1 b kq -,c4d6
r3k2r/pppn1ppp/5q2/2bPN3/Q3PPb1/2P5/P5PP/R1B1KB1R w KQkq -,a1b1
