8/8/6R1/8/5p2/4p1p1/5rk1/4K3 b - -,f4f3
2k4r/pp1q1p1p/n1p2P2/1b4r1/8/QPB2P2/P1P1N1PP/1K3B1R w - -,e2g3
8/8/8/5kpp/5N1P/5PK1/r5P1/8 w - -,f4h5
8/3Q2qk/1p4pp/8/p1PbN3/6P1/P4PK1/8 w - -,d7a4
8/2p2p2/p1R4p/4pp1k/1P3P1P/2Pr2PK/8/8 w - -,c6f6
2r1kb1r/1b3ppp/p3p3/3pqPP1/np1N4/3PB1N1/PP2Q2P/1K1R3R w k -,f5e6
2r2rk1/pb2q1b1/1pnpp1pp/2p5/Q1P1n3/2N1PB1P/PP3PP1/R1BR2K1 w - -,f3e4
r1b1r1k1/q4pbp/2p2np1/p1p1p3/P1P1P3/BPN5/2Q1BPPP/R2R2K1 w - -,d1d6
r3rk2/1p1nbpp1/2p2nbp/pq6/N2P3B/PB2RN2/1P3PPP/3RQ1K1 w - -,f3d2
rr4k1/2p1nppp/2b5/2B5/5b2/p1P5/RPBN2PP/4R1K1 w - -,e1e7
5rk1/npq3pp/p3pr2/P1Np4/1P1PpP2/2P3P1/4Q2P/R4RK1 w - -,e2e3
8/8/6Bp/5p2/1p3P2/pPk3bP/P3K3/8 w - -,g6f5
2r1k2r/1pqbbp2/p3pnp1/4p2p/5PnP/1NN1B1Q1/PPP1B1P1/1K1R3R w k -,e2g4
8/8/p1kp2r1/3RP3/8/1KP5/P1P5/8 w - -,d5d6
4r1k1/p4pb1/1p2q2p/4r3/3p4/3B1QP1/P4P1P/2RR2K1 b - -,e6f6
8/5N2/1r2p3/5p2/3n3R/4k3/8/5K2 b - -,b6b1
2b2rk1/p5pp/1p1qpp2/1B1p4/3P4/P3P2P/1P2QPP1/R5K1 w - -,a1c1
r1b2rk1/1p3pp1/p4n1p/2B1p3/1n2P2N/1B1P4/PP4PP/R4RK1 b - -,b4d3
4rrk1/1p5p/p2pPp2/3P1P2/P1p3P1/2Nb3R/1P5K/R7 b - -,e8e7
5rk1/p1bq1ppp/b1n1p1n1/2R1P3/P2pR3/3P2P1/1r1BQPBP/4NNK1 b - -,c6e5
6k1/2p2pp1/8/1Pb4p/1P2r3/R3P1PP/P1r5/R5K1 w - -,b4c5
8/4k3/4Bp2/3Kp1p1/4P2p/1P3P2/3b2PP/8 b - -,d2e1
r1b2rk1/pp2ppbp/2n2np1/q7/2Q1P3/2N1BNP1/PP3PBP/R4RK1 b - -,c8e6
1r2rbk1/3b3p/6pP/p1pp2P1/nqPpP3/R2P2N1/1P3RB1/2BQ2K1 w - -,d1f3
2rr2k1/p4pq1/6p1/2pb2Q1/7R/1P1B4/P1P5/1K3R2 b - -,d8d6
r2q1rk1/pb1nppbp/3n2p1/R2p2B1/1P1P4/3BPN2/3N1PPP/1Q3RK1 b - -,f7f6
8/4qpk1/p4npp/1p2p3/1P2bP1N/2P3PP/P6K/3BQ3 w - -,h4g2
8/2n4R/pk2p3/1r6/6PK/1Q6/3q3P/8 w - -,b3g3
8/p1r1p2p/5kp1/4p3/PPNbPn1P/5R2/2P5/2K2B2 b - a3,h7h6
8/8/1nkPK3/8/6N1/8/8/8 w - -,g4e5
r1b1k2r/p2n2pp/1ppqpn2/3p1p2/2PP4/5NP1/PPQNPPBP/R4RK1 b kq -,e8g8
r1b2rk1/1pq2pp1/p3pn1p/8/1bPN4/5Q2/PP2BPPP/R1BR2K1 b - -,b4e7
8/p7/7k/7P/1P3RKP/2q5/8/8 w - -,f4e4
5r1k/8/8/4p2P/3pP1p1/R2Bb1P1/P7/7K b - -,f8f3
2qr2k1/5ppp/pr1ppb2/2p5/4P3/1P3Q2/P1P1BPPP/3R1RK1 b - -,a6a5
r1bq1r2/p5kp/2ppp1p1/2pn4/8/1PN2N2/P1PPQPPP/R3R1K1 b - -,e6e5
r5kr/1pp2p2/p1n1pQpp/3qP3/3P2PP/8/PPP1N3/2KR3R w - -,g4g5
r1bqrb1k/1pp3pp/p2p1n2/4n3/2P1PQ1P/1P1P1N2/PBN1B3/R3K2R b KQ -,f6g4
4r2k/1p3p2/1n1p4/p1p3pP/2P5/P3q3/1P6/K2Q2R1 w - -,g1f1
r4rk1/2qb1ppp/p2p4/3PB3/1p6/3B1Q2/PPP3PP/4RRK1 b - -,d6e5
8/5k2/p1qppr2/2p2p2/2P2P2/1P1Q3P/P5R1/6K1 w - -,d3g3
2r3k1/4q2n/5p1Q/3R4/2PBP3/5PP1/6K1/8 w - -,h6g6
3r4/pbr3k1/4p1p1/NBpn1p1p/Pp6/1PbPP1PP/2PNR3/3R2K1 b - -,b7a8
1B1r2k1/5pb1/p5p1/2pP3n/3n3q/2N4b/1P3PP1/R2QRBK1 w - -,b8g3
rn3rk1/pb3p1p/1p2pnp1/2b1NqB1/2B2P1Q/2N5/PP4PP/2R2RK1 w - -,g1h1
8/6kp/2B1pp2/5p2/7P/3q2P1/5R1K/5R2 w - -,c6g2
r5k1/5p1p/2NB2p1/2pnR1P1/8/7P/5P2/6K1 b - -,d5f4
6k1/7p/1p1pR1p1/p2P4/2bP2P1/6KP/Pr4B1/8 w - -,e6d6
5q1k/1pp1r1p1/3p3p/p7/2P2P2/P7/1P4QP/6RK w - -,g1f1
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPPQPPP/RNB1K2R w KQkq -,c2c3:e1g1
4r1k1/5ppp/p1p2b2/8/N1P5/1P6/P1n2PPP/3RBK2 w - -,e1c3
5rk1/1prbbppp/p3p3/3N2P1/8/4B3/PPP1BP1P/2KR3R b - -,e6d5
8/8/3p1k2/p1pP4/B2n4/8/P1pK4/8 b - -,f6e5
6k1/5p2/4p3/7p/3P1R1P/6p1/Prr2PP1/3R2K1 w - -,d1f1
1r6/2r1ppk1/1p1q2n1/1QpPbBp1/1p2P2p/P4PP1/2R2BKP/2R5 w - -,a3b4
br4k1/p3qp1p/P2bp1p1/2p1N2r/3P4/1B4P1/1PP1QP1P/R3R1K1 w - -,e2g4
r3k1nr/pp1nbpp1/1qp1p2p/3p4/3P1P1B/1P1QPN2/P1P3PP/RN2K2R w KQkq -,e1g1
r1b2rk1/pp1q1pbp/6p1/2p2P2/3p4/1Q1P2P1/PP2P1BP/R1B2RK1 b - -,d7e7
2q1rk2/1b3pb1/3p4/3Pp1R1/2p1B1P1/r1PP1QP1/5PK1/7R b - -,f7f6
2r1r1k1/pq3pp1/n6p/Q3N3/N1p1n3/5PP1/P3P2P/2R1R1K1 b - -,e4d6
r2q1r1k/pp2bppp/2npbn2/2p1p3/P1B1P3/2NP3P/1PP2PPN/R1BQ1RK1 w - -,f2f4
4b1k1/5pp1/4pq1p/1p6/3b2B1/PQ2p2P/1P1R1PP1/2r2NK1 w - -,d2d1
rn3rk1/pbp1q1pp/1p2p3/5n2/1bPP1B2/2N2PP1/PP1QN2P/R3KB1R w KQ -,f1g2
1r2qr1k/1p4pp/pNnp4/3Npbb1/P1B5/R1P5/1P3PPP/3Q1RK1 w - -,c4e2
5r2/2p3k1/p3p3/1b1p2p1/1P1P4/2P2N1P/6P1/R5K1 b - -,g7f6
r3k2r/4pp1p/pq1p2pQ/1b1Pn3/1p1N1PP1/7P/PPP5/1K1R1B1R b kq -,e5c4
5rk1/4ppbp/p2q2p1/Pr1n4/Rp1P3Q/5N2/1P3PPP/2B1R1K1 w - -,c1h6
6k1/pp1rp1bp/q3p1p1/nR6/P3PBP1/2P2N1P/Q4PK1/1R1r4 w - -,b1d1
r2qk2r/ppp2p2/3pbn1p/2b1p1p1/2N1P3/3P1NBP/PPP2PP1/R2QK2R w KQkq -,c4e3
r1b1kb1r/1pq2ppp/p2ppn2/8/3QP3/2N3P1/PPP2PBP/R1B1R1K1 b kq -,e6e5
r1b1k2r/p1qpppbp/2p2np1/4P3/2N2P2/2P5/PP4PP/R1BQKB1R b KQkq -,f6d5
r6r/5Pp1/p4n2/1pk1p1p1/8/4NP2/PP4PP/4KB1R w K b6,e3f5
2r2rk1/1b1nbppp/p2pp3/q7/2nNPP2/2N3P1/PP2QBBP/3R1RK1 w - -,d1c1
5rk1/p3npbp/q1npp1p1/5P2/3PP1P1/4BQ1P/Pr2N1B1/R4RK1 w - -,f5f6
r3k2r/2p2pbp/p2p2p1/1b1P4/3p1B2/1B6/1PPK1PPP/R6R b kq -,e8d7
2kr3r/2pn1ppp/pp2b3/2p5/4PB2/1N6/PPPR1PPP/R5K1 w - -,a1d1
r2q1rk1/ppp2pp1/1n3b1p/5b2/1P6/1BPP4/P4PPP/RNBQR1K1 w - -,d3d4
5rk1/3rnpb1/pB4pp/3pP3/PP6/5N1P/5PP1/2R1R1K1 b - -,f8e8
3r1rk1/1bqnbppp/pp1p1n2/3Pp3/P4PP1/2N1B2P/1PP1N1B1/R2QR1K1 b - -,e5f4
8/pr2kp1R/2p2r2/1n1pN3/1P1P4/4PP2/4K3/R7 w - -,e2d3
2r2k2/7R/2NK4/6p1/8/8/8/8 b - -,f8g8
r3k2r/1p1bqp2/2pb2pp/p1p1p2n/P3PP2/2NPB1PP/1PPN1Q2/R3K2R b KQkq -,e5f4
r3r1k1/2qn1pb1/1np3p1/R2pPpPp/3P1P2/1P2B2P/1NPQ2B1/5RK1 b - -,a8a5
1b1r1rk1/pp3ppp/2n1p3/5q2/1P1P4/P3QNP1/1B3P1P/2R2RK1 w - -,c1c5
