r7/p3Nk1p/8/3Q4/3p4/PP5P/5KP1/1q6 b - -,f7e7
r2q1rk1/pbp1bppp/1pn1pn2/8/3P4/P1NBBN2/1PP1QPPP/2KR3R w - -,h2h4
6k1/1b1n1p2/p3p2p/1p2n1p1/3RPB2/P4P2/1P4PP/1B4K1 w - g6,f4e5
2r1r1k1/1b3ppp/p3qn2/1Pp1b3/4P3/2NB1PP1/1P1BQ2P/2RR2K1 b - -,c5c4
2rr1nk1/p5p1/1p2ppq1/6Pp/2nPP2P/P4NQ1/4RP1K/2B1R3 b - -,b6b5
rnbqk2r/1p3pb1/p2p3p/2pP2p1/P7/2N1P1P1/1P1N1PP1/R2QKB1R b KQkq -,b8d7
1qr3k1/2b2p1p/1pb1pp2/2p5/2P5/PQN1PB1P/3R1PP1/7K b - -,c8d8
rnbqnk1r/pp3pbp/3p2p1/2pP4/Q3PB2/2N2N2/PP3PPP/2R1KB1R b K -,b8d7
3r1rk1/ppp2ppp/2q5/6b1/3N4/2P2PP1/PP2QB1P/4RK2 b - -,c6d7
3b4/8/8/k1p3pB/2P1Kp1p/7P/8/8 b - -,a5b4
r1b2k1r/1pq2p2/2p2n1p/p1b1p1p1/2B1Pn2/P1P2NNP/1P1Q1PP1/R1BR2K1 b - -,f4h5
1r1q1rk1/2p2p2/1n1p2p1/pB1Pp1bp/P1P1P3/5Q1P/5PP1/R1B1R1K1 w - -,c4c5
8/5p2/4kP2/4P1K1/5PR1/8/8/5r2 b - -,f1h1
r3kq2/1b1pn3/p3p1pB/8/1p2P3/1BP1Q1P1/PP2K1P1/8 w q -,h6f8
r4rk1/4pp1p/3p2p1/2pP4/2n5/qPN4P/P1QB1PP1/R5K1 w - -,b3c4
2Rr2k1/5pp1/1p2rb2/p2p3p/P2P2q1/B3P1P1/2Q2P1P/2R2K2 b - -,d8c8
8/4k1pp/2R1p3/1p6/7n/2P4P/1P3P2/4K3 w - -,c6b6
rn1qk2r/pbp1bppp/1p2pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w kq -,d1a4:f3e5:b1c3
3B2k1/pp6/4P2p/2p3p1/P3K1R1/8/3r2PP/8 b - -,d2d8
r2qkr2/pp1nb1p1/2p2n2/3p2Np/3P1B1P/2N1P3/PP3P2/R2QK1R1 w Q -,g5e6
3q2k1/p1rr1pnp/2p1p1p1/2R1Q1P1/3P1P2/P7/1P2B2P/3R2K1 b - f3,g7f5
r4rk1/1b1nppbp/pp1p1np1/2p5/3P1B2/RPP1PN1P/1P1NBPP1/R5K1 b - -,b6b5
r1b2rk1/2p1qpbp/1p1p1np1/pP6/1PPPp3/4P2P/3NBPPB/RQ3RK1 b - b3,c8b7
1r4k1/p4p1p/6p1/R7/8/3PbBPb/P5NP/5K2 w - -,f1e2
1r2k3/p2q1pr1/8/1pQP1p2/4pP1p/P2R3P/1P1N2P1/1K5R b - -,e4d3
r3k2r/p4pp1/2p3np/2B1bp2/2P5/8/PPK1NP1P/3R2R1 w kq -,f2f4
r3k2r/1p1qbppp/2n1p3/p2pP3/3P4/P4N2/1P1B1PPP/R2QR1K1 w kq a6,f3g5
8/4b1pp/2k5/3p2P1/P1nB3P/2NbPP2/1r2NK2/4R3 w - -,d4g7
r1bq1rk1/4npbp/p3p1p1/1pp5/4pP2/1BPP4/PP3QPP/R1BN1R1K w - -,d3e4
7r/2r1b3/1n2p1k1/p1p1Pp2/PpP2p2/1N2B1P1/4P1K1/R1R5 w - -,g3f4
rnbq1rk1/pp3pp1/5n1p/2bp4/8/2NB1N1P/PPP2PP1/R1BQ1RK1 b - -,b8c6
5k2/5p1p/1R4p1/pp3p2/2rK4/8/PP3PPP/8 w - -,d4e5
rn1qkb1r/1p2pppp/p1p2n2/3p3b/2PP4/1Q2PN1P/PP1N1PP1/R1B1KB1R b KQkq -,d8c7
6k1/1q2r2p/6p1/2bp1pP1/1p3P2/4P2R/1PPK2Q1/N7 w - -,g2e2
6k1/1nN1P2p/1P3r1p/5p2/6qP/5nP1/5BK1/R7 w - -,e7e8q
r3kr2/1p2q2p/2pb2p1/2np1p2/3QnP2/1P2P2P/1B1P1N2/1KNR2R1 w q -,f2e4
r6k/1R6/3Q1p1p/2p1p1q1/1pP1P3/1P4PP/5P2/6K1 b - -,a8g8
4r1k1/5pqp/p2P2p1/2Rn3r/1p2N3/PP4PP/5Q1K/4R3 b - -,f7f5
r1bq1r2/p1nnppbk/1p1p2pp/2pP4/P3P3/2N1BN2/1PPQBPPP/R3R1K1 w - -,e2f1
7r/pp6/2n1kPp1/7p/6P1/5N2/PP3P1P/1K1R4 w - h6,g4g5
4B3/8/7p/6pP/3npk2/8/5P2/5K2 b - -,e4e3
r2qk2r/1pp3bp/2npbnp1/5p2/1PP1p3/2N1P3/2QPBPPP/1RB1NRK1 b kq -,e8g8
5rk1/1p2p2p/P2r2p1/2K5/2P2pQ1/1R6/3q1PPP/5B1R b - -,d2a5
r4rk1/p3ppbp/Bpb3p1/8/8/BPP3P1/4PP1P/R2R2K1 w - -,a3e7
8/2pr2p1/1p1pk2p/1P1R4/5P1P/5K2/8/8 w - -,f3e4
1r4k1/2pqnpbp/2n1p1p1/r1Pp4/p2P1PP1/2N1B3/2Q2PBP/R2R2K1 w - -,a1a4
2r3k1/4q3/3p2pp/2pPbp2/1r6/2N5/1P2R1PP/R1BQ2K1 w - f6,g2g3
5r2/8/3pp2p/1pk1p1pP/p5P1/P1PR1P2/KP1R4/4r3 b - -,d6d5
8/p3k3/1pp1rppp/8/2P3PP/1P6/P4K2/5R2 b - -,f6f5
r1bq1rk1/pp3pbn/2pp2p1/8/2P1PNPp/3PB2P/PP1Q2B1/R3K2R b KQ -,a8b8
5r2/p4P1k/6bp/2P5/8/PB2p2P/6P1/5RK1 b - -,h7g7
8/pkn2ppp/1p1b4/2p5/P7/4BP1P/5K2/1R6 b - -,b7c6
8/R2rkp2/p5p1/7p/7P/P2K2P1/5P2/8 w - -,a7d7
2b2b1r/rpNn1k2/p6p/3Rn3/4N1p1/6B1/PP3PPP/R5K1 b - -,e5c6
rn2kb1r/pp2n1p1/1qp1b2p/2Pp1p2/3Pp2B/4PP2/PP1N2PP/RNQ1KB1R b KQkq -,b6d8
8/1p2kp2/3np3/p1r5/P4RP1/1B1K4/2P5/8 b - -,c5g5
8/2rb1ppp/1R6/N2B1pk1/3P4/7P/3r1PP1/4R1K1 w - -,a5b3
r2r2k1/6pp/q3bp2/2Q1p3/3nP3/NP2B2P/P4PP1/2R1R1K1 w - -,e3d4
8/5k1p/p2p4/3p4/PP1R4/2K4r/8/8 w - -,c3b2
r1bq1rk1/p3bppp/1pn1p3/2p5/4R2P/3P1NP1/PPP2PB1/R1BQ2K1 b - h3,c8b7
rnb1kb1r/4pp1p/2p3p1/qp1p4/P2P3B/2P1PN2/3Q1PPP/R3KB1R b KQkq -,f8g7
8/5p2/r4kp1/1R5p/4P3/5PK1/8/8 b - -,f6g7
2rq1rk1/pp2npbp/6p1/2Rp2B1/3P4/1P3B1P/P4PP1/3Q1RK1 b - -,f7f6
2r5/4k3/3pB1Pp/3P3P/1p2p1b1/1P3p2/2P2R2/2K5 b - -,g4e6
3Rrk2/8/p4BK1/2p4p/8/6P1/8/8 w - -,d8e8
3r1rk1/1p2qp1p/p2b1np1/3pn3/P2N4/1P2P2P/1B2QPP1/R2R1NK1 b - a3,f8e8
rn2k2r/pp3pN1/2p4p/q2n4/3P1B2/2PQ4/P1P3PP/R4RK1 b kq -,e8f8
rq3rk1/1b1nbpp1/3ppn1p/pN6/P3PP1B/1N1B4/1P2Q1PP/R4R1K w - -,h4e1
6k1/5p1p/p5p1/4r3/1P5P/P3Q3/8/5RK1 b - -,e5e3
2q1r1k1/1pn2pb1/r2p2p1/2pP2Bp/n1P5/PR6/2NQBPPP/5RK1 b - -,a6b6
2r1k2r/2qnb1p1/p4p2/1p1bpP1p/7B/PN1BQ2P/1PP3P1/1K1R3R b k -,c7b7
5k2/R7/3p2p1/8/p4P2/PbK3P1/8/8 w - -,a7d7
8/6k1/1P4P1/K5p1/8/8/P6p/8 w - -,b6b7
r1bqkbnr/pp1n1ppp/2p1p3/3pP3/3P1P2/4B3/PPP3PP/RN1QKBNR w KQkq -,g1f3
r1b2rk1/ppp1qppp/2npp3/8/2PPn3/2B2NP1/PPQ1PPBP/R4RK1 b - -,e4c3
8/1pq3kp/p1p2pp1/2P5/1P3P1P/P5Q1/6PK/8 b - -,h7h5
8/8/5p2/1p3r2/5Np1/k3K1P1/1p6/1R6 w - -,f4d3
r3bn1k/r3nR1p/3p2p1/p1pPp3/2P1P2P/1P1BB3/3Q1P1K/R7 b - -,e8f7
2r3k1/5p2/p2R3p/4p1p1/P4P2/7b/1PPK3P/6R1 b - -,h3f5
8/R7/7p/3nk3/4pP2/7P/P4P2/r3NK2 b - -,d5f4
r3kr2/1pq2pp1/2pbpn1p/p3N2P/3P4/1R6/PPPBQPP1/2KR4 w q a6,a2a4
r1b1kb1r/1pq2ppp/p1n1p3/3n4/8/1N6/PPP1BPPP/RNBQ1RK1 w kq -,c2c4
