8/8/6p1/5p1p/R4N2/1kb1P1P1/5PKP/8 b - -,b3a4
k2rr3/1p4p1/p4q2/3p1p2/P2Qn2p/1P5P/N5P1/1KRR4 w - -,a2b4
rn1q1rk1/pp4bp/2b2pp1/2pnp3/8/1P1P1NP1/PBP2PBP/RN1Q1RK1 b - -,b8d7
rnb1kb1r/pp2pp1p/1q4p1/2pp2P1/3P4/2P1P3/PP1N1PP1/R2QKBNR w KQkq -,d1c2
4r3/5k2/4p3/3bBppp/8/2P5/rP3RPP/4R1K1 w - -,e1c1
8/4k1np/3p1bp1/2pP1p2/B1P2PP1/5K1P/8/4B3 b - -,f6d4
3r4/2n2rbk/p5R1/1pB3Q1/1Pp2p1P/2P1R3/P2q2P1/6K1 w - -,e3f3
7k/1p2q1p1/p6p/3Q4/8/8/PP3P2/5K2 w - -,a2a3
b7/3r1pk1/p2N3p/1p2P1p1/3K1P2/2R3P1/PP5P/8 w - -,c3c8
8/5r2/4k3/R7/4n1K1/8/8/8 w - -,a5a6
r4rk1/p2bq3/3p3p/Q1pPn1p1/2P1p3/4P1B1/3N1PPP/1R3RK1 b - -,d7f5
rnbq1rk1/pp2ppbp/2p3p1/3p4/2PPn3/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,d1b3:c4d5
8/1B6/4b3/8/5p1p/5P1K/4k3/8 w - -,h3h4
8/8/5bk1/1PR4n/3P3p/2P2P2/1R5K/4r3 w - -,b5b6
3r2k1/5pp1/7p/8/1p2n1bP/1N6/1P1pN1P1/3R2K1 w - -,b3d4
r2q1rk1/1p3pbp/p1pnpnp1/P5B1/3P2P1/4PN1P/1PQ2PB1/R2R2K1 b - -,d8c7
r1bqkb1r/pppp1p1p/2n2np1/4p3/3PP3/P1N2N2/1PP2PPP/R1BQKB1R b KQkq d3,e5d4
5rk1/1b1n1ppp/p3pn2/1p6/1b1P1B2/6P1/PPrNPPBP/R3NRK1 b - -,c2b2
1k1r3r/1p3ppp/p2qnn2/3p3b/8/1NP2N1P/PP2BPP1/R2QR1K1 w - -,f3d4
2k3r1/8/3b2r1/1pp1p2R/pPb1P3/P4P2/5KP1/2BRN3 b - -,c5b4
2r3k1/p4p2/1p1Rpqp1/7p/2rR3P/2P1Q1P1/PP3P2/6K1 w - -,d4d2
r5k1/1p3pp1/p1nr1q1p/1Q1p1b2/2pP4/2P1PN2/PR3PPP/2K2B1R w - -,b5b6
rnb1kb1r/pp2pppp/1qp2n2/3p4/3P1B2/4P3/PPP2PPP/RNQ1KBNR w KQkq -,f1d3
r3k2r/1bq2p2/pb1p2np/4p1pn/1pP1P3/1N1BN2P/PPQ2PPB/3RK2R b Kkq -,g6h4
r1bqkbnr/ppp2ppp/2np4/8/2B1P3/2N2N2/PP3PPP/R1BQK2R b KQkq -,c8e6
6k1/n3q3/1p1rPp1p/p5pP/Pn6/1Q3N2/1P3PP1/3R2K1 w - -,d1d6
6k1/5pp1/2R5/3Pp2p/4P2P/6P1/r6r/3R2K1 b - -,a2g2
r1bq1rk1/pp1n2bp/6p1/3pp2n/3PN3/1P3NP1/P1Q2PBP/R1BR2K1 w - -,e4c3
rnb1k2r/1p2bpp1/pq1ppn1p/8/3NPP1B/2NB4/PPP3PP/R2QK2R w KQkq -,d4b3
2B5/1p6/p2k4/3p2P1/3P4/1P2n3/P4K2/8 b - -,e3c2
1r3rk1/4p2p/p5p1/2PRbp2/8/2N3P1/PP3P1P/2R3K1 b - -,e5c3
r4rk1/pbp1bppp/1p1q1n2/8/1PBPp3/P3P3/1BQ2PPP/R3R1K1 b - -,f6g4
4R3/5k2/8/p7/2P5/1K6/P2rp2P/8 w - -,e8e4
r4rk1/pp2q1bp/3p4/2p1p1p1/2P1Pp2/P2P1PP1/1P1B2KP/R2Q1R2 w - -,g3g4
r2q1rk1/1pp1b1pp/1n2bp2/pP2p3/3n4/P1NP2P1/3NPPBP/1RBQ1RK1 b - -,d8c8:a5a4:b6d5:c7c6
b2r4/5p1k/p2N3p/1p2P1p1/5P2/2R1K1P1/PP5P/8 b - -,d8d7
8/5pk1/2B1p1p1/1b2P3/7p/4R2P/6PK/8 b - -,b5c6
6k1/R4p1p/p5p1/3b4/8/1r6/n3BPPP/4N1K1 w - -,a7a6
2r1r1k1/1p3pb1/pBq2np1/P1Nn3p/4p3/1P4PP/3R1PBK/3QR3 w - -,c5e4
r1bqk2r/pp4pp/2n1pn2/2bp1p2/2P5/1P3NP1/PB2PPBP/RN1Q1RK1 b kq c3,e8g8
8/1p3p2/4kbpp/p1p1p3/P1N1P3/2P3PP/1P3P2/5K2 b - -,f6d8
8/p1p3k1/5p2/2P2P2/2KRr1p1/8/PP6/4R3 b - -,e4e1
r2q1rk1/1p4bn/p2p2p1/2pPnb2/P3N2p/2N1BP1P/1P1QB1P1/R4RK1 b - -,e5f7
2brr3/p4qbk/1pn5/4p1pN/4PnP1/B1PPQ3/PP5N/3RRBK1 b - -,f4h5
r5k1/pp3R2/1n2n2p/1B1r2p1/8/1QB3P1/PP5P/7K b - -,g8f7
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP1B2/4P3/PP3PPP/RN1QKBNR w KQkq -,b1c3
2r1r1k1/pq1n2bp/2pB1pp1/8/N1b5/1P3N1P/P4PP1/2RQR1K1 w - -,e1e8
r2kr3/1pb2p1p/p3b3/2p1p3/P5P1/2PPN3/1P2BK1P/R6R b - -,d8c8
8/2R5/1rp5/5p1p/5k2/8/6K1/8 b - -,b6b2
6k1/5pp1/4p2p/4P3/5PP1/1pNn2KP/8/8 w - -,h3h4
8/2r3kp/2Pp2p1/N6n/8/5pP1/7P/4R1K1 w - -,e1b1
5rk1/r6p/p1p4q/2Ppbp2/P5p1/4PnP1/1BQ2PKP/1R3RN1 w - -,h2h4
8/7R/P7/1k6/8/r2pK2P/8/8 w - -,a6a7
r1b1kbnr/pp3ppp/2n1p3/q2pP3/3p4/P1P2N2/1P3PPP/RNBQKB1R w KQkq -,b2b4
1kr4r/1p1q2b1/pp1p3p/8/5B1P/5P1b/PPRQ4/1K5R w - -,d2d6
r1bqrnk1/1p3pb1/p4n1p/P2pp1p1/1P3P2/2NP2PN/3BP1BP/R1Q2RK1 b - f3,g5g4
8/5pk1/6p1/R5p1/8/6PP/P4PK1/r7 w - -,g2f3
8/5p1p/4pkp1/8/p1pN4/5PP1/n2K3P/8 w - -,d4c6
6k1/p6p/8/2p5/2P1bp2/1PP5/P5P1/4KN2 w - -,e1f2
r1bqk2r/p2pppbp/2p2np1/8/3NP3/8/PPP2PPP/RNBQR1K1 b kq -,e8g8
b3n3/3nkppp/4p3/8/2NNP3/4KP2/6PP/3B4 b - -,e8c7
r2q1rk1/pp2bppp/4pn2/4N2b/1n1P1B2/2N4P/PP1QBPP1/R2R2K1 b - -,h5e2
r4bk1/1p1n1p2/2p2npp/p2p4/P2P1BP1/2PB1PNP/1P6/4R1K1 b - -,a8e8
2rr2k1/pn4pp/8/2ppNp2/5P2/P3P3/1P4PP/2RR2K1 w - -,g2g4
r6r/1pknb1pp/5p2/p2Bp3/P5P1/4P3/1PPNK2P/6RR w - -,d2e4
rnb2rk1/ppp1bppp/3p1n2/8/3N4/2NP4/PPP1BPPP/R1B1K2R w KQ -,e1g1
rnb1kb1r/4qppp/p2p1n2/1ppP4/P3PB2/3B1N2/1P3PPP/RN1QK2R b KQkq -,f6d5
8/8/2R3k1/6p1/4KpP1/Pr6/1P6/8 b - -,g6g7
4r1k1/4bppp/p3pn2/Bp1q4/3P4/5N2/PPQ2PPP/2R3K1 w - -,a2a3
r1r3k1/1p1bnpp1/1q5p/pP1pb3/3N4/PQ2P3/1B2BPPP/R1R3K1 w - -,d4f3
2b3k1/p3b1pp/q3pn2/3pN1N1/1p1Q4/1P1P2PB/P1r2P1P/5RK1 w - -,d4f4
2r2nk1/1p3n1p/1Pp5/N1Pp1p2/P2P3N/6pP/6K1/4R3 b - -,f5f4
1r3r2/2qbn1k1/7R/pp2ppP1/2p4Q/3PB3/PNP3B1/R5K1 b - -,f8h8
rnbqk2r/ppp1bppp/4pn2/3p4/2PP1B2/4P3/PP3PPP/RN1QKBNR w KQkq -,g1f3
r3k2r/1bqnbppp/ppNpp3/6P1/4P2P/2N1BP2/PPPQ4/2KR1B1R b kq -,b7c6
2r1r1k1/bb2pp2/p5p1/B2PN3/1P1n4/3R2P1/5PB1/4R1K1 b - -,c8c2
8/Rq4k1/3p1pp1/2pPpP2/2Q1P1P1/2B2n2/1rK5/8 w - -,c3b2
7r/4kp1p/2p1pp2/1p5b/1B2q3/P5P1/1P3K1P/2R2B1R b - -,e7d7
8/8/6B1/8/8/nk6/1p1K4/8 b - -,a3c4
q4n1k/5Qpp/3N4/1p1Pp3/8/7P/5PP1/6K1 b - -,g7g6
6r1/3k1p2/1p3B1p/1n2PP2/p1p5/2P1RK2/7P/8 b - -,a4a3
r2q1r2/1npbbp1k/p2p1npp/3Pp3/pPP1P3/5N1P/2BN1PP1/R1BQR1K1 w - -,c4c5
8/2k1p2p/1p2P1pP/4Kb2/1P3P2/8/8/3B4 w - -,d1a4
1r6/p1q2rbk/1n3ppp/N1p1pn2/8/Q1PP1NP1/PP3PBP/2BR2K1 w - -,d3d4
4rrk1/1q2bpp1/p2p1n2/4pPp1/1p2P3/3P1Q2/PP1BN2P/2R2R1K w - -,d2g5
