8/8/8/7R/4K3/1r6/3B2p1/7k b - -,h1g1
3r4/p1k1q3/1p3r1p/2p4Q/2Pp4/1P2p3/P1P1R1P1/3R2K1 w - -,a2a4
br6/pBk2p2/2P1p3/6N1/8/PR4b1/4K3/8 b - -,g3f4
r1b1kb1r/ppqp1ppp/4p2P/2p1n3/4N3/1P6/PBPP1PP1/R2QKB1R b KQkq -,h8g8
8/8/2pkn3/4rBp1/4P3/2K5/8/6R1 b - -,d6e7
r3kbnr/1bq2ppp/p1npp3/1pp2P2/4P3/2NP1N2/PPP3PP/R1BBQRK1 b kq -,c6e5
4r3/2qn1pkp/4p1pn/3pP1N1/2r2PPN/P6P/P1p5/4RRQK w - -,f4f5
2q2rk1/1br1bppp/p2pp3/1p2n1PP/3NP3/4BP2/PPP1NQ2/1KR3R1 w - -,b2b3
r1bqr1kb/1p3p1p/p1p2npP/2Pp4/3P1B2/2NpPN1P/PP3P2/R2Q1RK1 w - -,g1g2
8/r3k2p/PR1p4/R3p3/2r1P1p1/2p2P2/2K3PP/8 w - -,b6b7
2kr1b1r/pppq1pp1/2n1b2p/4p3/4P3/5NP1/PPP2PBP/R1BQR1K1 w - -,c1e3
1k6/1p3p1p/p5p1/4Pp2/5P2/P2r2PP/1PR2K2/8 b - -,h7h5
3k2rr/3qbp2/2p1p1p1/1p1pP2p/pPnP1P1P/P1P1B1PB/4R3/R1Q3K1 w - -,g1f2
2rr4/1p4kp/pq1ppnp1/5b2/2P2P2/1PN2B2/P3Q1PP/3RR2K b - -,h7h5
2r1n1k1/1r1q1pbp/4p1p1/R2pP3/3N1P2/1P2B3/2PQ2PP/R5K1 b - -,g7f8
r2qkb1r/pb1ppp1p/1p3np1/8/2PQP3/2N3P1/PP3P1P/R1B1KB1R w KQkq -,f1g2
r1b2rk1/ppqpbppp/2n1pn2/8/4PP2/1NNBB3/PPP3PP/R2Q1RK1 b - f3,d7d6
r2qk2r/1pp2pp1/p1npbn1p/2b1p3/4P3/1BPP1NN1/PP3PPP/R1BQK2R b KQkq -,c5a7
5rrk/4q1n1/1N1p4/3Pp1bp/1N2P3/2B2P2/2Q2P2/2R2K2 w - -,c3d2
r1bqkb1r/pp2pppp/2n2n2/3p4/3P1B2/5N2/PPP2PPP/RN1QKB1R w KQkq -,c2c3:b1c3
2r2rk1/2qn1p1p/p3p1p1/1p1b4/3N1P2/P2B3Q/1PP3PP/4RR1K b - -,d5c4
r3r1k1/3bqpp1/p2p1nnp/2pP4/8/2NBP1B1/P4PPP/2RQ1RK1 w - -,d1e2
r4rk1/1pq2ppp/p3b3/4p2n/4P2Q/2PBB3/P1P3PP/R4R1K b - -,h5f4
rq1n2k1/pp2bppp/8/8/Q4P2/4B3/PP3PBP/1KR5 w - -,a4e8
r1br2k1/pp2bppp/4pn2/7q/1n1P4/2N2N1P/PP2QPP1/RBBR2K1 b - -,b7b6
r3b3/p4k2/p1r1pppp/3p4/P2P1PPP/1PR2N2/2PK4/R7 b - -,c6c3
r3r1k1/1pqn1ppp/p1p1pb2/8/2PPQ3/1P1R1N2/PB3PPP/3R2K1 b - -,g7g6
bq1n1b2/p3r1k1/6pp/1PP2p2/3Pp2P/1Q2P1P1/4B3/R4NK1 b - -,g6g5
b7/8/5k1p/1B6/1N1r4/P5Pp/1P3K1P/8 w - -,b4d3
r3k2r/pp2q1pp/5p2/3pn2b/3Q4/5N1P/PPP2PP1/R3R1K1 w kq -,f3e5
rnbqk2r/ppp2ppp/4pn2/3p4/2PP4/P1P3P1/4PP1P/R1BQKBNR b KQkq -,e8g8
2n5/p4pk1/4r1p1/7p/PR3B1P/1P2P3/2r2P2/3R2K1 b - -,e6e7
r1bqk2r/1p3ppp/p1np1n2/4p3/4PP2/1NNBQ3/PPP3PP/R3K2R w KQkq -,e1c1
r2q1rk1/pp2bppp/2n2n2/2Pp4/6b1/1PN1PN2/PB2BPPP/R2QK2R b KQ -,e7c5
rnbqkb1r/4pppp/p2p1n2/1p6/P2NP3/2N1B3/1PP2PPP/R2QKB1R b KQkq a3,b5b4
1b3r1k/6np/6p1/8/2Q1N3/P3q2P/1PP3P1/5R1K b - -,f8f1
r3r1k1/5ppp/2p1q3/ppp5/2P1PP2/1PQ3PP/P5K1/4RR2 b - -,a5a4
8/5p1k/6p1/5r1p/5q2/3Q3P/6P1/3R2K1 w - -,d3d4
r3k2r/1p2Pp1p/p1q3p1/2P2n2/1p2NQ2/8/P4PPP/2R2RK1 b kq -,e8e7
r1bq1rk1/2pnn1bp/3p2p1/B2Ppp2/2P1P3/2N5/3NBPPP/R2Q1RK1 b - -,c8a6
r2q1rk1/pp1nppbp/3p1np1/2pP4/4PB2/2N2B2/PPPQ1PPP/R4RK1 b - -,f6e8
rr6/pp1bkp2/n2p1np1/RN1Pp2p/2P1P2P/1P3BP1/3NP3/R5K1 w - -,a5a6
3r1r2/1p3pbk/p1n1p1pp/4P3/3P1B1P/8/PPB1RPP1/3R2K1 b - -,d8d4
R7/6k1/4p1p1/P3P2p/r4P1P/4K3/8/8 b - -,g7f7
4r1k1/p4pp1/3Q1n1p/q1p5/P2pb3/1P1B2NP/2P2PPK/3R4 b - -,e4d3
2r2qrk/1pn2p1p/p2p2nP/2pPpNR1/P1P1P3/1PN2P2/3Q4/2K3R1 w - -,a4a5
6rk/7p/p7/3pP3/1p2qQB1/5R1P/PP2b3/7K w - -,f4f6
6k1/1p4pp/3p4/1b1N4/4Pq1b/8/PPQ2P2/R4K1R w - -,f1g1
8/p7/1b4k1/4Pp1p/3p4/1B3PK1/P1r5/8 b - -,d4d3
r1b2rk1/p1q1pp1p/2p3p1/3n4/3Q4/2N2P2/PPP3PP/2KR1B1R w - -,h2h4
3r1rk1/p4ppp/1p1P1n2/2p5/2P3P1/4Pq1P/PQ3P1B/2R1K1R1 w - -,h2e5
r2qk2r/pb1nbpp1/1p1ppn1p/8/3P3B/2PB1N2/PP1N1PPP/R2Q1RK1 w kq -,d1e2:f1e1
q3r2k/6bp/6p1/2p5/P1Np4/1P1R1P2/6PP/3Q2K1 b - -,e8e6
r1bqk2r/pppnnpb1/3p2pp/4p3/2PPP3/2N1BN2/PP2BPPP/R2QK2R b KQkq -,f7f5
rq1b1rk1/1b2nppp/3p1n2/p3pP2/N1P1P3/4BB2/1P1N1RPP/R2Q3K b - -,b7c6
r3k1nr/pp1n1pp1/1qp1p2p/3p4/3P1P1N/1P1QP3/P1P3PP/RN3RK1 b kq -,g8e7
5r2/3n1pkp/p2N1n2/bp3Pp1/3B2P1/PB1R3P/4r3/2R3K1 w - -,g1f1
1k5r/2p2q2/1p1p1p2/pP1PnPpp/P3P3/1P4RP/4BK2/3Q4 w - -,g3g2
6k1/5p2/8/p1bPN1p1/8/8/PPK5/8 w - -,c2d3
2r1kb1r/2qn1pp1/p2p3p/1p1Bp3/4PP1P/3Q4/PPPB2P1/2KR1R2 b k -,f8e7
8/8/8/3k4/1N2p3/r7/3K4/8 b - -,d5e5
2r2rk1/p2qppbp/1p4p1/1R1P2B1/P3P3/5Q2/5PPP/1R4K1 w - -,a4a5
r2q1rk1/pp1bppbp/2np1np1/8/3NP1P1/2N1BP2/PPPQB2P/R3K2R b KQ g3,a8c8:c6d4:d8a5
8/2B1k3/5b2/5b1p/5P2/p4K1P/B7/8 w - -,c7a5
r4rk1/1pp2pp1/2nqbn1p/p7/1bPp4/1P1P1NPP/P2B1P2/RN1QRBK1 w - a6,a2a3
6r1/kp6/1n2R1PB/1P6/P2P4/1K5P/8/8 b - -,b6d5
2r3k1/5pb1/6p1/8/4P1P1/3N4/2P4p/3KQ1qR b - -,g1g4
1r6/3pkppp/3Np3/1p6/4P1n1/6P1/PP3PKP/3R4 w - -,b2b3
r1bqkb1r/pp3p1p/1n1Pp1p1/4n1N1/3p4/1BP3Q1/PP3PPP/RNB1K2R b KQkq -,e5c4
6k1/q4pp1/5r1p/p1nBQ3/1pP2P2/1P4P1/6KP/3R4 b - -,a7b6
8/6pp/4kn2/3p1p2/2pP1P2/1pP1PK1P/r5P1/1R2B3 b - -,f6e4
5rk1/5ppp/5r2/P3p1q1/1Q6/2P2P2/3R2PP/3R1BK1 w - -,d2d8
8/8/4p1k1/4q1pp/4P3/5r1P/6Q1/4R2K b - -,e5f4
r2qkb1r/pp1npppp/5n2/3p1bB1/3P4/1Q2PP2/PP1N2PP/R3KBNR b KQkq -,d8b6
rq3rk1/1b2bppp/pp6/2np4/6Q1/1P1BP3/PB1N1PPP/R2R2K1 b - -,g7g6
r1b1k2r/2q1bppp/pp1ppn2/4n3/P3P3/2N1B1PP/1PP1NPB1/R2Q1RK1 w kq -,b2b3
8/8/5k2/p1b5/P3BP1p/1P3K1P/8/8 w - -,f3g4
5r2/2p5/B2p4/3P2kp/PPR2pn1/8/8/6K1 w - -,c4c7
r1b2rk1/1pn2pbp/p5p1/3QP3/1q6/1P2BN2/1P3PPP/R3RBK1 w - -,d5c5
3r2rk/1pq2pbp/2p5/4pP1n/p1B1Pn2/P3BP1P/1PP2Q1K/5NR1 b - -,c7e7
5n1k/R4Qpp/8/4p1q1/8/2P2P2/1P4PP/6K1 b - -,g5c1
2rqr1k1/4bppp/pp1B4/3pP3/P1PPp3/1P6/4Q1PP/R4RK1 w - -,e2f2
r4rk1/2p2ppp/1pnbqn2/p3p3/P1b1P2N/2P3PP/1PQN1PB1/R1B1R1K1 b - -,c4a6
rn1qr1k1/p1n3bp/2p1p1p1/Pp3p2/2QP4/2N1P3/1B1N1PPP/R1R3K1 w - -,c4b3
1r3rk1/p4pp1/1qp1b2p/4P3/2p1N3/Q1P5/P4PPP/R2R2K1 b - -,e6d5
