8/PN6/1n4k1/4p1p1/3p2P1/3P1K2/8/8 b - -,g6f6
r1bqk2r/pp1n1ppp/2pbpn2/3p4/2PP4/1Q3NP1/PP2PPBP/RNB1K2R w KQkq -,e1g1
2r2rk1/pp1bp1bp/2np2p1/q2N1n2/2P5/PP6/2N1BPPP/1RBQ1RK1 w - -,c1d2
r1bk1b1r/p4ppp/2p1p3/N2n4/2p5/4B1P1/PP2PP1P/RN3RK1 w - -,a5c6
r1bqr1k1/ppp2pp1/2n4p/4P3/2Pp4/5NP1/PP1QPPBP/3R1RK1 b - -,c6e5
r1bqr1k1/ppbn1ppp/2p1pn2/8/2BP4/P1N1P1N1/1PQ2PPP/R1BR2K1 b - -,b7b5
2kr3r/1pp2pp1/p1np2nq/3N4/4PP1p/1N5P/PPP3P1/1K1RRQ2 b - -,c6e7
2R5/5p1k/p3b2p/P5p1/1b1B4/7P/6P1/7K w - -,c8c6
8/p6p/4k3/5RP1/2R3P1/7P/1r4r1/5K2 w - -,c4c6
8/4n3/2k1pp2/1p4p1/1P1PK1P1/5P2/8/4B3 b - -,e7d5
8/3kbp1r/3p1p2/3PpP2/pq2N3/2R2Q2/K5PP/8 w - -,h2h3
5knr/ppr1b1p1/2p2p2/5P1p/2B5/1PN5/P1P3PP/1K1R3R w - -,d1d3
rnbqk1nr/pp2ppbp/2p3p1/3pP3/3P4/2N1B3/PPP2PPP/R2QKBNR b KQkq -,d8b6:f7f6:c6c5
8/1pR5/8/p4pp1/1r3k1p/1P6/1PP2KPP/8 b - -,b7b6
2r2k1r/pp4p1/1q2bp2/5p1p/2pP1Q1P/2P2NP1/5P2/R3R1K1 b - -,f8f7
r5k1/bppq1p1b/2n2n1p/pN1p2p1/2PP4/1P2rPPP/PB3NBK/R2Q1R2 w - -,c4d5
r4rk1/pp2q1pp/n1p1p3/8/1PQ1PP2/P1N3P1/7P/R4RK1 w - -,e4e5
1r2r1k1/4ppbp/2pp1np1/q7/p2BPP2/P1N5/1PP1Q1PP/3R1RK1 w - -,e4e5
r1r5/1p3pk1/1P1p2p1/p2P2b1/P3p1Pp/1R1B3P/2P2P2/5KR1 w - -,d3e4
3r1rk1/1ppqb1pp/2n1bp2/p1p1p3/P1N1P1PN/2PPB2P/1P2QP2/3RK2R b K -,e6c4
r3q2k/1ppb2pp/p1np2n1/4prB1/B2P4/2P2N2/PP3PPP/R2Q1RK1 w - -,d1d2
3qkn1r/4b1pp/r1n1p3/pp1pP3/2pP1N2/1PP2N2/P5PP/R1BQ1RK1 w k -,a2a4
4K3/6bk/3B2pp/5r2/4Q3/7P/8/8 w - -,e4d3
r5r1/3k1p2/4p3/1p1p1n1R/2n2B2/3B2P1/1PP3PK/5R2 b - -,c4d6
8/pk6/5p2/3P3r/3K1P2/8/P6p/7R b - -,b7c7
6k1/6p1/5p2/7b/2R4P/1P1NKP2/8/7r w - -,b3b4
5rrk/pp5p/3p4/1bpPpPNq/7P/4R1P1/1P1Q1R2/6K1 w - -,f5f6
r1bq1rk1/pp2bppp/2n1p3/8/3p4/2P1BNP1/P3PPBP/R2Q1RK1 w - -,c3d4
8/ppk2p1r/2p5/P1bp2P1/4bPQN/5RK1/1q6/5R2 b - -,a7a6
rr1q2k1/3nppbp/b2p2p1/2pP4/8/nNN3P1/PP1QPPBP/R1B1R1K1 b - -,a3b5
r1k4r/pppn1ppp/4bn2/2b5/3NPB2/2N5/PPP3PP/2KR1B1R b - -,f6g4
5rk1/R1R2p2/4pbpp/8/3P4/3KPN2/6rP/8 w - -,c7b7
r1r5/2PR1ppk/p1Q1pq2/1p5p/8/1P2PP2/P5P1/3R2K1 w - -,d1d4
8/1p1k3p/p1n1p1p1/2P4P/P3KPPB/8/8/8 b - -,d7e8
3n4/3P3p/1P2k1p1/4p1P1/1Bp1K2P/8/1P6/8 w - -,b4c3
r4rk1/pb1nqpp1/2pb1n1p/1p2p3/3PP3/2NB1N1P/PPQ2PP1/R1BR2K1 w - -,c1e3
N2q1r1k/pp1b2b1/3p2P1/2p5/3nP1p1/3P1pP1/PP3PB1/R2QR1K1 w - -,a1c1
2rr2k1/1q2bppp/pp2pn2/4N3/n2P1P2/4B1N1/1P2Q1PP/2R2R1K w - -,f4f5
5r1k/1b1pq1pp/pp2pp2/2r1n3/P2NP2P/2N3R1/1P2QPP1/3R2K1 w - -,f2f4
r2q1rk1/1b1n1ppp/1pp2n2/p2p4/P2P4/bPN1PN2/2Q1BPPP/R4RK1 w - -,a1a3
2r2rk1/5ppp/R7/2nPp3/1pp5/6P1/1PQ3BP/3n2K1 w - -,a6c6
8/p2b1pk1/2pb4/3p1pPp/7P/PB3P2/1PPrN3/1K2R3 b - -,d6c5
q3nrk1/6bp/2bPppp1/2Q1P3/2N5/P1BB4/5RPP/7K w - -,h1g1
2kr1b1r/ppp2p1p/q1n2np1/1R2p3/3P2b1/P1NQBNP1/2P2PBP/1R4K1 w - -,f3g5
5b2/6kp/p5p1/4R3/8/PP3RPP/2n2PK1/3r4 w - -,f3c3
rn1qk2r/pbppnppp/1p2p3/4P3/1bP5/2N2N2/PP1P1PPP/R1BQKB1R w KQkq -,d2d4
6k1/p2pr1pp/1p2r3/3Qp2q/2P4P/P5P1/1P3PK1/4RR2 b - -,g7g6
R7/5nk1/N5pp/1p6/2b5/2P1KB2/8/r7 b - -,f7e5
2b2rk1/2n1q1bp/p2p2p1/2pPnp2/1r6/2N1P1BP/RP1N1PP1/3QRBK1 w - -,f2f4
2R3k1/p3bpp1/4p1p1/3nP3/6N1/5r2/5P1P/1B5K b - -,g8h7
8/1k6/2p4R/2P5/1P6/5r2/PBK5/8 w - -,a2a4
8/4k3/3p2K1/3Pp3/n3P3/P7/8/5N2 b - -,a4c3
8/4kp1p/3p2p1/2n5/P7/1B5P/5KP1/8 w - -,b3c2
2r3k1/5ppp/p3pq2/1pB5/3Q2n1/5b2/P1PR3P/4RK2 b - -,f3d5
4rbk1/1q3pp1/5n1p/2p2b2/1PB1p3/2P1BP1P/4Q1P1/R3R1K1 w - -,f3f4
r4rk1/1p3ppp/p1qpb3/8/P2Q4/3R4/1PP2PPP/R1B3K1 b - -,e6f5
r1b3rk/1pRn4/p3p3/3p1p1p/1P1P1Ppq/N2NP3/P1Q3PP/2R2nK1 w - -,c1f1
3rr1k1/bp3pp1/p5P1/1P1qp3/P1n1N3/2P5/6QP/R1B2R1K b - -,f7g6
Rb6/3k4/3p4/8/1KPB4/6r1/P7/8 w - -,a8b8
r2q1rk1/p1p2pp1/1p1bp2p/3bN3/1nBP4/6B1/PPP1QPPP/1K1R3R w - -,h1e1
r7/p3r3/1pk2p2/2p2bp1/4n1p1/P3R1P1/1PP1P1NP/2K2R2 b - -,f5h7
r2q1rk1/1p3ppp/2pb1n2/p1np4/5P2/1PN1PB2/PBQP2PP/4RRK1 b - -,f8e8
8/8/8/4p1k1/5p2/1R3P1K/5r2/8 b - -,f2e2
1r3n2/8/3p3p/pPpP1kpB/2P2p2/P6P/6P1/4R1K1 w - -,e1e8
2r1rnk1/2q2p1p/p2p2p1/5PP1/1n5Q/1Nb1B2R/1PP3RP/6K1 w - -,b2c3
r2q1rk1/2pn2pp/p2pb3/1p2bpP1/4P2P/2N1BP2/PPPQ4/2KR1B1R w - f6,f1h3
r3k1nr/1p4pp/p2bp3/1p6/4P3/2N5/PP1B1PPP/R3K2R b KQkq -,g8f6
Q7/5ppk/1p5p/1b6/3N4/4P3/1r1q1PPP/5RK1 w - -,a8e4
4N3/2r5/p5pk/8/5pK1/7P/6P1/8 w - -,e8c7
3q1rn1/5pbk/rp5p/4pbp1/2Pp4/PR1P1NP1/4NPBP/2Q2RK1 w - -,c1b2
2rr2k1/p5p1/1p2pnPp/4Nq1P/2p1bP1Q/2P5/P1P5/2BR1RK1 w - -,e5f7
3r2k1/pbq1r1pp/3bpp2/2p5/7R/2P5/PP1BQPPP/3RN1K1 w - -,c3c4
8/8/p5R1/1p1k3p/1Pn1p2P/P2p2P1/6P1/3K4 w - -,g6a6
rn1q1rk1/1pp2pbp/p2pbnp1/8/P3P3/2NQ1N2/1PP1BPPP/R1B2RK1 w - -,f3d4
r4Bk1/1pp3p1/5p1p/1P2p3/4P3/6P1/3R1P1P/6K1 b - -,a8f8
rn1qkb1r/p4p1p/1p1p1p2/1N1bp3/2P5/8/PP2PPPP/R2QKB1R w KQkq -,d1d5
r1bq1rk1/pp3ppp/2n1pb2/3n4/3P4/1BN2N2/PP3PPP/R1BQR1K1 b - -,b7b6
3k1KQq/8/4p3/8/8/6P1/7P/8 b - -,h8g8
r5k1/5p1p/1p1B4/4Pb2/5P1b/P1RNK3/7P/8 w - -,c3b3
3k4/3n1p2/3p2p1/1Pp1p3/1nP1P1NP/5B2/3K4/8 w - -,g4h6
6K1/8/5k1P/5Bp1/6P1/2b5/8/8 b - -,f6e7
8/1p1n4/p1p3p1/2P5/PKP4P/3Bk1B1/8/8 b - -,e3d3
2rq1rk1/1p1bbp1p/p3p1p1/3pP2n/5P2/1N1PBN2/PP2Q1PP/R4RK1 w - -,g2g4
1rbqk2r/4npbp/2npp1p1/ppp5/4P1N1/P2P2P1/1PP1NPBP/R1BQ1RK1 b k -,h7h5
2r2r2/4ppkn/6p1/p1pPq1Pp/PpP1P3/1P2Q1RP/3N4/5RK1 w - -,g1g2
1r1qr1k1/p1pnbppp/6b1/2pP4/2B5/2N2QP1/PP3P1P/R1B1R1K1 b - -,e7f6
