8/1p6/2p2kp1/PBP2b1p/5K1P/8/5P2/8 w - -,b5f1
Q4bk1/5p2/2N1rnp1/B1pq3p/4n3/4R1PP/PP3PB1/6K1 b - -,d5c6
r4k1r/1B3pp1/p4n2/2q4p/3b1Bb1/6Q1/PP4PP/3RR2K b - -,a8d8
8/8/p7/1p3kp1/8/P3R1P1/r7/6K1 w - -,g1f1
1b2r3/1P1R1p2/2B1pk2/1K4pp/4P3/5PP1/7P/8 w - -,b5b6
2r2rk1/pb1nqppp/1pp1pn2/3p4/2PP4/1PN2NP1/P1Q1PPBP/R2R2K1 w - -,e2e4
8/1pk1pp1p/1p1r2p1/8/1R4P1/1P1KP3/5P1P/8 w - -,d3c3
4rr1k/6qp/p3B3/1pbP4/8/6R1/1PP3Q1/1K5R b - -,g7c7
r4rk1/1b1p1p1p/1q3np1/pN1P4/RpP1pP2/1P2P1P1/3Q2BP/5RK1 w - -,d2d4
8/5pk1/N4p2/P3p2p/1P1bP3/8/2K3PP/8 b - b3,f6f5
2k5/1p2q3/p3p3/2P5/2p2pPr/8/PP2Q1R1/R5K1 b - -,e7c5
r2qkb1r/pp3ppp/2n1p3/2ppP3/5Pb1/2PP1N2/P1P1B1PP/R1BQ1RK1 b kq -,f8e7
r4r2/p2n1pk1/1pp2bp1/4p3/3PP1q1/1QPRB1N1/P4PP1/4R1K1 b - -,f8h8
5k2/5pp1/1p1n4/8/P6P/1P6/K7/8 w - -,b3b4
r1bqk2r/2pp1ppp/p1n2n2/1pb1p3/4P3/1BP2N2/PP1P1PPP/RNBQ1RK1 b kq -,f6e4:d7d6
8/8/8/4K3/7R/4k3/2b5/8 b - -,e3d3
8/5B2/7p/2k1p3/Pn3p2/2K3P1/1P3P1P/8 b - -,b4c6
r1r3k1/1b2qpbp/pp1p1np1/2pP4/P1Q5/N5P1/1P2PPBP/R1B1R1K1 b - -,b6b5
1rbq1rk1/1p2npbp/3p2p1/2p1p3/1PPn4/2NPN1P1/4PPBP/1RBQK2R b K -,c5b4
6k1/3R1p1p/6p1/p1p1p3/P1P2b2/1P4q1/4Q3/6K1 w - -,e2g2
2q2nk1/1p3p1n/3p2p1/B1pN1PPp/b1P1r2P/5R2/PQ4B1/3R2K1 w - -,d1f1
r7/6k1/ppp2pp1/2pbr2p/2Nq2nP/2QPN3/PPP2PP1/R4RK1 b - -,g4e3
4r1k1/1p3pp1/p1p2np1/1q6/7P/P1P2BP1/1P1Q1PK1/3R4 w - -,b2b4
8/2R5/8/3r1p2/1p5P/5PP1/1kp1K3/8 w - -,h4h5
1n2rr2/2pq2bk/R3b1pp/1p2p3/3p3N/2PP4/1PBBQPPP/4R1K1 w - -,a6a5
8/8/6b1/8/8/1K1k4/5b2/5N2 b - -,g6f7
8/p2r4/1p4pk/n1n1B2p/P1p1P3/2P3P1/BP2K2P/5R2 w - -,a2b1
1r1qnrk1/1b4np/pN1p1bp1/P1pP4/5Pp1/R4B1P/1P2N3/2BQ1R1K w - -,h3g4
3r1rk1/pbpnqpb1/1p1ppnpp/8/2PP3B/P1N1PN1P/1P2BPP1/2RQ1RK1 w - -,b2b4
4q3/p4rkp/r1p1nbp1/1p1R1p2/4p3/1NP1P1P1/1P3P1P/1Q1R1BK1 w - -,d5d6
2q3k1/p2bbp1p/1p3np1/2p5/3NPBP1/P4P1P/1P2Q1B1/7K w - -,d4b5
r1bnq1k1/ppp3r1/3b1n1p/3Pp1p1/1P2Pp2/2N2P2/P2NBBPP/2RQ1RK1 w - -,c3b5
5Q2/p1kb4/4p1B1/3p4/2r4P/5P1K/4NqP1/7R w - -,e2g3
r1b1qr2/p1p3k1/1p1p1b2/3Pp1p1/2P1Pnp1/5P1P/PP1Q2BN/R1N1R1K1 w - -,f3g4
3r1rk1/p4pbp/2Rpqnp1/8/3P4/4B1PP/5PB1/Q3R1K1 w - -,a1a7
r1bqkbnr/pppp1p1p/2n5/6p1/2B1Pp2/5N2/PPPP2PP/RNBQK2R w KQkq g6,h2h4
r2q1rk1/1p1n1pbp/p1pnp1p1/P7/3P2P1/5N1P/1PQ1PPB1/R1BR2K1 w - -,c1g5
rnb1kb1r/2qp1ppp/p3p3/3nP3/Np1N1P2/3B4/PPP3PP/R1BQK2R w KQkq -,d3e4
4r3/pp3pkp/2pnbp2/8/3P1K2/1B2P2P/PP1N2P1/2R5 w - -,c1c5
r2qk2r/4bppp/p1bppn2/3N4/Pp2P3/1B6/1PP2PPP/R1BQR1K1 w kq -,d5e7
r1b2r2/3np2k/p2n4/3P2N1/1ppB1P2/7P/qPP1N3/2KR1BR1 b - -,h7h6
r1b2rk1/ppqnppb1/2p3pp/8/P2PB3/4BN1P/1PP2PP1/R2Q1RK1 b - -,d7f6
r2qk2r/pp2ppbp/1np1bnp1/8/2N5/1P3NP1/1BQPPPBP/R4RK1 b kq -,e8g8
r2r2k1/2q3bp/4p1p1/1p2n3/4P3/P1Pp2N1/P5PP/2BRQRK1 b - -,e5c4
2r5/1r4k1/1p1p2p1/1P1Npp2/2P1nP2/4P3/2R1K1P1/R7 b - -,e5f4
r4b2/2q2k1p/p1p1pnp1/1p2p1B1/Pn2P2P/6PB/1PP1QP2/3NR1K1 b - -,c7d6
r1bqk1nr/1p3pbp/p3p1p1/3pP3/3Q1P2/2N2N2/PPP3PP/R1B2RK1 b kq -,g8e7
r3rbk1/1p3p1p/1qpn1np1/p2pN2P/3P1BP1/3BPP2/PPQ5/R4R1K b - -,b6c7
r1bq1rk1/1p2bppp/p1nppn2/8/4P3/2N3PP/PPP1NPB1/R1BQ1RK1 w - -,g3g4
5r2/7k/p1qpr1p1/P1n2nBp/2N4P/2P1pP2/2Q3P1/1R3RK1 w - -,f1e1
r1q1r1k1/pp3ppp/5b2/8/4p3/2P3P1/PP1Q1PBP/R3R1K1 b - -,c8c7
3qrn2/p4bkp/1pp3p1/5p2/PP1P1p1P/2PB1P2/5QP1/1R3NK1 w - -,b1e1
2Q5/5pkp/p2P2p1/1b2p3/4P1B1/7P/3q1PPK/8 w - -,d6d7
r1bq1rk1/bp1p2pp/p1n1pp2/2P1n3/N3P3/5NB1/PPQ2PPP/2KR1B1R w - -,f3d4
8/8/1b5p/p4k2/p1b2Pp1/P5P1/1P3N1P/2B1K3 b - -,b6d4
2k1r3/pp6/2pr2p1/4qpP1/1P2p2Q/2P1P3/1P5R/5RK1 w - -,h4f2
1r4k1/1r3ppp/4p3/1PQ1P3/5P2/4K3/4B1PP/8 w - -,g2g4
r4rk1/pp2bppp/2p1p3/P6n/1nBP4/1PN1P2P/1B3PP1/R4RK1 b - -,h5f6
r1b2rk1/4q1pp/p6R/3pPp2/1p1NnP2/1P1B4/1PP4P/2KR2Q1 b - -,g7g6
6k1/6p1/2r5/pp2nq2/3p4/PP1P4/1Q1BKR2/8 b - -,f5f2
5B2/8/4pp2/4P3/2k2P2/8/1pK5/b7 b - -,f6f5
rn1qk2r/pp2bppp/2n1p3/2p1PbB1/2pP4/N4N2/PP2BPPP/R2Q1RK1 w kq -,g5e7
r3kb1r/3qnp2/2b1p1pp/pp1pP3/2nP1PP1/2PBNQ2/6NP/R1B2RK1 w kq -,f4f5
8/3k3n/p2P4/2R1p3/8/P7/5P2/5K2 b - -,d7d6
7k/1p2b2p/1p2Np2/n2B1Pp1/3N4/5P1P/PPK5/7r w - -,f3f4
8/3r1k1p/1p3P2/p1p1K1P1/P1P1P3/1P1p4/8/4R3 b - -,d3d2
8/p2b3p/3P1kp1/np1r1p2/8/P2B4/1P4PP/2N1R1K1 b - -,d5d6
r7/1p3kp1/p1nr3p/5p2/3Pp3/P3B1P1/1P3PKP/R4R2 w - -,f2f3
r4rk1/1p1bbppp/1qpp1n2/p1n5/P2NP3/2N2P2/BPP3PP/1RBQR2K b - -,a8d8
rnbqkbnr/3ppppp/p7/1pp5/4P3/1PN2N2/P1PP1PPP/R1BQKB1R b KQkq -,e7e6
2rrn1k1/pq3pbp/1pbp2p1/4p3/2P1P1P1/2N1BP2/PP1QB1KP/2R2R2 w - -,c3d5
1r1qk2r/p4ppp/2b5/3pn3/4p3/2N1P3/PP3PPP/R1BQ1RK1 w k -,b2b3
r1bq1rk1/p4nb1/1pp1pp1p/2p1P1p1/2P5/1N1P1NBP/PP1Q1PP1/R3R1K1 w - -,e5f6
1n6/5bpp/2k2p2/ppN1p3/1P2P3/P1K2P1P/4B1P1/8 b - -,c6b6
1q4k1/5b1p/p3p1p1/3p2b1/2pP1R2/2N1P2P/Pr4P1/1B1Q3K w - -,f4f3
rn1qkbnr/pp2pppp/2p5/3p4/4P3/2N2Q1P/PPPP1PP1/R1B1KB1R b KQkq -,g8f6:d5e4:e7e6:d5d4
3rr1k1/q4pbp/1pn3p1/2p1P3/p2n1P2/2N1B1PP/PP3QB1/3R1RK1 b - -,a4a3
r2r2k1/2q2pb1/2p1p1pp/p2n4/P2PN2P/1BP2QP1/5P2/2RR2K1 w - -,c3c4
8/8/5bk1/7n/4K3/8/8/8 w - -,e4d5
r4rk1/pb2q1pp/np1bpn2/2p2p2/1PP5/P1N2NP1/R3PPBP/2BQ1RK1 w - -,b4b5
r5k1/1p3r2/3p1bq1/3Pp3/4PnPp/6R1/P1Q4N/R3BB1K w - -,g3g1
8/7p/5pp1/2nP4/2k1PK2/6PP/2B5/8 w - -,e4e5
r1bq1rk1/4npbp/p2p2p1/npp5/3PP3/2N2N1P/PPB2PP1/R1BQ1RK1 w - c6,d4c5:f1e1:c1f4:c1g5:a2a4
8/1k6/3p4/2b1p2p/2P2p2/2B2P2/1PK4P/8 w - -,c2d3
6k1/5p1p/4p3/4P1p1/2R5/2P3P1/3r1P1P/5K2 b - -,d2c2
r1bq1rk1/p3bp1p/1pn1pnp1/6B1/3P4/P1NQ1N2/1P3PPP/RB2R1K1 w - -,b1a2
1r4k1/3r1ppp/Qp2p3/p3Pn2/8/P1B4P/1P3PPK/8 w - -,a6b5
