8/8/7k/8/3b2R1/6P1/2r1r3/5R1K w - -,g4h4
7r/8/p2kbpB1/1pRn2pp/3P4/5NPP/P4KP1/8 w - -,f3d2
rnb1qrk1/pp4b1/2Pppn1p/5p2/2P2Pp1/2N3P1/PP2PNBP/R1BQ1RK1 b - -,b8c6
r1R5/p4pk1/1p2b2p/4p3/4NP2/b3B3/P4RPP/6K1 b - -,a8c8
rn2k2r/pp3ppb/2p1pn1p/q6P/2BP1B2/6N1/PPP1QPP1/R3K2R w KQkq -,c2c3
6rk/2pqb1r1/bp1n4/pN1Pp3/P3PpP1/2N5/1PR2BP1/2RQ1K2 b - -,g7h7
4r1k1/pp1R1p1p/6p1/8/3Q4/5qPP/r4P1K/5R2 b - -,h7h5
r2r2k1/pp2ppb1/2n3pp/3n1b2/7B/1NP2N1P/PP3PP1/2KR1B1R w - -,f3d4
1R3bk1/p5r1/7q/2P1Q3/6p1/6K1/P4PP1/8 w - -,e5d5
5r2/2p1k1pp/2p5/P1N5/4P1b1/1P4P1/1K1R3P/8 w - -,b2c3
8/1kb5/3p2p1/p3p2p/2N1P2P/1P3QPK/8/2q5 w - -,h3h2
r1q2rk1/pp1b1pbp/2n3p1/2p1p3/3pPP2/3P2P1/PPPN2BP/R2Q1RNK w - e6,d1f3
3q1k1r/3bnpp1/4p2p/3pP2P/p1pP1QP1/2P2N2/2PKBP2/R7 w - -,f3h4
r2q1rk1/pb1pbpp1/1pn1p2p/7n/3P3B/2PB1N2/PP1N1PPP/R2QR1K1 w - -,h4e7
r5k1/1pp2ppp/1p6/5b2/B7/2P4P/PP3PP1/4RK2 w - -,a4b3
8/1pp4p/1p4p1/3kp3/PP6/2PPK2P/6P1/8 b - -,c7c5
b1r3k1/5pp1/6qp/8/1Q3P2/1N2P2P/P2R2P1/6K1 b - -,g8h7
8/5p1k/4p3/1R3r1p/1R6/P4p2/1P3K1r/8 w - -,f2f1
rn3rk1/pp2qp1p/2pbbppQ/8/3P4/2NBPN2/PP3PPP/R3K2R b KQ -,f8e8
3rr1k1/1qpn3p/1p4p1/p3pp2/2P1n3/BP4P1/P3PPBP/2QRR1K1 b - -,d7f6
8/P1R5/2K5/6p1/5kP1/8/8/r7 w - -,c6b7
rn1q1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP1NQPPP/R1B1K2R b KQ -,a7a6
r1b1kb1r/p3pppp/1qp5/2Pp4/4n3/5N2/PPP2PPP/RNBQ1RK1 b kq -,b6c5
rnbqkbnr/pp2pp1p/6p1/2p5/4p3/3P1NP1/PPP2P1P/RNBQKB1R w KQkq -,d3e4
4rr1k/pbp3pp/1p1np2q/P3bp2/1PB5/1Q2P3/R4PPP/2BR1NK1 w - -,c4e2
2r2k2/2r2qp1/1p2p2p/p4p2/2nPpPPQ/4P2N/1P2R2P/6RK w - -,g4g5
r3qrbk/1p2n1b1/p2p1n2/P2P1pp1/1PB1pP1p/1QN1P3/1B1N2PP/R2R2K1 w - -,d2f1
2rb1rk1/1p1q1ppp/pB1p1n2/3Pp3/PQ6/1B4P1/1PP2PKP/R3R3 w - -,b6a7
r1bqr1k1/p3bppp/2n1pn2/2pp4/2pP4/1P3NP1/PB1NPPBP/2RQ1RK1 w - -,b3c4
r1bqk2r/ppp2pp1/2np1n1p/2b1p3/2B1P3/2PP1N2/PP1N1PPP/R1BQ1RK1 b kq -,c5b6:e8g8
8/1b1rrpk1/p4qpp/1pR5/1P2p3/P3P1PQ/4NP1P/2R3K1 w - -,e2d4
8/6rk/3PR1pp/p1p4q/2PbQ2P/5RP1/5PK1/8 b - -,a5a4
3r2k1/p4r1p/1p3Pp1/1Nqp1pB1/8/3Q3P/PP4P1/n5K1 w - -,b5d4
2kr3r/p1p1qp2/2b1p2p/1pNnP2Q/2pPB3/2P5/P4PPP/3R1RK1 b - -,f7f5
r2r2k1/2q2pb1/1pp1b1pp/4p3/1P2Pn2/2N1B2P/2PN1PP1/R2R1QK1 w - -,d2c4
5bk1/Q7/4p2p/3b4/4pq2/8/2r2PPP/3R1NK1 w - -,d1b1
2b2r2/4NP1k/1q3n2/R5p1/8/3PN1QP/2P3BK/2b5 w - -,a5g5
2r1r3/1b1n2qk/pp1N2p1/2pP3p/P3P3/1PbB3P/4RP1B/3QR1K1 b - -,d7e5
2b5/8/5q2/1p5B/4Q3/2P3k1/2K5/8 w - -,e4e3
8/7R/3kb3/p3pp1p/1b1p4/1P1B1PP1/P3K3/8 b - -,b4c3
5rk1/1pQ2pp1/r7/5b1p/p2n1Bq1/2RB2P1/PP3P1P/R5K1 b - -,f5d3
rn1q1rk1/pp3ppp/2p1p3/5b2/Pb1PB3/4PN2/1P2QPPP/R1B2RK1 w - -,e4c2
1n1qkbnr/1b2pppp/8/1p6/2pPP3/8/1P3PPP/R1BQKBNR b Kkq -,e7e6
1n1q3r/1Rn1b1k1/2pNp2p/1pPpPpp1/1P1P4/1P4P1/Q4PBP/2B3K1 w - -,a2a5
r2q1rk1/pp2ppbp/3pbnp1/2P5/2B1P3/1NN1BP2/PP4PP/R2QK2R b KQ -,e6c4
5rk1/5pp1/P6p/3rp3/1p2B3/b1p1P3/2R2PPP/1R4K1 b - -,d5a5
2b3k1/2qnppbp/2p1n1p1/1pPp4/1P1P1PP1/2NBPN1P/1BQ5/6K1 w - -,b2c1
2r2rk1/pp1qppbp/nn1p2p1/3P4/1PPN4/PQ2B3/4NPPP/2R1K2R w K -,e1g1
1r3rk1/5pbp/1q4p1/8/RP1p2b1/6P1/1B1Q1P1P/3R1BK1 w - -,f1e2
r4rk1/3bbpp1/1q2p2p/3pPn1P/1ppP1B2/2P2NPB/1P1Q1P2/1R4KR w - -,h3f5
r1b5/pp2qr1k/3p1n1b/1N1P3p/4p1p1/4P2P/PP1QB1PB/2RR2K1 b - -,f6e8
r2nbk1r/1p2qppp/p2Np2n/3pP1NQ/3P4/2PB4/5PPP/R3R1K1 b - -,f7f5
5rk1/1R1R1p2/6p1/2p3Qp/2P1P3/7P/q4rPK/8 w - -,g5g6
r2r2k1/N4ppp/pn2p3/8/PP1N3b/2P1P3/4B1bP/R1K4R w - -,h1g1
1B1q4/5p2/k3p1b1/2pn2P1/1pNp2P1/pP1P4/P1P2K1Q/8 w - -,b8f4
2b3k1/4r3/pr1p1pp1/2pP3p/2P1PP2/RP3K1P/4RN2/8 w - -,e2e3
r4rk1/2p1ppbp/pn4p1/2q1P1N1/2p2P2/2Q5/P3B1PP/2BNK2R b K -,a8d8
r1bq1rk1/5pbp/pn4p1/1Ppp4/4P3/2N1BP2/PPnQ2PP/R2R1BK1 w - -,d2c2
1r1qkb1r/4nppp/p1p1p3/2PpP3/8/4BQ1P/PPP2PP1/RN3RK1 w k -,b1d2
2krr3/ppp2ppp/2n2qb1/3p1B2/P2P4/N1P2P2/1P2N1PP/R2Q1RK1 b - -,f6f5
rn1q1rk1/p3npbp/1p1p2p1/3Pp3/4P1b1/1Q2BNPP/PP3PB1/RN3RK1 b - -,g4f3
8/4kp1p/1P2p3/Q7/P1qp4/6P1/5PKP/8 b - -,d4d3
3q1k1r/pp1n1ppp/2p2n2/5P1b/3P1N2/2NB2QP/PPPK4/4r2R w - -,h1e1
rn1qk2r/pb1p1ppp/5n2/2pP4/1b6/2N1P1P1/1P2NPBP/R1BQK2R w KQkq -,e1g1
2r3k1/ppr1npp1/4p1p1/q2B4/3P2P1/2PQB2P/P4P2/2RR2K1 b - -,e7d5
8/6pk/8/8/3P4/4nR2/7P/1rB4K w - -,f3e3
2kN4/1p5n/2p1p2P/q5p1/2PP2Q1/pP6/P1K2r2/3R3R w - -,c2d3
rnbr2k1/pp3pbp/3B1np1/q1Pp4/4P3/2N2N2/PP1Q1PPP/R3KB1R w KQ -,e4e5
r3qrk1/1b3pbp/5np1/pPppN3/8/4PB2/PB3PPP/R2Q1RK1 w - -,a1b1
4rrk1/pp2n2b/5p2/5PpQ/3P4/1Npp4/P5PP/4R1K1 w - -,g2g4
8/4k2p/p3rpp1/1rBQ4/7P/7P/P4PK1/8 b - -,b5c5
r4rk1/p1p1qpbp/1p2p3/6p1/2P1Q3/6P1/PP2PP1P/2BR1RK1 w - -,d1d3
2kr3r/1pqn1b2/p1p1p1p1/2b1PpP1/5P2/P1P2QN1/1PBB4/2KR3R b - -,c5a7
r2qk2r/5pbp/p1npb3/1p1Npp1Q/4P3/N2B4/PPP2PPP/R4RK1 b kq -,f5f4:h7h6
rn1qkbnr/1p1b1pp1/p1p1p3/3pP1Pp/3P1P2/2N2N2/PPP4P/R1BQKB1R b KQkq -,g7g6
3rrq2/1bpn1pkp/pp2pnp1/4N3/2PP4/2N1Q2P/PP3PP1/3RRBK1 b - -,c7c5
8/1R3pp1/3Bp1k1/3n3p/8/6PK/2r2P2/8 w - -,f2f3
8/kpr5/p7/8/3RQP2/6PK/2q5/8 b - -,c7h7
8/8/4kpp1/4P3/4K2P/8/8/8 w - -,e5f6
r5k1/p4pp1/1p3n1p/3p4/2bP1N1B/Pr3P2/1PK3PP/R6R w - -,h4f6
8/4n1p1/8/1pN1k3/p5P1/5K2/PP3P2/8 w - -,f3e2
4r2k/1p5p/p2p4/6Q1/3q1P2/7P/P7/6RK b - -,d4e4
1R3bk1/8/5p1p/2r5/b4P2/Bp2R3/7P/6K1 b - -,b3b2
8/1p5p/p4pk1/8/5P2/8/PP1K1P1P/8 b - -,g6f5
8/8/8/7p/4pp2/3k3P/2r3P1/3R1K2 b - -,c2d2
