8/5p2/4kB2/4P3/6KP/5r2/8/8 b - -,f3f1
q4rk1/3b2bn/3p2p1/1NpPn3/8/4BPPp/1P1QBN1P/5RK1 w - -,b5d6
3rk2r/pb2b1pp/1p3p2/4p3/4P3/2B3P1/PP3PBP/R4RK1 w k -,f1e1
1r1q1rk1/5ppp/p1npb3/3Np3/1pP1P1PP/1P2P3/P3B3/R2QK2R b KQ -,e6d5
1rb1r1k1/2qnnN1p/pp1p2p1/2pPb3/P1P1PB2/2NB4/1P1Q2PP/R4RK1 w - -,f4e5
6k1/5p2/5P2/p4R2/P7/8/6rr/1R3K2 b - -,g2a2
4R3/p2r2pp/1p2k3/3npp2/8/1P2PPB1/4K1PP/8 b - -,d7e7
r1bqkbnr/pp3ppp/2n1p3/3pP3/3p4/P4N2/1PP2PPP/RNBQKB1R w KQkq -,f1d3
rnbq1rk1/pp2bppp/3p1n2/2p5/2P5/2N3P1/PPN1PPBP/R1BQK2R b KQ -,b8c6
r3k2r/1p3ppb/7p/p1bPp3/P7/6P1/1P1BP1BP/R4R1K b kq -,b7b6
8/2R2k1p/6n1/6K1/3r4/1P6/P6P/8 b - -,g6e7
8/pb1k1Q1P/2p1pb2/1p2q3/8/4P1P1/2B2P1K/8 b - -,d7c8
r4rk1/1bqnbppp/pp1ppn2/8/4PP2/1NNB1Q2/PPPB2PP/4RRK1 w - -,f3h3
2r3k1/5pp1/3r4/1Bn1p2p/2P1P2P/4BP2/6P1/1R4K1 b - -,c8c7
8/R7/1p1k1p1p/1Prp4/5P2/1K1n2P1/3N3P/8 w - -,a7h7
2r1r1k1/6p1/p4n1p/q3pR2/2P1p3/6P1/1B3P1P/2Q2RK1 b - -,e8e6
1r3rk1/p1q1p1bp/3p1np1/3P4/1p4P1/4BP2/PPPQ4/1K1R1B1R b - -,f8f7
r4rk1/1p3pp1/6p1/pBb1q3/Pn1p3P/1Q2PP2/1P1B1K2/2R4R w - -,e3e4
3rr1k1/2p2ppp/p2pnn2/1p3N2/4PqP1/1P3P2/PBP3KP/3RQR2 b - -,f6d7
r2r2k1/ppq2pp1/2n1b1np/4P3/8/1N3Q2/PB3PPP/R3RBK1 w - -,f3g3
r5k1/P7/7p/3K2p1/8/8/7P/R7 w - -,d5c6
8/1R6/P2p1kp1/4b3/3pP3/8/5PK1/r4B2 b - -,a1a3
2rk1r2/p2qp1bp/2pp1np1/8/4P3/1BN1B2P/PP2QPP1/R4RK1 b - -,f6h5
1rbq1rk1/1p3pbp/p2p1np1/2pPp3/2P1P1P1/1PN1BP2/1P1Q3P/R3KB1R b KQ g3,h7h5
r1bq1rk1/p2nbppp/1p2pn2/2p5/3P4/2PB1NN1/PP3PPP/R1BQR1K1 w - -,d1e2
8/2r5/8/bB6/P3k3/1K1N4/8/8 b - -,c7c3
1qr1r1k1/1b2ppbp/3p1np1/2p1n3/4P3/1PN1BPP1/P2QN1BP/2RR2K1 w - -,e2f4
r2q1rk1/p3ppbp/1nP2np1/2p5/2B5/2N5/PP3PPP/R1BQR1K1 w - -,d1d8
r3qrk1/1R1b2bp/2pp2p1/4pp1n/2P5/3PP1P1/4NPBP/2BQ1RK1 w - -,d1b3
8/1p6/1p1bkn2/3p1p1p/3P2p1/P3PPP1/1PrRN1K1/4B3 b - -,c2c6
r4rk1/p4ppp/4pn2/3bN3/Pp6/6P1/1P2PPBP/2R2RK1 b - -,f8c8
r2q4/5pbk/3p1npp/1NpP1b2/4rN2/PQ2B2P/1P3PP1/R4RK1 b - -,a8b8
8/5k1p/8/5p1p/8/6P1/4PPK1/8 w - -,g2f3
6B1/8/6pp/5b2/4k2P/6K1/8/8 w - -,g8b3
2b1r1k1/2r2ppp/p1pR4/2N1P3/1PP5/7P/P5P1/4R2K w - -,h1g1
2rqbrk1/1p3ppp/p2bp3/4N3/2P2P2/3P4/P2BQ1PP/2R2R1K w - -,d3d4
r1b2rk1/pp4pp/2n1Pq2/2p5/4Bb2/2PP1N2/P2N2PP/R2Q1RK1 b - -,c8e6
8/4kp2/8/pp1pKpP1/2p2P2/P1P5/1P6/8 w - -,e5d5
r3qrk1/p1p3pp/1pbp4/3n1p2/2BQ4/2B1P3/PP3PPP/R3K2R b KQ -,e8e5
r2q1rk1/ppp3p1/7p/3p2b1/2n5/2P1P1PP/PPN3B1/R1Q2RK1 b - -,f8f1
r1bq1rk1/ppp1n1bp/3p4/3Ppp1n/2P5/2N3N1/PPB2PPP/R1BQ1R1K b - -,h5g3
2b3k1/p3Bpbp/1p4p1/8/6qP/6P1/PP2QPB1/2R3K1 b - -,g4e2
r3k2r/3bbppp/2n1p3/ppn1P3/8/4NN2/PPBB1PPP/R2R2K1 w kq a6,a1c1
r4rk1/pppq2bp/2n3p1/5n2/3pNP2/3P1RP1/PPQ1N2K/R5B1 b - -,f5d6
8/8/R1k2p2/1pBp1Pn1/pP1P2P1/P5K1/8/r7 b - -,c6c7
r1r3k1/2q1bppp/ppb2n2/2p1p3/P1B1P3/2N2P2/1PPN1QPP/R2R3K w - -,d2f1
5r2/3r1pk1/6pp/1Q1pb3/3pP3/P2B4/1P3K1P/8 w - -,b5d7
8/4kp2/3R3P/4P3/7r/4K3/8/8 w - -,e3f3
r2q1rk1/pp2ppbp/3pbnp1/4n1B1/4P3/1NN2PP1/PPP2QBP/R4RK1 b - -,e5c4
8/5pk1/3p3p/1pbPp2P/4P3/2P5/3N1P2/5K2 b - -,g7f6
5r2/q2r1pbk/p1p1p1pp/1p2P3/2pP3P/2P1BRP1/PP5Q/1K3R2 b - -,a7c7
q5k1/5p1p/4pp2/prPp4/Qp1nP3/1P4P1/P4PBP/4R1K1 w - -,e4d5
4r1k1/5pp1/2q3bp/Rp1p4/3B4/2P3QP/1P3PP1/6K1 b - -,e8a8
1qrr2k1/p4ppp/3bpn2/2pbN3/1p1P4/1B2P3/PP2QPPP/2RRB1K1 w - -,b3d5
r5k1/5ppp/4p3/3pP3/b1r5/3N3P/PRP3P1/1R5K b - -,h7h5
r2q1rk1/pp1n1pp1/2p1p2p/4P1n1/P1BP4/2P2P2/2Q2PKP/R1BR4 b - -,d7b6
8/1p1k1p2/p2np3/3r4/PP3bP1/2B2P1K/2Q5/8 w - -,c2e2
4q2r/5pk1/p4N2/1p3B1b/2p5/Q7/PPP5/2K5 w - -,f6e8
8/6B1/7p/1R2p1p1/p2bPp2/P2P1PkP/2r3P1/3K4 b - -,c2g2
3b1r1k/2q2ppp/2n3n1/p3PN1P/B2B4/2P3Q1/Pr4P1/R3R1K1 b - -,c6d4
8/6k1/1R1p2p1/p2Bn3/2Pr4/P5K1/5P2/8 b - -,g6g5
8/8/8/p1k1bNpp/P7/1PpK1PPP/8/8 w - h6,g3g4
r2q1rk1/pp4bp/1n4b1/3pN1R1/3nP3/2N1B3/PP1QB1P1/2KR4 b - -,d4e2
r1b1k2r/ppqn1ppp/3bpn2/3p4/3P1P2/2PB1Q1N/PP1N2PP/R1B2RK1 b kq -,e8g8
r1bqkbnr/pp3p1p/2np2p1/2p1p3/2P1P3/2N2NP1/PP1P1P1P/R1BQKB1R w KQkq -,d2d3
1n1R4/pr4pp/1p3pk1/1Kp5/2P4P/P3N1P1/5P2/8 b - -,a7a6
r1b2rk1/p3qppp/2p5/3n4/3pN3/5N2/PP3PPP/R2Q1RK1 w - -,d1d4
1r1qr3/6pk/3pP1nn/1p1N3p/1Pp1Pp1b/2B2P2/P1K1B3/1RQ4R b - -,e8e6
6k1/4bp1p/np2p1pP/3pP3/3P2P1/1P1NB3/5PK1/8 w - -,e3d2
5bNQ/2q1kp2/2n1b2p/1r2p3/1p2P2P/p4P2/PPP5/1KR4R b - -,e7d6
3rr1k1/p4pp1/1p4p1/2pQ4/4n1P1/1P2PN1P/Pq3PK1/3R1R2 w - -,d5e4
2r5/1p1kbpp1/p3pnp1/3p4/3P4/1P1BPPP1/P1nBN2P/5RK1 w - -,f1c1
3rr1k1/p1q2p1p/2p5/1p2b1p1/2Q2R2/3P3P/PP2N1BK/6R1 w - b6,c4c6
8/Pk3p2/4pb2/1B2n1pp/N3P3/1P2BP2/r5PP/5K2 w - g6,h2h4
r5k1/2pp2pp/1p1npr2/p1q5/2PN1P2/1PPQ2P1/P6P/3RR1K1 b - -,a5a4
1rb2r2/p2q2bk/1p1pp1pp/2p2p2/P2nPP2/3PB1P1/1PPQNRBP/6RK w - -,b2b3
rn2k2r/pp2b1pp/2pqppb1/3nNP2/2B3P1/2N4P/PPPBQ3/2KRR3 w kq -,c4d5
r3k2r/ppp5/6p1/2n5/3KP1b1/2P2q2/P1Q2P2/R1BR4 b kq -,e8c8
3r1rk1/p2nqppp/3p4/2p1p3/1PP1b3/P1B1P3/3QBPPP/2RR2K1 b - -,d7b6
8/5kp1/ppr5/2p1RPP1/8/PPP5/4K3/8 w - -,e5d5
7k/4q1bp/p4np1/2p2b2/P2pN2B/1P1Q1B2/2P3PP/7K b - -,f5e4
8/6k1/Pq6/8/8/8/2K3B1/5Q2 b - -,b6c5
6k1/2p1q2p/1p4p1/p3pp2/2P1n3/1P4P1/P3PP1P/2QR2K1 w - -,c1e3
2b5/p3k1pp/1rp1p3/8/2R1N3/1P6/P4PPP/6K1 w - -,f2f4
