8/6pk/p2r4/P1R5/7P/5KP1/8/8 b - -,d6d3
r1bq1rk1/1pp2ppp/p2b1n2/4p3/3N4/4B1P1/PP2PPBP/RNQ2RK1 b - -,e5d4
2Q5/p2n2pk/1p2p3/4P2p/1B2Bpq1/6P1/P4P1P/5RK1 b - -,g7g6
8/6b1/1pb5/p2k3R/P7/3K4/8/8 b - -,d5e6
8/6p1/3p1p2/1k1PpP2/8/1n1K4/5B2/8 w - -,f2a7
r3kbnr/ppqnppp1/2p4p/7P/3P4/3Q1NN1/PPPB1PP1/R3K2R b KQkq -,g8f6:e7e6
r4rk1/1p2bpp1/p3pnp1/8/2pPnP1P/1PN3P1/1P2B3/R2RB1K1 w - -,c3e4
rnbqkb1r/pp3ppp/4p3/2pn4/3P4/1N3N2/PPP2PPP/R1BQKB1R b KQkq -,b8d7
r4b2/1B3p1k/4b2p/2PnB1p1/1P6/P5P1/5PP1/3RR1K1 b - -,a8d8
8/8/7k/p1R3p1/6N1/r3p2P/6K1/8 b - -,h6g6
1r3rk1/1q3ppp/p1np2n1/3N1R2/4P2b/1BB1Q3/1PP3PP/3R3K b - -,c6e5
6k1/p3b1pp/4p3/2pqP3/3P4/2P3P1/3N2QP/5K2 b - -,d5g2
2rq1rk1/5ppb/pn1b1n1p/1p1p1P2/3P4/PQ2PBN1/R3N1PP/2B2RK1 b - -,f8e8
4r1k1/1R5p/4n3/pP1B2P1/4R2P/5K2/Pr6/8 b - -,e8f8
8/pb5p/3pk1p1/RP6/2PKP2P/4N1r1/8/8 b - -,e6d7
2r3k1/7p/6p1/R1p1p3/8/P5PP/3r1P2/5RK1 w - -,f1c1
2N5/7p/1p3k2/4pp2/2B2p2/1P3K1P/P2r2P1/8 w - -,c8b6
8/3k4/5K2/5P2/8/8/4R3/6r1 b - -,g1g8
8/8/8/3K4/8/2R2p2/4k3/8 w - -,d5e4
8/P4Rp1/6kp/5p2/1P2p2n/1B3n2/4KP1P/2r5 w - -,b3d1
r1b1k2r/2q1bpp1/p3pn1p/n7/PpP1N3/1P1B1N2/4QPPP/R1B1R1K1 w kq -,c1b2
b4r1k/2R4p/6p1/1p1B4/4P3/4K3/1P4PP/8 b - -,a8d5
2r1k3/ppp2pp1/4pn2/6q1/1bBPPn2/2N1N3/PPPQ4/1K5R w k -,e4e5
r1b1k2r/1pqp1ppp/p1N1pn2/2b5/4P3/2N3P1/PPP2PBP/R1BQ1RK1 b kq -,d7c6
r4rk1/1pqbbppp/p2Np3/4P3/1P1B4/2P5/2P3PP/R2Q1RK1 b - -,f7f5
8/R4pk1/4n3/4P3/6K1/8/8/8 b - -,g7g6
r1bq1rk1/pp1n1pp1/5n2/3N2p1/1b1Pp3/6PN/PP2PPBP/2RQ1RK1 w - -,d5b4
r2q1rk1/2p1b1p1/1p1p4/p1nPp2p/2P1N1b1/1PN2PP1/P3Q1BP/1R3RK1 b - -,g4d7
r1bqkb1r/pp1ppp1p/2n2np1/8/2PN4/4P3/PP3PPP/RNBQKB1R w KQkq -,b1c3
2b5/1pp1qpk1/3p1n2/3Pr1p1/1PP1P1P1/2NB2R1/6Q1/6K1 b - -,c8d7
r1b1rnk1/p3q1pp/1npb1p2/8/Np1PBP2/5N1P/PPQ3PB/2KRR3 b - -,e7f7
r1b2rk1/p3n3/2p4p/1P1pqp2/2PQp1n1/2N3PN/P3BP1P/3RR1K1 b - -,e5d4
6k1/pBB1n1p1/7p/5p2/1b6/1P4P1/P6P/5K2 b - -,g8f7
r1b2rk1/pp3ppp/2n5/2pN2b1/8/6P1/PPP1NPBP/R4RK1 b - -,c8f5
r4rk1/p1n1ppbp/q2p1np1/2pP4/2N1P3/1P3N2/PBQ2PPP/R3R1K1 b - -,a8b8
r2q1rk1/pbpnbppp/1p3n2/3pN3/3P1B2/2NBP3/PP3PPP/R2Q1RK1 b - -,d7e5
8/1P3p2/2k3pp/8/8/2r5/1R4PP/6K1 b - -,c3c1
r4rk1/p1qnnppp/1pp5/3p4/3PbPPN/P1Q1B3/1PP1B2P/2KR1R2 b - -,a8c8
1R6/1P3pk1/8/6P1/5P2/8/4K3/1r6 w - -,f4f5
4r1k1/5pp1/6np/p2R1N2/1pP1P1P1/1P2Q3/q4PK1/8 w - -,g2g3
7r/3p1k2/p1b1p3/1p1nPpBq/5Pr1/P7/1PPQRKP1/3R1B2 b - -,h5h1
2rr2k1/1b3ppp/p2pp1n1/1p6/2N1PP2/P1P5/1PB1N1PP/3R1RK1 b - -,b5c4
r2q1rk1/pp1bb1pp/2nPp3/5p2/3P4/2PB1N2/P3QPPP/R1B2RK1 b - -,e7d6
3R4/4rp1p/1krNp1p1/pp2P3/5P2/3B4/6PP/6K1 w - -,d8b8
r1q3r1/5p2/1pk1pB2/p2pPn1P/2nP1N2/2PQ1P2/2P2K2/RR6 b - -,c6b7
8/3K4/5kB1/5p1P/5P2/1b4P1/8/8 b - -,b3d1
r2qrnk1/5p1p/p1b2np1/2pNp3/1pP1P3/1P1N2P1/P1Q2PBP/2R1R1K1 b - -,f6d7
r7/1R4b1/2R3pk/p4p1p/8/1P4P1/P4PK1/8 w - -,c6c7
8/8/p3r1p1/1p1k1p1p/2pP1P2/P1K2P1b/1PB4P/6R1 b - -,a6a5
r2qkb1r/pp3ppp/n1ppbn2/8/2PQP3/2N2PP1/PP2N1BP/R1B1K2R w KQkq -,e2f4
r4rk1/pp2pp1p/1qn1bbp1/8/3P4/1QN1PN2/PP3PPP/R3KB1R w KQ -,b3b6
8/6k1/3B1bpp/4p3/1p2P3/1P6/6PP/5K2 w - -,d6b4
8/1p2qkbp/3p2p1/Q1pP1p2/2P1rP2/1P4BP/P5P1/1R4K1 b - -,b7b6
2r2rk1/pp1qppb1/2np2pp/8/2P1P1nB/2N5/PP2NPPP/2RQ1RK1 b - -,d7d8
r3kn1r/1pqbB1pp/p1n1p3/3pPp1P/1P1p4/PN1B1N2/2P1QPP1/R3K2R b KQkq -,c6e7
4r2r/1p6/3p2kp/p1p3pN/PnPpP1P1/1q1P3R/1Q6/2K4R b - -,b3a4
8/p3kp1p/4p3/Pprn1pr1/2q5/2PR1QN1/3R3P/7K b - -,a7a6
8/1kp5/p7/1p6/4p3/P1R5/KPP2r2/8 b - -,b7b6
8/4N3/5pKp/7P/6k1/8/8/2b5 b - -,c1g5
r3r1k1/3b1p1p/pn1p4/2pPbP1p/4P3/2N2R2/1P1N2PP/R1B4K b - -,d7b5
5rk1/pbq2Npp/1p2p3/3p4/2P1pn2/1P4QP/PBB2PP1/4R2K b - -,f8f7
8/5p2/R2Pk3/P1p3p1/r6p/3K2PP/5P2/8 w - -,d3e2
r4r2/pp3p1k/4bbpp/3B4/8/1P4P1/1P3P1P/R1B1R1K1 w - -,d5e6
rnbqk2r/pp2bppp/4pn2/3P2B1/3N4/2N5/PP2PPPP/R2QKB1R b KQkq -,f6d5
rn1q1rk1/p3bppp/bp6/3pN3/2pPn3/4BNP1/PP2PPBP/R2Q1RK1 w - -,f3d2
8/8/4p1r1/1p1p1k2/p2P1p1p/P1P4P/1P3RP1/5K2 w - -,f2e2
8/p1p5/1p6/1P6/Pk3K1P/8/8/8 b - h3,b4a4
8/3nk3/2p3p1/6Pp/p1PK1p1P/P2N1P2/8/8 w - -,d3f4
1r6/3R1N2/4p1kp/4Pp2/3P4/7P/6PK/8 w - -,f7d8
5k2/p7/4bBP1/1p1n3p/3N4/KPP2P2/P3r3/3R4 b - -,b5b4
r2qkb1r/pp3ppp/2n1pn2/3p1b2/3P1B2/2N1PN2/PP3PPP/R2QKB1R w KQkq -,f1b5:f3e5:d1b3:a1c1:f1d3:f1e2
rn1q1rk1/pppbppbp/1n4p1/8/3PP3/2N1BN2/PPQ2PPP/R3KB1R b KQ -,d7g4
r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/4PP2/2NP1NP1/PPP4P/R1BQKB1R b KQkq -,g8e7
5n2/5P2/8/3pk1P1/pp6/8/6B1/1K6 w - -,b1b2
r1q1k2r/pp2bppp/3n1n2/3p4/3N4/3N1P2/PPP3PP/R1BQ1RK1 b kq -,e8g8
3b4/3b3k/5p2/1ppPpNnB/2p1P3/2P3K1/1P1N1P2/8 w - -,h5g4
4r1k1/1p1qp2p/6p1/1P2P3/2Pp3R/r2B2Pb/5R1P/3Q3K w - -,d3f1
8/1p3R2/4pp2/1r1bk1pR/6PP/8/2K5/8 w - -,h4g5
1r1q1nk1/3b3p/p2p2p1/1ppP4/2P2rP1/1P1B4/P1Q2N2/1K3R1R w - -,f2e4
8/1p1N2k1/p1p3p1/3p2p1/PP1P4/3Rnr1P/8/7K b - -,f3h3
r2qk2r/pp1bbppp/2n1pn2/1N1p4/4P3/2N1BP2/PPPQ2PP/R3KB1R w KQkq -,e4d5
r2qk1nr/pp3pbp/2n1b3/1Bpp1p2/8/2NP1N2/PPP3PP/R1BQ1RK1 b kq -,d8c7
r1b1k2r/1p2ppb1/p1np1np1/q1p4p/3PP2P/2N1BP2/PPPQN1P1/1K1R1B1R b kq -,c5d4
5R2/2p3rk/1p1p2q1/3P2b1/1PP1p2p/P2r3P/1R3QP1/5N1K w - -,b2e2
2r3k1/3qppbp/2n3p1/1p1n4/2pP4/2P1B1PP/1PN1QPBK/3R4 w - -,e3d2
