8/8/5K2/8/R7/3k1n2/8/8 w - -,f6e6
8/8/3kp1p1/1p2N2p/3K1P2/2P3P1/7P/1b6 w - -,h2h3
8/1R2Npk1/8/2r2p1p/5P2/6PP/4P1K1/b7 w - -,b7d7
5R2/p7/1p3P2/1P2k3/8/8/r7/4K3 b - -,e5e6
4r3/bkp5/p6r/6p1/2RPpp1p/4P3/P2N2PP/4R2K w - -,d2b3
r1b2rk1/ppqn1ppp/2pb1n2/3p2B1/3P4/P1NBP3/1P2NPPP/R2Q1RK1 w - -,g5f4
rn2kb1r/1bq2ppp/p2ppn2/1p6/4PP2/2NB1N2/PPP3PP/R1B1QRK1 b kq -,b8d7
2r3k1/p1r1pp1p/1p1N2p1/4p3/2P5/5P1P/P5PK/2RR4 b - -,e7d6
3r1rk1/p1p3np/1pB2b2/3pqpp1/1P6/P3PP2/R1Q3PP/2BR3K b - -,d5d4
1r6/2rbk1b1/B3n3/Rp2pppp/8/2P1BP1P/1P4P1/2NR2K1 b - -,g5g4
8/8/p4p2/3pk3/PP5r/2K2R1p/7P/8 w - -,f3g3
8/8/p1k5/1pp1Bp2/2P1b1p1/PPK3P1/8/8 b - -,e4g2
6k1/1p3pp1/p1q2n1p/5P2/8/P2B3P/2P3P1/4Q2K b - -,c6c5
r2q2k1/1p1n2bp/2p1p3/p2pP1P1/P2P2p1/2P5/1PB1Q3/R1B3K1 b - -,d7f8
5bk1/p6p/1p2q1p1/2p1p3/P2pP3/1P1P2QP/2PB2K1/8 b - -,a7a6
6k1/p2r3p/1pq2bp1/5p2/3p1B2/1Pr2PP1/P3P1KP/2RQR3 b - -,f6e7
8/5n2/3p4/2pP1Pk1/1p6/1P4K1/2B5/8 b - -,f7e5
1r1q1rk1/1p2bppp/p2p1n2/2p5/B1PpP3/3P1QNP/PP3PP1/2R2RK1 b - -,g7g6
r3kb2/1p3p1r/p1q1pB2/2p4p/8/2PP4/P1P1QRPP/5RK1 b q -,f8d6
2b5/pR3k2/2p2p2/2Pp2pp/8/3B3P/P1P1KPP1/8 b - -,c8b7
r4rk1/pb2qppp/1p6/2Ppn3/Q4B2/4P1P1/P4PBP/R4RK1 b - -,b6c5
4r1k1/pq1Rbp1p/bpp3p1/8/4P3/Q1Nn1P2/PP2N1PP/3R2K1 b - -,e7a3
r4rk1/pppq1ppp/3b1n2/n2Pp1N1/8/P1N5/1PPPQPPP/R1B1K2R b KQ -,b7b6
2rr2k1/1p3pb1/1R1pnnpp/2p1p3/2P1P3/2N1B2P/P3BPP1/3R2K1 w - -,d1d6
r2r4/3P1ppk/1p3n2/b3N2p/P3q1P1/NQ4KP/PB3P2/3R4 w - -,e5f7
5rk1/p5pp/bpp3r1/3p1p2/3P1P1q/4P2P/PPQR1PBK/4R3 b - -,f8f6
3rrnk1/3b1pNp/1pp3p1/8/PnB5/4P2P/1B3PP1/1R1R2K1 b - -,e8e4
2rr2k1/pq2npp1/2p4p/1pQ5/1P6/P3P1P1/1N1R1P1P/2R3K1 w - -,c1d1
rnbq1rk1/p1p1b1pp/1p2pn2/3P1p2/3P4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,e6d5
5k2/p4p2/2N1p3/1B6/P7/6P1/1r3nK1/8 w - -,c6a7
8/4rK2/8/1p1p4/2kP4/p1P2R2/8/8 w - -,f7e7
8/3R2k1/1p5p/8/p5PK/1r6/8/8 b - -,g7g8
1rbrn1k1/2q2pb1/p2pp1p1/4n1P1/3BP3/1NN4P/RPP2QB1/5RK1 b - -,e5c6
6r1/3nkp2/1Pn1q3/4p3/1PP1P3/4QP2/7r/R2RKB2 w - -,c4c5
2r1bk1r/4p1bp/1n4p1/1N1n4/3P4/1PN5/PB3PPP/R4RK1 b - -,d5c3
r2q1rk1/p2nbppp/bpp1pn2/3p4/2PP1B2/1P4P1/PN2PPBP/RN1Q1RK1 w - -,b1d2
r1bqkbnr/1p3p1p/p1n1p1p1/2pp4/4PP2/2NP1NP1/PPP3BP/R1BQK2R b KQkq -,f8g7
1r1q1rk1/1p5n/p3R2p/2pp2pQ/3p4/6P1/PPPN1PP1/R5K1 b - -,f8f6
2r2rk1/1p1n3p/p3p1p1/q2p1p2/1P1Pn3/N2BP2P/PQ3PP1/R1R3K1 b - -,a5b6
2rR4/2r2pkp/pp4p1/8/1P4P1/1P5P/2PR4/2K5 w - -,d8c8
2bn4/6k1/5pp1/p2Pp2r/1p2P3/5N1P/PP5K/2R2B2 b - -,c8g4
2r2rk1/pbq3bp/6p1/1N1p2B1/8/2P5/PP1Q2PP/2KR3R b - -,c7b6
r5k1/pp4pp/8/2Pp1b2/4q3/4B3/PPP2QPP/5RK1 b - -,f5g6
rnbqr1k1/pp3pb1/3ppnpp/2pP4/2P1P3/2N1BN2/PP2BPPP/R2QK2R w KQ -,f3d2
3q2k1/1p3ppB/4r2p/2pnP3/1b1P4/6P1/1BQ4P/5R1K b - -,g8h8
r4rk1/p2n1p1p/2pBp1p1/q5bP/3P2P1/2n2Q2/PPK2P2/1B1R3R w - -,f3c3
r2qk1nr/pbpp1ppp/1p2p1n1/3P4/2P1PP2/2N5/PP1Q2PP/2KR1BNR b kq -,a7a6
7r/pp1rnpk1/2p1p1p1/7p/3P1PP1/1BP4P/PP2R3/2K2R2 b - -,h5g4
1r3b1k/5p1p/3p4/3Np3/1P6/8/5PPP/1R4K1 b - -,h8g7
5b2/p4P1k/2pq2p1/2p1r3/2P3N1/PPB1P3/3PKP2/6R1 w - -,c3e5
4r1k1/p4pbp/1pn1p1p1/8/b2PP3/q2B1NP1/P3QP1P/1RB3K1 b - -,a3d6
3r2k1/p4ppp/1p1q4/n2N4/4PP2/P4P2/6P1/R4Q1K b - -,a5b3
r2q1rk1/1p2bppp/p1nppn2/2p5/4P3/2PP1Q1P/PP1N1PP1/R1B1RBK1 w - -,f3d1:f3e2:g2g4
5rk1/1p4p1/p1bb1q1p/3p1p2/3P1P2/2BB1QP1/PP5P/4R1K1 w - -,a2a3
1q2r1k1/1p3p2/p2p2p1/P2Pn1bp/2N1P3/1P3QP1/1BR3KP/8 w - -,b2e5
4brk1/2pn2p1/1p1p3p/3Pp3/1PP2qP1/3B1P1P/2Q2R2/rR3NK1 b - -,a1b1
r1bqkb1r/pp2pp1p/2n3pn/3p4/3P1B1P/2PB4/PP3PP1/RN1QK1NR b KQkq h3,f8g7
r2qk2r/1b3pb1/pp1p1npp/2pP4/Pn2PP2/2N1B3/1P1NB1PP/R2Q1R1K w kq -,d2c4
r5k1/5pb1/6pp/1p6/2p5/P3B1P1/1P1R1P1P/6K1 w - -,d2c2
2n5/4p2k/p2p1p1p/1p1P1P1K/1P2PP2/P7/8/6B1 w - -,g1e3
b1r2bk1/5p2/p3p1B1/q2pN3/3P1P2/PpR5/1P1Q1PP1/6K1 b - -,f7g6
6k1/5pp1/4p3/1Q5p/1p5P/1Pb1BqP1/5P1K/8 w - -,b5e8
5rk1/pp1qR1bp/6p1/3p2B1/8/1P5P/1P2QPP1/6K1 b - -,d7f5
q4kr1/4bp2/b3pN2/p1p1P2Q/P1Pp1P2/3P2PK/1R6/2R5 b - -,e7f6
1k6/8/5p1P/r7/8/1p4P1/p4PK1/R7 w - -,a1h1
8/4K2r/8/4R3/3k1P2/8/8/8 w - -,e7f6
5rk1/ppr1qp1p/3b1np1/2np4/8/PP3NPB/4PP1P/R1BQ1RK1 b - -,c5e4
r1q2rk1/1p1R1p1p/pQn1pbp1/8/4BP2/2P1B2P/PP4P1/3R2K1 b - -,f8d8
4Q3/p1qr1pk1/6p1/3P3P/P1pR4/6P1/5PK1/8 b - -,d7e7
8/5pk1/5qpp/3Qp3/4P2P/6P1/5PK1/8 b - e3,f6e7
6k1/2p2pp1/pp2P3/2p5/5P2/2P1R2Q/P2r1K2/1q6 w - -,f2f3
r4r2/pp1q2bk/2npb2p/2p1pPpP/8/2PP1NP1/PP1Q1PBN/R3R1K1 b - -,e6f5
r6r/5k1p/1p2pp2/1Pnb4/5P2/8/2BN2PP/R4RK1 w - -,g1f2
rn3rk1/4ppbp/1q1p1np1/2pP4/4P3/2N2NP1/PP3PKP/R1BQ3R w - -,d1e2
8/1pR5/1P1k2p1/3b2Pn/5p1P/8/5K2/8 b - -,d5c6
r1b1r1k1/pp1n1ppp/2p2n2/q5B1/1b2P3/P1NB4/1PPQN1PP/R3K2R b KQ -,f6e4
3rk2r/pp3pp1/2p1pn1p/q6P/PPPPnB2/Q5N1/5PP1/R4RK1 b k b3,a5b6
2rqk2r/5ppp/p2p1b2/1p1Np3/3nP3/2P5/PP3PPP/R2QKB1R b KQk -,d4c6
3r1nkr/1p2q1b1/pP1p1p1p/2pPpPp1/2N1P2P/2BP2P1/P5K1/1R1Q3R w - -,h1h2
5bk1/5p2/2b3p1/7p/2p1Pp2/5P1P/1r4P1/2RN1NK1 b - -,b2a2
8/4k3/8/p4p2/Pp6/1P1NN3/3RK1p1/6q1 b - -,g1e3
r4kn1/ppp3qQ/3p1pP1/8/2P5/3B4/PP3P2/2KR4 b - -,g8h6
r3n3/1p4p1/1p1kpp2/3p2p1/3P1PP1/PKP1P2P/R7/5B2 w - -,f1g2
