8/Bp4k1/6p1/3P3p/P3P1bb/8/2K5/8 w - -,a7d4
6RR/pp1r4/1b2p1kp/5r2/P3N1pP/4P1P1/5nB1/6K1 b - -,d7g7
r2q1rk1/pp1n1ppp/2p2nb1/3pp3/2P5/PP1P2P1/1B1NPPBP/R2QR1K1 w - -,c4d5
3r2k1/p1r2ppp/2B5/1P5b/8/P5PP/8/2R1R1K1 b - -,g8f8
1r1qr1k1/3b1p1p/2np2p1/1pp2P2/4P3/1P3NP1/PQ4BP/3R1RK1 b - -,e8e4
r3kb1r/pp1nppp1/1qp2n1p/3p1b2/3P1B2/1QP2NPP/PP2PPB1/RN2K2R b KQkq -,e7e6
4r1k1/1rnbqppn/3p1b1p/1ppPpP2/2P1P1PP/1P1Q1N1B/8/R2NB1RK b - -,e8b8
2r1r3/1p1qppk1/n2p1bp1/pN1P1n1p/2P2P2/1P3BPP/P3QBK1/3RR3 b - -,g7g8
1rbq1rk1/1p2ppbp/p2p2p1/4n3/2PBQ3/2N3P1/PP2PPBP/R4RK1 w - -,d4a7:f1d1
r1bqkbnr/1p1p1p1p/2n3p1/p1p1p3/2P5/P1N3P1/1P1PPPBP/R1BQK1NR w KQkq a6,d2d3
r1bk1bnr/ppp2ppp/8/4p3/4P3/8/PPP2PPP/RNB1KB1R w KQ -,f1c4
rnb2rk1/4ppbp/p2p1np1/qPpP2B1/8/2NBP3/PP2NPPP/R2Q1RK1 b - -,b8d7
8/8/7p/8/4P1k1/p4q2/3K3Q/8 w - -,h2h6
8/5kp1/8/5pp1/5r2/4R1K1/6PP/8 w - -,h2h3
3r2k1/1pqr1pb1/1np1p1p1/p3P2p/2PP1Q1P/4BBP1/P4P2/1R1R2K1 w - -,d4d5
r3kb1r/pp1b2p1/2n1pp2/2p2n1p/4NP2/2PP1NPP/PP2K1B1/R1B4R w kq -,g3g4
1r6/2r1kp1p/4p1p1/ppn5/3R2P1/P1P4P/1PB2P2/1K2R3 w - -,e1e3
6r1/p1p4k/2P5/4p3/1P2pn2/8/P4BNb/R4K1R b - -,g8g2
3q1r2/b1r2k1p/p1ppb3/4np1N/1P3R2/P3P3/1B1PQ1BP/6RK w - -,h5g3
8/6p1/3p1k1p/2pP4/p3PpPP/P4K2/1PR5/1r6 b - -,f6e5
r1bqk2r/pp1nbp1p/2n1p3/2ppP3/3P2p1/2P2N2/PP1N1PPP/RBBQ1RK1 w kq -,f3e1
r3k2r/3q1p2/p1pb2np/3p1Rp1/1P6/1NP1B3/P5PP/R2Q2K1 w kq -,b3d4
4r1k1/7p/3p2p1/8/3R4/2P2P2/5KPP/8 b - -,e8c8
r2r2k1/1p1b1ppp/p2p1n2/2q1pP2/4P2Q/2NB2R1/PPP3PP/R6K b - -,g8f8
rnb2rk1/p1q1ppbp/2p2np1/2P5/2N2P2/2N1B3/PP1Q2PP/3RKB1R w K -,f1e2
8/8/4K1p1/3n3p/2kP1P2/p5PP/8/2N5 b - -,h5h4
2r2rk1/1bq3pp/pb2p3/2npPpBP/1p6/3B1PQ1/PPP1N1P1/1KR2R2 w - -,h5h6
2r5/1p1r1p1p/3Pk1p1/1PP2b2/8/8/3R1KBP/2R5 b - -,c8d8
8/8/3kpp1R/4n3/1p6/1r1N1KP1/4PP1P/8 w - -,f3g2
8/4pk1p/4npp1/8/2q3P1/Br1R1P2/3QPK1P/8 w - -,d3b3
5rk1/2q2p1p/2p3p1/p1R5/7n/P1Q2P1P/1P6/1R5K b - -,c7g3
3r4/p1R2p1k/1p3p1p/3r1P2/1P1P1N2/P5P1/7P/6K1 w - -,f4d5
rn5r/pp2k3/2p1Np1p/3n1Q2/3P4/2q3B1/P1P3PP/3R1RK1 b - -,d5e3
2q2k2/1r2bppp/p3p3/B1p1P3/Q7/1P4P1/2P2P1P/3R2K1 b - -,c8e8
2r1r1k1/1p2qpb1/p2p1n1p/P2Pp1p1/2P3P1/R3B3/1P2BPP1/R2Q2K1 w - -,a1c1
rn1qkb1r/pp2pp1p/2p2np1/5N2/P1pP4/2N5/1P2PPPP/R1BQKB1R b KQkq -,g6f5
7k/1p2q1pp/1pp5/3p4/3P1r2/P1Q4P/1P2rPP1/2R2RK1 w - -,f2f3
3r2k1/1p1rnp1p/2p2bp1/2P2q2/2QPN3/4BP2/PR3PKP/3R4 b - -,e7d5
4b3/6p1/1k3p2/1p1R4/2p1P2p/2P2P1P/4K1P1/r2N4 w - -,d1e3
2k3rr/pbq2p2/1pn2p1p/1B1p4/P2Pp2N/R1P4P/1P2QPP1/4R1K1 b - -,c7f4
r4rk1/1b1nqppp/pp2p3/8/1PN5/2Q3P1/P3PPBP/R2R2K1 b - -,b7g2
r2qkb1r/pb1p1ppp/1p2pn2/8/1nPP4/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,d3e2
rnbk3r/pp2ppbp/5np1/2p5/2P1P3/2N1BP2/PP4PP/R3KBNR b KQ -,b7b6
rnbq1rk1/1p3pbp/p1pp1np1/4p3/2PPP3/2NBBP2/PP4PP/2RQK1NR w K e6,d4d5
rn1qkb1r/pp2pp1p/2p1bnp1/8/2NPP3/2N3P1/PP3P1P/R1BQKB1R b KQkq -,f8g7
r2r3k/p4b1p/Q2q2p1/2pnR3/3P4/6P1/1P3BBP/2R3K1 w - -,a6d6
rnb2rk1/1p2ppb1/2pp1npp/7q/p2PP3/2P2N2/PPBNQPPP/R1B1R1K1 w - -,h2h3
r2qrnk1/1b2bppp/pp3n2/3pN3/3P1B2/P1N3P1/1P3PBP/2RQ1RK1 w - -,d1b3
1r4k1/2qrbpp1/p2pp2p/2p1n3/2P1QN1P/1PN3P1/P2RPP2/3R2K1 b - -,b8d8
8/8/8/8/5k2/8/3NK3/7q b - -,h1d5
8/8/P1R4p/8/6pk/8/r5K1/8 w - -,g2g1
r1b1kb1r/pp3ppp/2n1pn2/3q4/3P4/P1N2N2/1P3PPP/R1BQKB1R b KQkq -,d5a5
6k1/5p2/6p1/1R6/R2n1P2/2N5/KP3q2/8 w - -,b5b7
r5kb/7p/p2p4/1bpP1N2/2n1N1P1/4P3/6PB/1R4K1 w - -,e4d6
rnbqk2r/pppp2pp/5p2/5p2/1b1P4/4P3/PPP2PPP/RN1QKBNR w KQkq -,c2c3
q4rk1/1bppbppp/2n2n2/4p3/1p2P3/1BNP1N2/1PP2PPP/2BQ1RK1 w - -,c3d5
3r1rk1/1p4p1/1qP4p/p3p2b/4Q3/P1B2NP1/1P3PP1/1BR3K1 b - -,b6c6
r1b2rk1/2q1bppp/pn1p1n2/1p2p3/2P1P3/1BP3NP/PP3PPN/R1BQR1K1 b - -,b6c4
8/8/1P4nk/R7/P7/7p/r4K2/8 w - -,f2g1
r2r1nk1/1b2qpbp/p1p2np1/1p2p3/2P1P3/1PN3PP/P1N1QPB1/R1BR2K1 w - -,c1a3
3R2Q1/p1r1k2p/5pp1/p4p2/1qp1r3/1P2P1PP/P4P2/K1R5 b - -,b4b5
r1bqkb1r/pp3ppp/1nnpp3/4P3/3P4/1B3N2/PP2QPPP/RNB1K2R b KQkq -,f8e7
r7/8/3k3p/P5p1/2B1pp2/2B5/1P4P1/5K2 w - -,a5a6
r4rk1/pppnqpp1/3p3p/3Pp3/1PP5/3PPN2/P5PP/R2Q1RK1 b - b3,a8e8
r1b1k3/ppp2p1p/4pnr1/1N2n3/1b2p3/8/PPPBNPPP/2KR1B1R b q -,b4d6
5n2/1pq3k1/p1p1p1b1/P1PpPp2/1P1N1Pp1/4P1P1/3Q1K2/5B2 b - -,g6f7
r1bq1rk1/ppp1ppbp/6p1/n7/3PP3/B1PB1N2/P4PPP/R2QK2R b KQ -,b7b6
8/p4k2/1p5q/2p1B3/P2pP1p1/1P1P1r1b/4Q2K/1R6 w - -,h2g1
r4rk1/pp1qnpbp/2np2p1/2pNp3/2P5/P1NP2Pb/1P2PPBP/R1BQ1RK1 b - -,h3g2
r1bq1rk1/4npb1/ppnp2pp/2p1p3/1P2P3/P1PP1NP1/1B1N1PBP/R2Q1RK1 w - -,f1e1
3r1k2/4bpp1/7p/2p1pP2/6P1/6BP/1Pn1R3/6K1 w - -,e2c2
3r1rk1/1bq1b1pp/pp3n2/2pp4/1n6/PPN1PNP1/1B2QPBP/R4RK1 b - -,b4c6
r1bq1rk1/pp2bp1p/2p1pnpQ/4N3/3P4/3BB3/PPP3PP/R4RK1 b - -,f6d5
8/1k3p2/6p1/1PBpb3/p5p1/3K3P/P4P2/8 w - -,h3g4
r3r1k1/pp3p2/2pp2pb/3Pnbnp/PPP1p2q/1Q2P1NP/1B1N1PP1/3BRRK1 w - -,g3f5
r6k/7p/p5pb/4np2/2pNp3/2N1P1PP/5PB1/R5K1 w - -,g3g4
r3qr1k/1pp3bp/3p4/3Pnp2/1QP2B2/8/P3B1PP/4RRK1 b - -,b7b6
8/3k4/4pB2/3p3p/3P3P/5K2/8/6b1 b - -,d7e8
2k3r1/1p3p2/p1b1p3/3n4/1P2R3/P6P/2P4P/2Q2R1K b - -,d5f6
5k2/6p1/1ppq3p/p3pQ2/2P3P1/1P2P1KP/P7/8 b - -,f8e7
r1b2rk1/pp3pp1/7p/q7/7b/5Q1P/PP3PP1/R1B1RBK1 w - -,c1f4
r2r4/p2knppp/4b3/3pp3/3b4/2N3P1/PP1BPPBP/R2R2K1 w - -,e2e3
rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/1P4P1/P3PPBP/RNBQK1NR b KQkq -,c7c5
1br1r1k1/5ppp/pp4n1/2Bp4/bP6/P2KPNqP/1Q1N4/R3RB2 w - -,a1c1
