8/2B5/8/8/4n1p1/5b2/4k3/6K1 w - -,g1h2
3r4/pp4k1/2p1n3/4p3/1PP1PpBq/P3b2P/6P1/R1N2Q1K b - -,h4g4
4r1k1/2pb1pp1/B4n1p/4n2q/p7/2PQ1N2/2PB1PPP/1R4K1 w - -,f3e5
k1qr2r1/5p2/1p1Pp3/2b1Qbpp/2P5/4B2P/P4PP1/3RRBK1 w - -,g2g3
r3k1r1/pp2bp2/1q6/2p1p2Q/2PpPPn1/3P4/PP1BNP2/R3K2R w KQq -,b2b3
r1bq1rk1/pp2np1p/6p1/3p4/3P4/1B6/PP1P1PPP/R1BQ1RK1 b - -,e7f5
4rn2/p2kb2p/npp1p3/3pPp2/3P2r1/P1N1B1PN/1PP4P/2KR2R1 w - -,h3f2
2rr1bk1/p3qppp/1p2p3/4B3/2bP2QP/3BR3/PP3PP1/R5K1 w - -,d3c4
r3r1k1/pp3ppp/2nB2b1/1B1P4/P5P1/7P/1q3P2/R2Q1RK1 b - -,e8d8
rn1qk1nr/1p1Bppbp/p2p2p1/2p5/P1N1P3/5N2/1PPP1PPP/R1BQK2R b KQkq -,b8d7
1r4k1/2Q1ppbp/3p2p1/p3P3/3PbP2/6PP/5B2/1R3BK1 b - -,b8b1
3rr3/3b1k2/p3pqp1/1p1pRp1p/3P1P1P/2PB4/PP3QP1/4R1K1 b - -,d8c8
rnbqk2r/pp5p/2pbpnp1/3p1p2/2PP4/2NBPP2/PPQ1N1PP/R1B1K2R b KQkq -,e8g8:f6h5
r1bqk2r/ppp1npbp/2np2p1/8/4P3/2N1Q3/PPPB1PPP/2KR1BNR w kq -,g1e2:f1c4
2R5/8/8/1p6/1r2kp2/7P/3K4/8 b - -,b4b2
r3k2r/pq2npbp/2bpp1p1/2p5/1p2PP1Q/3PNN2/PPPB2PP/4RRK1 b kq -,d6d5
1b1rr2k/p1q3pp/1pp2pn1/5b2/3P4/P1PNB1PP/2Q2PB1/R3R1K1 w - -,c2d2
3q1rk1/pb1n1pp1/1p1b3p/3p4/3B4/1P1BPN2/P4PPP/1QR3K1 b - -,d7c5
r6r/3n2k1/p2N1np1/2pP2q1/1p2Pp2/1P3P2/P2Q2PP/2RB1RK1 b - -,g5h4
r2q1rk1/p2nb2p/1p2p1p1/4PP2/2p2P2/1P1B1Q2/PB1N2PP/R5K1 w - -,d3c4
r2qn1k1/pb3pp1/1p4np/8/3P4/4NN2/PPQ2PPP/3R1BK1 b - -,b7f3
r1bq1rk1/pp2npb1/2np2pp/2p1p3/4P3/N1PPBNP1/PP1Q1PBP/R3R1K1 b - -,g8h7
8/8/8/1nk5/K7/8/8/1b6 b - -,b1c2
1r4k1/p1p1qppp/1p2p3/4P3/3Q4/8/PPP2PPP/2KR4 b - -,g8f8
r6r/1b1k2pp/p2p4/1p1p2N1/2nP4/P1N5/1P3PPP/R4RK1 w - -,b2b4
1q2rr2/pb2n1bk/1pnpp1pp/2p2p2/4PP2/2PPNNP1/PPQ1RBBP/4R1K1 b - -,b8a8
7k/p5b1/1p6/3B2p1/P7/1P5n/5r2/BR5K w - -,a1g7
r1bq1rk1/pp2ppbp/2np1np1/2p5/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 w - -,a2a3:c1d2:c1g5:a1b1
2r3k1/1b1nqpp1/p2pP2p/1p6/1Pr1P3/P1N5/4Q1PP/1BR2R1K b - -,f7e6
8/5p2/4p1P1/1pk3Pn/p6P/P2K4/BP6/8 b - -,f7g6
7r/p3k3/2qpp1r1/2p1np2/2P1PRN1/2P3P1/P3Q1KP/5R2 w - f6,g4e5
8/2Q5/1P4pk/7p/8/3r1q2/8/2R1K3 b - -,d3e3
8/1pb2pp1/p1k4p/2P5/1P2P3/P3NKPP/8/8 w - -,g3g4
4n2k/6rp/2p5/2N5/4p3/P3P2P/KP2B3/8 b - -,g7g3
rnbq1rk1/1p2b1pp/2pppn2/p4p2/2PP4/1P4PN/PB2PPBP/RN1Q1RK1 w - -,b1c3
r2q1rk1/pp2ppbp/3pbnp1/n7/4PPP1/1NN1B3/PPP1B2P/R2QK2R w KQ -,f4f5:g4g5
6k1/p5p1/1p6/4ppp1/8/1P1bP2P/P4PPK/3B4 w - f6,h2g3
r4rk1/1b3ppp/pn1qp3/1p2N3/2pP4/2P1PB2/2Q2PPP/1R3RK1 b - -,b7f3
3b4/5k1p/1P3p2/1R3K2/2r2B1P/8/8/8 b - -,d8b6
4r3/4qpbk/3R2n1/6p1/2P4p/1p2Q2P/r3BPPB/1R1K4 b - -,a2e2
2q2rk1/pp3p1p/1NpQ2pb/4p2n/4P3/1B5P/PPPR1PP1/3R2K1 b - -,a7b6
3rr1k1/1p1q1ppp/p7/2Pn4/P1n5/BQ2P3/5PPP/3R1RK1 w - -,b3c4
r1b2rk1/pp1nqppp/2pbpn2/3p4/2P5/1PNP1NP1/P1Q1PPBP/R1B2RK1 b - -,f8e8
3R4/1p3ppk/p3p1p1/rn2P3/5N1P/2P1P1P1/1P3K2/8 w - -,f4h3
r2q1rk1/pb2bppp/1pp1p3/3pP3/2P1nB2/2N3P1/PP3PBP/R2Q1RK1 w - -,c3e4
8/8/8/Q6K/7P/4k3/P7/5q2 b - -,f1f7
8/1p3pk1/p1n1p1pp/3pP3/1P3PPP/Pr6/6RK/2B5 b - -,c6d4
b2r4/8/p3kp2/2R1p3/B3p2P/1P2P1P1/2P3K1/8 w - -,g2h3
2kr3r/1ppq1pp1/p1np1b1p/5b2/6P1/2P1BN1P/PPPQBP2/1K1R2R1 b - g3,f5e6
r2q1rk1/1pp2ppp/p3p3/n2n1b2/1b1P4/1QN1PN2/PP1BBPPP/R4RK1 w - -,b3d1
r1bqr1k1/1p1n2bp/p2p2p1/P1pPnp2/5B2/2N1P2P/1PQNBPP1/R4RK1 b - -,d8f6
8/5pk1/6p1/pr5p/R4P2/P3PKPP/8/8 b - -,f7f5
6k1/b2r1pp1/4p2p/N7/Pp6/1P4PP/2RNn2K/8 w - -,a5c6
2r1k2r/1p1nbpp1/pq1p4/3Pp2p/8/1N1B1P2/PPPQ2PP/1K1R2R1 b k -,e8d8
8/8/B2k4/p5b1/2p2pb1/2P5/PP3KN1/8 w - -,a6c4
rn1qk2r/pb3ppp/1p1ppn2/8/2NP4/3BPN2/PP3PPP/R2QK2R w KQkq -,d1a4
r6r/p2qk1b1/3p2p1/2p4p/2P1p3/3PPQPb/PP3P1P/R1B1R1K1 w - -,f3e4
r1b1k2r/2q2ppp/1pnbpn2/2pP4/p2P4/PP2PN2/1B1NBPPP/R2Q1RK1 b kq -,f6d5
8/6k1/3p1p2/3P2n1/1p2Pq2/1P4p1/4Q1P1/3B2K1 b - -,f4e4
r1b2rk1/p3b1pp/1p2p3/4Bp2/1nBP4/1P2PN2/1P2KPPP/R6R b - -,c8d7
r4rk1/1bq1bppp/p2p4/n2Pp3/2p1P3/N1P2N1P/RPB2PP1/2Q1R1K1 w - -,c1e3
r5k1/5pp1/p2pb2p/1pr1n3/3NP3/P2B3P/1PP2RP1/5R1K b - -,a8e8
r5k1/1p1rpp1p/p3b1p1/1q2b3/4B3/2P1BP2/PP3QPP/R2R2K1 w - -,d1d7
r1bq1rk1/p3bppp/1p3n2/2pp4/1n1P4/1P1BPN1P/PB3PP1/RN1Q1RK1 w - -,d3e2
1r3k2/p1n3bp/4bpp1/1p6/2pNB3/2P5/P3RPPP/4K2R b K -,f6f5
4r1k1/1b4p1/p2n2Pp/2np4/8/1P2PP2/PKNP4/5BR1 b - -,e8f8
rnb2rk1/pp2qppp/2p5/8/3Pp3/4PN2/PPQ2PPP/R3KB1R w KQ -,f3d2
2b1r1k1/5ppp/p1p5/2Bn2q1/4p3/Q5P1/PPP1B2P/2KR4 w - -,c1b1
8/pp5r/2pr4/5pk1/8/PN3BK1/1PR5/8 b - -,d6g6
5n2/p1q3bk/2p3pp/1pP1p3/4P3/4B1P1/PP1QN1KP/8 w - -,d2d6
5r1k/pr3ppp/8/2p2p2/2P1N3/2B4P/PP4P1/4R1K1 w - -,e4c5
3r3k/6p1/3BQb1p/pp1P4/4R3/P2q3P/6PK/8 w - -,e4f4
5k2/6pp/Q7/2p2q2/8/PP4P1/6KP/8 b - -,f5e4
r1bqkb1r/pp3ppp/2nppn2/2p5/2P1P3/2N2NP1/PP1P1P1P/R1BQKB1R w KQkq -,f1g2
8/8/p3p2K/P1k5/8/3B4/8/8 w - -,d3a6
8/3nbp2/2k1p3/1p2P1p1/r1pP2P1/P4N2/5P2/1RB4K w - -,d4d5
1r4k1/p2q1bp1/1R1p3p/3p1p1P/2nPnN2/3BPNP1/5PK1/4Q2R b - -,b8b6
2rr2k1/pb1qbppp/1pn1p3/2p5/Q7/P1BP1NP1/1P2PPBP/2R1R1K1 w - -,a4g4
1r6/3rpp1R/3p1kp1/p2P4/Pp3PP1/1P6/2PR4/1K6 b - -,b8f8
r1bq1rk1/ppp2pbp/2n2np1/4p3/2B1P3/1N3N2/PPP1QPPP/R1B2RK1 b - -,f6h5
r1bq1rk1/p4pbp/np6/2ppPp2/3P2P1/3Q1N2/PP2N2P/R1B2RK1 b - g3,c5d4
1r1qr1k1/2n2p2/p2p3p/PppPb1p1/2B1Pn2/R1N2QB1/1P3PPP/4R1K1 w - b6,a5b6
1k6/1p4pp/2p2p2/p1P1pP2/P1K3PP/8/1P3P2/8 b - g3,h7h6
rn2k2r/1bq1bppp/pp1ppn2/8/2P1P3/2NB3P/PP2NPP1/R1BQ1RK1 w kq -,c1e3
6rk/p4p2/3qp3/2ppRprp/3P1Q2/2P3PP/PP3P2/R4K2 b - -,g5g6
2r1r3/6p1/5k1p/pp2N2P/2p2nP1/2P2R2/PPK5/4R3 b - -,f6g5
