4b3/8/1K2Bk2/5P2/2P5/3r4/8/2R5 b - -,d3b3
r1bqr1k1/pp3pb1/1n1p2p1/2n4p/2P2N2/2N1BP2/PP1QB1PP/R4RK1 b - -,c8e6
3r3k/4qp1p/p4R2/4p3/2prP3/6QP/PPP3P1/2K2R2 w - -,f6f5
r7/6k1/p2p1b1p/2pP1b2/1rB2P2/1P6/R3KNP1/7R b - -,a6a5
2r1r1k1/1p1qnpbp/pB1p1np1/P2Pp3/2P5/1P4PP/5PBK/R1NQR3 w - -,a1a2
2r3k1/6b1/4P1p1/p4pP1/1q6/3B3Q/1P4P1/1R5K b - -,b4f4
1r5r/1p1bkppp/p2bpn2/N7/8/4PB2/PP1B1PPP/R4RK1 b - -,f6d5
rnbr2k1/pp2ppbp/6p1/q1p1N3/2P2P2/2NBB2P/PP4P1/R2QK2R b KQ -,g7e5
4n3/8/4k1PK/3pPp2/2pP4/2P5/1b1B4/8 b - -,b2c3
r7/4b1k1/r3p1p1/p6p/P1pPpP1P/2BbP2K/1P5N/R5R1 b - -,g7f7
6r1/4kp1p/7b/4p3/2bnN2P/6P1/P4PK1/3R3R b - -,c4e2
1k6/8/P1K1np1p/3N3P/4P1p1/8/8/8 w - -,d5e3
8/p4r2/1p4kp/8/2PPRr2/1P2Kp2/P4R1P/8 b - -,f4f6
r4rk1/pp1n1ppp/1q2p3/2bpP1P1/3p1Q2/3P3P/PP1BNP2/1K1R3R w - -,e2g3
r1b1rnk1/pp2qpbp/2pp2p1/4p1Pn/3PP2N/2N1B3/PPPQBP1P/1K1R2R1 b - -,e5d4
r3n1k1/p3Nppp/Rp6/1n1p4/8/1P2PNP1/5P1P/6K1 b - -,g8f8
r2qkb1r/pp2pp1p/4bp2/3Pn3/2p2N2/2N5/PP3PPP/R2QKB1R b KQkq -,e6d7
r2q1rk1/1p3ppp/p4n2/P1p4b/2B5/1P1P1N2/2PQ2PP/R4RK1 w - -,a1e1
2R2rk1/5ppp/p2qr3/Pp2p3/3pP2P/1Q1P2P1/1P3P2/2R3K1 w - -,b3c2
1qr3r1/4kp2/pn2bb2/1p2p2p/4Bp2/1P1N1N1P/P2RQPP1/6RK w - -,d3b4
8/8/N1k5/1n1ppp2/NP6/3nK1P1/8/8 b - -,e5e4
8/2QR1qk1/6p1/P1p5/4p2P/8/1P5K/5r2 b - -,f1f2
4r1k1/8/1p1n3p/1N1P3P/2Pp1rp1/1B3P2/P2K2P1/1R6 b - -,g4f3
r1b1k2r/bpp1qpp1/p1np1n1p/4p3/4P3/1BPP1N1P/PP1N1PP1/R1BQ1RK1 w kq -,d2c4
r2k3r/pbqnb2p/1p2Q1p1/1B2p3/3P4/2P5/P2B1PPP/R3R1K1 w - -,d2f4
8/1p1kb2p/4p3/4Pp2/1P1N1P2/P5PP/5K2/8 b - -,h7h6
r2r4/6kp/ppp1bpp1/2p1p3/P3PP2/1PPPK1P1/3N2P1/R3R3 b - -,a8a7
7k/5q1p/1NbR2p1/1pQ1p3/1P4r1/2P5/5K1P/8 w - -,f2e3
r2q1rk1/1p2ppbp/3pbnp1/8/p1P1P3/2N1B3/PP1QBPPP/2R2RK1 w - -,f2f4
r3k1nr/pp3p1p/2n1p1p1/q1P1P3/3pNP2/P4Q1P/1PPb2P1/R3KB1R w KQkq -,e4d2
3N3k/p5pb/2p4p/8/3P4/5p2/P6P/6RK b - -,f3f2
r4rk1/pp3pp1/2p2q1p/2Ppbb2/1P6/2N3P1/P3PPBP/2RQ1RK1 w - -,d1b3
r2q1rk1/1p1nbppb/2p1pn1p/p1PpN3/3P1P2/2N3PP/PP2P1B1/R1BQ1RK1 w - -,g3g4
8/1r1nk1p1/1p2pp1p/2p5/P1N1P3/1PK2P2/6PP/3R4 w - -,f3f4
5rk1/pR5p/2pr1b2/N1p2pp1/8/2PP2Pb/P2BPK1P/1R6 b - -,f5f4
Q7/3r3p/3p1kqb/3Bp3/2P2p1P/1P4P1/5P2/5RK1 w - -,d5e4
2r5/2P2k2/1P3p2/pP2pP2/P3P3/6p1/6P1/6K1 w - -,g1f1
2n5/p7/1pP2kpp/1P3p2/1B1pbP2/P5P1/3KB2P/8 w - -,e2c4
8/1pp2kpp/1n1pRb2/8/2PP2P1/1P2RN2/1rr2P1P/4B1K1 b - -,h7h6
r4rk1/pN3ppp/1np5/3pP3/5Pb1/3BnN2/PPP2KPP/R5R1 b - -,e3c4
1kr5/pp4pp/4p3/P2pP3/1r5q/R7/6PP/1Q1B1RK1 w - -,b1a1
8/2B5/p3k3/4bp1p/2p3p1/6P1/P3K2P/8 w - -,c7d8
rn2k2r/4ppbp/3p1np1/q1pP4/4PP2/2N2N2/PP3KPP/R1BQ1R2 b kq -,f6g4:e8g8
8/3b4/3P2k1/4p1P1/1K6/8/3B4/8 w - -,b4c5
r1bq1rk1/1ppn1pb1/p2p1n1p/3Pp1p1/2P1P3/2N2NB1/PP2BPPP/R2Q1RK1 b - -,f6h5
r2q1rk1/pp4bp/1np1bnp1/3p1p2/2P2B2/1PNQ1NP1/P3PPBP/R4RK1 w - -,f3g5
rnbq1rk1/pp2ppbp/3p1np1/2p5/2B1P3/2PP1N2/PP3PPP/RNBQR1K1 b - -,b8c6
3r2k1/pp6/5bnp/5r2/PB1pR3/1P3NK1/3P1R2/8 b - -,g8f7
4r1k1/ppn3pp/2pb1qp1/3p4/3P1PQ1/2P3N1/PP1B2PP/5RK1 b - f3,c6c5
8/5k2/5p2/pR6/2K5/P5P1/1P4r1/8 b - -,a5a4
1r1r2k1/p1p2ppp/bp2p3/nN1nN3/P2P4/6P1/1P2PPBP/R4RK1 w - -,b5a7
3r2k1/b4pp1/4p3/8/1pRP1Pqp/1P2KQP1/8/1N6 b - -,a7d4
8/1p1n3p/1p2k1p1/1K2p3/P1P1N1P1/1P5P/8/8 w - -,e4g5
3r1rk1/1p2pnbp/1q4p1/p1Np4/Pn1P2b1/1Q2BN2/1P2BPPP/2R1R1K1 w - -,h2h3
8/3k4/4pK2/1P2Pp2/3b4/5P2/3B4/8 b - -,d4b6
8/8/5k2/2K2p1p/3Pr2P/4R1P1/8/8 w - -,e3f3
5r2/3bqpkp/3p1Rp1/2pPn3/1pP1PQ2/1P4NP/r5P1/3B1RK1 b - -,a2a6
5r2/4qp1k/6pp/1P2p1P1/1PQ1Pn1P/2P2P2/5B2/4K1R1 b - -,e7d7
r3k2r/1bq1bppp/pp1p4/2n1pP2/2P1P1n1/P1NBBN2/1P2Q1PP/2R2RK1 b kq -,c5b3
5rk1/2rp1pp1/1pq1p2p/p3P3/P1PQNP2/1P1R2P1/5K2/8 w - -,g3g4
r5k1/3qBrp1/p2Pp2p/3b1P2/1p1N2P1/1P6/P1PQ4/2KR4 w - -,d2b4
r1bq1rk1/p1p2ppp/2p5/2bpN3/3Pn3/2P5/PP3PPP/RNBQK2R w KQ -,d4c5
r3kb1r/1bqn2pp/p3pn2/1pp3N1/4P3/2NB4/PP3PPP/R1BQ1RK1 b kq -,c7c6
8/5p2/6p1/6P1/5RKP/4P3/4kP2/1r6 w - -,f4f7
r1q1rbk1/2pb1pp1/p2p1nnp/1p1Pp3/4P3/2P1B1NP/PPB2PPN/R2QR1K1 w - -,g3h5
r7/p1pn1kpp/5p2/2ppr3/R7/1P2P3/P1PPN1PP/5RK1 w - -,e2f4
r4rk1/1bq1bpp1/p4n1p/P1pn4/1pN5/1N4P1/1PQB1PBP/R2R2K1 b - -,f8e8
2br2rk/p4qb1/1pn5/4p1QP/4P1p1/B1PP4/PP2B2N/3RR1K1 w - -,e1f1
Q7/p5pk/3q3p/8/2P5/1P3P2/P5BP/5K2 w - -,a8e4
5r1k/1p4p1/1b6/8/p1Q3P1/5rBP/P4PK1/8 w - -,c4a4
2q1nbk1/Pp3r2/3p2n1/1N1Ppp1p/P5p1/BQ4P1/3NPPBP/6K1 w - -,d2c4
2rq1rk1/pb2bppp/1pn1pn2/3p4/2PP4/1P3NP1/PB2QPBP/RN1R2K1 b - -,c8c7
r3r2k/3b3p/p2q1p1B/1p1Ppp1Q/2n5/P5PB/P4P1P/2RR2K1 b - -,e8g8
r4rk1/2nqbp1p/6p1/1p1pP3/3N1B2/4P3/4QPPP/2R1R1K1 b - -,b5b4
b2q4/P4k2/3p4/3Pp2p/4P2b/5P2/5BP1/1Q3BK1 w - -,f2h4
5r2/r4ppk/2n4p/p3p3/RPB1P3/4N1Pb/5P2/R5K1 w - -,b4b5
r4rk1/pn1bppbp/1p4p1/q1nPP3/2pN4/P1N4P/QP3PP1/R1B1RBK1 w - -,c1e3
1r1q1r2/p5k1/3p1pp1/3Pp3/3p2QP/1P1Pb1P1/P5BK/R4R2 w - -,g2e4
2r2nk1/1p3ppp/3p1n2/p2P4/R1r1P3/1Q1N1qP1/6BP/3R3K b - -,f3e2
6k1/p6p/5npB/2p1N3/3p2P1/1r1K4/8/6R1 w - -,d3c4
rnbqr2k/pp3ppp/2pb1p2/8/3P4/2PB4/PPQ1NPPP/R1B1K2R w KQ -,e1g1
r3r1k1/b1p2pp1/3q3p/3npP2/pP6/3P2QP/PKBB1PP1/3RR3 b - -,a7d4
8/pb3Q2/3kppB1/1p6/2qP3P/8/P4PP1/2r1R1K1 w - -,f7b7
7k/pp4p1/7p/5p2/3R4/P2n2P1/1Pr1r1PR/1K6 w - -,d4d3
