n1B5/6p1/3k3p/4p3/8/1P4P1/5PKP/8 b - -,a8b6
8/p7/6p1/5p1p/2p2R1P/PkP3P1/1r6/3K4 w - -,f4d4
8/4Kp2/1kb1p1p1/4P2p/5P1P/6P1/8/8 b - -,c6e4
2k1rr2/pp1n3p/2pq2p1/R7/3P2n1/1B4PP/PPP1N3/R2Q2K1 b - -,g4f2
3r1n2/1k2rbp1/ppp2p2/2P3p1/P3P1P1/1PRNKP1P/1N6/5B2 b - -,b6b5
2kr4/1r3p2/2p1p1p1/2P1P2p/qB1P1P2/P2Q3P/6PK/2R5 w - -,c1b1
r1b1r1k1/ppqnbpp1/2pp1n1p/4p3/2PPP2B/2NB1N2/PP2QPPP/2RR2K1 b - -,f6h7
br5r/p2pkppp/1pnRp3/8/2P1P3/1N3P2/PP2B1PP/2KR4 b - -,b8b7
r1bqr1k1/ppn1ppbp/2p3pn/3p4/3PPP2/2PB1N2/PP4PP/R1BQRNK1 b - -,d5e4
r1b2rk1/pp2npbp/1qn1p1p1/2ppP3/5P2/2PP1NP1/PP2N1BP/R1BQ1RK1 b - -,d5d4
rnbq1rk1/ppp1ppb1/3p1np1/7p/3PP2P/2N2N2/PPP1BPP1/R1BQK2R w KQ -,f3g5
2bq4/5k2/2Q1p3/pB1pP1p1/Pp1P2pp/4P2P/1P4K1/8 w - -,h3g4
rr6/3nppbk/1n1p2pp/q1pP4/4P3/PQN2P2/1P1B2PP/2KR2NR w - -,g1e2
8/8/5pk1/4r3/5KP1/2R2P2/8/8 w - -,f4g3
r1bq2k1/2pnn1bp/pp1p1r2/3Pp1p1/1PP1Pp2/2NN1P2/P3BBPP/2RQ1RK1 w - -,c4c5
4k2r/5p1p/p2p3b/1p1Pp3/3rP3/3B4/PP2K1PP/R6R b k -,f7f5
4brnk/1p6/1q3b2/3p2PP/r1nP4/1p1B1N2/5RK1/1QB4R w - -,g5f6
r2q1rk1/p3pp1p/2p3pb/2p5/Q7/2N3P1/PP2PP1P/R4RK1 w - -,a4c6
r6r/Ppkn1pp1/2p4p/4p3/8/1P4P1/PB2PPKP/R1R5 w - -,c1d1
r1b1kb1r/pp1ppppp/2n5/1N6/8/2P2PP1/PP3n1P/RNBK1B1R w kq -,d1e1
3r1rk1/1p2qp1p/2bpp1p1/p1n1b3/2P1P3/2N1BP2/PPRQB1PP/3R2K1 w - -,e2f1
4r1k1/1p3ppp/r5q1/p3p3/1bPnP3/1P1p1PP1/P2N3P/R2QNR1K b - -,g6h6
2rr2k1/4R2p/3B1pp1/pp1P4/2q2P2/2P4P/1P1Q2P1/4R2K w - -,f4f5
4r1k1/2q3p1/ppnbr1p1/2pQ2N1/2Pp1R1P/1P1PP3/PB6/R5K1 b - -,d6f4
8/4Pk1p/6p1/8/8/6P1/5PKP/r2N1B2 b - -,a1d1
r4qr1/1p2bp1k/p2pb1pp/2n1p3/4P3/1BN1RN2/PPP1QPPP/3R2K1 w - -,b3d5
rnbqr1k1/pp3pb1/2pp1np1/7p/2PNPBP1/2N2P2/PP2B2P/R2Q1R1K w - h6,g4g5
4n3/3b1p1k/1r1P4/2Q1p3/2p1P1P1/PrN2P2/8/1NK5 b - -,f7f6
r2qk2r/ppp2ppp/1b1p1n2/n3p3/2B1P1b1/2NPBN2/PPPQ1PPP/2KR3R w kq -,c4b3
rnbqkb1r/ppp2ppp/5n2/3B4/4P3/8/PB3PPP/RN1QK1NR w KQkq -,d5f7
r4rk1/1p3ppp/p2pn1b1/3Np1q1/4P1P1/1B4QP/PPP2P2/R3R1K1 b - -,h7h5
rn3rk1/ppq1bppp/2p1p3/8/3PQ3/3B4/PPP2PPP/R1B2RK1 b - -,g7g6
r7/p1R5/1n5p/4ppk1/8/2P4P/PPBK2P1/8 b - -,e5e4
r2q1rk1/1b1nppbp/p5p1/2pn4/1p1P4/PP1BPN2/1B1NQPPP/R1R3K1 b - -,c5d4
1k1r1b1r/pppq1ppp/2n1p3/2PNPb2/3P4/4BN2/PP2B1PP/R2Q1RK1 b - -,d7d5
r2q1rk1/pp1bbppp/2n1p3/3n4/3N4/2P2NP1/PP3PBP/R1BQ1RK1 b - -,a8c8
2kr1b1r/1ppbnppp/p1p5/8/3NP3/4B3/PPPN1PPP/R4RK1 b - -,f7f6
rn2k2r/pppb1p2/4p2p/4P1pP/4RqP1/2N5/PPP2P2/R2QKB2 b Qkq -,f4h2
r1bqk2r/3nbppp/p2p1n2/1p2p3/4P3/2N3P1/PPP1NPBP/R1BQ1RK1 w kq -,h2h3
rn2kbnr/pp3pp1/2p1p2p/q4b2/2PP4/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,g8f6
8/5k2/2K4p/2p1pP2/1bP1B3/pP5P/P7/8 w - -,c6d5
rnbq1rk1/pp2bppp/2p2n2/3p4/2PP4/2N2N1P/PP2BPP1/R1BQK2R b KQ -,h7h6
8/2k5/8/5K2/Rp4P1/pPb5/6P1/8 w - -,f5e6
2r2rk1/2qb1pp1/p3p2p/1pP5/1P1N4/P2Q3P/5PP1/3BR1K1 b - -,f8d8
8/8/3p4/2pPpk1p/1pP4P/2n1K3/P7/2N5 b - -,e5e4:f5g4
r1bq1rk1/p2nppbp/1p4p1/2p3N1/2P5/6P1/P2PPPBP/1RBQ1RK1 b - -,a8b8
rnb2rk1/ppq1ppbp/3p1np1/3P4/2p1P3/2P2N1P/PPB2PP1/RNBQ1RK1 b - -,b8d7
r4rk1/1b4pp/p2p3b/PpqPpp2/1N5P/2P2PP1/1P4B1/R2QK2R b KQ -,h6e3
8/pk6/1p6/2pKPnP1/2P4r/1P1P1R1P/1P6/8 b - -,h4d4
2r2r1k/1bq1b1pp/p1nppn2/1pp5/4P2N/P1NPB1Q1/1PP3PP/R2B1R1K w - -,g3h3
r1bk1bnr/pp1n2pp/2p2p2/4p3/P1B1P3/4B3/1PPN1PPP/R3K1NR b KQ -,d7c5
6k1/3N4/n2p2K1/Pp1Pp3/2p1P3/P1P5/8/8 w - -,g6f6
r1bqk2r/pp3ppp/2p5/3nP3/PbB5/4BP2/1PP1Q1PP/R4KNR b kq -,c8e6
r3kbnr/ppq2ppp/2n1p3/2PpPb2/8/4BN2/PPP1BPPP/RN1QK2R w KQkq -,c2c3
r4rk1/ppp2ppp/3q1nb1/nN6/5p2/1BPP4/PBPQ2PP/R3R1K1 b - -,d6b6
1R6/6rp/4K2k/1p2N1p1/8/6P1/8/8 b - -,g7a7
3rkr2/pp5Q/4q1pp/3p1n2/1P6/5B2/PB3PPP/R5K1 w - -,h7b7
1rb2rk1/2qpb1pp/p3pp2/2p5/2P2P2/1N1Q2P1/PP4BP/1K1RR3 b - f3,f6f5
1r1q4/3b1p1k/3p3p/p1pPbNp1/1rP1P1PP/RPQB4/5PK1/1R6 w - -,c3c1
1k4r1/1pb4q/p1p1p3/P1Pp1p1p/1P1P1Br1/4P2R/1Q3RPP/6K1 w - -,g1h1
5rk1/1b4pp/pq4r1/1p2Pp2/2pR1P2/2P2B2/P1R2QPP/6K1 b - -,h7h6
r4rk1/1pqnbppp/1np3b1/p3pN2/P3P1P1/1PNB3P/1BP2P2/R2QR1K1 b - -,g6f5:e7b4
r4k1r/pp2nqb1/2p2p2/3pp2p/4P2P/2PB1Q1R/PP1N1PP1/R3K3 w Q -,f3e2
rnbqk1nr/pp1p1pbp/6p1/2p1p3/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq e6,d2d3
8/4kp2/p3p2p/3p4/3P1P2/1NP1K2P/P6b/8 w - -,b3c5
r3k2r/q2nb3/p1ppbp2/4pP2/P7/1PB1N1P1/2P2QB1/R3R1K1 b kq -,e6f7
2r1r1k1/q2n1ppp/P1bp1n2/4p3/3NP3/1P3P1Q/PB2N1PP/4RB1K b - -,e5d4
8/6Rp/4p3/4k1P1/2R2p2/6r1/7r/5K2 w - -,g7f7
r4rk1/ppp1qp1b/3b4/3Pn1PP/4P3/7K/PP2Q1B1/R1B2R2 b - -,c7c6
rnbq1rk1/p4pb1/3ppp1p/2pP4/1pP1P2N/P2B4/1P3PPP/RN1Q1RK1 w - -,d1h5
r1bq1rk1/bp3ppp/p1n1pn2/8/1PNp4/P2Q1NP1/1B2PPBP/R4RK1 b - -,b7b5
2r1k2r/1p2bpp1/pq1p1n2/3Pn2p/3N1B2/7P/PPP3P1/2KRQB1R b k -,f6d7
2r3k1/4R3/2r3p1/2BR1p1p/Pp6/2b2P2/5P1P/6K1 w - -,c5e3
r2k1b1r/p2p1ppp/b7/N1nP4/1p6/5BP1/PP2NP1P/R4RK1 b - -,f8d6
3r1rk1/pppq1pp1/2n1bn1p/8/1b1P4/2N1BN2/PPQ1BPPP/3R1RK1 b - -,c6e7
r1bqkb1r/1p1n1ppp/p2ppn2/6B1/3NP3/2N5/PPP1QPPP/R3KB1R w KQkq -,f2f4:e1c1
8/p7/1pnkbpBp/3p3P/3P4/4KPN1/PP6/8 b - -,c6e7
8/1pR2rk1/p2p3p/P2P2p1/4p1P1/6b1/2Q2B1q/5K2 b - -,h2f2
2Q5/5ppk/7p/4r2P/2p1P3/5PK1/3q2P1/R7 w - -,f3f4
rnbqr1k1/p1p2ppp/2p5/2bpP3/3N1B2/2N2Q2/PPP2PPP/R4RK1 w - -,d4b3
r3kb1r/pp4pp/5q2/2pp3Q/3np2N/2N5/PPP2PPP/R4RK1 b kq -,f6f7
r4rk1/p3q1pp/1p1bpn2/2pb1p2/2NPnP2/1P1BPN2/PB2Q1PP/R4RK1 b - -,d6c7
1nbq1rk1/r4ppp/1pnN4/p1pBp3/7N/6P1/PP1QPP1P/2RR2K1 b - -,a7d7
8/2r2pk1/4p3/R2pP1p1/1P6/7P/P1r1RKP1/8 b - -,c2c4
2rqr1k1/4ppbp/p4np1/1p1p4/3PnB2/P1P2N1P/1P1NQPP1/R2R2K1 b - -,d8b6
rnbq1rk1/p1p1bpp1/1p2pn1p/3p4/2PP3B/2NBPN2/PP3PPP/2RQK2R b K -,c8b7
rn6/p3Rk1p/6p1/2pb1rB1/8/5N2/P4PP1/3RK3 b - -,f7g8
