8/8/8/2p5/8/8/p1k5/B2NK3 b - -,c2b1
r3rnk1/1pp1qppp/1b1pbn2/pP2pN2/P1B1P3/2PP1N1P/5PP1/R1BQR1K1 b - -,e6f5
b7/8/p7/1p2k1p1/4n3/1PP1R3/PK6/8 b - -,g5g4
r6r/pp3k1p/2pbpp2/5q2/3P4/2N2Q2/PPP2P1P/2KR3R w - -,f3e2
3rbrk1/1p1nqppp/pN2p3/2Pp4/PP6/8/2P1BPPP/R2QR1K1 w - -,b6d7
r1bq1rk1/1ppnn1bp/p2p1ppB/4p3/2PP4/2N2NP1/PP1QPPBP/R4RK1 b - -,g7h6
3k4/8/8/1Q3p2/P2bpq1p/7P/5PK1/8 w - -,b5d5
r1qr2k1/1p1R1p1p/pQn1pbp1/8/4BP2/2P1B2P/PP4P1/3R2K1 w - -,e4c6
6k1/1r1q2pp/pp3r2/2p2P2/P1P1Q3/4P3/2P4P/R4RK1 b - -,b7b8
r3r3/ppqn1k1Q/2p5/3nP1B1/P1BP4/2P5/8/R5K1 b - -,f7e6
r5k1/8/7p/P7/1P1bpP2/1R6/5PK1/8 b - -,g8f7
1r3k2/4pp2/1q1p2p1/2nPb2p/2Q4P/8/1PRR1NP1/7K b - -,b6b4
3r1rk1/pbqnbppp/1p2p3/2ppP3/2P2P2/1P1BP3/PBQN2PP/R4RK1 b - -,g7g6
1q2k2r/p2n1ppp/Q2bpn2/4N3/P2P4/2p3N1/5PPP/R1B3K1 w k -,a1b1
3r4/8/3K4/8/1N5R/4k3/8/8 w - -,d6c5
8/2b5/4k1n1/4ppP1/6P1/5K2/5N2/8 b - -,f5f4
r2q1rk1/2pn2pp/3pp1b1/1pPn4/pP1P1p2/P1B3P1/1Q1NPPBP/R3R1K1 b - -,d7f6
r4rk1/1pp2pp1/p2p1q1p/2bPp3/3n4/2NP2P1/PPP2PBP/R2Q1RK1 w - -,c3e4
4r3/ppp4p/5kp1/5b2/P4R1P/1P2P3/2PN1K2/8 b - -,e8d8
rn1qk2r/1b2bppp/p3pn2/1p6/3P4/P1NBBN2/1P3PPP/2RQ1RK1 b kq -,e8g8
3n4/1p3p2/p5p1/8/1P1k4/P4B1P/4KPP1/8 w - -,e2d2
1R1rq3/6k1/p1p5/2Pp3p/P2Pp3/4PpPQ/5P1K/8 w - -,b8b7
r5r1/pp4kp/2n1qp2/2p1p3/5R2/1P1P3P/PBP1Q1P1/R5K1 w - -,a1f1
3r4/5p2/1p3k2/pPp1p2p/P1P1P3/3P1KR1/6PP/8 w - -,f3e2
2r3k1/1p1bq2p/p1p1p3/2PpP1p1/PP1P1rP1/R3Q3/7N/5RK1 w - -,f1f4
2r1r2k/1p5p/3pp3/pPq2B2/P2p1P2/3P4/1P1Q2RP/4R1K1 b - -,c5f5
8/8/1pB4p/1R6/3k2P1/6b1/P2p1r2/3K4 b - -,g3f4
8/1b4k1/p2pp1p1/2p1n2p/2P1P3/3P2PP/1N4K1/5B2 b - -,a6a5
2R2bk1/pp3p1p/4p1p1/5n2/3P4/Pq3BP1/1B2PP1P/3R2K1 w - -,d1d2
1r2k1n1/2qbn3/p2pp3/1pp4P/3P3p/2N1B1bP/PPPQ2B1/3R1R1K b - -,d7c6
r4rk1/1p2qpp1/1np3p1/p2p2Pn/1b1P3P/1QN1P3/PP1BBP2/2K1R2R w - a6,b3d1
8/p1pr1kp1/5p1p/3q4/P1Nb1R2/1Q4P1/1P3P1P/6K1 b - -,c7c5
r3k2r/1b1p4/p2Pp2q/1pp2ppp/5P2/1PNP4/1PP3PP/R2Q1RK1 w kq g6,c3e2
b2Q4/1q2p1kp/1p3pp1/8/2P5/6P1/PB3P1P/6K1 w - -,d8d5
2rr2k1/p1q2ppp/1p2p3/8/2PPb3/4P2P/P2NQ1P1/2RR2K1 b - -,e4b7
r2qk2r/1p1bbppp/p1nppn2/8/3NP3/1PN3P1/PBP2PBP/R2Q1RK1 b kq -,a8c8
r1bqnrk1/2p1bp1p/1p1p2p1/p1nPp3/2P1P1P1/2N1BN1P/PPB2P2/R2QK2R w KQ -,h1g1
1n3k2/5ppp/3np3/1p1p4/pP1P4/2N1P2P/P1N2PP1/6K1 b - -,b8a6
r2r1k2/q7/P1Rp2pp/1pnPpp2/4P3/Q4P2/P3B1PP/1R3K2 w - f6,e4f5
7r/4Nppp/RB1pp3/6P1/1kP1P3/5P2/7P/6K1 b - -,b4c4
1nbq1rk1/p3bppp/1p2p2n/3pP3/1P1P4/P1NB1N2/1B3PPP/3Q1RK1 b - -,f7f5
r1bq1rk1/pppn1pbp/3p1np1/4p3/3PP3/2PB1N2/PP3PPP/RNBQR1K1 w - e6,c1g5:h2h3
r7/4Bp2/3R2k1/1p2Pp1p/2p3P1/P1P1K3/6b1/8 b - -,g6h7
8/8/2n1Pk2/2Qp4/1p6/1b1r1N2/1K6/8 b - -,b3a4
r1b2rk1/pp2nppp/5n2/q2p4/2pP4/P1P1P1N1/2BB1PPP/R2Q1RK1 b - -,f8e8
8/3R1pkp/4p1p1/1n6/4P3/3PK1PP/5P2/8 b - -,b5a3
7r/pp1bk1pp/4p1n1/2r5/P1BNPp2/2P2P2/2K3PP/1R1N3R b - -,c5c4
2rr2k1/p2q2pp/bpp1p3/5p2/2PP4/4P1P1/P2Q1PBP/R1R3K1 b - -,e6e5
8/8/P5R1/5k1p/8/4K3/8/r7 w - -,g6h6
5R2/5p2/P5p1/5k1p/r3p2P/4K1P1/5P2/8 b - -,a4a3
2kr3r/ppp2p2/2n3n1/3p1Nq1/3P2Pb/1P2PB1R/PB2Q1K1/7R b - -,d8e8
1rb1r1k1/2q1bppp/pp1ppn2/8/P2BPP2/2N3P1/1PP1Q1BP/R4R1K w - -,e4e5
3r1r1k/p1nqppbp/6p1/Pp1p1P2/1PpP2QB/2P1P2P/3NR1P1/5RK1 b - -,c7e8
2r1kb1r/1pq2ppp/p2pp3/4n3/3RPBn1/N1P2N1P/PP2QPP1/R5K1 b k -,e5f3
r1bq1rk1/bpp2ppp/p2p2n1/3PN2n/2P1P3/P1N4P/1P2BPP1/R1BQ1R1K b - -,g6e5
7r/3b1p2/pp1k1pp1/3p4/3P3P/PPN3P1/3K1P2/2R5 w - -,f2f3
2r1r3/1pq2pbk/p2pp1pp/2n5/PnP1P3/1PN2P2/4NBPP/1R1Q1R1K b - -,c5d3
r2q1bk1/1p3pp1/7p/2pb4/3prB2/P4NP1/1P2PP1P/R1Q1R1K1 w - -,f3d2
5r2/pkp1R2p/8/2p5/3p2p1/3q2B1/PP2R2K/8 w - -,e7c7
4r3/1pR1bpkp/4p3/1p2N1p1/r2P2P1/P4N1P/1P2KP2/8 w - -,c7b7
6k1/p4p2/2p2p1p/4b3/1rP1N3/8/P4PPP/2R3K1 b - -,b4b2
8/6pk/2Nbp2p/1p1q1p1P/1P6/4P1P1/3r1PQ1/2R3K1 b - -,d2d1
5r2/1pp4k/3p1qp1/3Pp2P/r1P1P1p1/4Q3/Pp6/1K3R1R b - -,f6f1
4r3/5k2/3q2pQ/3p4/1pnr1N2/6PP/P4PK1/2R5 w - -,h6h7
2r3k1/pp1bpp1p/1q1p1npQ/4n3/3NP1PP/2P2P2/P1PKB3/3R3R b - -,d7g4
r5k1/1pp1q2p/3pn1p1/p2P2P1/2P2p1P/8/PP1Q4/2K4R w - -,h1e1
8/p4k1p/2q3p1/1p3p2/5P1P/1N1Q2P1/Pb5K/8 w - -,b3d2
2kr3r/p2b1pQp/1pq1p3/2n5/1pP5/5N2/PBB3PP/2KR4 b - -,h8g8
3b2k1/1p5p/2p1b3/p4pq1/P1P1p3/1P2P1NB/2Q2P1P/6K1 w - -,g1h1
2Q2k2/5p1p/2n5/8/2pP3P/q4N2/2p2PP1/1rR3K1 b - -,f8g7
1rbqr1k1/1p1n1pb1/p2p1n1p/2pP2p1/P3P3/2N3B1/1PQNBPPP/R4RK1 b - -,d7e5
r4rk1/2pb3p/pbn3p1/1p1p4/3P2Pq/PP1Q3P/1BBN1PK1/R4R2 b - -,a8e8
2r2rn1/p2q1nbk/1p1p3p/3Npp2/5P2/PQ1P2Pb/1B1N3P/1RR3KB b - -,b6b5
r2qk2r/p1pb1pp1/2pp1n1p/2b5/4P3/3B1P2/PPP1N1PP/R1BQ1R1K w kq -,c2c3
8/6k1/1p2p1p1/1P3p2/1p3P2/1P6/4B1KP/4b3 b - -,g7f6
5r1k/1N4pp/p2R4/4p3/2bn4/2N4P/Pr4P1/6RK w - -,b7c5
r3r1k1/1pp2pp1/p1nq1n1p/4p3/4P3/1PP1bQ1P/1P3PPN/R3RNK1 w - -,f1e3
1r1q1rk1/R1pb2bp/1p1p4/1N1Pp3/2P1Pp2/1p6/1P4QP/R5BK b - -,d7b5
4k3/1pp1r3/p4Rp1/3Pp1Pp/1PP4n/2NK4/P7/8 b - -,h4g2
nkn3r1/1p4p1/p1q2p1p/2N1p2P/2P5/BP3P2/P2Q2P1/1K1R4 b - -,a8c7
r2q1rk1/pp1nppbp/3p1np1/8/2PNP3/1PN5/P4PPP/R1BQ1RK1 b - -,a7a6
q5k1/2p3p1/p1Np2p1/1p1Pp3/1P2P1Pp/2P4P/1P2K3/5R2 w - -,c6e7:f1a1
r3k2r/pp1b2pp/3bpn2/1N1pq3/8/P2B2P1/1P3P1P/R1BQ1RK1 b kq -,d6b8
8/4pk1p/6p1/5p2/3r1P2/2RP1K1P/P5P1/8 b - -,d4a4
5nb1/p4pp1/1kp1p2p/1pN1PP2/1P2P1PP/PB2K3/8/8 b - -,g7g5
r5k1/1bqp2pp/n2ppn2/p4p2/2P5/1Q2BNP1/PP2PPBP/R5K1 b - -,a6c5
8/8/r5p1/PR6/2p3KP/2P1k3/1P6/8 b - -,e3e4
