1k2b3/8/8/5N2/4KPP1/4N3/1r6/8 b - f3,b8c7
r1bqkb1r/pp3ppp/2n2n2/3p4/Q7/5NP1/PP2PPBP/RNB1K2R b KQkq -,f8e7:f8c5
4r3/pp1q1ppk/1b2n2p/3p1N1n/3Nr3/2P3B1/PP1Q1PPP/3R1RK1 w - -,d2c2
5r2/6k1/p2p4/3PbP1p/Pp2P3/1P6/8/5KQ1 b - -,g7f6
r5k1/1q1p1r1p/2b1p1p1/4P1P1/p1P4P/B3QpP1/2P2R2/R5K1 b - -,b7a6
4bk2/6pp/5p2/rp6/1Rn5/P1N3PP/1P2PK2/5B2 w - -,e2e4
r2r2k1/p4p2/1qpb2pp/2N1p3/2Q1P1b1/1P3PP1/P5BP/2RR2K1 w - -,d1d6
7r/3k1p2/3p1p2/r2Pp3/2Pb2P1/pP3P1p/N2R3P/1K5R b - -,a5a8
1r1rn3/3qbpkp/6p1/3Pp3/pnB1PN2/4BP2/1P2QPKP/R5R1 w - -,f4d3
8/2k2pp1/p3p2p/1b6/4PP2/1P2K1P1/P3B2P/8 b - -,c7b6
6k1/pp3ppp/1q3n2/4r3/3p4/PP1B1Q1P/2P2PP1/R5K1 b - -,g7g6
3r4/pb3p2/1p3Np1/3Pk1P1/8/P5K1/5P2/4R3 b - -,e5d6
r4q1k/1p1b2pp/p1p2n2/4Rp2/PP6/3P2PB/3BQP1P/6K1 w - -,h3f5
rn1qkb1r/pp3pp1/2p1pn1p/3p1b2/2P5/1P3NP1/P2PPPBP/RNBQ1RK1 w kq -,c1b2
4r2k/p6p/1p2R3/1B1p1p1q/P2Pnp2/1Q6/1P5P/5KB1 w - -,e6e8
qr4k1/3pbppp/2b1p3/p2n4/Pn1P4/BQ1N2P1/3NPPBP/2R3K1 b - -,e7g5
7R/8/8/5P2/4K3/5rp1/5k2/8 w - -,e4e5
3kb3/p1p3r1/3p1bpR/2p5/2P2PP1/3B4/PPKB4/8 b - -,d8e7
8/1Q4pk/p4p1p/3p4/P2P1bP1/4N2P/5PK1/4q3 w - -,b7d5
R7/5nk1/3q3p/p3b1p1/6P1/PQ3P2/KP4P1/8 b - -,d6c5
3b4/1Q3p1p/3kb3/1P2pp2/4P1r1/P5P1/3N1P1P/6K1 w - -,b7c6
1k5r/ppr1np2/4pq2/1P1pP1p1/7p/2PB2P1/P3QP1P/R4RK1 b - -,f6g7
4r2k/pp4bp/2p2ppn/8/3P4/1PPNq2B/P5PP/R2Q1K2 b - -,h6f7
1kr5/2r2p2/3np1p1/pp1p1NPp/3P3P/PPPR1R2/1KB2P2/8 b - -,d6f5
r4nk1/1p1br1pp/2p1pq2/2Pp3P/1p1P2N1/1P1BP3/P1Q2P2/2KR2R1 b - -,f6h4
rnbqk2r/pp3pp1/7p/2ppP3/1bB5/2N2N2/PP3PPP/R2QK2R w KQkq -,d1d5
3r4/2q3bk/p3p2p/4Pp2/2p2P2/2N1R1QP/PP6/2K5 b - -,g7f8
8/8/3pp1p1/2p1n2k/2P1P2P/6KP/1N6/8 b - -,e5c6
4r1k1/5pp1/2R5/p2P4/P2Q2Pp/5KbP/6B1/1q6 w - -,c6c3
rn3rk1/4pp2/pP3bpp/3P4/2N5/2p5/4BPPP/R2K3R w - -,d1c2
8/7R/r7/7p/4k3/2p3BP/6P1/7K w - -,h7h5
2b3k1/4q1pp/1p2pp2/r2n4/6Q1/P1n1PN2/4BPPP/2BR2K1 w - -,d1e1
rn1qkb1r/pp3ppp/2p1pn2/3p4/3P1Bb1/4PN2/PPPN1PPP/R2QKB1R b KQkq -,b8d7
r1r1n3/1Rp2kp1/p1P1p3/P2pPp2/7p/3P1BP1/5P1P/2R3K1 b - -,g7g6
r1bq1rk1/1p2bppp/p1n2n2/2Pp4/P7/1PNBPN2/5PPP/R1BQ1RK1 b - -,e7c5
r1b1k2r/pp3ppp/2n1p3/5qN1/7Q/P3P3/1P3PPP/3RKB1R b Kkq -,f5a5
8/8/8/6p1/2p2k1r/5P2/4K3/6R1 w - -,g1g2
6b1/6P1/8/1p6/3k1K2/p7/1N6/1B6 b - -,b5b4
3r2k1/1p3pb1/4pnp1/3p3p/2PP1PP1/1P2NK1P/rBR1R3/8 b - -,b7b6
2r5/pp2kpB1/4p3/1n1p1P2/b4R1P/P2P4/R1p3P1/2K5 b - -,c8g8
2r2r2/pp3pbk/n1p3pp/3N4/2Bpq3/5N1P/PP3PP1/R2Q1RK1 w - -,f1e1
8/Rb1r1pbk/1q4pp/2pP4/1p2QpP1/7P/1PP2BB1/6K1 w - -,e4e8
r3r1k1/ppqb2bp/2ppnpp1/3n2B1/3P1P2/N1PB1Q1P/PP1N2P1/R3R1K1 w - -,g5h4
7r/1p2kppp/p3p3/N1PP4/b2n4/8/4BPPP/4R1K1 w - -,e2c4
8/6k1/1K1r2p1/6P1/2R4P/8/8/8 w - -,b6b7
r1bqnrk1/pp3pbp/n2p2p1/2pP4/2N1NB2/8/PP1QPPPP/R3KB1R b KQ -,a6c7
r1bqk2r/1p1n1ppp/p1p1p3/8/2PPQ3/8/PP1N1PPP/R3KB1R w KQkq -,f1e2
r3n1k1/2q2ppp/2p1b3/ppP5/4P3/P1B2PP1/2Q3BP/3R2K1 b - -,a8d8
5k2/rB1K1p2/P3p3/4R1pp/8/5PP1/7P/6b1 b - -,g5g4
r2r2k1/pp3p1p/4b1p1/4B1Pn/3pPP2/1P3B2/P6P/2RR2K1 b - -,a8c8
r1br1nk1/pp4p1/2nb1q1p/3pP3/N7/3BBN2/PP3PPP/2RQ1RK1 b - -,c6e5
r7/5Qrk/3p4/P1p1p2P/2P5/8/P7/1R4K1 w - -,f7g7
r2q1rk1/2pb1pp1/2np1n1p/p1b5/Pp1pP3/1BP2N1P/1P3PP1/R1BQRNK1 w - -,c3d4
2r3k1/8/8/1Pn1Bp2/3K1P2/P2p2P1/8/3R4 w - -,b5b6
5rk1/4npbp/3R2p1/2p1p3/4P3/6P1/PP3P1P/R5K1 b - -,f8c8
2r1k2r/pR3ppp/2p2q2/3p1P2/3P1Q2/8/P1P3PP/4R1K1 b - -,e8f8
1r1q3r/4ppk1/p1p2nP1/8/N2P4/2Q5/PPP2P2/1K1R3R b - -,h8h1
8/5p1k/N3bP2/q6p/Q3p3/KP2P3/P1r5/5R2 b - -,c2a2
4k1n1/p1r1ppbp/6p1/4P3/8/3NBP1P/5P2/1R4K1 b - -,g8h6
3r1k2/pp3pp1/r7/7p/Pn2P3/1P1p1KPP/3R1P2/3RN3 b - -,a6d6
8/2p4r/pp2pkbp/8/1P5R/4N1P1/P1PK3P/8 b - -,h7d7
r1bq1rk1/p2n1pbp/2p1p1p1/3pP3/N4P2/4B3/PPPQB1PP/R3K2R b KQ -,d7e5
r5k1/2p2pp1/p2b1r2/1p1p1q1p/1P1P4/2P1BPP1/1PbNR1QP/R5K1 b - -,c2d3
r6q/pp3k2/2p1bp2/3p1n1p/3P4/3P1P2/PP1QN2P/2K3R1 w - -,d2a5
r3r3/2Nb1nkp/1pp2qp1/p1n2p2/2PQpP2/1PN3PP/P5B1/3RR1K1 b - -,d7e6
r2q1rk1/1p2bppp/nn2p1b1/p2pP3/3P1NP1/4B2P/PP1N1PB1/R2QR1K1 w - -,a2a3
5rk1/pb1rq1bp/1p2p1p1/2ppP3/2P2P2/3B1NP1/PP2Q2P/R4RK1 w - -,f3g5
rq3rk1/1b1p1p1p/1p2p1p1/p1n1b1B1/2P1P3/1PN2P2/P2QB1PP/2RR2K1 w - -,h2h3
7r/pb1n1pk1/1p1qp3/6p1/3P4/5P2/PP2Q1PN/1B1R2K1 w - -,h2g4
2r2rk1/pbqn1ppp/1p2pb2/2pp4/P1PPn3/1P1BPN2/1B2QPPP/1NR2RK1 w - -,c4d5
rn3rk1/1pq1ppbp/p2p2p1/Q2n4/4P3/N3BP2/PP2B1PP/R4RK1 w - -,a5d5
4R3/p4rqk/1p1pRr1p/5Pp1/P7/2Q2PP1/1PP4P/6K1 w - -,g3g4
8/1p6/7p/P1P3p1/8/3r1P2/2kpK2P/3R4 b - -,d3d5
r3k2r/ppqb1ppp/3bp3/3nn3/4Q3/2PB1NP1/PP3P1P/RNB1K2R w KQkq -,f3e5
2r3k1/1p2r3/4p3/1PPpPp2/6pp/8/2R2PPP/1R4K1 w - -,b1c1
6k1/6p1/6K1/4N1P1/1p3P1p/8/8/7r w - -,e5c6
R7/8/8/4P3/k2K4/pr4P1/5P1P/8 b - -,a4b5
2r1rbk1/4qp2/p2p2pp/1p1NnB2/5R1P/6Q1/PPP3P1/1K3R2 b - -,e7b7
8/pp5p/5rk1/3bR3/P7/2r5/7P/5RK1 w - -,e5d5
R3r3/1P6/8/2PB4/1K1np3/5k2/6p1/8 w - -,a8e8
r1b1r1k1/p4pbn/2p3p1/2p1p2p/3pP1Pq/1P1P1PNP/PBPN1K2/R2Q3R b - -,g7h6
8/r7/1k6/2pRp3/1p6/1P2K3/8/8 b - -,a7a3
r2q1rk1/p1p1p1np/1p4p1/3Pb3/4PpQ1/B1N5/PP3PPP/2RR2K1 b - -,d8e8
r1bq1rk1/pp2bppp/n1p1pn2/3p4/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 w - -,d2d3
8/5pp1/1pp5/p2r1k1p/P6P/4KPP1/1PP5/7R w - -,h1g1
rn2k2r/ppp2ppp/2b1p3/2b5/4PP2/3B1NP1/PPP4P/R1BK3R b kq -,b8d7
8/5k1p/6p1/npN5/1p2KPP1/2b1B2r/8/3R4 w - -,d1d7
