6k1/1RN2p2/5n1p/6p1/8/r5PP/5K2/8 w - -,b7b4
5Q2/kp6/pqn5/8/6P1/2P4r/PP3P2/1K1R4 w - -,g4g5
8/p4pk1/P1p2q2/2P5/6p1/4Q1P1/8/6K1 b - -,f6a1
7r/5k2/1p3qp1/1N2p3/P2p2P1/1P4p1/3QPP2/5RK1 w - -,g4g5
3R3r/pp2nk2/2p1b3/4b1p1/2P1P1P1/7P/PP2B3/3R2K1 w - -,d8h8
r1br2k1/pp1nbppp/n3p3/2P5/2P5/4BN2/PP2BPPP/RN1R2K1 w - -,b1c3
4Q3/6bk/7p/8/8/5N1P/6PK/q7 w - -,e8e4
r1bq1rk1/bp1p2pp/p1n1pp2/8/N1P1P1n1/5NB1/PPQ2PPP/2KR1B1R w - -,c4c5
2k3r1/ppp1r1p1/2n1p2p/4P1n1/3P1NP1/4K3/PP2N3/3R1R2 w - -,f4g6
r1bqkb1r/pp3ppp/2n1pn2/2p5/2N5/5NP1/PP1PPPBP/R1BQK2R w KQkq -,e1g1
1r2r1k1/1pn2b1p/pnp5/2N1Bp2/1P6/P5PP/4NPBK/1R1R4 b - -,e8e5
r1b1r1k1/pp3pbp/2p2np1/2n1p3/2P1P3/2NQBNPP/PP3PB1/R4RK1 b - -,c5d3
8/5pkp/1p2q1p1/1R1p4/6P1/3n1Q1K/7P/8 b - -,h7h5
5k2/1n3pb1/6pp/1Np1p3/2B5/2P4P/P2N1PP1/3b1K2 b - -,d1a4
4rbk1/pp1r3p/4n3/q2pP1pP/3P1pP1/1P3B2/P4BQ1/2R2RK1 w - -,c1c2
r1b2rk1/ppq2pb1/2n3pp/2p1p3/2P5/1Q1P1NP1/PB2PPBP/R4RK1 w - -,b2c3
3k3r/p1n1rp1q/1p2PR1p/3p3Q/2pP1N2/P1P5/3K1PP1/4R3 w - -,e6f7
2b1k2r/2b3pp/p3p3/4N3/4B3/8/PP3PPP/2R3K1 b k -,e8e7
2r5/6pk/4n2p/4R3/P2nP3/2p3P1/5PKP/2R5 b - -,c3c2
2r5/p3b1pp/1p2k3/4p3/8/2P1B1P1/PP5P/3K3R b - -,h7h5
1k5R/1pp5/4p3/2b1P3/2P1K3/2r5/8/5N2 b - -,b8a7
r4rk1/pbqn1ppp/2p2n2/1pb1p3/4P2N/6P1/PPP1QPBP/R1BR1NK1 w - -,h4f5
r6k/1q4pp/3pBb2/1p1Pn3/1P1B4/2P4P/6Q1/5R1K b - b3,b7e7
2r1r3/pppq2kp/5pp1/3p3P/3P1Q2/2P2P2/P1P3P1/4RRK1 b - -,c7c6
4kb1r/2rp1ppp/p3pn2/1b2N3/N3PP2/P2P4/6PP/R1B2RK1 w k -,a4b2
r1b1kb1r/pp1ppp1p/1nn5/4q1N1/2pP4/2P5/PPB1QPPP/RNB1K2R b KQkq d3,c4d3
r7/1p5k/p1pPp2P/4Ppp1/1P1P4/1P2K3/7R/8 b - -,a8b8
k2r3r/np1qbpp1/p1p1pn2/7p/PPPP4/1QN1BPN1/6PP/R2R2K1 w - h6,d1d2
8/6p1/P1k1P2p/1pb1Bp1P/3K4/8/6P1/8 w - -,d4d3
8/6kp/p1QP1bP1/4r3/1q6/1N6/PP6/1K5R w - -,c6d7
r3nrk1/1p5p/p2pP1p1/q1p1bp2/P3P3/2NQB2P/1P3PP1/R4RK1 b - -,f5f4
r2q1rk1/2pbbppp/p3pn2/1p2N3/1n1P4/1P2P1P1/1B2QPBP/RN1R2K1 b - -,c7c6
r3r1k1/1b3pbp/3Bp1p1/ppP5/3P4/1P3N2/5PPP/3R1RK1 w - -,f3e5
2k2r1r/ppqnbpp1/2p1p3/3pP3/3P2P1/2P4P/P1P3BB/1R1Q1RK1 w - -,f1f2
r2q1rk1/5pbp/3p1np1/3N4/3pPP2/P7/1PQ2KPP/R1BR4 b - -,f6d5
8/2p1n3/p1P1kp2/2P1p2p/1K2P2N/7P/P7/8 w - -,b4a5
r7/4R3/5K1k/5P2/8/8/8/8 b - -,a8a6
2r2k1b/pR3p1p/6r1/6q1/2Pp4/3Q2B1/P4P1P/4R1K1 w - -,h2h4
rnbq1rk1/p3ppbp/1pp3p1/3nP3/3PN3/P4N2/1PP1B1PP/R1BQ1RK1 w - -,c2c4
2r3kr/pp3pbp/3q1n2/3ppP2/B2p4/3P2Q1/PPPB2PP/R4RK1 b - -,h7h6
rnbqk2r/pp3ppp/3ppn2/2pP2B1/1bP5/2N1P3/PP3PPP/R2QKBNR b KQkq -,d8e7:e6d5:h7h6
8/5kpp/p7/P2P1p2/8/1p1nBKPP/1Pr2P2/3R4 b - -,d3b2
8/p5kp/3p2p1/bP2p2P/P4rP1/3K4/8/3B3R b - -,h7h6
r1bq1rk1/1p1nbppp/p2pp3/6P1/3QP3/2N5/PPP2PBP/R1B2R1K b - -,b7b5
r1b1q3/p5k1/2nPpNp1/1pp1PrB1/2p3n1/5N2/PP3PP1/R2QKB2 b Q -,g4f6
6k1/3Nbpp1/2Q4p/q6P/P1K3P1/P4P2/8/8 b - -,e7a3
1k6/p4p2/P1p5/4p3/1P1pPQ2/5KN1/5P1q/1R6 b - -,e5f4
1r3bk1/3R4/6pp/5p2/2PB4/5P1P/7K/8 b - -,b8c8
r2q1rk1/3bbppp/2p1pn2/pp1nN3/3PN3/1B6/PPPBQPPP/3RK2R w K a6,a2a4
r1b1kb1r/p5pp/2nn4/1p1pp3/2p1P3/2P2PBN/PP1N2PP/2KR1B1R b kq -,d5d4
8/5p2/R4Pkp/3pK3/Pr1P4/4P3/8/8 w - -,a6a8
2rr2k1/pb3ppp/2n1p3/2p5/2P1PP2/qP1p1NPP/P4RB1/3RQ2K w - -,f2d2
r3r1k1/2pq2pp/1pp2p2/3bP3/1P1P4/5P2/2QR2PP/2N1R1K1 b - -,d5f7
2r1r1k1/pbqn1pp1/1p2pn1p/8/3P3B/2PB1N2/P3QPPP/2R1R1K1 w - -,h4g3
2r3k1/1pr1pp1p/2np2p1/p7/nPP1PP2/P4NPP/2RN1K2/2R5 w - -,c1b1
5rk1/1p1Rnrp1/p1p1Q2p/4P3/1q2NP2/4R1P1/P4PK1/8 w - -,e4d6
1r3rk1/4n2p/pn1q2pQ/1ppPp3/4P3/P2P2PP/6BK/B1R2R2 w - -,h6g5
3rkbnr/pp1q1ppp/4p3/8/Q2n4/2P1B3/PP3PPP/RN3RK1 w k -,a4d7
8/R4p2/6k1/6p1/1p1np1P1/1P5P/P4B2/3r1K2 w - -,f1g2
r1bqr1k1/pppn1pbp/3p1np1/8/2PNP3/2N1B2P/PPQ2PP1/R3KB1R w KQ -,e1c1
8/p3k2p/1p3p2/2p3Pr/2P1P3/4P3/P3KP2/3R4 b - -,f6g5
rbbqk2r/pp1n1pp1/5n2/1N1p2N1/3Pp3/4P2P/PPQ2P2/R1B1KB1R w KQkq -,c1d2
1k1r4/1pb2p2/p2p1N2/2q2P2/8/P2Q4/1PP4r/1K1RR3 w - -,e1e7
8/5pk1/6p1/r6p/3RPK2/5PPP/8/8 w - -,h3h4
5rk1/1b1r1p1p/pp2p1p1/2p5/P2qPP2/2NP1R2/1P2Q1PP/3R3K b - -,b7c6
8/1rp1r2p/3p2p1/p2Pq1k1/1pR1Pp2/1P3P1P/P1R3P1/2Q3K1 w - -,g1h2
8/2b5/4k2p/p1P1p1p1/2N1K1P1/1P5P/6P1/8 w - -,g2g3
r1r3k1/5pbp/3p2p1/8/1qp1P3/N5P1/1PQ2PKP/1R2R3 b - -,c4c3
5k1r/p3Np2/2p1pR2/1pP3Pp/3P4/4R3/bP3K1P/8 b - -,f8e7
r2r1k2/1b1n3R/p2p2p1/1p1n1pP1/5P2/PNBB4/1PP4P/R5K1 w - -,c3d2
2rr2k1/1bnn2bp/2pqppp1/p1pp4/3PPP2/PP1N1QP1/1B1N2BP/2RR2K1 w - -,e4e5
3rr1k1/pb2qp1p/1pp1pnp1/2P1Q3/1P1P4/1B3N2/P4PPP/3RR1K1 b - -,f6d5
3r4/3r1k2/p1Q2N1p/1pP2qp1/1Pb5/P4N1P/6P1/1R2b1K1 w - -,f6g4
rn4k1/5ppp/p2B1b2/1p6/2p5/5P2/PPP1B1PP/2K4R b - -,b8c6
1r2b2R/8/1k1p4/p3p1p1/2PpP3/3P2K1/P7/3B4 b - -,b8a8
KR6/P1k5/8/8/8/8/1r6/8 b - -,b2a2
3r2k1/p4p2/5Qp1/q7/8/1P2P3/P5P1/2R3K1 b - -,d8e8
8/8/6p1/3nk2p/8/4P3/4NPK1/8 w - -,g2g3
4r3/2bb3p/5k2/p4p2/1pN2P2/1P1P1B2/2P2K1P/R7 b - -,c7f4
8/8/8/4pK2/r7/2kn4/4Q3/8 b - -,a4f4
8/8/1p1k1p2/p1p2P1p/P2r4/3K4/2B5/6R1 w - -,d3e3
r2qrbk1/3b1pp1/p2p1n1p/nppPp3/4P3/2P2NNP/PPB2PP1/R1BQR1K1 b - -,a5c4
