8/1p6/p6k/7p/5K1P/1P1r2P1/P3R3/8 b - -,d3d4
1rn1nbk1/3b2r1/3p1q2/B2Pp1pp/N1N1Pp2/5P2/P3B1PP/2RQ1RK1 w - -,a4b6
8/p5pp/3Np1k1/P2pPpP1/8/1PQ5/1K3q2/8 w - -,b2a3
rn1qkb1r/pp3ppp/2p1pn2/3p4/3PP1b1/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,e1g1
r1r2bk1/5p1p/2q2np1/1NP1pb2/8/3BB3/2Q2PPP/1RR3K1 b - -,f5d3
r3k2r/ppqnbppp/2p1p3/3pPn2/3P2b1/1N3N2/PPPBBPPP/R2Q1RK1 w kq -,h2h3
r1bq1rk1/1p4b1/p2p2n1/PP1Pp3/2N1Pppp/B1NQ1BP1/5P1P/1R2R1K1 b - -,g4f3
r3k2r/pp1bbppp/8/3B4/5P2/1N2q3/PPQ3PP/R3K2R w KQkq -,c2e2
5n2/4k1pp/p1p2p2/3p4/3B1P2/1P4P1/P1P4P/5K2 w - -,d4c5
3k4/p1pn2pp/1p2B3/8/8/2P5/P1P3PP/3R3K b - -,d8e7
7k/1p3qp1/pn3r1p/3pr3/3P4/P1N3RP/1P2Q1P1/6K1 w - -,d4e5
8/r1p2p2/1pR5/4k3/1KP5/1P6/8/8 w - -,b4c3
r5k1/pp6/1n1p3p/2p2q1n/8/2N4P/PP1Q2B1/R5K1 w - -,d2h6
r1bqrbk1/1pp2ppp/p1n5/3np3/8/1P2P1N1/PB1PBPPP/RN1Q1RK1 w - -,b1c3
rr2n1k1/4pp2/q2p2p1/3P3p/n1p1P2P/R1P3P1/3NQPK1/2B4R b - -,e8f6
5rk1/5pb1/2b3p1/1p2p3/8/6NP/5PP1/RR4K1 w - -,a1a6
r1bq1rk1/pp2ppbp/2n3p1/3p4/3P4/2N1P1P1/PP1Q1PBP/R1B2RK1 b - -,e7e6
2r3k1/3qnpp1/p2p4/1p3P1p/1P2p3/PN2P2P/3Q2P1/5RK1 b - -,e7f5
rnbqkb1r/p3pp1p/2pp1np1/1p2P3/3P4/2N1BP2/PPP3PP/R2QKBNR b KQkq -,b5b4
8/7p/2q2p2/p2Rb1p1/P3P2k/1Q3K2/5P2/8 w - -,f3g2
7r/4kp2/3bp1p1/3p2P1/1nn2P1P/8/1P2B3/N2KB2R w - -,e1c3
3rr1k1/1p1nbp1p/1qp2np1/p2p4/3P4/2NQPPB1/PP1N2PP/1R3RK1 w - -,a2a3
r2qk2r/4bp1p/2p1nnp1/1p1pB3/p2P2P1/2NBP2P/PPQ2P2/1K1R3R w kq -,f2f4
r1bq1rk1/pp2ppbp/2Npn1p1/8/2P1P3/2N1B1P1/PP3PBP/R2Q1RK1 b - -,b7c6
r4r1k/pb3p1p/1p2p2q/2p3p1/3P1n1b/5N1R/PPPBBP1P/2K2QR1 w - -,d2f4
3r4/p3k3/1pp1bp2/4n1p1/3RP2p/1P3P2/PNP1B1PP/2K5 w - -,d4d8
r1bqk2r/1p3ppp/p1n2n2/3Pp3/8/PNQ1BP2/1PP3PP/R3KB1R b KQkq -,f6d5
r6k/Np6/3p3p/2pPb1p1/2P1p3/1P4P1/P3P2P/1R3K2 w - -,a7b5
r2qkb1r/pppnpppp/5n2/1B1p1b2/8/1P2PN2/PBPP1PPP/RN1QK2R b KQkq -,c7c6
rr4k1/3q1p1p/2Rp1bp1/p2P4/3pB3/3Q2P1/PP3P1P/1R4K1 b - -,a8a7
8/1p2Q1nk/1q5p/1pp2p2/4p3/2P3P1/1P3P2/3R2K1 w - -,d1d6
3rr1k1/5pbp/2pp1np1/8/4P3/2NQ1KPq/P1N2B2/1R2R3 b - -,f6g4
rnbqk1nr/pp3pp1/7p/2bp4/8/6P1/PPPN1PBP/R1BQK1NR b KQkq -,g8f6
3r2k1/q4bpp/8/1B6/PP1p1Q2/5P2/6PP/2R2K2 b - -,d4d3
8/7p/5R2/2k5/3bpp2/8/7P/5K2 w - -,f6f4
3r2n1/1p6/p3kn1Q/2P1Np1P/3P4/P7/1P4P1/6K1 w - -,h6e3
r1bqkbnr/pppnp1pp/3p1p2/6B1/3PP3/8/PPP2PPP/RN1QKBNR w KQkq -,g5e3
4r1k1/5bp1/1P3p2/8/1P1Q2Pp/7P/5KN1/2qR4 b - -,c1c2
6k1/6pp/2p5/5p2/3P1P2/2p3P1/2P1r2P/3R2K1 w - -,d1d3
8/8/8/8/5pk1/1R6/4r3/5K2 b - -,e2e3:e2d2
5r1k/5p1q/4pN2/1P6/3P4/2p3P1/1p1nQ2P/r4RK1 w - -,f6h7
8/4k1R1/4p2p/p3P3/1p1P3P/r1rBR2K/8/8 b - -,e7d8
rnbqk1nr/pp3ppp/4p3/8/1bBP4/5N2/PP3PPP/RNBQK2R w KQkq -,c1d2
r3k2r/pb1pqpp1/1pp3n1/2bPp1Np/2P1P1nP/3B1QP1/PP1N1P2/R1B1K2R w KQkq -,g5h3
r4rk1/pp2ppbp/2n3p1/2n5/3N4/1P2P3/1B2NPPP/3R1RK1 w - -,b2a3
rnb1k2r/1p1p1ppp/pq2p3/2b5/2PNP1n1/1Q1BB3/PP3PPP/RN3RK1 w kq -,b3b6
2kr1b1r/1bq2ppp/p2ppn2/1p6/3BP3/1BN2P2/PPP2QPP/2KR3R b - -,f6d7
1r1r2k1/4Bppp/p1q5/2pp4/8/1P4P1/PNP1QP1P/4R1K1 b - -,d8e8
8/5k2/8/5P2/6K1/1r2N1B1/8/8 w - -,e3d5
2r1rRQ1/2P3p1/7k/4p2q/4p2p/B3P1nP/6P1/4R1K1 w - -,f8e8
1r4k1/2p2ppp/p2b4/8/3n1qPN/7Q/P2BRPKP/8 b - -,d4e2
r2qkn1r/1p3pp1/2p2n1p/b1Pp4/QP1Pp3/P3P1Pb/5PBP/RNB2RK1 w kq -,g2h3
r2q1rk1/pp2bppp/2nnb3/2p1p3/2PpP3/1P1P1NN1/P2BBPPP/R2Q1RK1 b - -,f7f5
rnbqkbnr/pp3ppp/3p4/1Bp1p3/8/1P2PN2/P1PP1PPP/RNBQK2R b KQkq -,b8c6
rn1qkb1r/pp3ppp/2p1pn2/3p4/3P2b1/3BP3/PPPNNPPP/R1BQK2R w KQkq -,e1g1
5rk1/pp3qb1/2n5/1Qpp4/4pnr1/2PP1RN1/PP1B1P1P/R4K2 w - -,d3e4
8/5p1p/p3bP1k/2R5/3b2PP/2R5/6K1/8 b - -,d4c3
2b1q1k1/1pp3pp/p2b1p2/2p2P1N/4P2Q/1P1P4/PB4PP/7K b - -,d6e5
2r1kb1r/5pp1/p2pp2p/2n5/q2NPPPP/3PB3/pQ6/1K1R2R1 w k -,b2a2
r3r1k1/1p2qbb1/2p2npp/p2p4/2PNp2P/PP2P1P1/1BQ2PB1/3RR1K1 w - -,c4d5
4r2k/1p4p1/1P5p/8/4rK1P/Q7/6P1/8 w - -,f4f3
2rqk2r/pp1bbppp/1n2p3/3pP3/1n1P4/2N2N2/PP3PPP/RBBQ1RK1 b k -,b6c4
3rk2r/1p3ppp/p7/2n5/4P1P1/1PN4P/PP6/n1K2B1R b k -,a1b3
q6k/6p1/3p1r1p/2p1p3/1rP5/1p2R1P1/P1QR1P1P/6K1 w - -,e3b3
6k1/5pp1/1q1r4/R1p1p3/2PnP3/4BP1P/Q1P3PK/8 w - -,c2c3
r2q1rk1/pppn2bp/3p2p1/3Pp3/4Q1B1/4B1P1/PP3P1P/R4RK1 w - -,a1c1
8/4p3/4Pk2/p1pP4/PpP3p1/1P4R1/3KN2q/8 b - -,f6f5
r1bq1rk1/ppp1npp1/3p3p/1B1Pp3/8/3PPN2/PPP3PP/R3QRK1 w - -,c2c4
r1b2rk1/ppp1qppp/2np1n2/4p3/2PP4/P1B1PN2/1PQ2PPP/R3KB1R w KQ -,d4d5
2r2rk1/4bpp1/bq1p1n1p/1p2p3/4P3/PBBP1N2/3Q1PPP/2R2RK1 w - -,c3b4
r3qr1k/1ppbn1bp/3p1pp1/p1nPp3/2P1P1P1/2N1BPN1/PPBQ3P/R3K2R w KQ -,e1c1
5rk1/1p3p1p/3Pp1pb/Q3P3/3p4/PP1q2P1/5PBP/4R1K1 w - -,f2f4
r2q1rk1/pp1n2pp/2pbpp1n/3p4/2P3b1/PP1P1NP1/1B1NPPBP/R2QK2R w KQ -,b3b4
R7/2rnkp1p/3p2pP/1B1np3/3N4/6P1/5PK1/8 w - -,d4c6
r3r1k1/3b1pbp/p1p3p1/2Pp3n/8/2N2P2/PP2NBPP/2R1R1K1 b - -,g7h6
3r1k2/p1RP1np1/8/4pp2/B5p1/6P1/P4PKP/8 b - -,f8e7
3rrnk1/pp1nq1pp/2p1bp2/3p4/3P1P2/2NBPN1P/PPQ3P1/R4RK1 w - -,a1e1
r4rk1/1b3ppp/p1n1pn2/2b5/R7/1P2PN2/1B1NBPPP/2R3K1 b - -,c5e7
r4rk1/2pbq3/1p1p2pb/p1nPp2n/2P1P3/1P3PPp/P1Q1BN1R/R4NBK b - -,g8g7
5rk1/Q4pbp/4p1p1/4n3/8/4B3/Pr3PPP/3R2K1 b - -,e5c6
1qr1r1k1/1b1nbppp/pp1ppn2/8/1PPNP3/2N1BP2/P1RQB1PP/1R4K1 w - -,g1h1
8/8/1R2kn2/8/6r1/5N2/6P1/6K1 b - -,e6e7
r4rk1/pb1qbppp/1pn1p3/2pn4/Q7/2NP1NP1/PP1BPPBP/R3R1K1 w - -,a1c1
8/1p3k1p/3rpn2/P2b1p2/3P1K2/R4P2/1R5P/8 b - -,d6a6
