2b5/5p2/5k1p/8/4K2P/4N1P1/8/8 w - -,e3d5:g3g4
1r1r4/pp1bn1k1/2nN1ppp/2P1p3/8/2P2NP1/PP3PBP/R3R1K1 w - -,f3d2
r3r1k1/2p1qpp1/pp1p1n2/3Pp2p/P3P3/1Q1P3P/1P3PPN/R4RK1 w - -,h2f3
r3kb1r/p1pn1ppp/2p1p3/4P3/3PN3/1P3P2/PB2K1PP/R6R b kq -,a8d8
3rn3/p4k1p/1pRr4/3P1p1p/1P6/P1R3P1/4KPB1/8 b - -,e8f6
r1bqkb1r/ppp1pp2/2n4p/6p1/2pPP3/2P2NB1/P4PPP/R2QKB1R b KQkq -,f8g7
rn1q1rk1/pb2ppbp/1p4p1/2pp2B1/3Pn3/2PBPN2/PP1NQPPP/R4RK1 w - -,g5f4
r4k2/pp2br2/4pq2/7Q/4R3/8/PPP2PPP/1K1R4 b - -,a8d8
2q3k1/pb1r1p1p/1p3bp1/2r5/2P5/P1n5/1BBQ1PPP/R2R2K1 w - -,d2d7
8/7p/Q1P3p1/4p1k1/1P3p2/8/1P3K1q/8 w - -,f2f1
4r3/5qk1/p2np1pp/P2bR3/1P3PP1/2P4P/5Q2/4R1K1 w - -,f4f5
8/8/5k1p/5pp1/PR6/2P3P1/r4PKP/8 w - -,b4b6
3rr3/1kp4p/bn1pqbp1/B1p5/2P1NP2/1P1BQ3/P5PP/2KRR3 b - -,b7a7
8/5K1B/1r6/2k4R/8/2n5/1p6/8 b - -,c5d4
r2qk2r/pbpnnpb1/1p1pp1pp/6B1/2PPP3/2N2NP1/PP3PBP/R2Q1RK1 w kq -,g5e3
8/4kp2/4p1p1/7p/p1p4P/b2b2P1/3R1PK1/8 w - -,d2a2
2rq1rk1/pp1bppbp/3p1np1/4n3/3NP3/1BN1B2P/PPP2PP1/R2QR1K1 w - -,d1e2
1qrr2k1/3bb2p/p3p1p1/3pPp2/1n1NNPP1/4B2P/1PPQB3/R4R1K b - -,d5e4
1rr3k1/6p1/7p/5p2/1pNRbP2/pP6/P1P3PP/1K1R4 w - -,d1d2
rnbqk2r/ppp1ppbp/5np1/8/3P1B2/2N5/PPPQNPPP/R3KB1R w KQkq -,e1c1
r5k1/5p1p/r3p1p1/p1p5/1pP5/1P2PP1P/5P2/R2R2K1 w - -,d1d7
2r1n3/2r2kpp/R1ppb3/8/2P2p2/4N1P1/4P1BP/1R4K1 w - -,g3f4
4r1k1/1pp1P1pp/8/p7/P1R5/2b5/1P6/K6R b - -,c3e5
r2q1rk1/1pp2bpp/2n1pb2/1nPp1p2/3P1P2/pP1NP1P1/P2BN1BP/R2Q1RK1 b - -,f7h5
r6k/1p4p1/2p2p1p/p1q4P/2PQRn2/PP3P2/6P1/5BK1 b - -,f4e6
6k1/p4p1p/3qp1p1/2p3r1/P1R1QP2/1P2P3/5P1P/2Rr1K2 w - -,f1e2
8/5pk1/1q3np1/7p/8/5QP1/5P1P/3R2K1 w - -,d1c1
3rkb1r/1p2qppp/p1b1pn2/N7/P2P4/1P6/N3BPPP/2RQ1RK1 b k -,c6d5
r1b2rk1/1p6/p2q1PBp/2pPp1p1/P1P1Q3/1P4P1/8/R4RK1 w - -,g6h7
8/4P3/5k2/1p1p3p/1p1P1KpP/pP4P1/P7/8 b - -,f6e7
8/4Qp1k/4n1pp/pp6/8/1K1R3P/8/2q5 b - -,c1c4
3br3/3Rn1pk/1p3p1p/1Bp1p3/4P3/P5B1/5PPP/5K2 b - -,e7g6
Q7/p1q2p2/3pr1kp/2p1bnp1/4N1P1/2PP2P1/P5K1/1R6 w - -,g4f5
r3k2r/pp1nbppp/2p1pn2/q7/2BP4/2N2Q1P/PPP2PP1/R1B1R1K1 w kq -,c1e3
3r4/5pk1/1pp3r1/p1p1p2R/P3Pb2/1P1P2PR/2P3K1/3N4 b - -,d8g8
R3k3/5pb1/1p4pp/2p5/5B2/2P2P2/PP3PKP/1r6 b - -,e8e7
r3k2r/pp1nbppp/1qp1pn2/3p4/2PP2b1/2NBPN2/PPQB1PPP/2R1K2R b Kkq -,g4h5
8/6p1/1R3b1k/5K2/r3PP1p/8/8/6R1 w - -,e4e5
r1bq1rk1/2p1bppp/p1n1pn2/1p4B1/3P4/2NBPN2/PP3PPP/2RQK2R b K -,c8b7
7r/1p2k1p1/r3pb1p/1p6/1PppP1PP/P4B2/1P1K4/1R5R b - -,c4c3
3r1r2/q4pbk/p1p1p1pp/1p2P3/2pPPB1P/2P2RP1/PP1Q4/1K1R4 w - -,d2h2
8/5pk1/1p2p1p1/p6p/1B1qnP1P/P4QP1/6K1/8 w - a6,b4e7
8/2k5/p2p2p1/3Pp1P1/P3P3/K3B3/8/4b3 w - -,a3b3
8/5p2/6n1/6k1/4PP1p/3NK3/7P/8 b - -,g5g4
3rk2r/1bq1bppp/pNn2n2/4pQ2/4B3/1N2B3/1PP3PP/R4RK1 w k -,b6d5
3Q1rn1/p5kp/2p2pp1/8/8/2q2N1P/P4PP1/4R1K1 w - -,d8d7
r3k2r/pp1b1ppp/4p3/2bpP3/8/5N2/R1B2PPP/2B1K2R w Kkq -,c1a3
2r3r1/1p1kbpBp/p3p3/7N/8/1P2P3/P1bPKPPP/R6R b - -,c2g6
r4rk1/pp1nbpp1/1qp1pn1p/5b2/3P4/4PNP1/PP2QPBP/RNBR2K1 w - -,b1d2
5b2/8/2RNk2p/4pp2/1p6/6KP/1r3PP1/8 w - -,d6c4
r1b2rk1/p4ppp/2p2n2/8/Q7/4P3/Pq1B1PPP/2R1KB1R w K -,a4c2
1k1r3r/p1qn1p2/4pb2/1Q6/P1p5/4p1P1/1P1R1PBP/4K2R b K -,d7b6
2r2k2/pp2rp1p/5np1/1B1p4/P7/1P3P1P/2P3P1/1R2R1K1 w - -,b5d3
1k5r/1p4p1/p2r1p1p/PbR1pP2/1P1pP1PP/3P4/3BK3/6R1 b - -,d6d8
r1bq1rk1/ppp2pbp/3p1np1/4N3/2P1P3/2N5/PP2BPPP/R1BQ1RK1 b - -,d6e5
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/1QN2N2/PP2PPPP/R1B1KB1R w KQkq -,g2g3:c1f4:c1g5
2kr3r/1pp1b3/p1p2p2/4p1pp/P1N1P2n/2PPBP1P/1P2KP2/R2R4 b - -,h8e8
8/1p3b1p/p1p2kp1/2P2p2/5P2/1P2KBP1/P6P/8 w - -,e3d4
r6k/1pn1p1bp/2p3p1/5b1q/1PBP4/4PN2/1B3P2/2Q1K1R1 w - -,f3g5
2B5/7p/p2rn2k/5p2/5q2/7P/P4PP1/2Q2R1K b - -,f4c1
4r1k1/p1B3bp/1p4p1/2p1P3/2n5/5NP1/P6P/3R2K1 b - -,g7e5
7b/5p2/5P1P/p2Pk1P1/P3B3/5K2/1p6/8 b - -,b2b1q
1k6/1b4pr/p1q5/4pP2/2Pp1n2/1Q4RB/P2R3K/8 w - -,b3b1
5rk1/1p1b4/1p1q3p/3Pp1p1/1P2Pn2/4B3/1Q4PP/R4BK1 b - -,f4h5
2r4r/3n1pkp/1q2p1pn/3pP1N1/6PN/P1p3Q1/P4P1P/R4R1K w - -,f2f4
2rqk2r/1b1n1ppp/p1pbpn2/4P3/P2P4/2PB1N2/2QB1PPP/R3K2R b KQk -,c6c5
8/p5pk/2p5/1pR5/7p/8/rP3PPK/8 w - -,c5c6
4r3/pp2rpp1/2p1n2k/3p1n1P/3P1N2/2P2P2/PP1KN1R1/7R b - -,e6g5
8/3B2p1/8/p4P1p/P4b1k/3R3P/7r/5K2 b - -,f4e5
2q1rrk1/1p4p1/pB1Rn2p/PP2p3/2P5/5p2/4QPPP/R5K1 w - -,e2e4
3k4/pbp4p/4p3/2p1PP2/6P1/1PB1K2p/P6P/8 b - -,d8e7
r5k1/ppqb1pb1/2pp1npp/4r3/1PPNP3/2N2B2/P1Q2PPP/3RR1K1 w - -,c2b3
4r2k/1B5p/4n1p1/p1p5/2Pp4/1P4P1/P2PP1K1/R7 b - -,e6g5
2rr4/1p4k1/pPpPp1p1/P1PpPqp1/3K1p2/5P1P/3Q2P1/1R2R3 b - -,d8h8
4rbk1/1b3ppp/8/q2pN3/1p1Q1P2/2n1P2B/5P1P/B1R3K1 w - -,a1c3
8/4r3/R7/5pk1/8/5K2/8/8 w - -,a6a5
8/1p3k2/2b4p/2p2pp1/2Pp4/1P1Pn3/2N1Q1BP/2q1N1K1 w - -,c2e3
2k5/pp5R/3r1b2/8/PP6/1KPn4/4N3/8 w - -,a4a5
r7/8/3PR3/2pP2p1/2Pp1k1p/8/2K5/8 w - -,c2d2
2r2rk1/2q3pp/bp1b1n2/p2pNp2/3pn3/PP1N1PP1/1BQ1P1BP/2R2RK1 w - -,c2c7
3r4/4kp1p/b1RN4/p2P4/1pP5/1P1n3P/P5B1/6K1 w - -,d6f5
1r1q1rk1/pp1b2pp/2p1p3/3nPp2/3P4/1Q4P1/PP1N1PBP/2R2RK1 b - -,d8b6
