5bk1/p7/1p4Q1/4PP1p/7P/P2q2P1/7K/8 b - -,f8g7
2r2rk1/p2nbppp/1q6/2pP1Q2/8/2NpP1P1/P2B1P1P/R2R2K1 b - -,f8d8
r2r4/pbq2pk1/1p2n1pN/2p2PP1/2P1P3/2P1Q3/P1B4P/R3R1K1 b - -,e6f8
r1bqkbnr/pp3ppp/2np4/2p1p3/2P1P3/3P4/PP2NPPP/RNBQKB1R w KQkq -,b1c3
r1b1qn2/pp4bk/2p2npp/2P2p2/1P1P4/2N1PB1P/P1Q2PP1/R3R1K1 b - -,f8e6
r1bqr1k1/1p1n1pbp/2pp2p1/p4p2/2P5/1PN1P1P1/P2PNPBP/2RQ1RK1 w - -,a2a3
4rrk1/p2qn1bp/3p2p1/1ppP1p2/4PB1P/5QP1/PPN2P2/1R2R1K1 w - -,e4f5
8/6p1/5k1p/1R5P/2r2PK1/6P1/8/8 b - -,c4a4
6rk/1pr2pp1/pn3N1p/3pq3/b5Q1/5NR1/PP3PPP/4R1K1 b - -,e5f6
1r3rk1/p1b2p2/4p1p1/1b1pP2p/1P1R1P1P/1P2P3/2B2BP1/2K4R w - -,h1g1
r3r1k1/6bp/bpq2pp1/p2p4/P1pPp3/2P1P1BP/QP1N1PP1/2R1R1K1 b - -,f6f5
r7/3R4/8/4k3/2P2p2/5P2/2K5/8 b - -,a8a3
r2r2k1/p4ppp/1nn1q3/4p3/2ppP1P1/2P4P/PP2QP2/R1BB1RK1 w - -,g1g2
3Q4/8/4p2P/1pk2p1q/4p3/4P1P1/5PK1/8 w - -,d8e7
r1b1k2r/pp1nbppp/1qn1p3/2ppP3/3P1P2/2P2N2/PP2N1PP/R1BQKB1R w KQkq -,g2g3
1rbq1rk1/4bpp1/2nppn1p/1p6/3P4/1PN2NP1/P2B1PBP/R2Q1RK1 b - -,b5b4
rnbqkbnr/ppp1pppp/3p4/8/8/4PN2/PPPP1PPP/RNBQKB1R b KQkq -,g8f6
rnbq1rk1/ppp2ppp/4pn2/3p4/2PP4/4PN2/PP1N1PPP/R2QKB1R w KQ -,f1d3
8/2R5/1p1p1k2/1b6/7P/6P1/5K2/1r3B2 w - -,f1b5
r7/P2p3p/B1bPn1p1/4k3/5p2/8/2PK1B1P/1R6 w - -,a6b7
5k2/p2b3p/1b3pp1/3B4/2KN2P1/4P2P/5P2/8 w - -,f2f4
1r3rk1/1p1bppb1/pq1p2p1/3Pn2p/3N4/1P4PP/PB1QPPBK/2R2R2 b - -,d7c8
q4r1k/1b4rp/pb1p4/6N1/2pQP3/1PN5/P5PP/1B2R2K w - -,d4b6
rn1qk2r/1b3ppp/p2bpn2/1p6/8/3BBN2/PPPNQPPP/R3K2R w KQkq -,e1g1
1r6/p4pkp/2Pq1np1/1nNp4/1p1r4/1B1Q4/PP3PPP/2R2RK1 w - -,d3g3
4k3/1R6/2p2P2/p1PbpNK1/P5pp/8/7r/8 w - -,f5d6
8/6k1/5pb1/7p/4r1P1/2R1PK1P/8/8 b - -,e4a4
1r6/1p1rkppp/1np5/p4P2/Pn2N3/1B2PK1P/1P3P2/2RR4 b - -,d7d3
r4r1k/2pbnqpp/1p1p4/2nPpp2/pNP3P1/2P1PP1P/P2Q2RB/3B2RK b - -,e7g6
2bbr3/5qpk/ppn1prNp/2p5/2PpPPQ1/PP1P3B/3B2R1/5R1K w - -,f1g1
8/3r4/kpr1p1p1/2pnb1Pp/P1R4P/1R2BP2/3N1P2/5K2 w - -,f1e2
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQR1K1 w - -,h2h3
2kr2nr/pppq1pb1/2np2p1/3Np2p/2P5/1P2P1Pb/PB1PNPBP/R2Q1RK1 w - -,f2f4
2r2n2/1b2qk2/pp3pp1/8/3p4/2P3QP/PPB2PP1/4R1K1 w - -,e1e7
1rq1r1k1/1pn2pbp/p1p1b1p1/2Nnp3/1P6/P1BPP1PP/2Q1NPBK/1R1R4 w - -,c3b2
r1r3k1/1pq1pp1p/3p1bp1/p1nP4/2P2P2/1P6/P2B1QPP/2R1RB1K b - -,c7d7
5qkr/3bp1b1/p2pp1p1/1p4Rn/2rN3P/2NQBP2/PPP5/1K4R1 w - -,g5g6
1q1r1rk1/1p1bppbp/p1n3pn/1NP5/3PP3/3B1N2/PB1Q2PP/R4RK1 w - -,b5a3
r3r1k1/1pq1bpp1/2p2nnp/p3pN2/P3P3/2N1BQPP/bPP2P2/R3R1K1 w - -,a1a2
8/k7/P5R1/2p2p1p/8/1P2K2P/5P1r/8 b - -,h2h3
2r5/1p1qk3/p2b2p1/3Pp1Pp/4P3/3QBP2/1P4K1/5R2 w - -,e3d2
1r1r2k1/pnq2pbp/2ppbnp1/4p3/2P1P3/1PN2PP1/PB1QN1BP/2RR3K b - -,b7c5
8/7p/3p1Qpk/1q1Pp3/Npp1P3/7P/1PP3P1/7K b - -,b5a4
r1b1k2r/ppq2ppp/4pb2/2n5/4N3/3B4/PPP2PPP/R1BQK2R w KQkq -,e4f6
4r1k1/R7/P3n1p1/1R3pqp/3p4/1P1P1Q1P/2P2PPK/8 b - -,e8e7
3q2k1/4pp1p/p5p1/1bP1Q3/pP6/5B1P/5PP1/6K1 b - -,a4a3
8/8/8/1b1P1k2/8/2P1RPK1/6N1/6r1 b - -,g1a1
8/1r4kp/5np1/8/8/5PNP/3R1KP1/8 b - -,b7a7
r3nr1k/pbq2ppp/1pppnb2/5N2/P3P3/2N1B1QP/BPP2PP1/R3R1K1 w - -,a1d1
3qr1k1/1R3pp1/5nbp/8/P1Np4/3P2P1/2Q2PBP/R5K1 w - -,a4a5
r1b3k1/pp1rbppp/1qnppn2/1N4B1/4P3/1N3P2/PPP3PP/2KRQB1R b - -,a7a6
6k1/4b3/4p3/2p1Pp1p/2Nn1Pp1/1r4P1/1N3K1P/R7 b - -,b3f3
2kr3r/1bq2p2/2n1p2p/p1b1P1pP/PpQ5/1Pp2NP1/2P2PB1/3RRNK1 b - -,c7b6
2r1r3/1p2bkpp/p2p1n2/4p3/P2pPP2/1P5P/2Q1N1PB/R3R1K1 b - -,c8c2
r4bk1/5N2/r3p1p1/3pP3/3q4/1R6/P1p2PP1/2Q1R1K1 b - -,a6a2
rnb1k2r/pp2ppbp/5np1/2Pq4/8/2P1BN2/PP3PPP/RN1QKB1R b KQkq -,d5d1
8/2Q3bk/3rbq1p/5pp1/5n2/1N3P2/rPB2BPP/1R2R1K1 b - -,a2a6
1r6/2p1k1p1/3r1p1p/p1N4P/2KP2P1/PP2PR2/5P2/8 b - -,e7f7
4r1k1/1p1r2bp/p5p1/P1Bqnn2/4N3/1R3P2/5QPP/1R3B1K w - -,c5b6
5rk1/4Q1p1/4P3/2p5/2N5/6PP/4N1BK/3q4 b - -,d1e2
8/3n1k2/3r2p1/1P2p2p/4Q2K/5PP1/7P/8 w - -,h4g5
2rR2k1/2p1rppp/1p6/p3n3/2Q2P1B/2P4P/PP4P1/6K1 b - -,c8d8
2r2rk1/p4pp1/2n1q2p/3b4/5B1P/3p2P1/1Q2nPB1/2R1R1NK w - -,f2f3
1r2N1k1/q4pp1/p3p2p/1p6/7R/Pn3P2/1PP1Q1PP/R6K b - -,b3a1
2r3k1/Rp2bppp/8/8/n4P2/2P1B2P/PPb3P1/2K1R3 b - -,e7h4
r1bq1rk1/pp3pbp/n2n2p1/2pPp3/4PP2/2N3PN/PP4BP/R1BQ1RK1 w - -,f4e5
4k3/1p2pp1p/3p2p1/P2b2P1/P2P1P1P/4K3/8/2B5 b - -,d5b3
r3brk1/ppn3pp/2p1pp2/2Pp4/3P1P2/1PRBPN2/6PP/R5K1 w - -,h2h3
8/p1Q4p/6pk/1p4b1/2B5/1P5P/P4PK1/2r5 w - b6,h3h4
5rk1/1bq1rppp/8/p2pPR2/3Nn3/P1PBQ3/6PP/5R1K w - -,d3e4
8/2Q4p/6b1/1k2Bp2/1p3P1P/3Pn3/2P3PK/4q3 w - -,c7b7
rnbqkb1r/p4ppp/2p1pn2/1p2N3/2pPP3/6P1/PP3PBP/RNBQ1RK1 w kq -,c1g5
2r2rk1/p3ppbp/1pn1bnp1/2p3B1/2P5/2N2NP1/PP2PPBP/3R1RK1 w - -,c3d5
8/2pk4/5p1p/P2P1K1P/1pB1PP2/8/3b4/8 b - -,b4b3
2r2rk1/2q2pb1/6p1/1QpRn3/4PBPp/7P/P1P5/1NK2R2 b - -,c8b8
8/r7/8/4p3/4Pk2/2R2P2/2BK4/8 w - -,c2b3
2rq1rk1/4bppp/Bn1p2b1/p3n3/P2NP1P1/7P/1B1N1P2/R2QR1K1 b - -,c8a8
2rb1rk1/1p1n1pp1/p1pBp1bp/2Pp4/1P1P4/4PP1P/1P1NB1P1/R4RK1 b - -,f8e8
r3rqk1/pp1b2bp/6p1/2p5/2PppB2/3P1P2/PPNQ2RP/4R1K1 w - -,f3e4
rnbqkbnr/pp2pp1p/2pp2p1/8/4P3/2NP4/PPP2PPP/R1BQKBNR w KQkq -,g2g3
rnbqk2r/ppp1bppp/4p3/4N3/2BP4/2P5/P4PPP/R1BQ1RK1 b kq -,e8g8
rn1qk2r/pb1p1ppp/1p2pn2/b1pP4/2P5/P1N1P1P1/1P2NP1P/R1BQKB1R b KQkq -,b6b5
3r2k1/p1qb1r1p/1p1n1pp1/2bPp3/PNp1P3/2P2P2/2BQ1BPP/1R1R2K1 w - -,a4a5
r3qrk1/1ppb1pbn/n2p2pp/pN1Pp3/2P1P2B/8/PP1NBPPP/R2Q1R1K b - -,h6h5
rnbqkb1r/3p1ppp/pp2pn2/2p5/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,f1d3
r6k/pp4b1/n1pp4/4prq1/2PP2p1/6N1/PP2BPP1/R2QR1K1 w - -,g3f5
8/p1r2p2/1n3kpp/8/1P6/5BP1/5PKP/R7 b - -,f6e5
