2r5/8/K7/5k2/2P1R3/8/8/8 w - -,e4h4
r1bqr1k1/ppp2ppp/2np1n2/3Pp1B1/2P5/P1Q1PN2/1P3PPP/R3KB1R b KQ -,c6b8
6k1/6p1/8/4p1KP/4P1Q1/8/8/4q3 b - -,e1c1
1b6/1Q1k2pp/pp1q4/8/3P4/3Nr1P1/7P/2R3K1 b - -,b8c7
4rqk1/ppb2ppp/1np2n2/8/3P1P2/1BN2Q1P/PP1B2P1/3R1K2 b - -,f8d6
b1rr1nk1/1q3p1n/p3pbp1/1p2P1P1/1Pp2P1Q/P3BNK1/4B3/2R4R w - -,g5f6
1r3rk1/pb4pp/nbN2n2/1p6/3P4/PPN3P1/1B2qPBP/2R2RK1 w - -,c3e2
8/5ppk/4p2p/3pP2P/8/P2R1N2/r3r3/6BK b - -,e2e4
2b2r1k/p5np/1p1N4/3Pp1BP/2P5/r7/4KPR1/7R w - -,g5e7
b1r2bk1/Q4ppp/p2p1n2/4pP2/4P3/PN1q1B1P/5BP1/4R2K w - -,e1e3
8/5p1k/4p2b/4P3/5P1P/4K1Q1/8/5r2 w - -,e3e4
1r3nk1/2q1r1pp/1bbpPn2/1p3P2/1Pp5/2N2NPP/1B1Q2BK/3R1R2 b - -,b8d8
r2qkb1r/5ppp/p3pn2/np1p4/3P1B2/2NBPP2/PPQ2P1P/R3K2R b KQkq -,f8d6
8/p3k2p/2B1p1p1/8/P6P/4K1P1/r4P2/8 b - -,e7d6
3r1rk1/pp3pbp/1q2b1p1/2p1P1P1/3n1P2/2NBQP2/PPP4P/2KR2NR w - -,d3e4
r1bqk2r/ppp1bppp/2n1pn2/8/3PP3/2NB1N2/PP3PPP/R1BQK2R w KQkq -,e1g1
k6r/1p1q1p2/p5p1/3PQ3/2P5/1PK2P2/8/8 w - -,e5h8
1k2r3/8/p1qp2p1/1pp2p1p/3n1P1P/1PNP2P1/1PP2Q2/2KR4 w - -,d1e1
8/5r2/P7/1k3p2/1N3Kp1/3N2P1/8/8 w - -,d3e5
1k6/p4p2/P1p5/4p1b1/1P1pP1Qr/5KN1/5P1q/1R6 w - -,g4g5
8/2Rk3p/8/2p1ppp1/2P5/P5PP/2K2P2/8 b - -,d7c7
8/8/kp5p/2p1R2P/P7/1K2P2r/8/8 b - -,a6a5:h3h4
r2q1rk1/1pp2pb1/5npp/p2bn3/P7/2PP2P1/1P1N1PBP/R1BQR1K1 w - -,e1e5
2bk1b1r/p2n2pp/1p2Q3/3p4/3p4/3P2P1/Pq1B1P1P/4RNK1 w - -,d2g5
3r4/1r1q1pkp/1bR1bp2/P7/3p4/P5P1/3QPPBP/3RN1K1 b - -,b6a7
8/5p2/1n3k2/3BpPp1/4P1P1/2PK4/8/2B3b1 w - -,d5c6
r1bnrbk1/p1q2p2/5Pp1/1p2p3/2p1P2P/2P1Q1P1/PP1N2B1/R1B1R2K b - -,d8e6
3r3k/7p/4B1pb/4p3/1p2P2P/4NKP1/5P2/8 w - -,e3c2
r1q1k2r/ppp1bppp/2n2n2/3p1b2/3P1B2/1QN1PN2/PP3PPP/R3KB1R w KQkq -,a1c1
2r3k1/pb3ppp/4pn2/2p5/2P5/5NP1/PQ2PP1P/5rK1 w - -,g1f1
8/2R5/4Kpk1/8/8/2B2r2/8/8 w - -,c7c6
5r2/4Npkp/p2R1np1/P1n2P2/2P3P1/1r2P2P/6B1/R5K1 b - -,b3e3
3r2k1/p3bpp1/1p2pn1p/4B3/Q1PN4/P2q3P/1P3PP1/4R1K1 w - -,d4c6
8/4k3/1R3R1p/1p4p1/6P1/4P1KP/2q2P2/8 b - -,c2b1
8/3b2k1/4p3/1p4P1/5K2/1P3B2/1P2R3/1r6 b - -,b1f1
b4bnr/3pkppp/pq6/2N1p3/3nP3/P2Q1PP1/1PP4P/R3KB1R w KQ -,b2b4
8/5rk1/5p2/Pq5p/1P3Qp1/7P/6P1/1R5K b - -,b5d3
2rqr1k1/1p3ppp/p1nb4/3p1b2/1P1Pn3/1NP5/1B1N1PPP/R2QRBK1 w - -,d2e4
r1b2rk1/1p2bppp/p2qpn2/3nN3/3P4/1QN1BB2/PP3PPP/2RR2K1 b - -,b7b5
8/8/4p2k/3pPpp1/b2P2P1/pBP1P1K1/8/8 w - -,b3a2
2r3k1/5p2/3p2p1/R6p/1p5P/1P3PP1/P2QP1K1/1q6 b - -,c8c1
5bk1/2p2ppp/1r6/8/p1P5/1NB5/PK4bP/2R5 w - -,c3d4
5rk1/p2bqpb1/2np2pp/1rp1p3/4N3/P2P2P1/1P2PPBP/1RBQ1RK1 w - -,e4c3
r2q1rk1/1b2np2/p3p1pp/1p1pP3/1PnP4/P2B3P/3NNPP1/R1R1Q1K1 b - -,d8b6
5k2/1B3pp1/7p/p7/P7/4P3/4KPPP/2b5 b - -,f8e7
3r4/1p1q2pk/p1p2p1p/3n1b2/8/P3B1RP/1P3PP1/2Q1R1K1 w - -,e1d1
2r3k1/6p1/7p/P1p2Q2/1p1p4/1P2q2P/2P3PK/8 w - -,f5c8
2b2r2/1r3pkp/p1p1pNp1/1p2P3/1P6/5R2/P1P3PP/2KR4 b - -,b7c7
3k4/8/K2p2pp/2pPp3/2P1PpP1/5P1P/8/8 w - -,a6b6
r2q1rk1/pb1nbpp1/1pp1pn1p/3p4/2PP3B/2NBPN2/PP2QPPP/2R2RK1 b - -,d5c4:c6c5
r7/p1p2pk1/2p3p1/1r1b4/3P4/2K1PN2/P4PP1/RR6 b - -,a8b8
8/8/8/8/p2K4/q2Q2k1/8/8 b - -,a3d3
r4rk1/pp2p1b1/1qn1b3/3pP1PB/2pP4/2N1Q3/PPP2B2/2K3RR b - -,c6d4
r1bq1bk1/1p3r2/p2p1nn1/P2Pp2p/4Ppp1/2N2P1P/1PQBBNP1/R1R3K1 w - -,h3g4
1r6/3B3k/2P2ppp/1n6/4p3/7P/1P3PP1/R5K1 w - -,a1a5
6k1/7p/p2p4/2pP2p1/1pP2p1q/1P1Q3P/PB3rPK/R3r3 b - -,e1a1
1r6/4kppp/4p3/p1p1n3/PpP2P2/1P4P1/3RP1BP/5K2 b - -,e5g4
8/5P2/3k4/3B1K2/2P5/8/1b6/8 b - -,b2g7
r1bqk1nr/pp3pbp/2n3p1/1N1p4/3p4/5NP1/PP2PPBP/R1BQ1RK1 b kq -,g8f6:g8e7
8/1R5p/P2k4/3pp3/2pb2PP/1p3K2/8/3N4 b - -,e5e4
1br3k1/p5p1/1p2Nr1p/3p1P2/2PPn3/6PB/P5KP/2R1R3 b - -,g8h7
rnbqk2r/pp2ppbp/2p3pn/3pP3/3P4/8/PPPNNPPP/R1BQKB1R w KQkq -,h2h3
1nr4r/1b2q1k1/1ppbnp2/p2p2pp/P2P4/1P1NP1PP/N1R2P2/R2QBBK1 w - -,d1f3
8/8/4P3/5K2/2kp1P1p/7P/8/8 b - -,d4d3
3r1rk1/pq3p1p/1p6/2p5/Q2n2pK/P2P2P1/1P1B1P1P/R2R4 b - -,d8d5
2r1n1k1/p1r2pqp/bpn1p1p1/3p2P1/3P3Q/2N1PN2/PP1R1PP1/1B4KR w - -,f3h2
4r3/4P2R/p4rk1/4R3/b2N1p2/2p5/5P1P/7K w - -,e5h5
r1b2rk1/pp2q1pp/2p1pn2/3pNp2/2PPn3/6P1/PPQ1PPBP/R3NRK1 b - -,c8d7
2kr3r/pp1q1p2/1np1pbp1/5p2/3P1P2/1BP5/PPKBQ1PP/R2R4 w - -,g2g3
2r1r1k1/pQqb1pp1/1p5p/2p5/2Pp4/3P2P1/PP3PBP/R3R1K1 w - -,e1e8
8/r2k2p1/4p2p/5p2/3P1P2/1R2PP2/4NK1P/8 w - -,h2h4
rq3rk1/pp1bbppp/1n2p3/4P3/1n3B2/1BN2N2/PP2QPPP/R4RK1 w - -,a1d1
r1b1k2r/1pq1bppp/p2ppn2/4n3/P2NP3/2N1B3/1PPQBPPP/R2R2K1 b kq -,c8d7
6k1/1pr3pp/p3p3/3pP1b1/1B1P4/P5P1/1P4KP/4R3 w - -,b4c3
1r2r1k1/5ppp/5q2/2b5/P1N2n2/7P/2Q2PB1/1R4RK b - -,b8c8
r1bqk2r/2p2ppp/p1N1p3/2ppN1b1/3P4/8/PPP2PPP/R2QK2R b KQkq -,d8d6
6k1/1p5p/6pB/2rpb3/2P3P1/8/5RKP/8 b - -,e5g7
1r1qr1k1/5pp1/2pb1n1p/pbNp4/3Pp3/P5P1/1P1BPPBP/R1RQ2K1 b - -,b5c4
8/1p3k2/7p/2pP2p1/5p2/1P1PpN2/3qQ2P/5K2 b - -,d2c1
8/7k/4B2P/4NPK1/6P1/8/8/5r2 w - -,f5f6
2k5/ppp3p1/2nb2n1/1P1p4/P2P4/2P3r1/5K2/RN2B3 b - -,c6a5
