8/8/1r3k2/8/4KP2/4P3/3R4/8 w - -,d2h2
2rqk2r/3n1ppp/p3p3/1pn4b/7N/1N2Q1PP/PbPB1PB1/R4RK1 w k -,a1b1
2r2qk1/1p1brpp1/p2b1n1p/3Pp3/PP3n1N/1QN4P/2BB1PP1/1R2R1K1 b - -,g7g6
r1b2rk1/p1q2ppp/2p2n2/1p1Pp3/4P3/2NBP3/PPQ3PP/3R1RK1 b - -,f6g4
rnb2rk1/pp2ppb1/3p1npp/q1pP4/2P1PB2/2N5/PP2BPPP/R2QK1NR w KQ -,d1d2
1q4k1/1n1b1ppp/1B1p4/3Pp3/pP2P3/7P/5PP1/1NQ3K1 w - -,b1a3
1k1r3r/ppq2p2/2pbb2p/3p2p1/Q2P4/P2BP1P1/1P1N1PP1/1KR4R b - -,c7e7
3rr1k1/1bq1npbp/p2pp1p1/np6/3NPPP1/1P2B1N1/P1PQ2BP/3R1RK1 b - -,e6e5
8/8/2p1k1pp/1pPr2b1/1P1p1pP1/3N3R/5K1P/8 w - -,f2f3
r2q1rk1/ppp1nppb/2n1pb1p/3p4/2PP4/P3PNPP/1P1N1PB1/R1BQR1K1 w - -,b2b4
8/1p6/p2p2pk/4n3/Pp5P/6K1/1P4P1/3B4 b - -,g6g5
r1b2rk1/ppq1ppbp/2n2np1/3p4/4P3/2PBBN1P/PPQN1PP1/R4RK1 b - -,b7b6
2r5/1k1bqp1p/4p1pP/pp1pP3/3Q1PP1/P7/1PPR4/2K2B2 w - -,d4f2
1rb1k2r/p4p2/3qpP1p/1p3p2/2pP4/2P2Q2/PPB3PP/4RRK1 b k -,e8f8
6k1/pp3ppp/3b4/5b2/2q5/P1n2P2/1B4QP/R3r2K w - -,a1e1
r2q1rk1/1p1nbppp/p2pbn2/4p3/4P3/1NNQ2PP/PPP2PB1/R1B2RK1 w - -,c3d5
r1b2rk1/4bppp/p1nqpn2/1p6/3P4/P1NBBN1P/1P3PP1/R2Q1RK1 w - b6,d1e2:d1d2
r3k2r/2q2pbp/p2pb1p1/Pp4P1/2p1PP1R/2P1Q3/1P1NB1P1/R3K3 b Qkq -,e8c8
2r2r1k/2p3b1/p1np2qp/1p1BPp1n/7B/2P2N2/PP1Q1PPP/R3R2K b - -,c6e5
3r4/8/1R6/p4p2/k4P2/4P3/6PP/6K1 w - -,h2h4
n4rk1/3b1ppp/1q3n2/1Nb1p3/Pp5Q/3P1PP1/3BP2P/R2R3K w - -,d2b4
r2q1rk1/pp1bbppp/1nn1p3/8/2P1Q3/PN6/1P2BPPP/RNB2RK1 w - -,f2f4
5bk1/5p1p/3P4/r2B1b2/1pPp4/1P1P3P/8/5RK1 w - -,f1f5
6k1/1p2qpp1/p4n1p/P4Q2/2N1p3/1Pr4P/5PP1/3R2K1 w - -,f5c8
r2q1rk1/ppn1bppp/2np4/2p1p3/P3P3/2PPNN2/bP1B1PPP/R2QR1K1 w - -,a1a2
8/8/p1p3P1/1pP1k3/1P2p3/P3N2n/3K4/8 b - -,e5f6
8/8/p1pr4/P4k2/1PR5/4KP2/8/8 b - -,f5e5
8/8/8/3rkpp1/8/1R4P1/6K1/8 w - -,g2f3
2k4r/2p1bppp/4p3/N3n3/2P5/P3B3/1P3PPP/R5K1 b - -,h8d8
5k2/r6p/pBBP1P1b/P4bp1/1p3P2/6P1/4RK1P/8 b - -,a7d7
r1bq1rk1/pp2bppp/2n1pn2/8/2BP1B2/2N2N2/PP3PPP/R2Q1RK1 w - -,f1e1
b1r1r1k1/3nbppp/p1q1p3/2p1P3/P2p1NN1/B2P3P/3P1PP1/1R1QR1K1 w - -,f2f3
5rk1/1pq2rpp/2pb1n2/p2p4/P2B4/2NQ2PP/1PP1RPK1/4R3 b - -,d6b4
8/5k1p/1R6/6P1/p4PK1/P7/1P6/2r5 w - -,b6b4
4k3/1pr2p2/p1pR2p1/P1P1P3/4bPBP/6K1/8/8 b - -,c7e7
5rn1/2p4k/1p1p3p/pP1Pp1pP/2P2r2/P3N3/4RPP1/4K2R b K -,g8f6
r1b2rk1/1p3pp1/p2p1n1p/4P3/1n2P2N/1B1PB3/PP4PP/R4RK1 b - -,d6e5
r1b1r1k1/pp3pbp/5np1/q2pn3/P2NP3/2N3PP/1P3P2/R1BQRBK1 w - -,f2f4
2rq1rk1/1b2bppp/ppnppn2/8/2P1PP2/1NN1BB2/PP2Q1PP/2R2RK1 b - -,c6b8
r3r1k1/1pp3pp/p1p5/4N3/4Pp2/1P1P1Kb1/PBPNQ2q/R4R2 b - -,h2h5
8/pppkrpp1/b5p1/3P4/1P1N4/7P/P2R1PP1/6K1 b - -,a6c4
r5k1/2p2p2/p3Q1p1/1b1p4/1P1Pr3/2P2R2/2N3PP/R5K1 b - -,f7e6
3rr1k1/pp2qppp/1np1n3/4PQPP/2B2P2/8/PP1B4/1K1R2R1 w - -,c4d3
r1r1n3/1Rp2kp1/p1P1p1n1/P2pBp2/3P3p/3P1BP1/5P1P/2R3K1 b - -,g6e5
8/5k2/4R3/1r3P2/5K2/4P3/8/8 b - -,b5b1
rn3rk1/2q1bppp/p2pbn2/1p2p3/P3P3/1NN2B2/1PPB1PPP/R2QR1K1 b - a3,e6b3
1q3rk1/2nbp1bp/pr1p2p1/2pP1p2/2P3n1/RPN3PN/2QBPPBP/5RK1 b - -,a6a5
3rr1k1/pp3pp1/1np2n1p/4q3/4PP2/1bN4P/PPQB2P1/4RRK1 w - -,c2b3
rb3rk1/1p3ppp/p1n2n2/2PP4/5pb1/1BN2N2/PP4PP/R1B2RK1 b - -,g4f3
r1b1r1k1/ppp3b1/3p2np/3P4/2P1BPPq/8/PP3N1K/R1B1QR2 w - -,h2g2
3r2k1/5pp1/4p3/p3P2p/1p3P2/1Pp2K1P/P5P1/R7 b - -,d8d3
2rr2k1/1p3pp1/p1bppb1p/q7/2R1PP2/P3QB2/1PP1N1PP/1K1R4 b - -,a5b5
8/6r1/p7/P1Bp4/1P1Pk3/4P3/3K4/8 b - -,g7g1
r3r2k/ppn1Pp1p/5R2/2pP4/8/6N1/PPP5/4R1K1 b - -,c7d5
r1b2rk1/ppp1qpp1/3p1n1p/2b1p3/4P2B/1PNP1N1P/1PP2PP1/R2Q1RK1 b - -,c7c6
r2qk2r/pp3pp1/2pbpn1p/8/2PP4/4BB2/PP3PPP/R2Q1RK1 w kq -,g2g3
r3r1k1/1b2bppp/p2q1n2/1pRpN3/3P4/PQ2B1P1/1P3PBP/5RK1 b - -,a8c8
5R2/8/8/1P2k1P1/4p3/5p2/6r1/4K3 b - -,g2g5
4k3/bp2r3/p3r3/3p1p2/PP4p1/2PRN1P1/5K2/4R3 b - -,e6e4
1r5k/1r3ppp/5n2/3Pq3/2P1p3/4Q3/4B1PP/R4R1K w - -,a1d1
r3r1k1/3b2b1/pBppnqpp/P3ppn1/2P5/2NPP1P1/2QN1PBP/4RRK1 w - -,c3e2
7r/p1bk4/5n1p/2PP1p2/1P4p1/PB6/6K1/7R b - -,f6e4
3qrbk1/1prb1p1p/p1n1pnp1/3pN1B1/3P2P1/2NBP2Q/PP3P1P/R4RK1 w - -,f2f4
r3r1k1/bpqn1pp1/p1p4p/4PN2/1PQ2pP1/2P2N1P/1P3P2/R4RK1 w - -,c4f4
rn1q1rk1/p2n1p1p/1p2p1pQ/2ppP3/8/1P1PP3/PB1N1PPP/R4RK1 w - c6,f2f4
r1bq1rk1/pp1n1pbp/2pp2p1/4p1Pn/3PP3/2N1BN2/PPPQBP1P/R3K2R w KQ -,d4e5:e1c1
r1b1k2r/pppnq2p/5npb/1P3p2/2PPp3/P1N3PN/1B2P1BP/2RQK2R w Kkq -,h3f4
2kr1b1r/1pp1ppp1/p1nq3p/8/P2Pb1n1/2P1BNP1/NP2BP1P/R2Q1RK1 b - -,g4e3
r3r1k1/pp1n1ppp/2p1pn2/7Q/2PP4/1PBB2P1/P4PP1/R3R1K1 b - -,f6h5
r1bqkb1r/ppp2ppp/2n5/4N3/2Q5/4P3/PP3PPP/RNB1KB1R b KQkq -,c6e5
2r3k1/3bqppp/8/1p1n4/2pP4/4P1P1/4NPKP/R1Q3N1 w - -,e2c3
r3k3/p1q1Npp1/2p1p2r/3n4/N2p4/1P1P1QbP/PBP3P1/R4RK1 b q -,d5e7
7k/1p2n3/p3p1PP/3pP1K1/3P4/8/5N2/8 w - -,f2g4
3b4/1p3k2/p2p2pn/P1nP1p1p/1BPN1P2/4K1PP/2B5/8 b - -,h5h4
2r1k2r/pp2ppbp/6p1/2nR4/8/1NP1PN2/PP2K1PP/R7 b k -,c5a4
8/R2bk3/8/P2p3p/2p1p3/2P1K1P1/4N2r/8 b - -,e7d6
1r2r3/1b3pbk/3p1np1/1pq3B1/4P3/P1PQ3P/6BN/R3R1K1 w - -,g5e3
4k1nr/3b1pp1/pB1b2P1/1p1Pp3/8/1R3Q1P/q1PK4/5BR1 b k -,f7f5
8/1p1r4/p1b5/2P1k3/6K1/P4p2/1R6/4B3 b - -,e5e4
r2qkbnr/pbpnpppp/3p4/1p6/3PPB2/5N2/PPPN1PPP/R2QKB1R b KQkq e3,a7a6
r1bq1rk1/pp2bppp/2n1pn2/2p5/4P3/5NP1/PPPN1PBP/R1BQR1K1 b - -,e6e5
4r2k/ppp5/3p4/8/2r5/6RP/PP4P1/5RK1 w - -,b2b3
