8/8/3p2P1/3Pk3/8/6K1/8/1Br5 w - -,b1d3
6k1/3r4/pR4pp/P2p4/1P4P1/7P/5P1K/8 w - -,b6g6
r4rk1/p1p3b1/1pp1b3/5nPp/8/6NP/PPP1N3/R1B2RK1 w - -,g3h5
3r2k1/4ppbp/q5p1/3bN3/p2PpB2/P6P/1Q3PP1/2R3K1 w - -,b2c3
7r/pp1kb1p1/1q1rppbp/2p4P/2P3P1/2B1QP2/PP6/2KRR3 w - -,e3e6
rn1brnk1/1p1q1ppp/3Bb3/pP1pP3/3P4/3BNN2/2Q2PPP/R1R3K1 w - -,c2c5
1n2rrn1/1bp1qpbk/pp1pp1pp/8/P1BPPP2/2N2N1P/1PP1QBP1/3R1RK1 b - -,f7f5
r3r1k1/1pq1bpp1/p2p3p/3PnR2/P5P1/1P2B2P/2PQ2B1/R5K1 w - -,a1f1
2r2rk1/pb1nqppp/8/1pNp4/3P4/6PB/P3PP1P/2RQ1RK1 b - -,c8c5
2b2r2/p1p1k2p/2p2ppn/2N1p3/2P1P3/1P3N1P/P2RKPP1/8 w - -,e2e3
8/1kr5/1p6/5N1P/1bP1RR2/4P1P1/2r5/6K1 w - -,h5h6
r1bqkb1r/1pp2p1p/p1np2p1/4P3/4P3/2P2N2/PP3PPP/RNBQ1RK1 b kq -,d6e5
r2q1rk1/pb1pbppp/1pn1pn2/8/2Pp4/P1N1PN2/1PQ1BPPP/R1B2RK1 w - -,e3d4
r1bqk2r/ppppp1bp/2n2np1/5p2/3P4/2P3PN/PP2PPBP/RNBQK2R w KQkq -,h3f4
rn1q1rk1/ppp2p1p/5n2/3B2p1/1b2PpbP/2N2Q2/PPPPN1P1/R1B1K2R w KQ -,f3d3
bn1qrbk1/5pp1/3p1n1p/1P1pp3/4P3/1B3N1P/1P1N1PP1/2BQR1K1 w - -,e4d5
r1b1rbk1/ppq2pp1/2pp1nnp/4p3/3PP3/1BP2NN1/PP3PPP/R1BQR1K1 b - -,g6f4
4r2k/q1b3pp/1ppp1p2/8/2P2P2/1RB1PR1P/rQ4PK/8 w - -,b2b1
3r1bk1/1p2p1p1/2n4r/p2q3p/4RP2/2B2Q2/PP4PP/4R1K1 w - -,f4f5
5r1k/3rq1b1/p1Q1p3/6pp/1pPp2N1/1P6/1P1B2PP/2R4K w - h6,d2b4
8/4R3/1b4pk/4p2p/4p2P/8/4KPP1/8 b - -,b6d4
2r1r1k1/pb3p1p/5p2/2p3q1/N3p1N1/PP4bP/2Q3P1/2R2R1K b - -,g3f4
8/1p6/p1pBn3/P4k1p/5P2/1P2K3/2P3P1/8 b - -,e6g7
2b2rk1/Br1np1bp/5pp1/1p1Pq3/8/5B2/1PPN2PP/R2Q1RK1 w - -,a7f2
r2q1rk1/2p1npp1/p2pBn1p/1p2p3/4P3/2PPPN2/PP1NQ1PP/R4RK1 b - -,f7e6
r4bk1/6pp/5p2/1q2p3/1pN5/1PnQ2P1/4PP1P/2B2RK1 b - -,e5e4
r1b1kb1r/5ppp/pqpppn2/4P1B1/5P2/2N5/P1PQB1PP/3RK2R b Kkq -,d6e5
3b4/8/2r1kp2/PR4p1/6P1/2BK4/P4P2/8 w - -,c3d4
r3rbk1/pb1n1ppp/1qp5/1n1pPN2/5PP1/1PN4P/PB4BK/R2Q1R2 b - -,b5c3
2r3k1/p1r1bpp1/1qb1p2p/2NpP3/3P4/4QN2/P1R2PPP/5RK1 w - -,h2h3
5r2/b5k1/5rp1/R7/4B3/6P1/P3R1K1/8 b - -,f8f7
r5k1/pp1b1pp1/2pP1nnp/q7/2P2PP1/1P1B3P/PB1N1Q1K/R7 b - -,a8e8
8/4k3/ppr5/2n1pp1p/P1P4P/4K1P1/4BP2/1R6 w - -,a4a5
r3rbk1/1bqn1ppp/p1N2P2/1pp5/8/2N3PP/PPQ2PB1/R1BR2K1 b - -,b7c6
8/p4p1p/1p1k2p1/4P3/8/P1nBP1PP/5P2/4K3 b - -,d6e5
8/6k1/1ppK2p1/7p/5P1P/P7/1P1R2P1/2r5 b - -,b6b5
1r1qr1k1/5p1p/3p2p1/4b3/2QNb3/2B1N1PP/PP3P2/4R1K1 w - -,e3g4
3r1rk1/pp3pp1/2p1p2p/7P/3P4/2P1PNb1/PP4P1/1K4RR w - -,e3e4
rnbqk2r/pp2ppbp/6p1/1Bp5/3PP3/2P2N2/P4PPP/R1BQK2R b KQkq -,b8d7:c8d7:b8c6
r4r1k/bpp1qpp1/p2pbn1p/nP2p3/P2PP2B/2P2N2/2BN1PPP/R2Q1RK1 b - -,e6g4
r1bq1k1r/pp2npbp/3N2p1/3P4/Q2pP3/8/PP1B1PPP/R3KB1R w KQ -,d6c8
r3kb1r/1pq2ppp/p1n1pn2/2p2b2/2BP4/1P2PN2/PB2QPPP/RN3RK1 b kq -,f5g4
b2q1rk1/2pnbppp/4pn2/8/2BP4/4PN2/1BQN1PPP/5RK1 b - -,c7c5
r1r3k1/1q1nppbp/3p2p1/3P4/P1Q1PP2/6PP/1P1B2K1/R2NR3 w - -,c4e2
7r/5p2/2Qp2k1/4p3/p3P3/5P2/1PP4r/6K1 b - -,h2d2
4rrk1/pR3n1p/Q6b/N1Pp1p1q/3Pp3/4P1B1/P4PP1/5RK1 w - -,a5c6
r2qk2r/3bbpp1/p1Nppn2/1p5p/4P3/2N1BP1P/PPPQ2P1/2KR1B1R b kq -,d7c6
8/7p/2bk3P/1p1p1Pp1/p7/P1P2BK1/1P1R4/4r3 b - -,d6e5
8/8/2pB4/r1Nb1k2/5P2/2K5/8/8 b - -,a5a1
4rqk1/5r1p/p2p1np1/P1pP2B1/1pNb1PP1/5Q2/1P5P/4RR1K b - -,f7e7
8/1BB1nkp1/7p/p4p2/1b6/1P4P1/P6P/5K2 b - -,f7e6
r1b1r1k1/pp1nqpp1/2pbp2p/4N3/2PP1B2/6P1/PP2QPBP/R2R2K1 w - -,d1d3
r1bq1rk1/pp2bppp/2p1pn2/3n4/3P1B2/1BN1PN1P/PP3PP1/2RQK2R w K -,f4g3
r2r2k1/1bpn1ppp/1p2p3/pPq1P3/3R3P/2P3QN/1P3PP1/4KB1R w K -,f2f4
r2nr2k/1p1q2bp/p5p1/P3ppB1/1PPp4/1Q1P2P1/4RPBP/R5K1 w - -,g5d8
2k5/ppnr1ppr/2p1pn2/7P/P1PP4/1P2BP2/2K1B2R/7R b - -,h7h8
8/5p1k/4pp1p/r6P/5PP1/4PK2/8/4R3 b - -,h7g7
r2qkb1r/pppnpppp/5n2/3p2B1/3P4/2NbP3/PPP2PPP/R2QK1NR w KQkq -,c2d3
2r1kb1r/1p3ppp/1pn1pn2/3p4/5BP1/2P1P3/PP1NBP1P/R3K2R b KQk g3,h7h5
r3nrk1/1pq1bp1p/p2pp1p1/4P3/P2BBP2/8/1PP3PP/R2Q1R1K w - -,f1f3
1rr3k1/2q2pbp/2n1p1p1/3p4/R2PP3/2P1B2P/3NQPP1/4R1K1 w - -,e4d5
1r3nk1/3b1ppp/8/Q2N1P2/1n1Pq1P1/4P2P/PP6/K2R3R b - -,b4c2
r1r3k1/1q2b1p1/4pp2/p4b2/2pPP2p/2P2p1P/1PQN2PB/R3R1K1 b - -,f3f2
8/5p1p/R1N1P3/1pb3P1/2p1k1P1/8/KP4r1/8 b - -,f7e6
2b4r/4kp2/1q2p1pp/rN2P1P1/n1Q2P1b/2N5/PPPR3P/2KR4 w - -,c4b4
r2qrnk1/1p2bbpp/2p1p3/p2nP3/3N2Q1/1N4P1/PP1B1P1P/2R1RBK1 w - a6,a2a4
8/8/p3K3/3p4/1B2k3/1P3n2/8/8 w - -,e6d6
1r1qnrk1/pp1b2bp/3p1p2/1PpPpP2/P1N1P2P/3P4/3B2B1/1R1Q1RK1 b - -,g8h8
3r1rk1/pp1b2pp/2p1p1q1/4P3/2QP1pP1/5P2/PP4BP/3R1RK1 b - -,g6g5
rn1qk2r/pbp1bppp/1p6/3p2B1/3Pn3/2NBPN2/PP3PPP/R2QK2R w KQkq -,g5f4
1R6/4p3/2Ppk3/5p1p/5P2/6PP/6r1/3K4 b - -,g2g1
8/1q4pk/1P5p/7P/8/3Q4/5Kp1/8 b - -,h7h8
r2r2k1/7p/6p1/3q4/1p2pP2/2b1P3/P3B1PP/2RQ2K1 w - -,d1d5
2kr3r/1pbqn3/p7/2P2p2/3NQPpp/8/PPN2BPP/R6K w - -,e4e2
r2b2k1/1p3qp1/4p2p/1b1p1p1P/p2P1BP1/P3Q2B/1P2PP2/2R3K1 b - -,d8b6
r1bq1rk1/ppp2nbp/3p1n2/2P2p2/5N2/2N1BP2/PP1QB1PP/2KR3R b - -,g8h8
1r1q1rk1/1pp2pb1/2npbnpp/p2Np3/1PP5/P2P2P1/3NPPBP/1RBQ1RK1 b - b3,a5b4
r1bqkbnr/pp2pppp/2n5/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq -,c1e3:f2f4:g1f3:f1b5:f1e2:h2h3
6k1/1pp2qpp/pn1p1b2/5Q2/3P4/1P3N1P/P4PP1/4B1K1 b - -,f7d5
r2q1bbr/pp1k4/2n1pp2/2pp2nB/3P1BPP/2P1PP2/PP4K1/RN1Q1R2 b - h3,g5f7
2r2rk1/1bBnqppp/p7/2pp3n/8/P1NBPP2/1P1Q2PP/3R1RK1 w - -,c7a5
2k5/7R/3K4/3P4/8/8/4r3/8 b - -,e2d2
