7r/pp1k3P/3Pp3/8/7R/3K4/PP6/8 w - -,d3d4
1r4k1/pq4pp/2N1pn2/8/5P2/1P6/P5PP/2Rr2RK w - -,g1d1
8/3P1p2/6k1/2p5/8/1P3P1p/4K1P1/7q w - -,d7d8q
r4rk1/pp1bppbp/2n3p1/2qp3n/5B2/2P1PN2/PPQNBPPP/R1R3K1 w - -,f4c7
4r3/3k4/p1qpp2P/8/3QbP2/1PR5/PKP5/4R3 b - -,c6a8
r3k2r/pp1bqppp/3p1n2/1B6/4PR2/BQ6/P5PP/2R3K1 w kq -,e4e5
1rbq1rk1/p2nppbp/3p1np1/1pp5/3PPP2/2P3PP/PP2N1B1/RNBQ1RK1 w - b6,c1e3
1r6/pq2pr1k/1p1p2pp/1Rn2p2/2PQ1P1P/P2PP1P1/8/B4RK1 b - -,h6h5
6k1/1p2qp2/p2p2pp/3P2b1/3NQ1P1/P2P4/KP6/8 w - -,d4f3
r1q4k/p1p1brpp/1p1Ppnn1/8/4PP2/1QN1B3/PP2B1PP/3R1RK1 b - -,c7d6
2r1nrk1/6pp/2ppb3/2q1p3/2P5/1R2N1P1/1Q2PPBP/5RK1 w - -,b2a3
1r6/3k1pp1/p3b2p/2B5/PP6/5P2/5KPP/4R3 w - -,e1d1
2r3k1/3r1pp1/p2p1b1p/1p1PpP2/6P1/P1P1B2P/1P4K1/2R2R2 b - -,d7c7
1r1qnrk1/3bbppp/p1npp3/1pp5/2P1PPP1/1PNP3P/P3N1B1/R1BQ1RK1 w - -,g4g5
1rb2rk1/1p1nq1bp/p2p2p1/P1pPnp2/8/2N1P2P/1P1NBPPB/R2Q1RK1 w - f6,f1e1
5bk1/1r2np2/3pq2p/1p2P3/1P2Pp2/3Q1N1P/3B1PP1/2R3K1 b - -,d6e5
2Q5/4k3/1K4p1/8/1P6/8/8/3q4 b - -,d1d6
8/2k5/R1b4p/2P1p1p1/3p4/6P1/5K1P/8 w - -,a6b6
r1q1r1k1/1b2bp1p/pp1p1npB/2nPp3/2B1P3/5P2/NPPN2PP/R2QR1K1 b - -,f6h5
rr4k1/3nppbp/Q2p1np1/2pP4/4P3/2N1BPN1/PP4PP/R3K2R b KQ -,a8a6
8/4K3/nk1N2b1/3Pp3/1P2P3/8/4B3/8 b - -,a6b4
1r6/2RQbk1p/1B2pp2/3P4/N7/8/5KPP/q7 b - -,a1a2
6k1/1pp3p1/p2p3p/1P1PpP2/4Pn2/P1N3KP/2P5/8 b - -,g8f7
8/1p6/5p2/k1p2r2/1p2RNp1/6P1/P7/6K1 w - -,e4e7
rqbr2k1/1p2bppp/p2ppn2/4n3/P3PB2/N1N3P1/1PPQBP1P/R4RK1 w - -,a3c4
8/3k4/P7/7R/8/r3BK1p/8/8 w - -,a6a7
8/8/4k3/8/3r1b2/8/5RKP/8 w - -,f2e2
2q2rk1/5ppp/pr2pn2/2p5/8/5B2/PPP1QPPP/R4RK1 w - -,b2b3
3r4/n5pp/k3R3/8/4N3/8/5KPP/8 b - -,a6b5
8/4kp2/3p3p/3Pp2P/4P3/5K2/3b1N2/8 w - -,f3g4
8/1R3pk1/6p1/7p/5K1P/5PN1/8/6r1 b - -,g1d1
4r1k1/3R3p/pR6/6b1/2P1bp2/8/PP3K1P/8 w - -,c4c5
rnbqk2r/p3ppbp/2p3p1/1p2P3/3P4/2nB1N2/PPP3PP/R1BQ1RK1 w kq -,b2c3
4r3/5pk1/p2p2pp/Pp1Pq3/3QP3/1P5r/3R2R1/6K1 b - -,e5d4
4k1r1/5p1N/2b1pBp1/pp1nP3/2p5/1P6/P1R2PPP/6K1 b - -,c4c3
4bB2/1p6/p1kP4/7p/1P4p1/6K1/1P6/8 w - -,f8e7
3b4/3P1p2/r1B2nk1/6p1/3B3p/7P/6P1/2R4K w - -,h1g1
b4rk1/Q4p1p/1p3qp1/8/3p1P2/4nN2/PP3RPP/3R3K w - -,d1e1
2rqk2r/p4ppp/bp2pn2/3p2N1/2P5/PP1Q2P1/4PPBP/R2R2K1 b k -,d8e7
3r4/5p1p/5p2/p3k2p/R1K5/4P1P1/5P2/8 b - -,d8c8
r4rk1/p4p1p/1p2p1p1/nB2Q1Bq/3P4/2P2K2/P5P1/R3R3 w - -,f3g3
r3k2r/p1pp1ppp/bnp1q3/4P3/1bP1Q3/2N5/PP1B1PPP/R3KB1R w KQkq -,b2b3
1r5k/2pb1qb1/3p3p/1P1P4/p4P2/P5PP/1P1Q4/2K1R2R w - -,d2a5
4r1k1/3nqpp1/4b2p/r1pp4/Pp2n2N/1P4P1/1Q1BPPBP/2R1R1K1 w - -,g2e4
7k/6p1/2B2p1p/P7/1r6/6P1/7P/6K1 w - -,a5a6
3r2k1/5p2/p1p3p1/PpPrP2p/3P1P2/4K1P1/7P/R2R4 w - -,d1d3
b7/k1p2p2/1q5p/p1N3pP/P7/1PQ2P2/1KP3P1/8 b - -,a8d5
3r4/5n2/RP6/4p1pp/1pPbk3/6P1/1R2K2P/4B3 w - -,b2b4
4rrk1/4q1b1/n1p2npp/2p5/2P1p3/P6N/1P4PP/RBBQR1K1 w - -,h3f2
6k1/p4r1p/1p1qp1p1/2p5/2PpQP2/1P5P/P5P1/5RK1 w - -,f1f3
rnbq1rk1/p3b1pp/1p3n2/2ppNp2/8/1P4P1/P1QPPPBP/RNB2RK1 w - -,d2d4
r3r1k1/3bb1p1/4p3/3pPpN1/n1pP1P1P/1pP1K3/1p2N1P1/R1B1R3 w - -,c1b2
2b2rk1/p4pbp/2N2qp1/3N1n2/2P5/5Q2/Pr3PPP/R4RK1 b - -,f6c6
8/3kb3/p7/4RB2/2PBK3/1P6/3r4/8 b - -,d7e8
2rr2k1/1q2bp2/p3pnp1/1pn5/8/4PNB1/PP2QPP1/1BR2RK1 b - -,c5e4
3r4/p2r3k/7p/2Rp1qpb/1P1Qp3/PB4P1/5P1P/5RK1 w - -,b3d1
3r2k1/r3qpp1/p5p1/2b5/Pp1B4/1P2P1Q1/5P1P/2RR2K1 b - -,c5d4
8/Pk6/8/5p2/3Bb1p1/8/4KP1P/8 w - -,e2e3
r3r1k1/2q2pp1/p2b1n1p/2pP4/2p1p3/QP2B1PB/P3RP1P/5RK1 w - -,b3c4
8/1r6/8/1PK2k2/5pp1/8/4R3/8 w - -,e2e8
r2q1rk1/pp2b1pp/2n1bp2/2pnp3/P1N5/2PP1N2/1P2BPPP/R1BQR1K1 w - -,e2f1
r1bq1rk1/pp2ppb1/3p1npp/2pP4/2P1P2B/2NB4/PP3PPP/R2Q1RK1 w - -,h2h3
3rk2r/pp2ppb1/1qnpbn1p/6p1/4P3/2NB1NB1/PPPQ1PPP/R4RK1 w k -,a2a4
r3r1k1/p3n1p1/3p1n2/1ppPpQN1/2P5/P1B1R3/1P3P1P/R5K1 b - -,e7f5
r1bqkb1r/1p3ppp/p3pn2/8/1n1PN3/5N2/PP3PPP/RBBQK2R w KQkq -,f3e5
3r4/2q2pk1/p2p2p1/1p1Rpr2/7p/4QP1P/PPP3P1/1K1R4 w - -,e3d2
1r6/3P4/6k1/4p3/P3N1pp/4R3/1P6/1K6 b - -,b8d8
r3k2r/1bqp1ppp/p1n1pn2/2b5/P3P3/2pB1N2/NP1BQPPP/R4RK1 w kq -,d2c3
r2r2k1/p2bbppp/4pn2/qp6/2BR1B2/5N2/PPP1QPPP/5RK1 w - b6,c4b3
3r2k1/1qb2ppp/p1b1p1n1/1pP5/1P2N3/P3BP1P/2Q3P1/4RBK1 w - -,e3f2
8/p4B2/1b1k4/5R1K/3r4/7P/P7/8 b - -,b6d8
3r1k2/p1p2ppp/4b3/2R5/2P5/P3PB2/1r3PPP/4R1K1 b - -,d8d7
2r3k1/5pp1/2q1pb1p/pp5P/6P1/PR3P2/1PP1Q3/1KN5 b - -,c8b8
2k5/1p6/p1p3p1/6r1/2PPK2p/5R2/2P5/8 b - -,g5h5
3r2k1/p1p2p1p/2q3p1/1pNnQ3/8/1P2P2P/P4PP1/2R3K1 b - -,d8e8
rn2k2r/1bp2pp1/p2b1n1p/1p2p3/4P3/PBN1B2P/1PPN1PP1/R3K2R b KQ -,b8d7
3r1rk1/p2R1p1p/1bp3p1/4qP2/2B1Qn2/P1N5/1P3BPP/5RK1 b - -,e5b8
2r2rk1/1p3ppp/p1b1p3/8/2qPnN2/P1P1Q3/3B1PPP/R4RK1 w - -,f1e1
r3rbk1/1pNn2pp/q1p1p3/p2pn3/P3P3/1B2B2P/1PP1QPP1/3RR1K1 b - -,a6e2
5rk1/3q3p/1p1p2p1/p1nPp3/P3Pr2/2N2PRP/1P4QK/3R4 b - -,g8g7
r1r3k1/1q2pp1p/4n1p1/Rp1bb3/1PpP4/2P1B2P/Q5P1/R2B2K1 w - -,d4e5
8/1p3pKp/p1k5/2pN4/P1P1r1P1/5rbP/8/3R3R w - -,g7h7
2r5/8/3kP3/8/1P3N2/1K4p1/6N1/8 b - -,c8b8
r2qnrk1/3nbppp/3pb3/5PP1/pp1pP3/4B3/PPPQN2P/2KR1B1R w - -,e2d4
6k1/5p1p/p3p1p1/1b2P3/3R1P2/8/1Pr3PP/3R3K w - -,d4d2
1rb2rk1/p3pp1p/2p3p1/q1Qn4/N7/1P3P2/P1P3PP/2KR1B1R b - -,a5b4:a5c5
r1bqkb1r/pppp1pp1/2n2n1p/4p3/2P1P3/P1N2N2/1P1P1PPP/R1BQKB1R b KQkq e3,a7a5
