8/3n4/8/2pK1P2/1pP4p/pP6/P3Nk2/8 w - -,e2f4
8/3n1p2/1pp2kpp/8/2Pr2P1/4NP2/5PKP/1R6 w - -,b1a1
1q4k1/p2b1pbp/6p1/3rP3/3p1P2/3Q4/P1BB2PP/2R3K1 b - -,d7f5
r2qk2r/pp1n1pp1/2pbbn1p/4p3/4P3/2NBB2P/PPPQNPP1/R3K2R w KQkq -,f2f4
6k1/1R3p1p/6p1/8/2b3P1/1r3B2/5K1P/8 w - -,b7b3
8/8/4k3/8/pB1KP3/1bR5/8/3r4 w - -,c3d3
r1b1kb1r/1pp1pppp/p1nq1n2/8/3P4/2NB1N2/PPP2PPP/R1BQ1RK1 b kq -,c8g4
4n1k1/3p1pp1/1r1b1n1p/1NpP1N2/2P5/3Q3P/q4PP1/2B1R1K1 w - -,c1h6
r2r2k1/p1q1p1bp/b4pp1/1p1Pn3/2p1PB2/2P3Q1/P2NBPPP/1R3R1K w - -,d2f3
6R1/2N1ppk1/p4p1b/2p4p/4r3/8/PPP2PPP/1K4R1 b - -,g7g8
2r2rk1/1b1nbppp/p1q5/1p2p3/2pP4/P3PPN1/1PB1Q1PP/R1BR2K1 b - -,g7g6
2rq1rk1/p2b1ppp/4pn2/3p4/2pP1B2/P1PBP3/2Q2PPP/R1R3K1 w - -,d3e2
r4rk1/pp3ppp/8/2n5/3N2b1/4P3/PP3P1P/R3KBR1 b - -,g4d7
rn1qkbnr/ppp1pp2/3p2p1/7p/4P1b1/2N3P1/PPPP1PBP/R1BQK1NR w KQkq -,g1e2
1nr3k1/1bR5/pp1bp2p/3p1p2/1P1P1Np1/P2BP1P1/3N1PP1/5RK1 b - -,c8c7
r1b1r1k1/ppq2ppp/2p1pn2/2P5/3P4/5NP1/PPQ2PBP/R2R2K1 w - -,b2b4
rn1qkb1r/pp2pppp/1n1p4/3P1b2/2P5/8/PP3PPP/RNBQKBNR w KQkq -,b1c3
3q1r2/5rbk/1p4p1/p1p1p1Bp/3nP3/1P1P1PKP/P5R1/2Q1NR2 b - -,g7f6
8/2q3k1/1p4b1/3p2p1/p2PpbBp/P1P4P/1P1NQ1P1/3K4 b - -,e4e3
rn2k2r/p1q2ppp/3B4/1b1p4/2pP4/1P3N2/2P1BPPP/R2Q1RK1 b kq -,c7d6
8/5bk1/3q1pp1/2N4p/1Q5P/3p2P1/1P3P1K/8 w - -,c5d3
2rr2k1/4qp2/p1pbb1p1/1p5p/3Pn3/1N3B2/PPQ2PPP/3RR1K1 w - -,f3e4
r2r2k1/5ppp/4pn2/pq6/2R1P3/6P1/1BQ2PKP/R7 b - -,h7h6
3q1r2/r6k/1p1p3b/p1pPpp1B/2P5/2R4P/PP3PP1/3Q1RK1 b - -,a7g7
rnbqkb1r/pppp1ppp/6n1/4p3/8/1P2P3/PBPP1PPP/RN1QKBNR w KQkq -,c2c4
1rn1r3/2N3bk/1p4np/p1p1p3/P1q5/2P3P1/1P1R3P/2BQ1RK1 w - -,c7e8
1k2rb1r/1p1n1ppp/pq1p1nb1/2pP4/Q3P3/P1NB4/1P1N1PPP/R1B2RK1 b - -,b6a7
r1rq2k1/p3ppb1/1p1p1np1/3P2Bp/2P4P/1P4P1/P2Q1PB1/2R1R1K1 w - -,g2h3
r4rk1/ppR2pbp/4n1p1/q2N1b2/1PB2p2/4PN1P/P3QPP1/5RK1 b - b3,a5a3
2r5/pq3k2/1n5p/bP2Q1pR/1p6/P5P1/5PP1/2K4R w - -,c1b1
8/7k/p2n4/P4K1P/8/8/3B4/8 w - -,f5e6
2rr4/1bbpk1pp/pp2pp2/8/PPP1P3/4BP2/4NKPP/R2R4 w - -,a1c1
4B3/8/7p/p5p1/3n1k2/P6P/5K2/8 b - -,d4c2
r1bqk2r/1p2bp2/p1nppnp1/7p/2P1PP2/1NN1BB2/PP4PP/R2Q1R1K b kq -,e8g8
2r1b1k1/4b3/1qp1p2r/1p2Np1P/1P1P1Pp1/P1R1Q1K1/6B1/7R w - -,c3c1
r1bqn1k1/pppp1ppp/5b2/8/3P4/2P5/PP3PPP/RNB1QBK1 w - -,c1f4
3r4/p2rnkp1/1p3p1p/1R1P4/P7/8/1P2K1PP/3RB3 w - -,d5d6
r4rk1/p4p1p/1q3bp1/2pPn1N1/5p1P/2N3P1/PP4B1/R1B2Q1K b - -,f4g3
rq2k2r/n2nbpp1/1p2p2p/pNp1P3/P1Pp4/3P2P1/1P1NQPKP/R1B1R3 b kq -,b8b7
r4rk1/5ppp/1qp2n2/p1N1pb2/1PB5/2P3Q1/PR3PPP/4K2R b K -,a5b4
r3kbnr/1p2pppp/p1npb3/8/1q2P3/2N1BN2/PPPQBPPP/R3K2R b KQkq -,g8f6
8/6k1/6p1/p2Bq3/2P4R/7P/5PP1/7K b - -,e5e1
1r3k2/1p1rpb1p/p2p1pp1/5P2/P1PNP3/1P4P1/5R1P/4R1K1 b - -,g6f5
2kr1bnr/ppp2ppp/2n5/q3p2b/8/2NP1NPP/PPPB1PB1/R2QK2R b KQ -,f7f5
2r3k1/p4pp1/1b1q1n1p/8/3p1P1B/3B1Q2/PP4PP/5RK1 w - -,h4f6
2r3k1/p4ppp/1p2pn2/7q/3P1P2/2rQP2P/P4PK1/1B1R3R w - -,d3d2
8/2N1kppp/2R5/1P6/8/7P/1r1n1PPK/8 w - -,c7d5
2r1r3/1q2p1k1/1p1p1pp1/1P2n3/2P2N2/4P3/4QPP1/2RR2K1 w - -,f4d5
2r5/1R3pp1/2P1k2p/2p5/8/6P1/P4P1P/5K2 w - -,c6c7
4q1bk/1pb3p1/p4r1p/5p2/P3nP1Q/BP1RPN2/2N3PP/6K1 b - -,h8h7
r1bqkb1r/ppp2p2/2np1npp/4p3/P1B1P3/3P1N1P/1PP2PP1/RNBQK2R w KQkq -,a4a5
3rr1k1/pp2qppp/2p5/4p3/1PP1B1b1/2Q3P1/P2RPP1P/R5K1 w - -,a1d1
rnbqkbnr/pp3ppp/4p3/8/3p4/2N1BN2/PPP2PPP/R2QKB1R w KQkq -,f3d4
8/8/8/5K2/8/6rk/8/5Q2 b - -,h3h2
2rqrbk1/1p1n1p2/p2p1n1p/3Pp1pP/4P1P1/2N1B1N1/PP2QPK1/R1R5 w - -,f2f3
r4r1k/pp4bp/4p1p1/1N4n1/6P1/4Pp1P/PP3P1B/2R2R1K w - -,b5d6
r2q1rk1/ppp1ppbp/1nn1b1p1/8/3P4/2N1PN2/PP2BPPP/R1BQK2R b KQ -,e6c4
1r3r2/pq4kp/2bp2p1/2p2p2/3bPP2/1BNP3P/PPQ4K/4RR2 w - -,c3e2
8/2r3k1/4p1p1/1B1pP1P1/P6p/r3P3/4R1K1/8 b - -,c7c3
r4rk1/3b1pbp/3p1np1/qp1Pp3/4P3/1nN1B2P/P1Q1BPP1/1R3RK1 w - -,c2b3
r2q1rk1/pp2bppp/2np1n2/2p3N1/2bP4/2P4P/PPB2PP1/RNBQ1RK1 w - -,f1e1
4r3/1pp2pk1/p2p1bp1/3P4/2P5/1P2BK1P/P1R2P2/8 w - -,c4c5
q7/5kpp/4p3/2Qb1p2/2B2P2/1P5P/6PK/8 b - -,a8b8
2rq1rk1/pp2b1pp/3p1nn1/2pPpbN1/2P5/2N3P1/PP2QPBP/R1B2RK1 w - c6,c1d2
1nbqkb1r/r4ppp/pp1ppn2/8/P2NP3/2N2B2/1PP2PPP/R1BQK2R w KQk -,c1e3
r1qbr1k1/pb3ppp/1pp1pn2/4N3/2PP1B2/6PB/PP2QP1P/R2R2K1 b - -,d8c7
8/1pkr1p1p/8/Q7/2Bnb2P/1P6/P7/5K2 b - -,c7d6
1r6/5pk1/p5p1/6P1/4PK2/P1R2P1b/2N5/8 w - -,c2e3
4n1k1/2p2pbp/1p1r2p1/p3p3/P3P3/1NP1BP2/1P2K1PP/5R2 b - -,f7f5
4r1k1/p2p1rn1/1pq2p2/2pR2p1/2P5/1P3NP1/P2QPPK1/7R b - -,c6e6
2r4k/4b3/p1q1N2r/1p2R1p1/2p2PQ1/6P1/PP5P/6K1 b - -,e7f6
r1bq1rk1/pp1nbppp/4pn2/2pp4/2PP4/1PNBPN2/P1Q2PPP/R1B1K2R w KQ -,c4d5
8/5k2/p2p1ppb/2pP1b2/P1P2P2/6pP/3B2P1/4N1K1 b - -,f5b1
r1bq1rk1/ppn1ppbp/3p1np1/2pP2B1/2P1P3/2N2N2/PP2BPPP/R2QK2R w KQ -,f3d2
3r1k2/2R2p2/6p1/2N1n3/2r5/1R2P2P/5P1K/8 b - -,e5f3
2rr2k1/pp3pb1/6pp/2pN4/2P1P3/5P1b/PP3P2/R1B1R1K1 b - -,d8e8
8/1p6/8/8/PP1Bp1kp/8/4P1K1/4b3 b - -,h4h3
8/1p6/3k2p1/1P1n2B1/6P1/1r1B1P2/5K2/8 w - -,d3g6
8/2p5/1p5p/pK3B1P/P5P1/6k1/7b/8 w - -,f5d7
1r2r1k1/p3qp1p/2p2npb/3p4/Q2B2b1/2N3P1/PP2PPBP/R3R1K1 b - -,g4d7
8/2k2p2/R3b3/1p6/6Pp/2P4P/P7/6K1 w - -,a2a4
6k1/p4ppp/1R6/8/4N3/P1B1P1P1/1P3PKP/3r4 b - -,a7b6
2br1rn1/p1q2pk1/5R2/3pP3/1pp3pP/4P1Q1/PP2N1B1/5RK1 w - -,g3f4
2bb2k1/p4ppp/rr1p4/2pPp3/q1P1P3/1RPBBPP1/PQ2R2P/6K1 b - -,a6a5
rn1q1rk1/pb4pp/1p1Bp3/2pp1p2/3Pn3/2PBPN2/PP1NQPPP/2KR3R b - -,d8d6
