1R6/4k3/7K/4P1P1/8/8/4r3/8 b - -,e2h2
4n3/2p1b2p/1p1p2k1/pP1P4/P2PKPp1/4N2P/8/4B3 w - -,h3g4
r2qb1rk/pp3pbn/n2p2pp/2pPp3/2P1P3/2N1BN1B/PP3PPP/R2QR1K1 b - -,h6h5
r4bk1/3q1pp1/2p4p/2Pn1Q1P/pp1P2P1/8/PP1B4/K2RR3 b - -,d7f5
6k1/5ppp/4p3/3p2P1/P2b1B1P/P7/K1r2P2/6R1 w - -,a2b1
6k1/1p1r2p1/5n1p/1K6/3N4/2P3PP/1P2R3/8 b - -,f6h5
3rr1k1/pp1qbpp1/2p1bn1p/3p4/3P1B2/2NBPP1P/PP3QP1/3R1R1K w - -,d3c2
3B4/1b6/4kp2/4p3/1K4pp/3B1P1P/6P1/8 w - -,h3g4
r2qk2r/pp1bbp1p/2n2p2/4p3/Q1ppN2B/5N2/PP3PPP/2KR1B1R w kq -,f1c4
5rk1/1p4p1/1p1N2np/p3p2r/2P5/P2P1P1q/5PRP/1R4QK b - -,h3f3
4k3/p2r4/1p5p/7R/5b2/1P3N1P/5P2/5K2 b - -,d7d3
r7/1k1p4/4q3/p4p2/Pp2b3/1Pr3P1/2P1BQ1P/3R1RK1 w - -,e2c4
8/1p3R1p/pB3p1k/Pb2pPb1/4P3/r4B1P/4K3/8 w - -,e2f2
r2r2k1/p1qnbppp/1p2pn2/8/2PNP3/1N4P1/PBQ2PKP/2R2R2 w - -,c2e2
bqr2rk1/3n1ppp/p2ppn2/N7/1PP1P3/2N1bP2/3QB1PP/1RR4K w - -,d2e3
r1b2rk1/pp2n1p1/1qn4p/1N1p4/5p2/2PB1N1P/PP3PP1/R2Q1RK1 w - -,d1d2
1r5k/3R3p/4p3/2p1q3/p1P2p2/P6P/1PQ3P1/6K1 b - -,e5e1
r6k/pp3rpp/3bb3/q2p3R/3P4/1QNBP2P/PP2K3/R7 b - -,h7h6
Q5k1/p1r2pp1/4pq2/4N1p1/5nPr/3PR3/PPP2P2/2R3K1 b - -,g8h7
r3k2r/pp1n1ppp/2p1pq2/3P4/2B3b1/b4N2/PPPBQPPP/2KR3R w kq -,c2c3
3b4/pp4pp/2n1kp2/4p3/P1N5/1P2PPB1/4K1PP/8 w - -,g3f2
8/6pp/3k4/1PR1ppb1/8/5P2/1r3BPP/5K2 w - -,c5c6
r1r3k1/PR3p2/2p1q1p1/2n5/1Q1P2Pp/4P2P/5P2/5BK1 w - -,b4c5
8/p1p2kpp/2p3r1/3b4/8/4P1P1/PP1NK2P/R7 b - -,f7e7
3b2k1/8/p2p2b1/3Pp1p1/q3P3/6P1/P2BQ1K1/4R3 w - -,e2g4
r2k1b2/p2p2p1/Q1b1qp2/2P5/8/P3B1P1/3N1P1r/2R1K1R1 b - -,d8e8
3r2k1/1R3p2/pR2nbp1/2p3p1/2P1P3/6P1/P4PKP/8 w - -,b7b8
8/1R5P/6k1/8/r4K2/6P1/8/8 w - -,f4f3
6k1/5pb1/pp4p1/6q1/P2r2Pp/5N1P/1P2QP2/R5K1 b - -,d4g4
r1b1nr1k/p3q1p1/1p2p2p/3p1n2/2P2P2/P2B2P1/1B3N1P/R2Q1RK1 w - -,c4d5
8/8/R3kP2/6p1/1p6/p7/6r1/1K6 b - -,e6f7
1q1r2k1/p5pp/1p2R3/1B1n4/3P2pQ/P4P1n/1B6/3R3K b - -,d8f8
5k2/5p2/6p1/7p/5P1P/2n3PB/3q1QK1/8 b - -,d2d5
2r4r/4kp2/1p1pp3/p1q5/P1P5/1P2P1P1/1Q3PB1/3R2K1 b - -,h8h6
r7/3k4/p5p1/3p1p2/PB6/8/1PP3bP/2KR4 w - -,d1g1
2b3r1/1QP1bk2/8/4Bp2/4p2p/7P/5P1K/8 w - -,b7d5
r3r1k1/1p2p1bp/p1bp1np1/6B1/2P5/3B1N1P/PP3PP1/1K1RR3 b - -,g8f7
8/3b4/3k4/R2p3r/3N2p1/1PP2P2/3K4/8 w - -,a5a6
3N1r2/4R3/p3Qpk1/3p2b1/5q1p/8/P3K1PP/8 b - -,f4c4:f4d2
2r2rk1/pbq2ppp/1ppbp3/4N3/3PQ3/4P3/PP2BPPP/2R2RK1 w - -,e2f3
5r2/PR3ppp/4pk2/8/2P5/7P/5PP1/6K1 b - -,f8a8
2r5/5pk1/3q2P1/1p2NQP1/p1bP4/2b5/P1P5/1K4R1 w - -,f5f6
7k/6p1/5n1p/8/P6P/2P1QBP1/5P2/1q4K1 w - -,g1g2
r1b1kb1r/pp3ppp/2n1pn2/8/Q1pq4/6P1/PP2PPBP/RNB2RK1 w kq -,g2c6
2rq1rk1/1p1nbppp/p2pb3/1B4P1/4Pp1N/2N1B2P/PPPQ4/2KR3R w - -,e3f4
2r3k1/4qpp1/3b1n1p/p3p3/P2pPn2/3P1N1P/B4PP1/1RBQ2K1 b - -,f6h5
2b1q1k1/4r1p1/pn2prPp/2p2P1R/3pP1Q1/PB6/1PPN4/2K4R b - -,b6d7
rnbqkbnr/pp2pp1p/3p2p1/2pP4/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq e3,g8f6
8/6k1/1p4p1/1P6/P2Pp3/4P1Qp/4q2K/8 w - -,h2h3
2rq1rk1/pb2bppp/8/2p5/Nn6/1P2PN2/PB1R2PP/2RQ2K1 b - -,d8e8
3rr1k1/ppn2ppp/1b1B2q1/1N1Q1n2/1P2N3/P4P2/2PR2PP/4K2R w - -,b5c7
1r1q1rk1/2p2ppp/pbnpbn2/1p2p1B1/P3P3/2PP1N1P/1PB2PP1/RN1Q1RK1 b - -,h7h6
rnb2rk1/pp4b1/2pNppp1/6Bp/8/2PB4/PP3PPP/R3R1K1 w - -,d6c8
1Rr4k/2q3p1/3p4/4pPbp/4Q3/5P2/6PP/3R3K w - -,b8c8
rnbr2k1/ppp2pp1/4pq1p/3P4/3P1Q2/P1P5/2P1NPPP/R3KB1R b KQ -,f6e7
r6k/6rp/p4pP1/1p6/4R3/8/PPP4P/1K4R1 b - -,g7g6
4rk2/rp3pp1/2pn3p/2Np4/3P2P1/PR2P2P/5P2/1R4K1 b - -,b7b5
1r1q1nk1/3r2pp/2Rp4/3Pp1P1/1Q2N3/6P1/4bPB1/2R3K1 w - -,b4a3
6r1/p7/P1p5/1k4p1/4P1R1/2K5/8/8 w - -,c3d4
1r4k1/5pPp/p2pbBp1/2p5/1pq1QP2/8/PPP5/1N2R1K1 b - -,c4e4
r1b4r/ppppkppp/6n1/1Bb5/8/2N5/PPPP1PPP/R1B2RK1 w - -,c3e4
r5k1/2q1pp1p/p1p3p1/2r1P3/1pBb1P2/1P6/2QP2PP/1R3R1K w - -,f1f3
3q1rk1/1b1rbp1p/p2ppnp1/1p6/3BPP2/P1NBR1Q1/1PP3PP/5R1K w - -,g3h3
8/2r5/r1Pk4/pR2p1p1/Kp2B1P1/8/N7/8 w - -,b5d5
3q2rk/5r1p/p1Qp4/1pp1p3/5nNP/P1PP2P1/1PBR2K1/4R3 w - -,g3f4
r1bq1rk1/1p3ppp/np2pb2/3p4/2PN4/P1N2B2/1P3PPP/R2Q1RK1 w - -,c4d5
r1bqr1k1/1p3pp1/p5np/2np4/3Pp2P/2P1N1P1/PPBNQP2/R3K2R b KQ -,c5e6
1r5k/p4bpn/2NP1p2/2P1n1p1/3NP1q1/2Q5/PrB3PP/R4R1K b - -,e5c6
2r3k1/r1pn1ppp/p1Bqp3/1p6/3P4/1P2P1P1/P1Q2P1P/R1R3K1 b - -,d7b8
2r5/pp4p1/4k3/1PPnpp1P/P3p3/4P2P/3B1P2/2R2K2 b - -,c8h8
3rk3/1pr2pp1/p3p3/7p/3R1P2/PRPKP3/6PP/8 w - -,g2g3
2k3rr/1p3p2/5P1p/1q1p2p1/p1pP1pbP/PnP2N2/1P1BQPP1/1R1R2K1 b - -,g8e8
8/6k1/2R4p/4b3/8/4r1PP/3p2K1/3B4 w - -,c6c2
2r2qr1/5p1k/2n2P1p/pp1p1P1Q/4p2P/P1P5/1PB2K2/R5R1 w - -,g1g8
2br2k1/6b1/pq1p3p/1p1P1p2/5Q2/2PB2p1/NP3RPP/R6K b - -,b6f2
4rr1k/pp3bpp/3p4/q2P1p2/5Pn1/PPNQ2P1/6BP/R4R1K w - -,b3b4
r1bqr1k1/1pp2pbp/3p1np1/p1n5/2PN4/1PN3P1/PBQ1PPBP/R4RK1 w - a6,e2e4
r4rk1/7p/3p1np1/2PP1p2/4p2P/1R1B1PP1/8/4R1K1 w - -,f3e4
r1b1r1k1/pp3ppp/1q1p4/2nPp3/1NP1P3/2N3PP/1P3PB1/R2Q1RK1 b - -,b6b4
r3kb1r/pp2pppp/2p5/7q/5B2/2P3Q1/PP3PPP/R3K2R w KQkq -,e1g1
1rbq1rk1/p3ppbp/1pn1n1p1/2p5/4N3/1Q1PBNP1/PP2PPBP/2R2RK1 w - -,f1e1
r1r2nk1/1p1b1pp1/p3N2p/3pP2P/3P4/QP4P1/P1q2P2/2R2BK1 w - -,c1c2
