8/1B4p1/8/5np1/5k2/8/5K2/8 b - -,g5g4
8/2nk2p1/p2p4/P2n2B1/1p6/1P6/2PK4/5R2 b - -,c7e6
2r1rbk1/4qp1p/b2p3P/p1n1nPPQ/1p1BP3/3B4/PPP5/1K3R1R w - -,b1a1
r2qk2r/1p1bbppp/p1npp3/3nP3/3P4/P2B1N2/1P3PPP/RNBQR1K1 w kq -,b1d2
8/1rrn2p1/3kp2p/R1p1p3/4P3/1pP1BP2/1P3KPP/R7 w - -,f2e2
5b2/5k2/R7/2p2p2/2P5/5P2/Pn4PP/6K1 w - -,a2a4
3qkb1r/1p1bpp2/p2p1p2/5N1p/2r1PP2/2N5/PPPQ2PP/1K1R3R b k -,b7b5
rnb1kb1r/pppp4/4pq1p/6pQ/3P1p2/6B1/PPP2PPP/RN2KBNR b KQkq -,e8d8
6k1/8/3n4/2R1N3/2p5/7P/4r1PK/8 b - -,c4c3
7k/8/5p1p/4p3/1RP1P3/1P2P1K1/7r/8 b - -,h2c2
8/1r3k2/1BR5/6p1/4ppP1/7P/3n1P2/6K1 b - -,b7d7
8/8/5N2/3P2p1/3r2P1/5k2/5P1K/8 w - -,h2h3
r1b1rbk1/1p1n3p/4pnp1/1B1p4/1N1P1B2/PR2PP2/1P1N3P/5RK1 b - -,e8e7
7r/p3qk2/1p2pbp1/2rnp3/4B1Q1/P2PB1P1/5P1P/R4RK1 b - -,h8g8
1rb1k2r/p1q2p1p/2p2Pp1/3np1B1/4N3/3B4/PbP1Q1PP/3R1RK1 w k -,g1h1
r3r1k1/2n2pq1/p2p2p1/1ppP2Bp/P1nbP3/6R1/1P1Q1PPP/3NRB1K w - -,f1c4
1r3rk1/2q1bppp/p7/1p1PpBPn/8/2p1BP2/PPP2Q1P/1K1R2R1 w - -,b2b3
8/5k1p/R7/1pr3p1/4P1P1/2P5/1PK5/8 b - -,h7h5
r1b2rk1/1p4bp/3p2n1/pN1Pp1q1/1PN1PnP1/P4P2/4B2B/R2Q1RK1 w - -,b5d6
1r4k1/1r1q4/3p4/3Pp1pp/p1b1Pp2/2Pp1P1P/1P1R1QPN/R5K1 w - -,g1h1
3r4/4k2p/PR4p1/P3p1P1/4Pp1P/8/4K3/8 b - -,e7d7
r1bqnb1k/ppp1n3/3p3p/3Pp1p1/2P1P1P1/2NNB3/PP2B2P/R2Q2K1 w - -,c4c5
8/p1r2p1k/2P3p1/R6p/1b1pB3/6P1/4PP1P/5K2 w - -,a5h5
r1bqkb1r/p4ppp/2p1p3/3n4/8/2N2N2/PP1P1PPP/R1BQK2R w KQkq -,e1g1
5rk1/p1Np4/1p3n1p/3P2p1/8/2P3P1/P3rPP1/3R1RK1 w - -,f1e1
4r3/4P3/3K4/2R5/1p1kP1p1/6P1/8/8 b - -,d4e4
3rr1k1/1pq2pp1/2pbp2p/p7/P1PP4/1P1R1N1P/3Q1PP1/3R2K1 b - -,d6b4
4r1k1/4r1p1/p2b3p/1p1q1p2/3pnP2/1N1N1QPK/PPR1P2P/5R2 w - f6,d3c5
3r1r2/1qnbpp1k/p2p2p1/2pP1PPp/P1B1Pb2/1PNQ1R1P/7K/5R2 w - -,f3f4
r7/3k4/2b2p2/ppPB3p/1P1K1PpP/P5P1/4R3/8 b - -,c6d5
rnb1kbnr/pp1ppppp/1qp5/8/1P6/P7/1BPPPPPP/RN1QKBNR b KQkq -,c6c5
2BR4/p6r/P7/4k3/8/3K4/8/8 b - -,h7c7
r3q1nk/1pn3bp/3p1rb1/p1pPp2B/2P5/1PN1B2P/P2N1P1K/R2Q1R2 w - -,h5g6
b7/8/3K4/6kp/2P5/4N1P1/8/8 w - -,d6c7
r1bqrnk1/ppp2ppp/2pb4/4p3/4P3/3PBNNP/PPP2PP1/R2Q1RK1 b - -,f8e6
8/1N3ppk/7p/8/2q5/3QB3/3K1P2/8 b - -,c4d3
1r2k3/1pR2Rpp/8/1rP5/8/6K1/5PP1/8 w - -,f7g7
r1bqnrk1/p5bp/1p1p4/1N1Pp1p1/PPN1Pp1n/5P2/4BBPP/2RQ1RK1 b - -,f8f6
r2r3k/1pb1qpp1/2n3p1/3Rp3/1pQ5/4PN1P/PB3PP1/2R3K1 w - -,e3e4
rnbqkb1r/5p1p/p2p2p1/2pP3n/Pp6/2N1B3/1P1NPPPP/R2QKB1R w KQkq -,c3e4
r4rk1/ppp2pbp/2np2p1/3N1q2/2P2P2/4BQP1/PP3P1P/2R2RK1 b - -,f5d7
8/1rr1kp1p/3ppp2/Q7/1p2P3/6P1/2q1BPKP/1R6 w - -,b1e1
2r1k2r/1p2ppbp/p2p1np1/3P1P2/q2B4/5P2/PPP2Q1P/1K1R1BR1 w k -,f1h3
b4rk1/5ppp/p2qpb2/2n5/1r1N1P2/2N1Q3/1PP3PP/2BR1R1K w - -,d4f3
r4rk1/1p2bppp/p1p1pn2/q7/2PP1B2/5N2/PP2QPPP/3R1RK1 w - -,a2a3
r3r3/p5kp/2pq1pp1/3p2b1/3P2P1/1P1Q2NP/P3RPK1/R7 b - -,e8e2
3r4/p4ppk/1pQ4p/4p3/1PR1P3/3q2PP/P4PK1/8 b - -,d8d6
r3r1k1/1p1n1pbb/pq1p1n1p/P1pPp1pP/2P1P3/2N3B1/RP1NBPP1/3Q1RK1 b - -,b6c7
r1b2rk1/pp1nq1pp/2pppn2/5p2/2PP4/2N2NP1/PP1QPPBP/R3R1K1 w - -,e2e4
r1b2rk1/p4ppp/1pnqpn2/2pp4/3P1P2/2PBPN2/PP1N2PP/R2QK2R w KQ -,a2a3
2r3k1/2qbb2p/4p1p1/pp1pPpP1/1PnP1P2/P1NB1N1P/2R5/2Q4K w - -,c3a2
5r1r/2Q1kpp1/7p/2N5/P7/3P4/2P3PP/1R5K b - -,e7f6
2r3k1/ppr3p1/2nq2bp/3pp3/1P1P1Q2/P1R2N2/4NPPP/2R3K1 w - -,f3e5
2r1r1k1/p4p2/Q1pb2p1/3p3p/N2P1P1q/P3P1nP/2R3P1/2B2RK1 w - -,f1f3
8/3k1p2/1Kr1p1p1/4P1P1/5P2/1R2P3/8/8 w - -,b6a7
8/4B3/p3n1k1/P7/6p1/6K1/8/8 b - -,g6f5
2r3k1/5pp1/q2p1Pbp/3P4/1pr2B2/1P1N4/1PPQ3P/1KR5 b - -,c8a8
8/2R3pp/1p3b2/1B1k4/p3r3/P4NP1/1n3PKP/8 w - -,c7c8
r2r2k1/5pbp/4p1p1/pp2N1P1/2pPpP2/P1PbP2P/1P6/R2RB1K1 b - -,g7f8
6rk/6p1/6Pq/5Q2/p7/6P1/1P1p2K1/3B4 b - -,g8e8
r2q1rk1/ppp1nppp/2n5/bN1p4/3P1B2/2Pb4/PP2NPPP/R2Q1RK1 w - -,d1d3
r1bqkbnr/pppn1ppp/4p3/3p4/3PP3/5N2/PPPN1PPP/R1BQKB1R b KQkq -,d5e4
1rb1r1k1/5ppp/pp1q4/2pn4/P2p1PP1/1P1P3P/1BPQN1K1/R4R2 w - -,e2d4
2r3k1/pR3p1p/4b1p1/3Bp3/P1P5/6P1/4PP1P/6K1 b - -,e6d5
8/3q1pk1/3p2pp/3P4/1p1PRQPP/2r5/5PK1/8 w - -,h4h5
4rk2/1p3pp1/r4bp1/N2p4/8/6PR/PP3PK1/5R2 b - -,b7b5
4rbk1/2qn2np/1p1p2p1/pPpPp1B1/P1N4P/5QPB/1P3P2/4R1K1 b - -,f8e7
5rk1/R4pb1/2p1p2p/1R6/6p1/3n2B1/P3NPP1/6K1 b - -,c6b5
8/1p5r/1Rp5/p1Pp1k2/8/P3P3/1P2K3/8 w - -,e2d3
6k1/2p2pp1/p2p4/3P2P1/2q2PK1/P1b2Q2/4r3/2B2R2 b - -,g7g6
4r1k1/1p6/p5p1/3P1Pq1/P2R1nN1/7P/1PQ3P1/7K w - -,h1h2
1r6/5pk1/4q1p1/7p/7P/5RP1/4Q2K/8 w - -,e2e6
2r5/2P3R1/3p4/3P3P/p1k5/8/K7/8 b - -,c4d5
8/1R2nk1p/1R2pbp1/1p2p3/4P2P/p5P1/1r3PK1/8 b - h3,h7h5
3r2k1/2p2pp1/pp2P3/2p5/5P2/2P1R2Q/P4K2/1q6 b - -,d8d2
r7/p2q2rk/5n1p/3p1b2/3BpP2/4N3/PP1QB2P/2K3R1 w - -,g1g7
5rk1/1p3ppp/8/p1nR4/Pr6/5B1P/1P3PP1/R5K1 b - -,b7b6
1br2rk1/pp1n1pp1/3P3p/q3p2b/4N3/1B1Q1P2/PP3BPP/2RR2K1 b - -,h5g6
1r2nrk1/1p1nqpbp/p2p2p1/P1pP4/4P3/2N1B2P/1PQ1BPP1/R4RK1 b - -,e8c7
r1bqk2r/pp2nppp/2pb4/4p3/8/P3P1P1/1P1PNPBP/R1BQK2R b KQkq -,c8g4
5rk1/1pp1qp2/p1n4p/3B4/3PPpp1/8/PP2QPPP/5RK1 b - -,c6d4
8/6P1/5k1P/6p1/1r6/6K1/1p6/1R6 b - -,f6f7
8/p6p/2b1k3/5pp1/5P2/R1PrB1K1/P4P1P/8 b - -,h7h6
5r1k/p3p2p/1p1bBpp1/3P4/b7/6P1/P4P1P/2R1R1K1 w - -,e1e3
r2q1rk1/pp1bppbp/n4np1/2p5/2QPPB2/2N2N2/PP3PPP/R3KB1R w KQ c6,e4e5
5R2/1r6/2n1p1p1/4k1Np/7P/6P1/5PK1/8 b - -,c6d4
