6R1/8/3p4/4bk2/8/2p4R/2r5/4K3 b - -,f5e4
r1r3k1/4bppb/2p1p2p/p7/Rn1PPN1P/4B1P1/1P3PB1/2R3K1 b - -,c8b8
r1b1k2r/pp1nbppp/4pn2/2P5/8/1NP5/PP3PPP/R1BK1BNR w kq -,f1b5
3rr1k1/1p4pp/p1p3q1/P2PBp2/2P1bP2/2R4P/Q5P1/4R1K1 w - -,g1h2
8/5p2/2R5/5p2/1p3q1k/3B4/P3K3/8 b - -,f4h2
8/1k6/1Pn5/P2Kp2p/5pp1/8/6PP/4B3 w - -,a5a6
3r1r1k/pp2pp1p/7P/4bB2/8/8/1PP3P1/1K1R3R w - -,c2c3
8/2p3p1/4kb1p/1P5P/4K3/4N1P1/5P2/8 w - -,e3d5
8/2r2k2/p3p1p1/1b1pP2p/3B1P2/2P3P1/5KP1/R7 b - -,c7c4
r2q4/5kb1/4p2p/p2p1p2/3pnP2/PP1B2QP/1P6/R4RK1 w - -,g3f3
r2q1rk1/ppp1bppp/1nn1p3/4N3/2PP4/1PN1B3/P3bPPP/R2Q1RK1 w - -,c3e2
8/2R2p2/3r2k1/1r2n3/4R1p1/6P1/4NPK1/8 w - -,c7e7
r2k1b1r/p2npppp/2p2n2/5PB1/8/5P2/PpP3PP/1R2KBNR w K -,b1b2
8/5b2/4k3/P5R1/5K2/6P1/8/7r w - -,g5b5
8/6p1/3R2kp/5p2/4r2P/3K2P1/5P2/8 b - -,g6f7
rnbq1rk1/pp2ppbp/3p1np1/2p5/3PPP2/2NB1N2/PPP3PP/R1BQ1RK1 w - -,d4c5
1r4k1/R4p2/4p1pp/4q3/8/6P1/5P1P/3R1BK1 w - -,h2h4
8/1bp5/8/5k1P/p4P2/P3K3/6p1/6N1 b - -,c7c5
r1b1qr1k/pp1n2p1/2pb3p/3p2B1/3Pp3/5PPN/PPQ1P1BP/2R2RK1 w - -,g5f4
rnbq1rk1/pp2b1pp/2p1p3/3p1p2/2PPn3/1P3NP1/P1Q1PPBP/RNB2RK1 w - -,c1a3
2r2rk1/p2qppbp/1pnp1np1/2p2b2/1PP5/P1NP1NP1/3BPPBP/1R1QR1K1 b - -,f5h3
2n3r1/1k2r3/1p6/pR6/P2N1Bp1/2P3K1/1P3PP1/8 b - -,e7f7
r1b2rk1/ppp1p1bp/3q4/3P2p1/2P1P3/2N2B2/PP2QK2/R1B2R2 b - -,g5g4
1r2qR2/1pnb2k1/p7/P2pN1p1/2p5/2N5/1PP3PP/R3Q1K1 b - -,g7f8
rnbqr1k1/pp1p1ppp/2p2n2/2P1p3/N3P3/3P1N2/PP1QBPPP/R3K2R b KQ -,b7b5
8/5Rk1/P7/q5p1/7p/7P/6P1/5R1K b - -,g7g8
r2qkb1r/ppp2p2/4bnpp/4R3/3P4/2NB4/PP3PPP/R1BQ2K1 b kq -,f8d6
1qr1rbk1/1b3ppp/ppnpp3/2n3PP/2P1PP2/2N1B1N1/PP4B1/2RQR1K1 b - -,b6b5
8/8/8/1kp1B3/p5p1/1bP1P3/1K6/8 b - -,b5c4
8/1p3p1p/4pkp1/p1n5/2P2P2/1P2KB2/P2R2PP/r7 b - -,f6e7
4qrR1/1pp4k/1p6/3Qp2P/8/1P6/1PP3P1/5RK1 b - -,f8g8
1k6/1p4p1/pr3p2/2Pp4/8/2PK2P1/P4PP1/4R3 b - -,b6b5
8/2pk2pp/P1pb4/8/1P4N1/2q2P2/6PP/5QK1 b - -,c3a3
5rk1/pp2b1p1/3qpn1p/1b1nN3/1P1P4/PB6/5PPP/2RQR1K1 w - -,e5g6
5rk1/4q1pp/p3p3/2b1P2Q/B1R3N1/3n2P1/1P4KP/8 w - -,a4c6
5r1k/1p2b2p/1nb1n1p1/3pPp2/3P1P2/1P1BBNNq/5QRP/7K b - -,f8a8
2qr2k1/1b3p2/p2P2p1/7p/B2Q3P/2p2P2/P5P1/3R2K1 w - -,d6d7
2kr1b1r/1pp2ppp/8/6q1/3P4/P1NQ3P/2P1K1P1/R6R w - -,g2g4
4q1k1/2Q3p1/4p2p/1p1pN3/p3n1P1/P3P3/1P3PP1/6K1 w - -,e5d3
r4rk1/pbqnppbp/1p1p2p1/3n4/3P4/5N1P/PPPN1PPB/R2QRBK1 b - -,c7d8
1r2n1k1/1p1n3p/p2P2p1/2p1p3/P1P1p2q/2R5/1P1QBP2/5RK1 b - -,e8g7
1r1qk2r/p2n1pb1/2p5/2P1p1pp/3Pp1B1/6B1/P4PPP/R1QR2K1 w k h6,g4d7
r3kb1r/ppN2ppp/2n1p3/5bq1/2Pp4/4P1P1/PP2B2P/R1BQ1K1R b kq -,e8d7
r3k2r/1b3ppp/p1nqpn2/1p1p4/3P1P2/2NBPN2/PP4PP/2RQK2R w Kkq -,f3e5
r4k2/pp3pbp/4p3/3b4/8/P5P1/1P1R1PBP/3N2K1 b - -,d5g2
r4rk1/1p3pbp/2pp2p1/p1q5/B1PpPP2/3P3P/PP3QP1/4RRK1 b - -,a8e8
8/p1p1k3/PpB4p/1P4p1/5pP1/2Pb3P/5B2/6K1 w - -,f2d4
r3k3/5pp1/3Rb2p/1PB5/8/5P2/5KPP/8 b - -,a8a2
8/p2k4/1p1p2p1/2pPb1p1/PPP1p1P1/1K2P2P/8/4B3 w - -,a4a5
4r1k1/5pp1/2p4p/3n1P2/P1p5/b5BP/P1qQ1PPK/2NR4 b - -,c2d2
2n2bk1/4qppp/3p4/2pP1Q2/2P2P2/2n1NKPP/4N3/8 w - -,e2c3
r1b1r1k1/4bppp/pq1p1nn1/2pPp3/4P3/N1PB1N1P/1P2QPP1/R1BR2K1 b - -,f6h5
r1bq1rk1/3nnBb1/p1pp2pp/P7/3N4/R6P/1PP2PP1/1NBQ1RK1 b - -,g8f7
8/5p1p/5kp1/3K4/8/8/8/8 w - -,d5e4
1r4k1/p2rnpb1/2p1p1p1/7p/R2P1P2/P3B3/1P2NPKP/2R5 w - -,c1c2
r1b1kb1r/1pqp1ppp/p3pn2/4n3/3NP3/2N2B2/PPP2PPP/R1BQ1RK1 w kq -,c1f4:f3e2
r2r2k1/5ppp/p3b3/3q4/2p5/2Q4P/PP3PP1/2R1RNK1 b - -,a8b8
5rk1/2q1b1p1/1r1pP2p/Np2np1Q/1p2p3/2P4P/5PP1/RBB1R1K1 w - -,e1e3
2kr4/1p1n1pp1/p3p2p/7P/1PPR4/P2Q2P1/2KN1P2/7q w - -,d2e4
4nkn1/pppq2p1/4p1Q1/3p2BP/3P1P2/2PB4/PP4P1/6K1 b - -,d7a4
8/2R5/1pnr2p1/5pp1/P2k2P1/1P1p3P/3K4/3B4 b - -,c6e5
r2qrnk1/1ppb1ppp/3p1b2/pPn5/2PNP3/P6P/1BQN1PP1/3RRBK1 b - -,f8g6
r2r4/1pqb1pbk/p2pp1p1/2p1n2p/P3P2P/2NP2B1/BPPQ1PP1/R3R1K1 w - -,a2b1
2r1r1k1/1b3pp1/pqn2b1p/1pN1p3/4P3/P4N2/1P2QPPP/1BRR2K1 b - -,c6d4
5r2/1pr2bkp/p3ppp1/3p4/2P1P3/1P1N4/P2R1PPP/3R2K1 w - -,c4d5
8/4k1p1/3p4/3Pp1P1/4n2P/8/pK6/8 w - -,b2a2
2nrk2r/p1q1bppp/2P1p3/1P1p4/Q7/4BBP1/4PP1P/R1R3K1 w k -,e3a7
8/8/5k2/6pp/4N3/5KP1/8/5n2 b - -,f6g6
1r4k1/5pp1/4p2p/4P3/2N5/RP1n1K1P/5P2/8 b - -,b8b5
8/1p3r1k/4bqp1/pP1p3p/2r4P/PQ2RpP1/3R2BK/8 w - -,e3f3
7r/1p2kppp/p3pn2/3r4/4N3/2P3P1/PP3PKP/R3R3 w - -,e4f6
q3rb1k/1br3pp/p3Bnn1/5N2/3BP3/1QN2P2/P5PP/1R1R3K w - -,f5h6
2r3k1/1pr2pbp/pq2pnp1/3pN3/3P4/2NQ1P2/PPP3PP/1R2R2K b - -,b6a7
6k1/5pp1/6n1/3Q2P1/1pB5/1P3Pq1/P7/2K5 b - -,g3e1
7r/8/1k1p4/4p2P/4r3/pP6/P2R4/1KR5 w - -,d2d6
rn1qk2r/ppp1ppbp/4b1p1/3p4/2PP3B/2P1P3/P4PPP/R2QKBNR w KQkq -,c4d5
r3k1r1/ppp1qpPp/2n1b3/8/2pp4/5N2/PPP2PPP/RN1QR1K1 w q -,f3d4
r2q1rk1/3bp2p/p1p2bp1/1pB5/5P2/2NP4/PPP2QPP/R4RK1 w - -,a1e1
1r2k2r/3nbpp1/8/2p1P2p/2N1Q3/1q4PP/1B2N1B1/5RK1 b k -,e8g8
8/8/8/2pk4/P1R4p/1P5r/8/6K1 w - -,g1f2
r2qk2r/pb1pppbp/1p3np1/n7/2PP4/1PN2NP1/P4PBP/R1BQ1RK1 b kq -,d7d5
6k1/2q2p2/4b1p1/2p3Pp/8/7P/rP2RQB1/6K1 w - -,f2e3
3rk3/p2rppbp/Rp4p1/1Pp5/2N1P3/2P5/1PK2PPP/4R3 b - -,d7b7
r1b1k2r/ppp1npp1/3p1q2/2bPp2p/8/2P3P1/PP1PNPBP/R1BQ1RK1 w kq h6,d2d4
5rk1/p3p3/3q3p/2pBb1p1/8/1P2R3/P3QPP1/6K1 b - -,d6d5
