8/7B/6p1/2k1pbP1/7P/4K3/8/8 w - -,h4h5
r2q1rk1/3bp1bp/3p1np1/nppP1p2/1P6/P1N3P1/3NPPBP/1RBQ1RK1 b - -,c5b4
2b1r1k1/1rq2pb1/1nN3p1/R1QPp2p/2p1P3/7P/2BN1PP1/R5K1 b - -,g7f8
6k1/2R3P1/4K3/1p2P3/1P6/2p3r1/8/8 w - -,e6d6
2r2rk1/p4pp1/1p5p/3b2q1/3P1n2/P4PB1/1P1RB1PP/3Q1RK1 b - -,f8e8
r1b1kb1r/pp1n1ppp/1q2p3/3pP3/3n4/3B4/PP1NNPPP/R1BQ1RK1 w kq -,e2d4
3r1rk1/ppq2pp1/2p1pnp1/2P5/1P1PQ3/P4N1P/5PP1/R3R1K1 w - -,e4e5
4rbk1/1p2n3/pN3n1p/B1pPp1p1/4P3/5pPq/PP3P1N/3QR1K1 w - -,d1f3
r1b1k2r/2pp1ppp/1np1q3/p3P3/1bP1QP2/2N5/PP1B2PP/R3KB1R b KQkq f3,g7g6
8/8/4pk2/R5pp/8/6PP/P2r1PK1/8 b - -,g5g4
8/8/p3k3/Pb2B3/1P1Kp1p1/6P1/8/8 w - -,d4e4
r7/5ppk/Q3p2b/4P2p/P2R3P/1N4P1/KPP5/7q w - -,a6d3
2rq1rk1/1p2ppbp/p1bp1np1/P3n3/3NP3/1PN1BP2/2PQB1PP/R2R2K1 b - -,d8c7
r2q1rk1/pb2ppbp/np4p1/1B6/3PPB2/4QN2/5PPP/1R2R1K1 w - -,d4d5
3r2k1/1p3pb1/4pn1p/Q3n1p1/6P1/P1N4N/1q4PP/R4R1K b - -,e5c6
R7/5p2/P5p1/4k2p/4p2P/4K1P1/r4P2/8 w - -,a8e8
5rk1/ppp3bp/2nq2p1/3B4/6QN/3PB1P1/PP5P/R5K1 b - -,d6d5
2R5/R4p2/4p1k1/4b3/4P3/6r1/1n2K3/8 w - -,c8f8
rn2kb1r/pp2pppp/2p2n2/q4b2/3P4/2NB1N2/PPP2PPP/R1BQK2R b KQkq -,e7e6
6k1/p4pp1/1p2p2p/8/4R3/P3P1P1/1P1rBPP1/6K1 b - -,d2e2
r2r2k1/pb1nqppp/1ppbp3/8/2PPp3/1P2P3/PBRNBPPP/3QR1K1 b - -,c6c5
r3r1k1/1p3pbp/p2p1np1/q1pPB3/2P5/2N2B1P/PP1Q1PP1/R3R1K1 b - -,d6e5
2r1r1k1/R1qbppbp/3p1np1/1p1P4/3B4/2N3PP/1PPQ1PB1/4R1K1 b - -,c7b8
8/8/8/8/6k1/6p1/4p3/5K2 w - -,f1g2
r1bqr1k1/pppn1pbp/3p1np1/4p3/2PPP3/2N2NP1/PP3PBP/R1BQ1RK1 w - -,f1e1:h2h3:d4e5:d4d5
q5k1/6bp/3p2r1/2p1nQB1/1pP2N2/1P5P/r5P1/4RR1K w - -,f1g1
2kr4/Bp4Rp/2b1p3/8/8/P1P4N/2P3nP/2K5 b - -,d8d7
r1b1nrk1/4qpbp/n1pp2p1/p3p3/2P1P3/2N2N1P/PPQ1BPP1/R1BR2K1 w - -,c3a4
2r1r2k/4qpp1/p2p3p/1p1Pn3/2p1P3/P1P3RP/1P3QP1/1B3RK1 w - -,f2e3
r4rk1/4Bppp/3pp3/p5P1/4bP1P/P1q5/1PP5/1K1R2R1 w - -,b2c3
1r6/4k1pp/p3pp2/P1rbP3/2p1pP2/2P1K3/RPNR2PP/8 b - -,f6e5
3qrnk1/pp1rbpp1/2p1p2p/8/1PQPB3/2B1P1P1/P4P1P/1R1R2K1 b - -,e6e5
1r2rbk1/2qn1ppb/1p2pn1p/2ppN3/1P1P1P2/2N1P3/PB2B1PP/2RQ1RK1 w - -,c3b5
5rk1/pp1r1ppp/1Qp1pb2/7b/2BP4/2P1R1BP/PP3PP1/R5K1 b - -,a7b6
q4rk1/5ppp/b3pn2/Q2p4/2PP4/6P1/3NPP1P/2B2RK1 b - -,a6c4
r2q1rk1/3b1pbp/3p2p1/p1p5/PpPnP3/1P2BBP1/R4P1P/3QRNK1 w - -,e3d4
r2r2k1/1p1b1ppp/p1n1pq2/8/3PR3/3B1N2/PP1Q1PPP/R5K1 w - -,e4f4
8/8/4k3/1p2r3/1K6/P7/2PR4/8 w - -,c2c3
r3kb1r/pp1bpppp/1qn2n2/8/2Qp4/N4NP1/PP2PPBP/R1B2RK1 b kq -,e7e5
1r2rbk1/2qb1p1p/pn1p1np1/N1pP4/5BP1/2N4P/1PQ1PPB1/R4RK1 w - -,f1e1
r3k2r/ppq1ppb1/3p1npp/3B4/2PQ4/4B1P1/PP2PP1P/R4RK1 w kq -,a1c1
8/4npp1/8/2Pk2Pp/3P1KPP/8/8/8 b - -,g7g6
5k2/2r2p1p/p7/2rpPPp1/1p3P2/1P1R2P1/P2R4/6K1 b - -,g5g4
2r2bk1/p6p/q3pBp1/8/4Pp1P/2NR1Q2/P5P1/6K1 w - -,f6e5
1n1qk2r/2r2pp1/p1p1p2p/1pRnP3/3PB3/5N2/PP3PPP/2Q2RK1 w k -,e4d5
r1b2rk1/pp1n1ppp/2pbp3/q1Pp4/3Pn2B/PQN1PN2/1P3PPP/2R1KB1R b K -,d6b8
3k4/6pp/1p6/2pPQ3/2P4P/6PK/P7/1q6 w - -,e5f4
2r1k3/p6R/1p2pB2/2n4R/8/P1P5/K1P5/6r1 b - -,g1g6
rn3rk1/4p1bp/1Rp1q1p1/4P3/3P4/2pB4/2Q2PP1/2B1K2R b K -,b8d7
5r1k/2q3rp/pp3p2/2b1p3/2P1B3/7Q/PP4PP/4RR1K w - -,e1d1
r4rk1/2p1npp1/3pq2p/1p2p3/4P1n1/2QPBN2/1PP2PPP/R4RK1 w - -,a1a8
r1b4r/1pp1k2p/5ppn/p1n1p3/P1B1P3/5PP1/1PP1NK1P/RN5R w - -,f2e3
r1b2rk1/p3ppb1/1pn3pp/2p5/4Pq2/2P2N1P/PPQN1PP1/R3RBK1 w - -,e4e5
r4rk1/pp1qbppp/8/2np4/5B2/4PN2/PP3PPP/R2Q1RK1 w - -,d1e2
5k2/5p1p/3N3P/p2P2p1/2P5/1P6/6b1/1K6 b - -,f8e7
2R5/p3rpbk/1p4p1/4r2p/PP1p4/3B2P1/2R1PP1P/6K1 b - -,g7f6
r4b1r/p1kn1pp1/2p1bn1p/1p2p3/4P3/2N1BPN1/PPP3PP/2KR1B1R w - b6,a2a3
r4rk1/1bqn1p1p/p1nbp1p1/1p4P1/4BP2/1NN1BQ2/PPP4P/3R1RK1 b - -,f7f5
r5kr/pp1q1p1p/3Np2Q/3pP3/1b1P4/7P/PP3PP1/R5K1 w - -,a1d1
r1br2k1/1p4pp/2p5/P7/3qp3/P3Q1P1/4PPBP/2R2RK1 w - -,e3g5
2R5/p3Qpkp/1p2p2b/4Pqp1/3r1P2/5P2/P6P/2R3K1 w - -,e7f8
rnb2rk1/p4ppp/2p1pn2/1p6/1b1qP3/1BN2N2/PP1BQPPP/3RK2R b K -,d4b6
8/5k1p/6p1/8/Bp6/1P6/R4PPP/1K1r4 w - -,b1c2
rnbqkb1r/pp1ppppp/5n2/2p5/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq -,g2g3:d2d4:b2b3:b1c3:e2e3
r2qkb1r/pp3ppp/2n2n2/5b2/Q2p4/6P1/PP2PPBP/RNB1K1NR b KQkq -,f6e4
8/2B5/k5p1/2pP4/2P1p1P1/4b3/6K1/8 b - -,a6b7
3rr1k1/pp1q1pb1/2pp1npp/4p3/P3P2P/2PPN1P1/1P2QPKn/R1B1R3 w - -,g2h2
r7/1k3p2/2p3p1/1pP2Pb1/1P1P3p/5K1P/3R4/3R4 b - -,g5d2
8/8/8/8/6K1/8/2Qqk1p1/8 w - -,c2e4
1k1r1b1r/pp3pp1/2p1pn1p/2N2n2/3P1P2/4P3/PP1BKPBP/R1R5 w - -,b2b4
r4rk1/p1p1ppbp/np4p1/3b4/3P1B2/5NP1/PP2PPBP/R4RK1 w - -,f4e5
r3kr2/pbpnqp1p/1p2p3/5pQ1/3P4/2PB1PN1/P1P3PP/R2KR3 w q -,g5e7
8/b6p/P3k1p1/4P3/R1p1K3/2N3PP/1r6/8 w - -,a4c4
4r3/4bkpp/2N2n2/p1p2RB1/2P5/3P4/r5PP/5RK1 b - -,a5a4
r4rk1/1p3pp1/p2pp2p/8/4Q3/q2P1PP1/7P/2R2RK1 w - -,c1c7
3q3k/1b1n2pp/1P4r1/P3p3/3pN3/8/3N1PPP/2R2QK1 b - -,d8a8
8/3R3p/6p1/1pk5/p3n3/8/K4PPP/8 b - -,b5b4
r5k1/2q2pp1/p1b1pb1p/1p2p3/4P1Q1/1BN4R/PPPr1PPP/5RK1 w - -,c3e2
8/p5kp/1b3p2/1P3K2/P1B2PP1/4p3/7P/8 b - -,b6c7
3r2k1/1p3p2/2p3p1/4p3/1Pn1Pq1p/2P5/4QPPP/R4NK1 b - -,b7b5
3k1r2/p1p1q2p/1b3p2/1b2pN1Q/4N3/3rPKP1/1PnP1PBP/2B4R b - -,e7b4
rnbqk2r/pp2nppp/2p1p3/3p4/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq -,b1d2
2r2rk1/p5b1/6p1/4p3/PP1pP1pp/1q6/3N1PPP/2R2RK1 w - -,d2b3
