8/4k1PK/8/8/8/8/7r/5R2 w - -,h7g8
r1q2rk1/pp1nbpp1/2p1p2p/8/2pPbB2/1Q2P2P/PP2BPP1/2R1NRK1 w - -,b3c4
5rk1/p3q1pp/1p6/n1p1P3/4QB1P/2P5/P5P1/3R2K1 b - -,e7h4
r5k1/r2q2np/2p1p1p1/P1RpP1B1/PQb3PP/5PK1/6B1/1R6 w - -,b4b6
rq5r/k1p2p1p/pb3NpB/1p2P3/1P1RQ3/7P/5PP1/5RK1 b - -,b6d4
5rk1/6pp/2p5/pp1r2P1/Pn6/2R2N1P/2P2PK1/1R6 w - -,b1a1
r2q1rk1/pbpn2pp/1p6/4pp2/2PP4/P3BPP1/1PQ3BP/3R1RK1 b - -,f5f4
r2qkb1r/3n1ppb/2p1pn1p/1p1p4/1P1P1BP1/4PP2/N1PQ3P/R3KBNR b KQkq -,a8a3
5k2/R4p2/2p2npp/5r2/1N2p3/PP6/2P1KPPP/8 w - -,b4c6
r1bqk2r/ppp1bpp1/2np3p/8/2B2B2/2P2N2/PPPQ1PPP/R3K2R b KQkq -,c8g4
5r1k/p2R2p1/7p/1Pq5/P3p3/8/3Q1PPP/3R2K1 w - -,d2b2
r4r1k/p3q2b/3p2Pb/1ppP3P/2P1p2Q/5P2/PP3B2/2K3RR w - -,c1c2
5r2/1p4kp/p1p5/3prp1b/1P1Nn3/P1P1R1P1/6BP/5RK1 w - -,c3c4
3rr3/pp5p/8/2p1k1p1/P1P1pP2/8/1P3PPP/3RR1K1 b - -,g5f4
r1n2rk1/pb1q1p1p/3pp1p1/P1pP4/2P1P3/2N4P/2Q1BPP1/1R3RK1 b - -,c8e7
2r5/3b2pk/rqp2n1p/p1Rp1p2/P2NpP2/1PQ1P2P/KB1P2P1/6R1 b - -,h7h8
1r2q3/1P3k1p/Q4pp1/2bp4/3P4/2P5/1P3P2/R5K1 w - -,d4c5
1r2k3/3pb3/p3p3/2p1Pp2/1PP4p/P1B2P2/5PK1/1R6 b - -,c5b4
8/2R5/8/4r2p/2k1p2P/4K1P1/5P2/8 b - -,c4d5
6k1/pp1b1pb1/7p/P1qrP1p1/Q4p2/5N1P/5PP1/4RBK1 w - -,a4b3
8/5r1p/4k3/7R/4K1P1/4P3/8/8 b - -,f7g7
6k1/1p4b1/6q1/3pp1r1/7p/P2P2BR/1PN1Q1P1/7K b - -,h4g3
r4rk1/2p2pp1/p3bn1p/np2p3/4P3/2P1P1NP/PPBN2P1/R3K2R w KQ -,b2b3
2kr1q1r/pp1b3p/2pb1p2/6p1/3P3Q/1B2B3/P1P2PPP/R4RK1 w - -,h4h5
6B1/4k3/bp1p3p/3P2p1/1K1P4/P5P1/7P/8 w - -,g8e6
5r1k/1ppr2bp/p1n1q1p1/8/1P1pPP2/P2Q1RP1/4N1K1/3R2B1 w - -,e4e5
r3r1k1/1b1nqpp1/pp2p2p/1PppPn2/P4B2/2PBPQ2/3N1PPP/R4RK1 w - -,f3g4
1R6/5p1p/6pk/3r4/3B4/2P2N1P/r5PK/8 w - -,f3e5
1k2r3/pp3q2/2p1r2R/3p1p2/8/PQ2PPP1/KP6/4R3 w - -,h6e6
1r6/Rb6/8/2p1p1kp/1pPp3b/1P1P1PNP/6K1/5N2 b - -,g5g6
2k4r/1p5q/p2p1pn1/4p3/4P1P1/2p1BP2/P5Q1/2R3K1 b - -,g6e7
4r1k1/1qpb1ppp/3p1bn1/1p1Pp3/1P2P3/2P3P1/2BN1P1P/Q3RNK1 w - -,d2b3
r4rk1/1bq1bppp/pp1p1n2/2n1pP2/2P1P3/2NBB3/PPN1Q1PP/3R1RK1 w - -,e3c5
1rbq1rk1/pp2bppp/2n1pn2/2pp4/4P3/2PP1NP1/PP1N1PBP/R1BQR1K1 b - e3,d5d4
2kr4/1b1n3R/5r2/p5p1/P1ppn3/3N4/1PP1B1PP/2KR3N w - -,d3e1
r2q1rk1/pb1nbppp/8/2pp2B1/4n3/2NBPN2/PP2QPPP/2R2RK1 w - -,g5e7
8/1np2kp1/2N1p3/1P5p/1P3P1P/5KP1/8/8 w - -,c6e5
r1bqr1k1/pp4pp/n1pb4/3p1p2/2PPn3/2NB1N2/PPQ2PPP/R1B1R1K1 w - -,a2a3
3qkb1r/1p1n1ppp/p1r1p3/3p1b2/Q2P1B2/2N1PN2/PP3PPP/R4RK1 w k -,f1c1
2kr4/1p5p/p4p2/2p1p1p1/3r4/3PR1P1/PPP2P1P/4R1K1 w - g6,g1g2
2r1b1n1/pp2Bpkp/q3p1p1/n7/4P3/P1N2N1P/1PQ2PP1/1BR3K1 b - -,g8e7
2r2rk1/3nqppp/p2p4/1p6/2ppP3/P2P1Q1P/BPP2PP1/R3R1K1 w - -,d3c4
4k3/8/3p4/3P4/1rP5/8/1PR4K/8 b - -,b4b3
8/1B2k1p1/P4p1p/r7/8/1K4P1/7P/8 b - -,e7d6
r6r/8/2n2Pk1/p2p3n/2pPq3/P1p1N3/5QPP/2B1RRK1 w - -,e3f5
r2q2k1/bpp2pp1/p3r2p/3pP3/4N3/2P5/PP3PPP/R1BQR1K1 b - -,d5e4
1rbq1rk1/4ppbp/3p2p1/1p1Pn3/8/6PP/1PP1NPB1/R1BQ1RK1 w - -,e2d4
r1bq1rk1/ppp1ppbp/2n3p1/8/3PP3/2B5/PP1Q1PPP/R3KBNR w KQ -,g1f3
2Q3k1/7p/6p1/8/8/1P2P1P1/P4PPK/3q4 b - -,g8g7
8/2p1qpk1/2p2n1p/6p1/p1P5/2Q2RPP/5PK1/8 b - -,e7e6
8/pp2rkp1/2p4p/5p2/8/n1B5/P1PR1PPP/5K2 b - -,a3b1
5r1k/2p3Rp/1p1p1q1P/p2Pr2P/2PQ1p2/5P1b/PP1K1B2/6R1 b - -,f6h6
3r4/3r1k2/p1Q4p/1pP2qp1/1Pb3N1/P4N1P/6P1/1R2b1K1 b - -,e1f2
3rr3/pp5k/2n2p2/3p2pP/3P2P1/1P6/P2RNK2/7R b - -,e8e4
2b2k2/1p3pp1/r6p/2p1pP2/2P1P3/1R2bK2/4B1PP/8 w - -,f3e3
r4rk1/1pq1ppb1/p2p1n1p/2pPn1p1/P1P5/2N1P1BP/1PQN1PP1/R4RK1 b - -,f6h5
1r3k2/6p1/R1b3p1/4P3/1P6/6P1/5K1P/8 b - -,c6e8
r2qkb1r/1p1n1pp1/p2pb2p/8/4P1P1/1NN1B1nP/PPP4R/R2QKB2 b Qkq -,g3f1
4r1k1/1b3p2/3R1P1p/pp2r1pq/1P2P3/P1N1R1Q1/2P4P/6K1 b - b3,a5b4
rnbk3r/pp3ppp/8/8/8/P1P5/4PPPP/R1B1KB1R b KQ -,c8e6
2r1k2r/5pp1/p3p2p/1bqpPP2/1p2n1P1/1P2Q3/P1P1N2P/1KR2B1R w k -,e3c5
rn2kbnr/pp3ppp/4p3/1qp1P3/2pP4/P4N2/1P1N1PPP/R1BQK2R w KQkq -,d1e2
r1b3k1/ppp1rppp/2Pp4/4p3/2P5/4PN2/PP1KnPPP/3R3R w - -,c6b7
r4rk1/1p2bp1p/1qp3p1/p1n1P3/P1Pp2b1/6B1/1P2BPPP/RQ1R2K1 w - -,e2g4
8/1p6/2p2kp1/1p6/1Pn1rPPp/P4R1P/5K2/1N6 b - -,e4e8
k1r2b2/5p1p/2q1pP2/P1p1P3/1p6/nQ4P1/5B1P/2R2BK1 b - -,a8b8
3r2k1/1q2npbp/1pbrp1p1/p1p5/2PP2PP/P3PPN1/1B3QB1/2RR2K1 b - -,b7d7
r1bqrnk1/pp2bppp/2p2n2/3p4/3P1N2/P1NBPP2/1P4PP/R1BQ1RK1 w - -,b2b4:d3c2
6k1/p3bppp/4p3/8/1p1Bb3/1P2PP2/P1r1B1PP/3R2K1 w - -,e2b5
r5k1/1b4p1/2p2p1p/1pqp4/1n1P4/3N2P1/R3PP1P/1N4K1 w - -,a2a8
rq2r1k1/p1pn1pb1/2ppb1pp/8/4P2B/1BNQ4/PPP2PPP/3R1RK1 w - -,f2f4
r3rbk1/2qn1p2/b1pp1npp/4p3/2BPP3/1PB2NN1/1Q3PPP/3RR1K1 w - -,f3d2
r1b1k2r/pppp1ppp/2n1p3/8/2PP4/2q2NP1/PP2PPBP/R3K2R w KQkq -,b2c3
r1bqr1k1/p2nbppp/2pp4/4p3/3PP3/2N1BN2/PPQ2PPP/2R2RK1 b - -,f7f6
3rr1k1/p3ppb1/1p4pp/2pqP3/P1nP1B1P/2PR4/4QPPN/4R1K1 w - c6,h2g4
5nk1/q4p2/2p3p1/1pPp2Pn/1P1P2B1/4QP2/4N1K1/8 b - -,h5g7
1rqb1rk1/3b1pp1/3p2n1/p1pPp3/N1P1P1Pp/1P1BB2P/3Q1P2/1R3RK1 w - -,f2f3
5rk1/6pp/pq4n1/3rp3/Q7/5N2/1bB3PP/5R1K w - -,a4a2
2rr2k1/pb2qppp/4pn2/PPpp1n2/2P5/2Q1PP2/1B1NB1PP/R2R2K1 w - -,d2b3
1R6/5pk1/6p1/1PpBr3/1q6/2N3p1/1P1R2K1/8 w - -,b8b7
8/p7/1p4p1/2kPr3/3Rp3/8/PP5P/6K1 w - -,d4a4
