5b2/5k2/p5np/2pKPN2/2P5/1r4B1/7R/8 w - -,h2d2
2r3k1/3b1pb1/p2p2pp/1p1B4/4P3/1P1n2N1/P2N1PPP/5RK1 w - -,d2f3
2r5/5k1p/1b4p1/4R3/8/4P3/5N1P/6K1 w - -,g1g2
3r2k1/1ppr1ppp/1p6/n7/2P2P2/P3B1PP/2R2K2/5B2 b - -,a5c6
3nk2r/3q4/bp2p1p1/2B1PpP1/3p1P2/2rP4/P3Q1B1/RR2N1K1 b k -,b6c5
2r3k1/ppp2ppp/3b2b1/n2Q4/P2P4/2PqB3/3N1PPP/R3R1K1 b - -,d3c3
3rkbnr/p4p1p/n1p1b1p1/4P3/Ppp2P2/4PNN1/1P1B2PP/R3KB1R b k -,b4b3
1r1q1rk1/3b1p1p/p2p2pn/n1pPp3/2P1P3/6PP/PNQN1PB1/1R3RK1 w - -,b2d3
r2q1rk1/pb1nb1pp/1p2p3/2ppNp2/3P1B2/2PBP2P/PP2QPP1/R4RK1 b - -,d7e5
7k/p2Bq1p1/1p4Qp/3p4/5P2/1P6/P2N3K/8 b - -,e7d7
3r4/8/8/7P/6K1/4k3/8/8 w - -,g4g5
8/5p1k/4p1p1/1Bn3bp/3B4/5KP1/7P/8 b - -,c5b7
3Q1bk1/1pp2pp1/2r3p1/6P1/7P/2P1B3/P3PPK1/1r6 w - -,e3d4
8/2pr1pk1/p1B1p2p/1bR2p2/1P3P1P/2P5/6P1/7K b - -,b5c6
6rk/1p1bq2p/p1p1pn2/P2p2Nr/2PPpP2/1PQ1P1P1/5NRP/R6K b - -,h7h6
1r2r1k1/2q2ppp/3n1b2/pp1Q4/8/2P1P3/3PB1PP/1RB2RK1 w - -,c1a3
8/8/6p1/RN5p/4pk2/P2B3P/r5PK/8 w - -,a5a4
1r4k1/4pp1p/3p1qp1/2p1b3/6PK/P4P2/1P1Q1R1P/3R4 w - -,g4g5
5kr1/4pp1R/3p2p1/p1rn2P1/R7/2P2P2/1P6/1K3B2 b - -,d5b6
r6r/1p3p1p/5kp1/3p4/1p6/4RP1P/PPP2P2/R2K4 b - -,h8c8
r4rk1/1qnnb1pp/p2p4/Pp2p3/1N6/2P2N1P/1P3PP1/R1BQR1K1 w - -,c1g5
r3r1k1/p2pqppp/1p6/8/1bPQ4/3B4/PP3PPP/R4RK1 w - -,a1d1
3q2k1/5p1p/3p1bp1/1r1P4/2pB4/4Q2P/1PB3P1/R6K w - -,d4f6
8/5pkp/8/1r4p1/3R4/7P/6P1/6K1 w - -,d4d2
r4rk1/pp2bppp/2p1pn2/q7/PnBP4/1PN1PQ1P/1B3PP1/R4RK1 w - -,f3e2
6r1/8/8/8/8/7K/5k1R/8 b - -,f2f3
7r/4kppp/2pbp1b1/1p6/NPnR4/PK2P2P/2P3B1/3R4 b - -,c4e3
1qr2rk1/1p3bp1/pQ3n1p/P2p4/3Np3/2PP2PP/5PB1/R3R1K1 b - -,c8c3
2r1r1k1/pp1qbpp1/7p/2NP4/P7/1QN2P2/6PP/3R1R1K b - -,e7c5
3q1rk1/2pbbppp/1pQ2n2/2Pp4/1P1P1P2/2N5/3B1PPP/4KB1R w K -,c6b7
4k3/7p/2n1pbp1/1p1p4/p2P1PP1/P1BK3P/1P2N3/8 b - -,e8d7
3r1bk1/pb3ppp/2p2n2/8/3p4/P1N3PP/1PP1NPB1/R5K1 w - -,a1d1
2r2rk1/pp4pp/b5q1/3R4/1P3P2/8/P2Q1PBP/4R1K1 b - b3,a6c4
6k1/4R3/r7/6PK/8/8/8/8 b - -,a6b6
3r1k2/1pQ1R3/p2q1pp1/6p1/8/1P4P1/P4PK1/8 w - -,e7f7
8/7N/8/3k1P1p/5K1b/8/8/8 w - -,f5f6
N7/1k6/3R2p1/5bPp/5P2/8/p6P/K7 w - -,a8b6
1k5r/ppp3b1/3p4/3Pp3/2P1N3/5pP1/PP3P1R/1K1R4 b - -,h8h2
8/8/R7/2p5/2P3p1/pP4k1/7r/3K4 b - -,a3a2
r2q1rk1/pb3pbp/1p1p2p1/2pPp3/3nP3/3PB1P1/PP1QNPBP/R4RK1 b - -,f7f5
4k2r/3n2pp/3rp3/2p2p2/1nP5/1P6/3B1PPP/R2R1BK1 b k -,b4c6
4r1k1/2p3p1/1b2b2p/1P1n4/5p2/5NBP/1PB2PP1/2R3K1 w - -,g3h2
r4r2/1p3pbk/n1bR1npp/p3p3/2P1P3/2N1BN1P/PP2BPP1/4R1K1 b - -,f6e4
r1bqr1k1/pp3pbn/5np1/3p3p/1P1Pp3/2N1P3/PB2BPPP/1R1QRNK1 w - -,d1c2
r2qkb1r/ppp2ppp/4bn2/4p3/8/2NQ4/PPP1PPPP/R1B1KB1R w KQkq -,d3b5
r4rk1/p3q1pp/2pp1p2/6N1/P1bPPQP1/1pP4P/1P6/1K1RR3 w - -,g5f3
8/pR4p1/5bk1/2r3p1/3pK3/P5P1/1P1B1P1P/8 b - -,g5g4
1k6/1prR1P2/p1n5/3Bp3/4N3/P3b3/1PP5/1K6 b - -,e3h6
4k3/3b4/3Rp1p1/pp4Bp/4P3/1P3P1P/P6K/4r3 w - -,d6d2
8/7R/p3pk2/5p2/1pq5/7P/2p3P1/2B1R2K b - -,f5f4
2r1R1k1/7p/p1Q3pq/5b2/8/2P2Nb1/PP3P1P/5RK1 b - -,g8f7
2r3k1/1r2pp1p/1q1p2p1/8/4P3/1P3P2/P2Q2PP/2RR3K b - -,b7c7
8/1k3b2/5Rpp/4P3/2rK4/8/P5PP/8 w - -,d4d3
r1bq1rk1/pp2bppp/2np1n2/2p1p1N1/2B1PP2/2NP4/PPP3PP/R1BQ1RK1 b - f3,e5f4:c8g4:h7h6
8/7k/7p/p4p2/P2Q2Pq/3B3P/1Pb5/4rRK1 w - -,d4d7
r2r4/1p4k1/nqbNp1p1/pB1pPp1p/Pn1P1P1P/BP4P1/5R2/2RQ2K1 w - -,f2d2
r4k1r/pb2q1p1/1ppbp2p/5pN1/1n1PB3/1P4PQ/PBP2P1P/R4RK1 w - -,g5e6
r4rk1/ppp1p1bp/3q2p1/3P4/3p1n2/5B2/PPP1N1PP/R2Q1R1K w - -,e2f4
rnbqk2r/pp3ppp/2pb1p2/3p4/3P4/4P3/PPPN1PPP/R2QKBNR w KQkq -,g2g3:c2c3
rr4k1/2pnnpbp/1q2p1p1/p2pP3/R2P1P2/3N1N2/1PP1QBPP/5R1K b - -,b6b5
r1q1k2r/ppp1ppb1/1nn3p1/6Bp/6bP/2NP1NP1/PP2PPB1/R2Q1RK1 w kq -,a1c1
6k1/1R3p1p/1p4p1/8/P7/1P4PP/1r3P2/6K1 b - -,b2b3
6k1/3r1p2/6pp/pR1p4/2nN4/r1P1P2P/P1K2PP1/R7 w - -,b5b8
rnbq1rk1/p3bppp/1p2pn2/2Pp4/3P1B2/2P1PN1P/P4PP1/RN1QKB1R b KQ -,b6c5
3rr1k1/pb1q2bp/1p4p1/2p2pP1/2Pn1B2/P2P1N1P/3R1R2/3QN1K1 b - -,d7c6
3r4/8/3p1k2/pN1bpP2/K5R1/P7/1P6/8 w - -,g4g6
r3kb1r/pp1q1pp1/1nn1p3/2p1P3/2Pp1P2/3P1QpP/PPNB2B1/2KR3R b kq -,b6c8
4q3/p5kp/1pr3p1/4p3/4P3/QP5P/P4RP1/6K1 b - -,c6c7
1r1q1rk1/p2n1b1p/2nb1pp1/1pp1p3/2PpPPNN/1P1P2PP/P5B1/R1BQ1RK1 b - -,b5c4
8/p5k1/1p4p1/6P1/P1Br4/1P3K2/8/8 w - -,f3g3
r1bq1rk1/ppp2ppp/nn2pb2/3P4/2P5/P1N1BN2/1P2BPPP/R2Q1RK1 w - -,e3b6
r1bqkb1r/ppp4p/2np1np1/4p1N1/2P5/3B1N2/PPQP1PPP/R1B1K2R b KQkq -,d8e7
3r4/1p1q1kp1/2p1pb2/8/pP1nQP2/P5P1/7P/R3R1K1 w - -,a1d1
2rq1rn1/1b1p2kp/p3p3/1pb2p1N/3p1P2/1B1P4/PPPBQ1PP/R4R1K b - -,g7h6
6k1/p4p2/1p3Ppp/3pb1q1/P7/2pQ1R1P/6P1/6K1 b - -,e5f6
rnb1rqk1/3n1pbp/p1p3p1/1p4B1/4P3/P1NB1N1P/1P1Q1PP1/2R1R1K1 b - -,a6a5
r4rk1/p1q2pp1/2n1p2p/2pnP3/P3Q3/5N2/2P2PPP/R1B2RK1 w - -,c2c4
1R6/5b2/5kp1/8/4B2P/5PK1/8/6r1 w - -,g3f4
1b1R4/5k1p/p1q1b3/2B3Q1/1Pp1p3/P4pP1/7P/6K1 b - -,f3f2
2Q5/4r1pk/4p2p/3pPp2/5P1q/7P/3n2PK/5R2 w - -,f1d1
r1b2rk1/pp2b1pp/1qnppn2/2p5/5B2/3BPN2/PPPN1PPP/R1Q2RK1 w - -,c2c4
8/8/1p3k2/5p1p/4n2b/B4R1N/2r2PK1/8 w - -,f3b3
2k4r/ppqnbppr/2n1p1b1/2ppP3/5BP1/1BPP1NN1/PP2QPK1/R3R3 b - -,c8b8
8/3P1k2/4p1p1/bpBn1p1p/5P1P/1K1P1BP1/8/8 b - -,a5d8
