5k2/1R6/p7/6pp/8/5P2/PPr3PK/8 w - -,h2g3
r4rk1/1q1nbppp/1pp1pn2/2Pp4/1P1P1B2/2NQPN1P/5PP1/R3R1K1 w - -,d3c2
8/8/p2Pk3/1p1n1p2/3P2p1/3K4/P2B1PP1/8 b - -,e6d6
1r2r2k/p4p1P/1q3n1b/2Np4/1p1NpP2/6P1/PPQ3BP/2R1R1K1 w - -,g2h3
2r1kbnr/pp1bpppp/3p4/2q1P1B1/3Q1P2/2N5/PPP3PP/2KR1B1R b k -,h7h6
r1bq1bk1/pp1p2p1/2n1pn1p/2p1P1B1/8/1QN2N2/PP3PPP/R3K2R w KQ -,g5h4
rnbqkbnr/pp1ppp2/6pp/2p5/2B1P2P/5N2/PPPP1PP1/RNBQK2R b KQkq -,f8g7
1q3bk1/5pp1/5r1p/3Q4/8/6P1/5B1P/5RK1 b - -,b8c8
3rb3/3PN1k1/4PR2/pP4Pr/P4B2/8/2p3K1/8 b - -,h5g5
2rq1rk1/p3ppbp/1nnp2p1/1pp5/4P3/2PPBN1P/PPB1QPP1/2R2RK1 b - -,d8d7
2r3k1/pp3pb1/1q2b1pp/4p3/4N2P/4RP2/PPPQ4/1K1R4 w - -,e3d3
rn3rk1/1pq1pp1p/2p3p1/p2p4/2P2P2/1P2PP1P/PbP5/2KRQB1R w - -,c1b2
4r1k1/1p1bp2p/3p2pb/1prP1p2/4Pn2/PR2BN1P/1P3PP1/1R3BK1 b - -,f5e4
r1bq1rk1/1p1n2bp/p2p1ppn/2pP4/P3P3/2NB1N1P/1P3PP1/R1BQ1RK1 w - -,f3d2
r1q2rk1/2pnbppp/p1n1b3/P3p3/1pN1P3/2P2N2/1PB1QPPP/R1B1R1K1 b - -,f7f6
6r1/3k1p1p/p2Bp1pP/1p1b2P1/5P2/PP6/1K6/3RR3 b - -,d7d6
r1bq1rk1/pp1nbppp/2n1p3/2ppP3/8/3P1NP1/PPP1QPBP/RNB2RK1 w - -,f1e1:c2c4:c2c3
r3rbk1/1b2qp2/p4npp/1pp5/2n1PR2/2P1B1NP/PPB1Q1PN/3R2K1 w - -,d1f1
r5k1/pp1b1ppp/4p3/1N4Q1/P4n2/B1P5/5qPP/R2R3K b - -,f4h3
6k1/5p2/2n1p3/2P1P3/2R1Npp1/4K1P1/6r1/8 w - -,e3f4
1r4k1/1pr3pp/p3q2n/2Pp1pn1/P2Pp3/BQ2P1PP/1R3PB1/1R4K1 b - -,g5f3
6r1/2r1k1p1/ppp2p2/2N1n2P/2P3P1/1P4K1/1P1R4/3R4 w - -,c5e4
8/4R2p/6k1/5pP1/2r2P2/4K1P1/8/8 b - f3,c4c3
8/1k2K3/1P6/2P2R2/8/8/8/2r5 w - -,e7d6
rn3rk1/p2n4/bp2p1p1/2pp2Bp/B2P3P/5PN1/PPP3P1/R3K2R w KQ c6,c2c3
r2q1rk1/pb1nppbp/1n4p1/1N6/2p1P3/2B2N2/PPB2PPP/R2QR1K1 b - -,d7c5
8/pp6/6p1/6kp/3pK3/6PP/PP6/8 w - h6,e4d4
6rk/1p3P2/p3p1pp/2np4/5N2/1Pn1R1N1/2r2PP1/R5K1 b - -,g8f8
3rr1k1/1p3ppp/p1n2n2/3pq3/8/2N1PQ1P/PP3PP1/1BRR2K1 w - -,f3f5
8/R7/4kp2/8/4P2P/6P1/5K2/6r1 b - -,g1h1
r2q1rk1/p1pnb1p1/1p1pp2p/5p2/2PP4/4PQBP/PP1N1PP1/R4RK1 b - -,e7f6
2r2rk1/4ppbp/p3b1p1/1pP1P3/8/2NqPN1P/PP3QP1/2R1K2R w K -,b2b4
r4rk1/p2n1pp1/2p3q1/1p2p1p1/3bP2P/P1PP4/BP4P1/R2QKR2 w Q -,h4h5
1q1rnnk1/4bppp/p3p3/1p2P3/1P2N3/P3B3/4QPPP/1BR3K1 w - -,f2f4
8/4k3/8/3PK1R1/pr2P1p1/6P1/8/8 b - -,b4b3
6k1/1R3Rp1/6rp/p7/P7/1P5P/2r2P1K/8 b - -,c2c1
5k2/7R/1pb3B1/5pP1/5P2/2P4p/P4K2/6r1 b - -,g1g2
8/1r6/3Bpk2/6p1/4K3/6P1/4PP2/8 b - -,b7b5
r1bq1rk1/pp1n2pp/2p1p3/3p1p2/2PPn3/NP1BPN2/P1Q2PPP/R4RK1 w - -,b3b4
r3k1nr/pb1q1ppp/1pn1p3/3pP1P1/2pP4/P1P5/1PB1QPP1/RNB1K2R b KQkq -,g8e7
r1b1kb1r/pp2qp1p/8/2pPn1p1/2Pp4/P2B2B1/1P3PPP/RN1Q1K1R w kq -,g3e5
5rk1/1pqrb1p1/2p1p2p/p3Pp1N/Pn1pR1P1/1P1P3Q/5P1P/2B2RK1 w - f6,e5f6
8/5k1K/2p5/2p1n1P1/4P3/7P/8/1N6 w - -,h3h4
rn1qk2r/p3b1pp/3ppn2/1Np5/4P3/5N2/PPP2PPP/R1BQK2R b KQkq -,d8a5
8/5p1k/2p3pp/3n4/4BP2/6P1/7P/6K1 b - f3,h7g7
r1b1RR2/ppr5/3q2pk/2pB1p1p/2Pp1P1Q/3P2P1/PP5P/6K1 b - -,h6g7
k2r4/pp2QR2/2p5/b1n3P1/1q6/3B4/2P1N1KP/8 w - -,f7f8
8/7R/2k1K3/p1P3P1/5p2/8/6r1/8 b - -,g2g5
r1bqk2r/1p2ppbp/p1np1np1/8/3NP3/2N1B3/PPPQBPPP/2KR3R b kq -,c8d7
4b1k1/2n2pp1/1p6/2pP3p/8/2P2P2/5BPP/5BK1 w - -,c3c4
8/7r/5k2/1p1p2p1/3p2P1/P1bP2K1/R4P2/2N5 w - -,g3g2
4rr1k/p3b1pp/1q2p3/1b2Pp2/1p1p1P2/1P1P2PB/1NP1QR1P/R5K1 w - -,h3g2
1rbq1rk1/2p2ppp/3p1b2/1p6/3pPP2/1B1P4/1PP3PP/R1BQ1RK1 b - f3,c8e6
r7/2p1ppkp/3rb1p1/2p5/2P5/1PK1P3/2BR1PPP/7R w - -,h1d1
8/3b2kp/8/pp2pPp1/3pP2R/PBnP4/8/2K5 w - -,h4h5
r1bqkb1r/pp3ppp/2n1pn2/3p4/2PN1B2/2N5/PP2PPPP/R2QKB1R w KQkq d6,c4d5:e2e3
4k2r/1p3pp1/1R6/4r3/3N3p/2Pn1PP1/P6P/5K1R w k -,b6b1
r1bq1rk1/1pp2pb1/3p1np1/1Pn1p2p/2P5/2NPPNP1/1B3PBP/1R1Q1RK1 w - -,h2h3
r4rk1/p1pqn1pp/1p1p1n2/3Pp3/2P5/2NBPQ2/PP3P1P/2KR2R1 w - -,g1g5
2r2rk1/pbn3pp/2p1pq2/2Pp1p2/1P2BN2/P3PN2/2Q2PPP/2KR3R b - -,f5e4
r3nk2/6b1/3q1p1P/pp6/3Pp2Q/2P5/PP6/R4RK1 b - -,g7h8
r2r1bk1/6pp/p3np2/1p1Np3/bpP1P3/P3B3/1R3PPP/2R1N1K1 w - -,a3b4
r1bnk2r/ppp2pbp/5np1/4p3/4P3/2N3P1/PPP1NPBP/R1B1K2R w KQkq -,h2h3
r2qr1k1/1b1nbp1p/pp1Pp1p1/7n/2P2P2/1NNB4/PP1BQ1PP/4RR1K b - -,e7d6
7r/Rn6/2k5/1N2ppp1/PP6/5PP1/4P3/1K6 b - b3,h8h3
8/2k2p2/pp2p2r/2Q1P2P/2Pp1P2/3P4/5K1R/8 b - -,b6c5
r3r1k1/1Np1qppp/p1b5/P3p3/4P3/1BP1Q3/5PPP/R3R1K1 b - -,c6b7
r2qkb1r/pppb3n/2np1pp1/4p3/3PPPPp/2N1B2P/PPPQN1B1/2KR3R b kq -,g6g5
r1b1k2r/1p5q/p1p2Qp1/2b5/4P1p1/2N4P/PPP3P1/R4R1K w kq -,c3d5
8/2R5/8/8/2k1b3/1r6/8/2K5 b - -,c4d4
r3rbk1/1p1q1ppp/p4n2/3p4/n4B2/1NP2Q2/PPN2PPP/1R1R2K1 b - -,a4b6
2r3k1/5p1p/p2p2p1/1P1P4/8/1BP4P/5PP1/4B1K1 b - -,a6b5
2r1b1k1/pq2bp1p/4p1p1/1pP5/3R1P2/1B1N2P1/PP3Q1P/5K2 b - -,b7h1
1rb1k2r/3pbppp/1qp1p3/p2nP3/2P1NP2/P2B4/1P2Q1PP/R1B1K2R b KQk -,f7f5
6k1/5p1p/Q2p2p1/1prPb3/8/P7/2q2PPP/1R1R2K1 w - -,a6a5
4rbk1/pp1b3p/3p1qp1/2pP4/P1Pp1P2/1P1B2P1/2Q1RN1P/6K1 w - -,e2e8
8/1p6/p1b1k3/8/3B1R2/P2K1pP1/1P4r1/8 b - -,g2g3
6rk/1b3p1p/N2R4/1p2pP2/3bP3/P7/P5BP/1K6 w - -,g2f3
3rr3/2p1q1bk/1p2bpp1/p3p2p/4P2N/1NP2Q1P/PP3PP1/3RR1K1 b - -,g7h6
8/1p1k1p1r/p3pB1P/1b2P3/2p5/P6R/3K4/8 w - -,f6g7
8/5n2/1p1p1k1p/p1pP1Np1/P1P3P1/1P2P3/6KP/8 w - -,h2h3
2k1r2r/pb3p2/1p1p4/4q3/2P5/3B4/PR3QpP/3R2K1 w - -,h2h3
4r1k1/pp3q2/2pPnp1p/8/3N1Q2/7B/PP5P/6K1 w - -,h3e6
5r2/1p2R1k1/p2r2p1/2bN1p2/2P1p2P/1P4P1/P5K1/5R2 b - -,f8f7
rn1q1rk1/1b3pbp/pp1p1np1/4p3/2P1PP2/1P1B4/PB1NN1PP/R2Q1RK1 b - -,b8d7
