8/Q4rpk/5qp1/3Bp3/4P1Pb/7P/P4PK1/8 w - -,d5f7
3qr1k1/1p3p1p/p1nP2p1/2p2b2/P2b1B2/5B2/1P1Q2PP/R4R1K w - -,f3c6
1k1r2r1/p4ppp/Bpbp4/2p1P1n1/8/3R1P2/PB4PP/5RK1 w - -,e5d6
1rb3k1/p5bp/1p1rp1p1/n1p1Np2/1n3P2/3P2P1/PPP2BBP/R2NR1K1 w - -,d1e3
1r2nk2/4b2p/p1bp2p1/2n5/1P6/B4PN1/P1R3PP/3R3K b - -,c6a4
1k3r2/8/1R6/B1Pp2p1/3P4/3r2P1/7P/6K1 b - -,b8a7
5rk1/4b1pp/p2p4/P2bpq2/6n1/2B2P2/7P/3RNRQK b - -,d5c4
3q4/R1r3bk/1p1r2pp/2p1p3/2P1Q3/1R1PB1P1/5P1P/6K1 w - -,a7a6
2r3k1/5pp1/7p/5b2/1p6/4N3/1PPR2PP/6K1 b - -,f5e4
8/2R5/p4k2/r6P/6PK/8/8/8 b - -,a5a4
r2qkbr1/1b1n1p1p/pp1ppn2/2p5/3P2P1/2PBP3/PP1N1PPB/R2QNRK1 b q -,f6g4
r4rk1/1bqnbpp1/3ppn1p/p7/P3PP1B/1NNB4/1P2Q1PP/R4R1K w - -,c3b5
4r1k1/1pp2ppp/3p4/p1nPrP2/2P3RP/1P6/P1B1qPQ1/5RK1 b - -,e2c2
2r2rk1/p4pp1/2nqpnp1/1p1pN3/3P4/2P1R2P/PP1N1PP1/R2Q2K1 b - -,b5b4
rnbBk2r/ppp2ppp/4p3/8/2pPn3/5N2/PP1Q1PPP/R3KB1R b KQkq -,e4d2
4r3/pp3pk1/8/4Pp2/2p2B2/6K1/PPP2NP1/8 w - -,f4e3
r1b2rk1/3nqpbp/2pp1np1/1p2p3/1P1PP1P1/2N1BN1P/2P1QPB1/3R1RK1 b - -,a8a3
5rk1/p6p/5p2/1p2p1p1/2r1P1P1/2n1RKB1/P4P1P/R7 w - -,a2a3
8/5pk1/3N1rpp/P7/2p5/5n1P/1P6/2KR1B2 b - -,f3e5
r2q1rk1/pp3ppp/1n2bn2/2bp2B1/3N4/2N3P1/PP2PPBP/2RQ1RK1 b - -,a8c8
5k2/R7/5p2/P4P1K/r5P1/8/8/8 w - -,a5a6
8/2r5/4R3/6p1/8/8/2p2k2/2K5 w - g6,e6g6
1n3rk1/6p1/np1Np1q1/p2pP2p/P2P1r2/5R1Q/1P1N2PP/2R3K1 b - -,f4f3
r6r/2q1kn1p/p4ppQ/2p5/Pp6/4P1P1/1P2P1BP/R3K2R w KQ -,h6h4
2r3k1/ppq2ppn/3bp2p/3r3P/6P1/3N4/PPP1QP2/1KBR2R1 w - -,f2f4
1r6/p1k3pp/2P2p2/P3p3/2br2P1/2R4P/5PB1/2R3K1 b - -,c4a6
8/p4pkp/1p6/2p3P1/P2n1K2/2N5/8/8 b - -,g7g6
r5k1/7p/bqp1p1p1/p2nP3/Pb2N2P/6P1/1BQ1RP2/3R2K1 w - -,e4f6
5r2/1p1n1pk1/pb1p4/4q2p/4P3/1QP4P/PP3RP1/5RK1 w - -,c3c4
2rr2k1/pbq1bppp/1p1pp1n1/8/2PBP3/1PN2P2/P4QPP/2RR1BK1 w - -,g2g3
r4rk1/ppp1N3/1bp1P2p/3nP1R1/8/2P5/PP3P1P/2K3R1 b - -,g8h8
6r1/1bqkbp2/p3P3/1p1pP1r1/2nN1R1p/P1PB4/1P2QB1P/4R2K b - -,f7e6
6k1/5pp1/pr2p2p/3n4/R7/1PR3PP/5P2/5K2 w - -,c3c8
8/pr4k1/1p1p3p/b1p2p1P/2Pn1P2/1P3BP1/PB5K/8 w - -,f3b7
r5k1/2q2p1p/p1r1p1p1/2Pp4/8/3N2P1/P1Q2P1P/1R4K1 b - -,e6e5
1qr1r1k1/3R1pp1/1p2p2p/1Q6/1nR5/2P4P/1P3PP1/6K1 w - -,c4b4
r1bqkb1r/pp3ppp/2np1n2/4p3/2P5/1NN5/PP2PPPP/R1BQKB1R w KQkq -,c1g5
3r2k1/p3bppp/8/q1r5/1pB1PP2/8/PPR1QP1P/5RK1 w - -,f1d1
8/8/1b4p1/pp1k1p1p/8/1N1K1P1P/P5P1/8 b - -,a5a4
q5k1/r2b2b1/3p1n1p/r1pPp1pP/1pP1PpP1/1P3P2/1BK1B1Q1/1RN3R1 b - -,d7e8
rnb1k2r/ppp1qpb1/3pp2p/6pn/3P4/2PBPNB1/PP1N1PPP/R2Q1RK1 b kq -,b8d7
4n1k1/3R4/3p4/3P4/1P3pP1/r1p5/4BPK1/8 w - -,d7d8
r1bq1rk1/pp1nbppp/8/3pP3/Q2p4/1N3N2/PP3PPP/R1B2RK1 w - -,a4d4
8/8/8/3RPk1p/r4p2/5P2/4KP2/8 w - -,e2f1
rnbq1rk1/pp2ppbp/2p2np1/3p4/1PPP4/5N2/PB1NPPPP/R2QKB1R w KQ -,e2e3
6r1/1p3p1k/3qp2p/3p4/1P1PbP2/P3QB1P/1B5K/8 b - -,d6c6
r1b1r1k1/qp3ppp/p1n2n2/8/N1Pp1P2/5N1P/PP1QB1PK/R4R2 b - c3,f6e4
q3r1k1/5pbp/3B1Pp1/1bpP4/8/2P3PP/5PB1/3Q1RK1 b - -,b5f1
2QR4/pp3p1k/6pp/8/4p3/3nPP1P/1q4P1/3K4 b - -,a7a5:d3f2
2bb2k1/p3q2p/2pp1p2/1p3P2/1P3QNP/2PB4/P1P5/1K6 w - -,b1b2
r1bqr1k1/ppp2ppp/5n2/2b1n3/3NP3/2N1B3/PPP1B1PP/R2QK2R b KQ -,e5g4
8/5Qpk/4p2p/8/8/6P1/5PKP/3q4 b - -,d1d5
1r6/pp3p2/4b1k1/2ppn3/4P1pR/2P3P1/PP1NBP2/2K5 b - -,d5e4
r2r2k1/1p2qpp1/3p1n1p/1Np5/1n2P1P1/pP5P/P1PQ1PB1/1K1RR3 w - -,f2f4
r1b2rk1/ppp2ppn/4p3/8/3P4/q3Q3/P1PN1PPP/R4RK1 w - -,e3a3
r3k1nr/ppp2ppp/2n5/4P3/1bP1q1b1/4B3/PP1N1PPP/R2QKBNR w KQkq -,f1e2
2r1r1k1/5p1p/q1n2bp1/pNBp1p2/P2P1P2/1P6/3R2PP/3Q1R1K w - -,b5d6
r2qk2r/bppb1pp1/p1np4/3N1n1p/2Pp4/1P2P1PP/PB2NPB1/R2QK2R w KQkq -,e3e4
2r1rbk1/5pp1/1p3q1p/pP3P2/P1p2B2/1b4QN/6PP/1RR4K w - -,c1e1
rn1qk2r/1bp1bppp/p3pn2/1p6/8/1P2NNP1/P2PPPBP/R1BQ1RK1 b kq -,e8g8
r2q1rk1/3n1ppp/3bp3/1Ppp4/P7/2N1PN2/3Q1PPP/R4RK1 b - -,a8a5
6k1/5p1p/6p1/8/pR6/r3P2P/2K2PP1/8 w - -,c2b1
qr4k1/5pbp/r2ppnp1/2pP4/n3P3/5N2/PPQ2PPP/1RBN1RK1 w - -,d5e6
8/5p2/3p2p1/p3rk2/3R4/2P2P2/P2K1P2/8 b - -,e5b5
1rr3k1/5pb1/3p1qn1/3P1p1p/B1N1pP2/2P5/PP2Q1PP/3R1RK1 b - -,c8c4
6k1/p1rprpp1/1p5p/3Bn3/8/P3P1PP/1P1R1PK1/3R4 b - -,g8f8
Bn4k1/p2bpp1p/6p1/4b3/r7/4B1P1/P1R1PP1P/5RK1 b - -,d7f5
3r2k1/3r3p/pq4p1/2RPpp2/QP5P/1P3P2/6P1/3R2K1 w - -,a4a5
r1b2rn1/4q1kp/p2p2p1/1p1Pp3/PPp1P3/2P2P2/3K3N/1NRBn1Q1 w - -,d2e1
r3r1k1/pp5p/2p1ppp1/q2n1nP1/P2P4/B4N2/2Q2K1P/1B1R2R1 w - -,g5f6
3r2k1/pp3ppp/2n1pn2/1q6/2Nr4/P7/1PQ2PPP/1BR1R1K1 b - -,g7g6
2Qr4/r5pk/pp3q1N/8/2P5/8/PP3PPP/R3R1K1 w - -,c8f5
5k2/1p3pp1/p1b1n3/6pP/2Nr4/1P3PP1/P1R2K2/4N3 b - -,g5g4
8/8/3P3R/2p2k2/3rp3/8/8/5K2 w - -,h6h5
r2qkbnr/p4ppp/b1p1p3/3pP3/2p5/1P1P1N2/P1P2PPP/RNBQ1RK1 w kq -,d3c4
8/2r2pk1/pRb2b1p/2QRp1pP/4PqP1/8/6B1/6K1 b - -,c6d5
8/2p2b1R/p3pkn1/1p4p1/6P1/2P5/P3B2P/6K1 w - -,g1f2
2r3k1/3q2bp/6p1/8/2np1P2/3N2Pn/1B4NP/3QrR1K w - -,d1e1
1r2nrk1/1ppbqpbp/p1npp1p1/8/2PPP3/1PNBBP2/P2QN1PP/2R2RK1 w - -,g1h1
r3r1k1/pbpn2b1/1p4pp/4ppqn/1P2P3/2PN1P2/P1QNBBPP/R4RK1 b - -,a8d8
5k2/R5pp/2p5/8/pr3P2/4P1P1/6P1/6K1 w - -,g1f2
