8/1k6/nP6/P2Kp2p/5pp1/8/5BPP/8 b - -,a6b4
4r1k1/1q3p1p/pp4p1/2p5/2P5/1P6/P2Q1PPP/4RK2 b - -,e8e1
1k1r4/1pp5/1b3rn1/pP2p2p/P6q/2PP2QP/5PK1/R1B2R2 w - -,c1g5
2r1r1kq/1b1n3p/p5p1/P2PpP2/2p4Q/1p3RNP/1P2BPP1/R5K1 b - -,b7d5
r4rk1/2pb2q1/1p1p3p/pP1P4/2PbBPp1/3Q2P1/P2B4/4RR1K w - -,e4g6
2r2rk1/p4p1p/2p1p1p1/3nb1B1/2R5/1P6/P4PPP/1B1R2K1 b - -,c6c5
r1b2r1k/p1p1n1p1/q2b3p/1p3pN1/5P2/1BB2Q2/1P4PP/2R1R2K b - -,e7g8
rnbq1rk1/pp3pb1/3ppnpp/2pP4/2P1P3/2NBB2P/PP3PP1/R2QK1NR b KQ -,e6d5
8/6R1/1k1p4/2r3p1/P4pP1/8/5K2/8 w - -,g7g6:g7d7
2R3n1/p4pkp/6p1/4P3/1p1K2P1/3N1P2/r6P/8 w - -,c8c7
r4rk1/4qppp/p2b4/2pP1b2/2P5/3pBN1P/PP3P2/1KQR3R w - -,f3d2
1rbq1rk1/1p2n1bp/p1npp1p1/2p2p2/P3PPP1/2NP1N2/1PP3BP/R1BQ1R1K w - f6,g4f5
rnbqr1k1/pp3ppp/2pb4/3p1n2/3P1B2/P1N1P1N1/1P3PPP/2RQKB1R w K -,f1d3
1rb1kb1r/2q2pp1/p3p3/1pnpP3/3B1P1P/P2B2N1/1PPQ4/R3K2R w KQ -,h4h5
Q7/5pk1/1q2p3/6P1/P6p/4P1P1/5P2/6K1 w - -,a8e4
8/8/r5P1/5K2/4ppP1/5k2/P2p4/7R b - -,a6g6
r2r2k1/pp4q1/2npp3/2n2pP1/2B2P2/1PN5/1PP4Q/2KR3R w - -,c4e6
8/8/p2b4/1p4kp/1P2P3/2B4P/2K5/8 w - -,c3e1
3rr1k1/p1pn1pp1/1p1bp2p/4B2q/2PP4/P4N2/1PQ2PPP/3RR1K1 b - -,g7g5
r2q1rk1/2p2pb1/1pPp2pp/3Np3/P3P3/1Q6/2P2PPP/R1B2K2 b - -,d8h4
3q1rk1/4pp1p/r2p2p1/2pP4/4PP2/3QB3/1bP3PP/5RK1 w - -,d3a6
r2rq1k1/n1p2ppp/1p3b2/p3p3/P3P3/1NPbN1P1/1P3PBP/R1Q1R1K1 w - -,e3d5
2kr1bnr/1p3ppp/8/1N2p3/4p1b1/2N5/PPP2PPP/R1B1K2R w - e6,c1e3
8/p4p1p/1k6/2p4N/8/1K4PP/PPr1r3/1R6 b - -,c5c4
1r4k1/1P2pp2/3p2pp/2pP4/r3P3/1R1Q2P1/q2N1b1P/3R3K b - -,a4d4
1r4k1/5p1p/3pq1b1/ppn1r3/5Q1R/P3BB2/1PPR4/3K4 w - -,e3f2
1rb2rk1/4qpbp/p2p1np1/1ppPn3/4PB2/2N5/PPQNBPPP/4RRK1 w - -,h2h3
2kr3r/pp1qnpBp/3p2p1/2p1bb2/2B5/2NP4/PPP3PP/R3QRK1 w - -,g7h8
2k3r1/1p2b3/1n2p1pp/3pPp2/pP1P1P1P/P3BKP1/3N4/2R5 b - -,c8b8
8/4P1R1/p3r3/1p6/1P3k2/5p2/3K4/8 w - -,d2d3
rnbqk2r/1p2bppp/2p1pn2/p2p4/P1PP1B2/2N1PN2/1P3PPP/R2QKB1R w KQkq -,f1d3
r4rk1/ppp2ppp/8/6q1/3N2b1/P1Q1P3/1P3PPP/2R1K2R w K -,c3c5
5k2/2nr4/1p1p1qPN/p1n2p2/P1P1p3/1P6/1B2P3/5RK1 w - -,b2f6
8/1p3p2/p5pn/b2pk2p/7P/1PPK1PP1/P1N1N3/8 w - -,c2e3
r5k1/ppq1b1pp/2n1pn2/4p1B1/7P/PNN1P3/1PQ2PP1/1K1r3R w - -,h1d1
2rq1rk1/1b2ppbp/pp4p1/1B1Pn3/3BP3/8/P3NPPP/2RQ1RK1 w - -,f2f4
2r2rk1/ppNb3p/1n4pn/3PN3/6p1/7P/P4PB1/2R1R1K1 w - -,d5d6
r2q1r1k/p3bppp/2b1p3/1ppnP3/2B3Q1/2PP4/PP1N2PP/R1B1R1K1 w - b6,c4b3
5rk1/p2rq3/1pbppbp1/2p3Pp/PnP1P3/2N1B3/1P2BPP1/2QR1RK1 b - -,f6g7
r4rk1/pp2q1np/2p3p1/3p1b2/2nPP2P/2NB4/PPQ1NP2/1K4RR b - -,f5e6
2q1r1k1/6pp/R3Pr1b/1p1p3Q/1PpP4/2P4P/2B3P1/4R1K1 w - -,a6d6
r2qk2r/1p1n1pp1/p1pp1n1p/2b1p3/2P3b1/P1NP1NP1/1P1BPPBP/R1Q2RK1 b kq -,d7f8
8/1R4p1/1p2k2p/p3Pp2/1P6/P1r4n/8/3R1K2 b - -,e6e5
rn2k1nr/pp1q2pp/4pp2/b2pP3/3p4/P1N2N2/1PP2PPP/R1BQ1RK1 w kq -,c3e2
2rq1k2/pp2n3/3pr2p/2pB1p2/1P6/PnQ1P1P1/1B3P1P/1R1R2K1 b - -,e7d5
1k6/p1p1n3/1p1bq3/3p1bR1/1P1P4/2P5/P2B4/K4Q2 w - -,a1b2
8/6p1/1pbkp2p/4p3/1PPbP1P1/3BN2P/3K4/8 b - -,c6e8
r6k/1p3pq1/p2P4/2pP4/P2b1Pb1/2NQ4/1P3BP1/4R1K1 w - -,e1e7
4r1k1/3n1p2/3B3p/3p2p1/3P2P1/4PP2/R4K1P/8 b - g3,d7b6
1r4k1/4pp1p/4b1p1/p1R5/P3PPP1/4Q2P/8/q4BK1 w - -,f4f5
r2qk2r/1b1nbppp/p3pn2/1pp5/4P3/1P1P1NP1/P1Q2PBP/RNB2RK1 b kq e3,e8g8
r3r1k1/pbqn1pbp/1p1ppnp1/8/2NP4/2PB1NBP/PP3PP1/3RRQK1 b - -,b7f3
3r2k1/6pp/4p3/5p2/1R1P4/4PP2/r3N1PP/5RK1 b - -,a2e2
5R2/2pk3p/1p1p4/1P1Pb3/2n1pp2/7P/4KP2/8 w - -,f8f7
4k3/1p2bp2/pBp1p3/P3P1pr/5P2/3R2p1/1PK4P/8 w - -,h2g3
8/8/8/1R6/P5pk/7p/5K1P/7r b - -,h1h2
r3r1k1/3qbpp1/p1n1bn1p/1p1p4/3N4/2N1B1PP/PPQ1PPBK/3RR3 b - -,a8c8
r1bqr1k1/1p1n2bp/p2p2p1/P1pPnp2/5B2/2N1P2P/1P1NBPP1/R2Q1RK1 w - f6,d1c2
1rb1r3/3n1pkp/p1qpp1p1/8/1PP1PP2/2N5/3QB1PP/1RR3K1 w - -,c1d1
8/8/Bp1p4/p7/P1n2p1p/2k2P2/5K1P/8 w - -,f2g2
r2r2k1/4ppbp/pq4p1/1p2Pn2/2p2P2/2P2NN1/PP2Q1PP/3R1R1K b - -,f5e3
rnbqk2r/pp2bppp/3ppn2/8/3NP1P1/2N1B3/PPP2P1P/R2QKB1R b KQkq g3,h7h6:h7h5
2r1k2r/1p1qbppp/p1n1p3/3nP3/8/2N2N2/PP1B1PPP/R2QR1K1 w k -,a2a3
rnb1k2r/2p1p1bp/1p1q2p1/3p2P1/3P4/p7/PPPQ1PP1/1KNR1BNR w kq -,b2b3
5nk1/1pQ2ppp/b7/p2Ppq2/8/2N1P1PP/P4PB1/6K1 w - -,d5d6
3qr2k/6pp/2R2p2/3n1Q2/1p1P4/r4NP1/PR3P1P/6K1 w - -,c6c5
8/4Rp2/8/3k4/1P4p1/6P1/1r3P2/5K2 w - -,e7f7:e7d7
1rr3k1/p2qpp2/6pp/3P4/n1p1P3/Q4P1P/PPR1N3/1KR5 b - -,b8b6
5r1k/7p/p1q2b2/5Np1/6P1/3Q1P2/6KP/4R3 b - -,f8d8
8/5k2/2p2p1p/b2pp3/2p5/2P4P/P5K1/2R5 b - -,f7e6
2r1n1k1/1pr1bpp1/p2pp1p1/6P1/P1P5/1P1RB2P/N3PPK1/2R5 w - -,c1d1
r1n1r1k1/pp1q1ppp/3p1bn1/2pP1N2/2P2PP1/1PN4P/P1QB3K/4RR2 b - -,c8e7
2r5/p7/2p2k2/1p2bP2/2p3BP/2Nn4/PPKR1P2/8 b - -,c8d8
1rr3k1/3n2Rp/p2p4/1p1Pp2P/4Qb2/P4P2/1PP1B3/1K6 b - -,g8g7
r1bq1rk1/1pp1bpp1/p1n2n1p/3p4/3P1B2/P1NB1N1P/1PP2PP1/R2Q1RK1 w - -,d1d2
6k1/3b2b1/7p/p2Pp1p1/p1P3p1/2PQ2P1/3N1q1P/1B5K b - -,a4a3
rnb2rk1/pp2b1pp/2p5/4p3/2P1N3/6P1/PP3PBP/R1BR2K1 b - -,c8g4
1r1b4/6p1/r3kp2/p1p1p2p/RnP4P/2BPN1P1/4PP2/R3K3 w - -,e1d2
r3kb1r/pp2pppp/1qn5/2pp3n/3P1Bb1/1PPBPP2/P3N1PP/RN1QK2R b KQkq -,g4d7
8/1p1r3p/5kp1/2R1pp2/8/1N5P/P5PK/8 w - -,h2g3
8/8/1b6/3p3b/1k2Pp2/1P6/2B3K1/8 w - -,e4d5
r1b1kb1r/ppqn1ppp/2n1p3/1BppP3/8/2P2N1P/PP1PQPP1/RNB1K2R w KQkq -,e1g1
3r2k1/1R5R/3p3p/3P4/2P2p2/5P1P/2r3PK/8 w - -,h7d7
8/pB2r1k1/6pp/2p2p2/3P1r1P/2P2N2/PP3K2/6R1 w - c6,b7c6
