8/4kb2/1R6/p4P2/7N/P3P1K1/2r5/8 w - -,h4g6
r4r1k/1p1nq1bp/n1p1b1p1/p1p2p2/N7/1P1NB1P1/P3PPBP/1R1Q1RK1 b - -,b7b5
r2q1rk1/4ppbp/1n1p2p1/2pPn3/P3P3/2N3P1/1P1NQPKP/R1B1R3 b - a3,c5c4
r1bqr1k1/pp1pppbp/2n2np1/2p5/8/1P1PPNP1/PBP2PBP/RN1Q1RK1 b - -,d7d5
4r2k/p4p1p/2N3p1/4b3/8/1P4P1/4K2P/3R4 w - -,e2f3
5r2/pNr4k/4n1pb/q2pPp1p/3PpP1P/P5P1/4BQ2/1R1R3K b - -,a5a3
5R2/8/1p2k3/8/4B2P/3K1p2/P4rb1/8 b - -,f2a2
r4rk1/1bq2ppp/5n2/p2p4/1p2P3/2bP2NB/P2BQPPP/1RR3K1 w - d6,e4e5
1B2n3/3q1k1p/4pppQ/1p1p4/1P1P4/2P2P1P/6P1/6K1 b - -,f7g8
6k1/p4p1p/1p4p1/1NqPn3/1p2P3/6K1/P3Q1PP/8 b - -,a7a6
4r1k1/pp4Pp/2p2n2/8/1bNp1P2/5KPP/1P2r3/R1BR4 b - -,b4e1
r3kb1r/pp1q1ppp/4p3/2pn4/2PP4/5N2/PP1B1PPP/R2QK2R b KQkq c3,d5b6
4r1k1/1p1b1p2/pN1b1n1p/P2PP2P/1P4pq/1B2Q1N1/6P1/2R3K1 w - -,b6d7
r4rk1/1pp1qppp/1p1pnn2/4p1N1/4P3/1P1PB2P/1PPQ1PP1/R4RK1 b - -,f6h5
8/2Pb1pk1/3p1P1p/1prPp1q1/4P1Pp/3P4/5R2/4QBK1 b - -,g7h7
8/pp4pk/4p3/3pP1P1/6pP/8/PPbN2K1/8 b - -,h7g6
1rbq1rk1/3nppb1/1n1p2p1/1BpPP1N1/5P1p/1PN3BP/2PQ2P1/R3R1K1 w - -,g3h2
6k1/3n3p/8/p3p1p1/5rP1/5pN1/P4P1P/3R2K1 w - -,d1d7
r4rk1/pp1b1pp1/1q1p1n1p/8/3pPP2/P2B4/1B1Q2PP/2R2RK1 w - -,c1c4
1r1qr1k1/1bpn1ppp/p2p1n2/4p3/NPP5/PQ3NP1/4PPBP/R4RK1 w - -,f1d1
r1bqk2r/ppp2p1p/2n5/3N1p2/8/6P1/PbP1NP1P/1R1QKB1R b Kkq -,b2g7
7r/5p2/1kp2p2/2b1pN1p/R2pP3/1P6/P1P2PPP/5K2 b - -,h8g8
8/R3k3/4p3/4Nr2/6K1/8/8/8 b - -,e7d6
4r1k1/1p3r1p/2p4q/1P1pPp2/3Q1Pb1/6P1/5RBP/2R3K1 b - -,e8e6
6k1/p2r3p/8/1pp1Bp2/5P1r/PP1P4/2P2Kq1/5R2 w - -,f2g2
r4rk1/3bpp1p/2qp4/6Pp/1Q1BPb2/1N6/PPP4P/1KR1R3 w - -,c1d1
rnb1k2r/ppqpppbp/5np1/8/4P3/2P1B1PP/PP3PB1/RN1QK1NR b KQkq -,e8g8
2k5/6p1/2PK4/pr2pPp1/R6p/7P/8/8 w - -,a4g4
3r2k1/5pp1/7p/1RR4P/r7/P1pp1P2/5KP1/2B5 w - -,c5c3
4r1k1/2pb1p1p/1p4pP/pP1P2P1/P1PKB3/8/8/5R2 b - -,g8f8
rnb1k2r/pp1pppbp/1q3np1/8/2Pp4/2N2NP1/PP1BPPBP/R2QK2R w KQkq -,c3a4
r2q2k1/pp2rpbp/3N2p1/2pP4/Pn3B1P/6P1/1P2PPK1/R2Q1R2 b - -,e7d7
2rq1rk1/5ppp/3b4/1b6/ppRP4/1P1QPN1P/P2B2P1/1KR5 w - -,d3f5
3rr1k1/bp3ppp/p7/4B3/3PQ3/Pq4P1/1P3P1P/3RR1K1 w - -,e4g4
r4b1r/1b1kpppp/p1p5/1pB5/8/1PNP4/1PP2PPP/R4RK1 b - -,e7e5
2r1rk2/2q2p2/p2p1Ppp/1pnB4/3QpP2/2P4R/PP4PP/1K1R4 b - -,h6h5
4k3/3q2Q1/r5p1/5p1p/3B1P2/p1P4P/6P1/6K1 w - -,g7g8
8/2B1k1b1/2p5/1bN2p1p/1P1p1Pp1/6P1/3K3P/8 w - -,c7e5
3r4/pp3pk1/3p2n1/2pP2P1/2Pb1R2/1P6/P2BR1K1/8 w - -,f4e4
3k4/3Bp2p/1pK1P1bP/1P4P1/8/8/8/8 b - -,g6f5
r4rk1/p3bpp1/2n1bn1p/q1pp4/7B/P1NBPN2/1PQ2PPP/3R1RK1 b - -,f8d8
4n3/8/ppp1kpp1/7p/2P2KPP/1PB2P2/2P5/8 b - g3,c6c5
rr3k2/5p2/p1PP3p/5Pp1/1P1BN3/3K4/7P/8 w - -,d6d7
r5k1/p3b1pp/1nppp1r1/2P5/8/1PN1B3/P4PPP/2R2RK1 b - -,b6d5
r6k/pp6/2p1Rrnp/3p4/3P3P/7B/PP3P2/2R4K b - -,f6e6
2R5/p4pk1/4pn2/4q2p/1p2P1p1/8/P4PPP/1B1R2K1 w - -,d1c1
3rr1k1/5pbp/p1n1b1p1/1pBN1p2/8/1B3P2/PPP3PP/1K1R3R b - -,d8d7
6k1/1p1r1ppp/p3p3/P2r4/1R1P1R1P/2P5/5PP1/6K1 w - -,b4a4
6k1/1b3p1p/pr2p1p1/q7/P2bP3/1B5P/NPQ2PP1/2R3K1 w - -,c1d1
r1b2rk1/2q1b2p/p2p2p1/4p1P1/p2NP3/P3B3/1PP1QP2/3RR1K1 b - -,e5d4
2krN2r/p2pnP1p/bp4p1/3p4/3N4/8/PPP2PPP/R3R1K1 b - -,e7c6
r3kr2/1b2q3/p5pp/3B2N1/2Q3n1/b5P1/P2BPP1P/5RK1 w - -,d5c6
r1bqrbk1/p4pp1/2p2n1p/3p4/8/2N1B1P1/PP2PPBP/2RQ1RK1 w - -,c3a4
3rr1k1/pp3ppp/nb1B1qn1/1N1Q4/1P6/P4P2/2P1N1PP/3R1K1R w - -,e2c3
7k/1p2q1p1/1rn1b2p/r3p2P/4Pp2/P1P2N2/1PQ2PP1/2KR3R w - -,f3h4
1r1Rr1k1/5p1p/q3bQp1/p1p5/2P5/1P3P2/P1B3PP/2KR4 b - -,a5a4
8/4rpk1/1p2p1pp/p1rnN3/P1N5/1Pn3P1/2PR1P1P/4R1K1 w - -,d2d3
rn3rk1/1b3pbp/pq2pnp1/1P6/2p1P3/R1P2NPB/1PQN1P1P/2B2RK1 b - -,a6b5
r1rq2k1/5ppb/p2p1n1p/1pnPp3/4P1PB/5P1P/PP1N4/R1R1QBK1 b - -,g7g5
r5k1/4B1b1/2p4p/4pp2/3nN3/3R1P2/1PP4P/1K6 w - -,e4g3
r3rbk1/p2b1p2/1pNp1q1p/2nP2pQ/7P/2N1B3/PP3PP1/3RR1K1 b - h3,g5h4
1r4k1/6p1/1q2pp2/3p4/3P2Q1/4N1PP/b4PK1/2R5 w - -,h3h4
3r4/1p4kp/2n5/p7/P1p5/2P2N1P/1P4P1/4R1K1 w - -,g1f2
4r1k1/1pB2p2/2p3p1/1p1rPnp1/1P4B1/P6P/R5P1/7K b - -,e8e7
1rb1k2r/2qpbppp/p1n1pn2/1pp5/2P1P3/1PNP1NP1/PB3PBP/R2QK2R w KQk -,e1g1
1B6/1p3p2/p1b2p2/5k1p/5N1P/PP4P1/2P2n2/2K5 w - -,f4h5
1b6/8/1r4kp/p1p2Np1/6P1/1PP5/P3R2P/6K1 w - -,e2e4
8/3k4/Kp5r/8/1PR5/2P5/8/8 w - -,a6b7
2r2rk1/pp2bppp/1q2p1b1/2pBP3/3PN3/P3P1N1/1P2Q1PP/2R2RK1 b - -,e6d5
8/1k2r2b/7p/1P4b1/1PR1P3/2KB4/8/5R2 b - -,e7d7
3rr1k1/pb2bp1p/1p1np1pB/7q/1P1P3P/P2B1NP1/1Q4P1/3RR1K1 w - -,h6f4
r4rk1/1ppq2pp/p2p1p2/3Pp3/PP2PnP1/2P2Q1P/3N1P2/RR4K1 b - a3,h7h5
6k1/5ppp/pR6/2b1r3/2PN2b1/1P4P1/P2R2BP/6K1 b - -,c5b6
8/8/8/6pp/3kp3/1r6/R5PP/5K2 w - -,f1e2
5k2/p1R2ppp/7r/P2Pn3/4P3/5P2/Pr2BK1P/7R b - -,b2a2
3rrqk1/1pb2pp1/3P1n1p/p1p5/8/PPQ3PP/1B3PB1/R3R1K1 b - -,f8d6
3rr1k1/1pq2pnp/p2p2p1/3P2B1/1QPN2P1/1P3P1P/P7/3R2K1 b - -,d8d7
3r3k/2p5/1p2qn1p/p1p1Bnp1/P1B1Q3/5P2/1P4PP/5RK1 b - -,e6e7
r1b3k1/p1p1q1p1/1pn1pN1p/8/2BP4/7R/P4PPP/3Q1RK1 b - -,e7f6
r1bq1rk1/ppppnpbp/2n3p1/4p3/2P1P3/2N3P1/PP1PNPBP/R1BQK2R w KQ -,e1g1:d2d3
8/b6p/p2k1pp1/1pp5/4P3/2P1BN2/PP3PPP/5K2 w - -,f1e2
8/7Q/8/1B1q2k1/1p4pn/1P2P3/2r3P1/6RK w - -,h7c2
1k1q1n2/1b4p1/R3p2r/1pNpPp1p/2pP1P2/2P5/1PB3PP/Q5K1 w - -,a6a7
r2qkb1r/1pp2ppp/pn2p3/8/2PP4/3Q1P2/PP2N1PP/R1B2RK1 w kq -,c1d2
5rk1/1p5p/2p3p1/p4q2/PnP5/NQ5P/6P1/R6K w - -,c4c5
