4k3/R7/1p6/2p5/2P1q3/1P6/P4P2/6K1 b - -,e8d8
3RR3/1b4pk/1p5p/2qp4/pn3P2/P2P2P1/1P4KP/8 w - -,a3b4
4rbk1/p4p2/1p2n3/2p2BP1/P6R/2P1BK1P/8/8 b - -,f8g7
3r4/1p4bk/1p1P3p/2n1p1p1/r3P3/P5P1/1BQ5/5RK1 w - -,f1f7
8/2n5/3kp3/4p1p1/2P1P1Pp/1r3P1P/R3BK2/8 b - -,b3b1
1r3rk1/p3qppp/p3p1bn/1Np1P3/1bB1PB2/1Q3P2/1P4PP/R4RK1 w - -,a1a6
2rr2k1/p2b1ppp/q1p5/b7/P1pP1B2/5QP1/1P3PBP/R1R3K1 w - -,g2f1
rnbq1rk1/p3bppp/2p1p3/3nP3/PpBP4/5N2/NP1B1PPP/R2Q1RK1 b - -,a7a5
r3r1k1/1pp1bp2/n2qbnNp/6p1/p1BP4/P1N4P/QP1B1PP1/3RR1K1 w - -,c4e6
5k2/1p3pp1/2b3np/2pN4/2P2P2/3BP3/r5PP/1R4K1 w - -,d3g6
5k2/R7/7p/3p3P/3P2pr/3QP3/1q4K1/4N3 w - -,e1c2
8/5k2/1p3p2/3Nn1p1/P7/2R3P1/1r6/6K1 w - -,g1f1
r4rk1/pp2ppbp/2p1b1p1/2n5/2B1P3/2P1B3/PPKN1PPP/R3R3 b - -,c5e4
b1q3k1/3p1Qp1/p3p2p/4P2P/4P3/P5N1/1P4P1/2r2RK1 b - -,g8h7
r4rk1/1p2p1b1/4b1pp/p1n2p2/2N5/PP4P1/2nNPPBP/1RB2RK1 w - -,c4a5
4k1r1/1b2bp1p/p2p2p1/1r2pPP1/2N1P2P/2q3N1/PP2Q3/1K1R3R w - -,c4d6
2rq1rk1/pp2bppp/5n2/2pp1bB1/1nPP4/2N2N1P/PP2BPP1/R2Q1RK1 w - -,a2a3
rnq2rk1/pp3pp1/2pbpn1p/3p1b2/2PPP3/1QN3P1/PP1N1PBP/R1B2RK1 b - e3,d5e4
r3r1k1/1pp1qpp1/2np1n1p/p3p3/2P3b1/PPQPPN2/1B2BPPP/R3R1K1 b - -,c6d8
8/8/3K1k2/P2B1p2/5r2/N5R1/1P6/4r3 w - -,a3c4
r2qk2r/ppp1bppp/2n1b3/3n4/3NN3/6P1/PPP2PBP/R1BQR1K1 b kq -,c6d4
r2q2k1/1b4pp/pn3n2/Q1bp1p2/2p2B1P/4N1P1/PP2rPB1/3R1RK1 w - -,a5c5
8/8/5bk1/3K3n/8/8/8/8 b - -,g6f5
r2q1rk1/1p2ppbp/p1bp2p1/8/2PBP3/2NQ3P/PP3PP1/R3R1K1 b - -,g7d4
8/5pk1/4p2p/1p2P2P/2b2B2/P3KP2/8/8 b - -,c4f1
1R6/r5k1/8/6PK/8/8/8/8 b - -,a7a6
2kr1b1r/1ppq4/p1p2p2/6p1/4P1np/P1N1B3/1PP1QPPP/R4RK1 w - -,a1d1
r2b4/p2P1kp1/1pN1np1p/3b1N2/8/5P2/5BPP/2R3K1 w - -,c6b4
rnb1kb1r/p2p1ppp/1q6/2pQ4/2p2B2/5N2/PP2PPPP/R3KB1R b KQkq -,c8b7
rq3rk1/1p1bbppp/pBnppn2/P7/4PP2/1NNB4/1PP1Q1PP/R4RK1 b - -,e7d8
8/1q4k1/p2p2pn/2pPp3/2P1P1NP/Q7/R5K1/1r6 w - -,g4h6
rn1q1rk1/pp2bppp/4pnb1/8/3PN3/3B1P2/PP1QNBPP/R4RK1 b - -,b8c6
8/8/1p1pp2p/PPn5/3KP1k1/8/2B5/8 b - -,b6a5
r7/5k1p/6p1/1pP5/8/8/p5PP/R3K3 w - -,e1d2
5k2/1R5p/3N2p1/5p2/8/6P1/1P3P1P/2r1nK2 w - -,f1e2
1B3r1k/6bp/p5p1/2p5/2N1q3/6Q1/PP4PP/R3K2R w KQ -,g3e3
3r1rk1/ppq1bppp/n1p2n2/P7/2NP4/2N2Q2/1P3PPP/R1BR2K1 b - -,f6d5
r1bqkb1r/pp2pp1p/3p1np1/n7/3NP3/2N5/PPP1BPPP/R1BQ1RK1 b kq -,f8g7
8/1p2kpp1/4pb2/6pP/bPPr2P1/3N1P2/B4K2/3R4 w - -,d1d2
r1q1kbnr/pp2p3/2n1p3/1N1p1pNp/3P1P2/2P5/6PP/R1BQK2R w KQkq -,e1g1
r1b2rk1/pp2ppbp/2n3p1/8/2qN4/1P2BB2/P1PQ1PPP/R3K2R b KQ -,c4a6
r3r1k1/ppb2ppp/2p2n2/8/P1B5/2P4P/1P3PP1/R1BR2K1 b - -,a8d8
8/8/2r5/R1Pr1ppk/8/6K1/5P2/2R5 b - -,d5d3
r4rk1/4bppp/p1n3q1/1p1P4/4p1bP/2PB2Q1/PPNB1PP1/R3K2R w KQ -,d3f1
1rbq1r2/pp2n1kp/3p2p1/4pp2/4P3/2PP2P1/P2QNPBP/R4RK1 w - f6,d3d4
8/8/p6r/1p1pk3/4p1BP/2P3K1/P1R5/8 b - h3,h6c6
rn1qr1k1/pb3pp1/1pp2b1p/3p4/3P2P1/2NBPN1P/PPQ2P2/R3K2R w KQ -,h3h4
8/6R1/p1p1k3/P3P3/1P1K4/8/8/2r5 w - -,g7a7
1r6/p4kp1/8/2p3p1/5p2/2P4P/bP3KPB/4R3 w - -,e1e2
8/1p3k1p/3p2p1/bP1Pp1B1/3nP3/3B4/P5PP/6K1 b - -,f7e8
r2qk2r/pp1Bbpp1/4p2p/2Pn4/1P6/5N2/P2B1PPP/R2QK2R b KQkq -,d8d7
r2q3k/pb1n1p1p/1p4r1/4PN2/3pP3/3P2P1/1PP3BP/R2Q1RK1 b - -,d7e5
r1b1r1k1/2q2ppp/3p1b2/3Pp3/pBp2P2/P1P5/1PQ1B1PP/R4R1K w - -,c2e4
1R6/p3kp1R/4n3/bP6/8/4K3/P3P3/3r4 w - -,b8b7
8/5p2/4p3/2n5/6P1/2k2P2/1p1r4/1R1B1K2 b - g3,d2d1
5rk1/1pp1nppp/8/5r2/1p1R4/1P2P1K1/P4PPP/2N4R b - -,f5b5
3r4/p4p2/1p1pk1r1/n2np3/8/8/PN1R3P/4R1BK b - -,g6g4
r2q1rk1/1p2ppbp/2p2np1/p2p4/1nPPb3/NP3NP1/PB1QPPBP/R2R2K1 w - -,e2e3
8/5pk1/8/8/4B3/8/3rr3/R5K1 w - -,e4b7
5k2/6q1/p1p3P1/5PP1/2Q5/8/Pb6/4N2K w - -,c4b4
8/8/3p1k2/2nPp1rp/Pp2P3/1Pp2KP1/2B5/7R w - -,h1h2
4k3/6pp/1p2p3/pP6/P3PQ2/5P2/2rR2KP/3q4 w - -,f4b8:d2c2
8/8/5n2/7p/5Np1/6P1/8/3k1K2 b - -,d1d2
8/2p5/2P5/8/6k1/p2K4/Rb6/8 b - -,g4f5
k6r/5R2/8/4R3/1P6/K1P5/1P4r1/8 w - -,b4b5
4r3/pp3pk1/3q1p2/6r1/8/5Q2/PPP5/1K3R1R w - -,f3b7
1r3r1k/p6p/8/4P1qn/1p6/1Q1R1p2/PP4BP/5RK1 w - -,d3f3
3rr1k1/1b2qpb1/npp1p1p1/4P3/1PP1B3/4R1N1/1B2QPP1/4R1K1 w - -,g3h5
r1r3k1/1p3p1p/2n1p3/p1Pp3B/5B2/1Pb4P/P4PP1/3RR1K1 w - -,e1e3
5rk1/p7/1p1P3p/2p2B2/3R1P2/PP4P1/2Q4P/4q1BK b - -,c5d4
5rk1/4pp1p/1p1p1np1/2q5/r1P1PP2/P2Q4/2PNK1PP/RR6 b - -,f8a8
1r1qrbk1/2pn1ppp/p2p1n2/1p1Pp3/4P3/1BP1BQ1P/PP3PP1/R3RNK1 w - -,b3c2
r3kb1r/pp1qpppp/5n2/3p4/8/3P1nP1/PP2PP1P/RNBQ1RK1 w kq -,e2f3
8/1p5p/4k3/p5p1/P1R1K1P1/4P2P/8/1r6 b - -,b7b5:e6d6
7k/7p/8/5K2/1p4P1/7P/2B5/8 b - -,h8g7
8/8/1p1p1pp1/3Pb2k/2P1R3/7r/5K2/1R6 b - -,h5g5
1r6/p2nkpp1/2pq3r/3pp3/1P1P2p1/R1Q1P1P1/P4P1P/2R1N1K1 b - -,e5d4
rnbq1rk1/p3bppp/2p2n2/2pp4/1P1Pp1P1/P1N1P1NP/5PB1/R1BQK2R w KQ -,b4c5
r3k2r/pp1nqpp1/2pbpn2/3pN2p/2PP4/1P4P1/PB2PPBP/R2Q1RK1 b kq -,f6g4
r6k/4b3/3p1nBP/3P4/5p2/2B4P/p4P1K/6R1 w - -,c3a1
1r2k2r/pbppbpp1/7n/2p1P2p/2P5/PP4PB/1B1N1P1P/3RR1K1 b k -,b7c6
8/7p/p7/2R2pk1/4N3/2P2K1P/8/3r4 b - -,g5g6
