5bk1/8/2N5/p1p5/2P1KB2/3PP3/r6P/8 w - a6,d3d4
r3r1k1/p6p/1pb1n1pQ/2p1pp2/2P4P/3q2P1/PP1N1P2/R1BR2K1 w - -,h4h5
8/3r1p2/5p1p/1k5p/p3PP2/K1R3P1/8/8 w - -,e4e5
5k2/1R6/1p3r1p/7P/1PP5/5p2/5K2/8 b - -,f8e8
8/4K1R1/2k1p3/2nbP3/8/8/8/8 b - -,d5c4
r6r/4k1pp/p3p3/1p1b1p2/8/P2B1P2/1PP2KPP/R6R b - -,e7f6
b3k2r/3q1pp1/3Pp2p/1pQ5/2p5/2P5/2BP1PPP/5RK1 w k -,f1a1
8/4k1p1/r1p1p2p/P3PP2/R2PK2P/8/8/8 b - -,e7f7
q1r2rk1/3nbppp/p3p3/Np1bP3/2pB4/P1N2P2/1PP2QPP/R4R1K w - -,a1d1
2r2r2/ppq2p1k/1n1N1bpp/8/2P1BPQ1/8/P4P1P/1R1R2K1 b - -,c8d8
4R3/6pk/7p/7B/3K4/7P/r7/8 w - -,h5f7
r1bqk2r/1ppnppb1/p2p1np1/7p/3PP2P/2NBBN2/PPPQ1PP1/R3K2R b KQkq -,f6g4
3k2n1/6r1/3p2q1/Bp1Ppp1Q/8/6P1/PP3P2/2K4R b - -,d8c8
r4rk1/4bppp/pp2pn2/3b4/1PBN1B2/P3PP2/6PP/2RR2K1 w - -,c4f1
rb3rk1/1b2q1pp/p3P3/2ppp1Pn/Q7/N1P4P/PP1N4/1BKR3R w - -,a4g4
8/1p1k1p2/p2npB2/3r4/PP4P1/4bP1K/2Q5/8 w - -,f6c3
r1b2rk1/ppb1q1pp/2p5/1Pnp1p2/3PnP2/B2B4/P3N1PP/1R1QNRK1 b - -,c7d6
r2q1rk1/pb1nppbp/1pp2np1/3p4/P1PP4/1PN1PN1P/4BPP1/R1BQ1RK1 b - a3,c6c5
7k/6pp/2nBBp2/1r6/1p6/1P4P1/P4P1P/7K b - -,b5a5
8/4k3/4p3/p4pPK/6r1/6P1/PR6/8 b - -,g4g3
r6q/1p1kbp2/2p3p1/p2p2P1/3PN3/PP2P3/R2B1PQ1/4K3 b - -,d5e4
r2q1rk1/5p2/p1npb1pb/1p1Np2p/4P3/2P1N2P/PP2BPP1/R2QK2R b KQ -,a8b8
2r4k/4qp1p/1p2pp2/p7/2P4P/1P3QP1/P4P2/3R1K2 b - -,c8d8
6k1/5p2/3p3p/2nPb1p1/4P1P1/R3K2P/1rB2P2/3R4 b - -,b2c2
3n1k1q/ppr3b1/4p3/3pPP1b/3P1P2/2PB2QP/P5RK/6R1 w - -,f5f6
2r2rk1/1bq1bppp/p1nppn2/1p6/4PB2/P1NB1N1P/1PP1QPP1/2R2RK1 b - -,f6d7
1R6/2r1b3/2pNp2p/4Pkp1/3P4/2Nn1P1P/6P1/6K1 b - -,f5f4
3r2k1/pp1q1ppb/2p2n1p/4p3/P3P3/1PP1QPP1/1B4BP/R5K1 b - -,d7d2
r1bqr1k1/1ppnbppp/p7/2p1p3/N3P1P1/3PBN1P/PPPQ1P2/R3K2R w KQ -,a4c3
8/5k2/2R5/p2r1p2/P2b3P/4B3/4KP2/8 b - h3,d4f6
8/5pkp/3p2p1/3P4/1P4PQ/8/2r1qP1P/5RK1 w - -,h4g3
rnbqk2r/pp3ppp/3p1n2/2pp2B1/1bP5/2N1P3/PP3PPP/R2QKBNR w KQkq -,c4d5
8/1p3p2/3P4/2p1k1Pp/p1PpP2P/P4K2/1b6/8 b - -,e5d6
6k1/2b2ppp/2N5/1p2p3/8/6P1/1PP2P1P/5K2 w - -,f1e2
r1br3k/ppp3bp/2n3p1/4pp2/2P5/1P3NP1/PB2PPBP/R2R2K1 b - -,d8d1
3b2r1/1p1k4/p1p1p1q1/P1Pp1p1p/1P1P1Br1/4P2R/3Q1RPP/7K w - -,d2b2
r2q1rk1/pp3pbp/2p1pnp1/3n4/1P1P4/2N1PP2/PB2BP1P/R2Q1RK1 w - -,b4b5
4nr1k/1p1rn1b1/5pp1/p1p1p3/P1N1P3/2P3P1/1P4BP/R1B2RK1 b - -,e8d6
5R2/kp4r1/p1p1N3/3n3p/8/1P6/P1P3n1/6K1 w - -,e6g7
2r1rbk1/1bq2p1p/p5p1/1pp1PPN1/4B3/P1P4P/1B2QR1K/R7 b - -,c7e5
3r2k1/pp3pp1/4p2p/2b1n3/P3P3/3r1N2/1P1BKPPP/1R2R3 w - -,e1d1
r2qkbnr/ppp2ppp/2n5/4Pb2/2Pp4/P3P3/1P3PPP/RNBQKBNR w KQkq -,g1f3
2r1r1k1/2qbbpp1/p1nppn1p/1pp5/4PPP1/2PP1NNP/PP3QB1/R1B2R1K b - -,e6e5
r3kb1r/pp1b1ppp/1qn1p2n/2ppP3/P2P4/N1P2N2/1P2BPPP/R1BQK2R b KQkq -,c5d4
r1b2rk1/1p1nq1pp/2p1p3/p2p1p2/2PPn3/1P1BPN2/PQ3PPP/RN3RK1 b - -,b7b6
r4rk1/b1p3p1/2p4p/4Pp2/3P1Q2/1q3P1P/5PK1/R1B2R2 w - -,h3h4
5k2/pp4p1/1n1p3p/3P2n1/2PB4/1P4P1/P5BP/7K b - -,f8f7
3r2k1/3n1pp1/2pBp2p/1pP5/1P2N3/8/1b1R1PPP/6K1 b - -,d7f6
r1bqr1k1/1pp2p2/p1np1bpp/2P5/B3P3/2N5/PP2NPPP/R2QK2R b KQ -,f6g7
8/1kr3b1/1pr1p1p1/p1pn2Pp/4N2P/P3BP2/1PR1KP2/2R5 b - -,a5a4
6R1/8/p3pPb1/2k1Pr2/1p6/8/P1P1N3/4K3 b - -,g6h5
1qr1rnnk/1p1b2bp/p1pp1pp1/1P2p3/P1PPP3/1Q1N1NP1/1B3PBP/2R1R1K1 b - -,c6b5
4r1k1/3rb1pp/pq3pb1/1p1pB1Pn/2pP1P2/P1N1P3/1P2B2P/2RQR1K1 w - -,e2h5
1nr1r1k1/pq1n1p1p/1pNpp1p1/3P2P1/1PP2P2/P6Q/6BP/R3R1K1 w - -,d5e6
1Q3b2/4r2k/4q1pp/4Bp2/4nP2/5B1P/4P2K/2R5 b - -,f8g7
r3r1kn/1bp1q1b1/pp2p1p1/3PppP1/P2B1P2/2NP1N2/1P5Q/2KR3R w - -,h2h7
r1bq1rk1/2ppbppp/p1n2n2/1p1Np3/4P3/1B3N2/PPPP1PPP/R1BQK2R w KQ -,d2d3
6k1/R4p2/3p1bpp/1q1P4/1r2P3/3p2P1/RP1Q1PKP/8 b - -,b4e4
r2q1rk1/4b1p1/4pn1p/1p2n3/p1p1N3/2P1B2P/PPQ1BPP1/R3R1K1 b - -,f6e4
5r2/p3k3/6pp/2pBP3/1p5P/1P2p1P1/P1PbR1K1/8 w - -,d5c4
3b4/3k3p/1p4pP/p2Np3/3P4/8/4r3/3R3K w - -,d4e5
2r4k/pq4p1/7p/8/1Pp3P1/P4P2/4Q2P/4R2K w - -,h1g2
8/2k1K2p/p1p1P3/1p6/1P6/P4R1P/2P1r3/8 w - -,f3f7
2rq1rk1/1b2npb1/1pn1p1pp/p1ppP3/7P/2PP1NP1/PP2QPBN/R1B1R1K1 b - -,d5d4
r2q1rk1/pb2ppbp/1p1p2p1/2n5/2P1P3/1PN3P1/P2Q1PBP/R1B1R1K1 b - -,a7a5
4r3/3k3r/pq2pQ1p/1p1p3P/1P6/5pPB/5P2/4R1K1 w - -,f6g6
r7/pppk1r2/1n2p3/4PpQ1/4B3/2PR4/PP1Nq1PP/5RK1 b - -,b6d5
r4rk1/1pq2pbp/p1npp1p1/2n3B1/P1P1P3/1PN2P2/4N1PP/1R1Q1R1K b - -,c6b4
r1r3kb/p2q1p1p/1pn1p1pB/3P4/4P3/5N2/P2Q1PPP/2RR2K1 b - -,e6d5
r2q1rk1/pp1nbppp/2n5/2p3P1/3pP2P/3P1p2/PPP1N1B1/R1BQ1RK1 w - -,f1f3
r3k2r/1bqnppb1/p1pp1npp/1p6/3PP3/P1N1BN1P/1PPQBPP1/R4RK1 w kq -,b2b4
1r1qr1k1/1p1bppbp/p2p2p1/3Pn1B1/3NP3/1P4PP/P2Q1PB1/2RR2K1 b - -,b8c8
r2qb1k1/p1p1n1pp/8/2Pp4/1PnP1PP1/N1B4P/R5B1/R5K1 b - -,c4a3
r4k1r/1p2npp1/p2p1n2/2pPp3/P3P1Pp/2N4P/1PP1B1P1/2R2RK1 w - -,e2d3
r3r1k1/pp3ppp/8/2q1nbBQ/2Pp4/6PP/PP3PB1/R3R1K1 w - -,g5e7
8/p7/1p1p4/3P1Bk1/4P2p/PP1K4/8/2b5 w - -,a3a4
2rr2k1/1p1q1ppp/p1np4/P3p1b1/1R2P3/1NPQ2P1/1P3PBP/5RK1 w - -,b4b6
2rr2k1/1p4bp/pq4p1/6P1/3pB3/PP2QN2/1B5P/3R2K1 w - -,b2d4
8/1p1r4/1P2kpp1/R3b3/2r5/P1p1BKP1/2R4P/8 w - -,a5a8
2br2k1/5pp1/p5r1/2qPp3/1pP1P3/1B1R2P1/3Q1P2/R5K1 b - -,g6g4
5k2/7p/6b1/4R3/p1pP2p1/PqP1R1K1/6P1/8 w - -,g3g4
1r1q2nr/pp1b2bp/4k1p1/1P1Npp2/Q7/B3P1P1/P4PBP/3RK2R b K -,e6f7
