8/8/8/pp6/n7/k2B4/8/1K6 w - -,d3g6
rnb2rk1/ppq1ppbp/2pp1np1/8/3PPP2/2NB1N2/PPP3PP/R1B1QRK1 b - -,c8g4
4k3/7R/4p2P/p1p2p2/5K2/1P6/P7/1b6 w - -,h7a7
2r3k1/1p5p/p2p2pb/Pq6/3pPP2/6B1/1P3RPP/3Q2K1 w - -,d1a1
k1r5/ppr1b1p1/4p3/5pp1/2P5/4B2P/P2RBPP1/2R3K1 w - f6,c1d1
r1b2rk1/1pq1bpp1/p2p1n1p/P1n1p3/2B1P3/2N1B3/1PPNQPPP/R4RK1 w - -,b2b4
r4rk1/1pqbbppp/p3p3/2Ppn3/4NQ2/1N4P1/PP2PPBP/2RR2K1 w - -,e4c3
1kr5/p7/8/6P1/1p6/6P1/2p1KP2/2R5 w - -,g5g6
6k1/4bp1p/3p2pQ/4p3/1n2P1B1/q1r3PP/4RPK1/5N2 b - -,c3c1
r1bq1rk1/p1pnbpp1/1p2pn1p/3p4/2PP3B/2N1PN2/PP2BPPP/R2Q1RK1 b - -,c8b7
q5k1/1b2rn1p/p4b2/1pQp1Np1/5BB1/4PP2/PP4PP/2R3K1 b - -,e7e8
1r3r1k/3bq1bp/1p1n1np1/2pPpp2/2P5/2N1PP2/2Q1BNPP/1RB2RK1 w - -,e3e4
1r6/p7/1p2nk2/1p2Rp1p/5P2/2NP2P1/P1P3K1/8 w - -,c3d5
r1r3k1/1q1nppbp/2np2p1/1pp5/3PP3/pPP1BNNP/P2Q1PP1/2R1R1K1 b - -,b5b4
r3r1k1/1pp1nppp/1b2n3/1q1pP3/1P1P3P/2B1NNP1/2Q2PK1/R6R w - -,f3g5
4q1k1/p4pp1/Q3n2p/4P3/1rp2P2/1P3NP1/P4K1P/3R4 w - -,f4f5
r1bqk2r/pp1nb1pp/2n1pp2/2ppP3/5P2/1P3N2/PBPPB1PP/RN1Q1RK1 w kq -,d1e1
1k3r2/1b5R/1n1r4/p3N1p1/P2pn1B1/1Pp5/2P3PP/2KR3N w - -,g4f3
5rk1/6p1/p2pRq1p/1p1B4/3P3n/2P4P/PP1NnP2/3K2R1 b - -,f6f7
5r1k/1p4p1/p2nBr1p/q2P4/P1pQp2P/2R5/1P3PP1/5RK1 w - -,g2g4
1bk2r2/3n4/6p1/1R2N2p/p1PB1K1P/P5P1/1P6/8 w - -,f4e3
2r3k1/p4p1p/2p3p1/q2rb3/N3R3/1P2Q1P1/P4P1P/2R3K1 b - -,a5c7
r2qk1nr/pbpnbppp/1p2p3/8/3PNB2/P2Q4/1PP1NPPP/R3KB1R w KQkq -,e1c1
1R6/p4kpp/2p5/2Pp4/P6P/3b2P1/5PBK/2r5 w - -,b8b7
r2q1rk1/2p1ppbp/pn4p1/1p1bP3/3P4/BP3N2/P1Q1BPPP/3R1RK1 b - -,d8d7
r1bqkb1r/pp2ppp1/5n1p/3Pn3/2pQ3B/2N5/PP3PPP/R3KBNR b KQkq -,e5g6
8/1r6/6kp/5p2/1p3R2/1P5P/1KP5/8 w - -,h3h4
3rr3/p1q4k/5ppb/1p1P1b1p/3RpP1Q/P1P1N2P/1P4BK/5R2 b - -,h6f8
3q1rk1/1p1bbppp/p1rppn2/1P6/2P1P3/2N1BP2/P2QB1PP/R2R2K1 b - -,c6c8
r1b1k2r/pp1nnppp/8/q1Pp3Q/1b6/2NB1N2/PPPB1PPP/R3K2R b KQkq -,d7c5
r4rk1/p3ppBp/n1p3p1/q7/1p2P2P/1B6/PPPQ2P1/2KR3R b - -,g8g7
3r2k1/ppb2pp1/4p2p/1P1n4/P2P4/5NP1/1B2KP1P/2R5 b - -,c7d6
r1bq1rk1/pp2b1pp/2pp1n2/5p2/2PQ4/2N3P1/PP2PPBP/R1BR2K1 b - -,d8b6
rq3rk1/1p3ppp/p1n5/P2p3B/R7/1NP1b2P/1PQ3P1/5R1K w - -,h5f7
8/p6k/R7/7p/1r4nP/4P1K1/6P1/8 w - -,a6a7
4kr2/ppr1p2p/5Bp1/6N1/3P4/1Q5P/PPq2PP1/5RK1 w - -,b3b5
8/8/2Q5/p7/1P2k3/P3q3/2K2p1P/8 b - -,e4f4
4k3/3b4/1pq5/2p4p/4N1nP/2B2P2/1P2P1R1/R3K3 b Q -,d7f5
2r3k1/p1q2pp1/1p2pn1p/8/1PPQ4/P2RN1P1/5P1P/6K1 w - -,d4a1
rnb1k1nr/pp1p1p1p/3bq1p1/3N4/2B5/P3B3/1PP2PPP/R2QK2R b KQkq -,b8c6
r1bqk1nr/pp2ppbp/2np2p1/8/2B1P3/2P2N2/PP3PPP/RNBQ1RK1 w kq -,d1e2
r2r1bk1/1ppq2p1/2n1bp1p/p3p3/Q7/P1BPPN1P/1P2BPP1/2R1R2K b - -,d7f7
N2k1b1r/pp3p1p/1n1p2p1/8/6b1/1nP2N2/1P3PPP/R1B1KB1R b KQ -,b3a1
2r2rk1/p2q2p1/1p2p2p/3nP3/3P4/PQP3B1/5PPP/2R2RK1 b - -,b6b5
1r1q1rk1/pb2ppbp/3p1np1/1N1P4/2p1P3/2Pn2PP/PP1N1PB1/R1BQR1K1 w - -,e1e2
r1bqk2r/pp2b3/2p1pp2/3p2p1/2PP4/1P4P1/P1QBP1BP/R4RK1 b kq -,f6f5
8/p5p1/p2rk2p/3p3P/R4PP1/P1K5/8/8 w - -,a4b4
5r2/1B1bR1k1/6p1/p6p/n2N4/P5P1/6KP/8 b - -,f8f7
1k5r/1p1r1p1p/1p2p3/5p1B/3nP3/4K2P/PP3P2/2RR4 b - -,h8d8
r2r2k1/1ppqb1pp/1n2bp2/pP6/3p4/P1NP2P1/1B2PPBP/1R1QR1K1 w - -,c3e4
8/3k4/3p4/p1r1qQ2/2P3p1/1P1Kp3/P3B3/5R2 b - -,d7c7
8/8/3p1k2/3P1p2/b1BN1b1p/p7/6KP/8 w - -,g2h3
r2q1rk1/ppp1bppp/2npbn2/4p3/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 w - -,f1e1
r5nr/ppp2pkp/n2p2p1/4Q3/2P1P3/2N2P2/PP2BP1P/R3K2R b KQ -,d6e5
7k/6p1/pb5p/4PP1B/5P2/2Q4P/P3R1KB/1r1q4 w - -,c3f3
2rr2k1/pp2bppp/2nqp3/7b/2PP4/2P2N1P/2B2PP1/R1BQR1K1 w - -,c2e4
r1b2r2/p1p4k/3p2pp/2PP1p2/4PB1q/3B3P/P2Q1PP1/R5K1 w - f6,e4e5
8/5k2/PR6/6PK/r7/8/8/8 b - -,a4a1
r5k1/6bp/6p1/1p6/3pR3/1P4P1/P1rN1PKP/R7 w - -,d2f3
4Q3/1kp5/1p6/p7/P4Pq1/7p/7K/8 w - -,e8e4
4r1k1/1p1r3p/p1np2p1/5p2/P1P2P1B/1PR5/6PP/3R3K b - -,e8e4
r1bQ2k1/1p4pp/4p3/p1q5/8/2P1P1P1/PP5P/R4BK1 b - -,c5f8
1k6/1p5R/p2p4/P3b3/2Bp1p2/5P2/qPKBR3/8 b - -,a2c4
5bk1/3n1p1p/p1p1p1p1/8/N1P5/Pr2B2P/1P2KPP1/4R3 w - -,e1d1
2r4b/1b2k2p/1q1p1pp1/r2Pp3/4N3/1B3P2/1PPQ2PP/3RK2R w K -,d2h6
r5k1/1b1p3p/p3p1rp/1p3n2/3qN3/3B4/PP1Q1PP1/2R2RK1 w - -,f1e1
r3r1k1/1bp2pbp/1p3qp1/p2p4/P2PnP2/5N2/1PP1NBPP/R2QR1K1 b - -,b7a6
2r2rk1/1bq1npb1/p3p1p1/1p1pP2p/5P2/P1PQ1NNP/BP4P1/4RRK1 w - -,a2b1
6k1/5pp1/7p/1Q6/4P3/P3qPK1/2r3PP/5B2 b - -,e3f2
4b1k1/q4p1p/4ppn1/1PN5/P3P3/5P2/1r2B1PP/4QR1K w - -,c5d3
6k1/r2rqpp1/7p/pQ6/P2PB3/4P1P1/1R3PP1/2R3K1 b - -,e7e4
3rr1k1/pb1q1npp/1p2pb2/2p2p2/P1Nn1P2/1PNP2P1/1BPQ2BP/4RRK1 w - -,c3b5
r2q1rk1/1p3pp1/1n3np1/p2P4/P1p2bPP/4N3/1PQ2PB1/R1B2K1R w - -,h4h5
r1b1k2r/1p1n1pb1/p1p3pp/P7/1P1PNq2/1Q3N2/4BPPP/R3R1K1 b kq -,e8g8
1r3rk1/pq1bb1pp/5p2/Q1nRp3/7P/1P2P3/P1P2PP1/2K1BBNR b - -,f8c8
4r1k1/p6p/6p1/2Pqr3/2R3P1/1Q3R2/P4P2/6K1 w - -,c4c2
8/8/1pp1k1pb/p1p1p3/2P1P1p1/PPPN3P/4K3/8 w - -,h3g4
r1b2rk1/ppqn1pbp/2pp1np1/4p3/3PP3/2P2NP1/PP1N1PBP/R1BQR1K1 w - -,b2b3
4r2k/pp3Qp1/2p4p/q1Pp3P/3P4/1P1R4/P5P1/4rRK1 w - -,d3f3
rnbqkbnr/1p2pppp/p2p4/2p5/3PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq d3,g8f6:d8c7
r1n5/qr1b1k2/2p3p1/p1Pp1p1p/N2PpPnP/PP4P1/3BB1K1/1RR1Q3 w - -,e2d1
8/7p/p7/3P1k2/2PBpb2/7P/P5K1/8 b - -,e4e3
6kr/1ppq2p1/p2p1nP1/3P1PBp/7P/PP1Q4/2P1R3/2K5 b - -,g8f8
8/5p2/6pp/3k4/1p4bP/1P3NP1/1bBK1P2/8 w - -,d2e2
r4rk1/b1p2pp1/p1Qp1q1p/8/3PP3/3n1NPb/PP1N1P1P/R1B1R1K1 w - -,e1e3
