2k5/8/3K4/R2P4/8/8/2r5/8 b - -,c2h2
2Q5/5pp1/3k1r2/4p3/1P2q3/1K5P/2P5/8 w - -,c8d8
r6k/3r1ppp/n2N4/B3P3/P4n2/8/6PP/2RR3K b - -,f4e6
r2r2k1/pp1nq1pp/1n2pp2/2b3B1/4N3/1Q4P1/PP2PPBP/R2R2K1 w - -,g5d2
1rr5/4nk2/bq2p2b/pp1pPp1p/2pP1PpP/P1P1N1P1/1PQ3B1/RR2B1K1 b - -,c8c7
2b3k1/pp2bppp/8/3pB3/4n3/PN1BP2P/1P2KPP1/8 w - -,b3d4
r5k1/ppq2ppp/4pn2/4N3/bPPr4/P3Q1P1/5PBP/R1R3K1 b - -,a8d8
r2qk1r1/1p3p1p/p1b1p3/2p1P3/P2nN3/3Q4/1PP3PP/R1B2RK1 b q -,c6e4
r3kb1r/ppp3pp/2p1qn2/8/4p3/3P4/PPPNQPPP/R1B1K2R b KQkq -,e8c8
r2qk2r/1b2bpp1/p3p3/1p1nP2p/3PBB2/4QN2/P4PPP/2R1R1K1 w kq -,e3b3
2bqkb1r/rp1n1ppp/p3pn2/2p5/8/2N2NP1/PPQPPPBP/R1B2RK1 b k -,b7b6:f8e7:b7b5
rn1q1rk1/ppp1bppp/5n2/3p3b/3P4/3B1N1P/PPPN1PP1/R1BQ1RK1 w - -,f1e1
8/2p2p2/5k1p/pBpb4/5KPP/2P2P2/2P5/8 b - -,c5c4
2r4k/p6p/2P3p1/1p3p2/3pn3/3N2P1/q5NP/2RR3K w - -,d3b4
8/r4p2/2p5/1p1k4/8/8/2K5/5R2 w - -,c2c3
6r1/p1p2p1R/kp6/3pPpBP/3PnP2/P1P5/2P3QK/2q5 w - -,a3a4
2k4r/pbq2p2/1p2p1pp/2p1P3/2n2P1B/P1P5/6PP/3BQRK1 b - -,c7d7
1k3r2/pp1Q3p/1q1n2p1/1PRPp3/1P6/7P/4NPP1/6K1 b - -,a7a5
8/5B2/8/4b3/8/1pkp4/8/1K6 w - -,f7e6
8/8/7p/2k3RP/5pK1/4b3/8/8 b - -,h6g5
2b2rk1/rpN2pp1/1pn1p2p/3pP3/1P6/P7/2P2PPP/R3KB1R w KQ -,c7b5
r1bq1rk1/pp3ppp/1bpp1nn1/4p3/2N1P3/1BPP1N1P/PP3PP1/R1BQ1RK1 w - -,c4b6
2R5/r4k1p/1n4p1/3r1p2/3Rp3/4B1P1/5PBP/6K1 b - -,d5d4
r1rq4/1p2ppbk/2bp2p1/p1n4p/2P1P3/PPN1BP2/2RQ2PP/1R3BK1 w - -,g1h1:b3b4
r4rk1/1p1q1ppp/2p1pnb1/p7/PbBPP3/2N1BP2/1PQ3PP/3R1RK1 b - -,h7h6
r4rk1/2nnpp1p/b2p2p1/R1pP4/4P3/1PBB2P1/3N1P1P/5RK1 w - -,d3a6
1r1n1rk1/2pb1pp1/p2p1q1p/1p1B4/3PP3/5N2/PPP3PP/R3QRK1 b - -,f6e7
r2q1rk1/bp2nppp/2npb3/2PNp3/p3P3/1N1BB3/PP2QPPP/3R1RK1 w - -,c5d6
3kq3/7Q/p2p4/2pPp3/2P1P3/8/4K3/8 w - -,h7b7
6k1/pp5p/5p2/5Np1/3P2P1/5P2/P4K1P/2R1r3 b - -,e1c1
r3r1k1/1bq1bppp/pp1ppn2/n7/2P1P3/PPN2NPP/1B2QPB1/R2R2K1 w - -,f3d2
3r2k1/1b1n2bp/p5p1/1p1p4/1P6/3N2q1/P1B3PP/3RR2K w - -,h2g3
r2qr1k1/5pbp/p1p3p1/3p1b2/8/1NP1B3/PP1Q1PPP/R4RK1 w - -,f1e1
r5k1/p1R2p1p/6pB/3n4/8/6P1/P3rP1P/R5K1 w - -,c7b7
8/3bp2p/3p1k2/p2Pbp2/1p2P3/1P1B1PK1/P2B3P/8 w - -,f3f4
2Rb4/6k1/q5pp/5p2/3r1p2/2N1rP1Q/6PP/6RK w - f6,c8d8
1kbr3r/pq3ppp/pnR5/8/4B3/B5PP/PQ3P2/5RK1 w - -,b2e5
r2r2k1/p1q1bppp/4p3/2p2n2/4N3/3P1QP1/1PPB1PKP/R4R2 w - -,d2a5
rr4k1/3n1pp1/5np1/P2Np3/3bP3/1q4P1/R2BQPBP/3R2K1 w - -,d2e1
1r1r4/p1q4k/1p1p1b2/5p1p/1PP3nP/P3B1Q1/3R4/1B1R2K1 w - -,b1f5
r1bqkbnr/pp1ppp1p/2n3p1/2p5/4PP2/5N2/PPPP2PP/RNBQKB1R w KQkq -,f1b5:c2c3:d2d3
5nk1/1p3ppp/2pbr2q/1P1p4/3Pb3/4P1P1/4BP1P/R1QR2K1 w - -,b5c6
r1b2r1k/q2nb1pp/1pn1p3/p2pPpP1/3P1P2/PP3N2/4NKBP/R1BQ1R2 b - -,c8a6
1r6/p2kbp1p/4p1p1/n1p1P1P1/2P2P2/2PB3P/P1K5/R1B5 b - -,d7c7
8/8/5nk1/4K2p/2N3p1/6P1/8/8 w - -,c4e3
r5k1/2R1B1p1/6P1/4pK2/8/5Pb1/8/8 w - -,c7b7
rnbqk2r/ppp1ppbp/6p1/8/8/2P3P1/P2PPPBP/1RBQK1NR b Kkq -,c7c6:b8d7:b8c6
r3r1k1/1p1b1p2/p1qp1Pp1/7p/P6Q/2PP4/6PP/R1B2R1K w - -,a1a2
1r3rk1/pQ2bpp1/4p1n1/3P2p1/2qP2P1/P6P/1P3PB1/R1B1R1K1 w - -,b7c6
8/3R4/6P1/8/k4r2/1n4K1/3p4/8 b - -,f4f6
rnb1kb1r/ppq1pppp/3p1n2/2p5/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,d1e2
r4rk1/1pp3bp/3p1q2/2nPpp2/1PPn1P2/p1N1B1P1/P2Q2BP/3R1RK1 b - b3,c5a6
r6k/1ppqr1pp/1p1nNpb1/3P4/1Q6/2N1R2P/PP3PP1/3R2K1 w - -,d1e1
8/p6p/1p3k2/3p1p2/P1nP1p1P/1P3K2/5B2/3B4 b - -,c4d2
1r6/2qn1pkp/4rbpN/1pp1p1P1/4P3/2P2Q1P/1PB2P2/R2R2K1 w - -,g5f6
r2q1rk1/1p1nbppp/2p1pn2/p7/P1pPP3/2N2BPP/1P2QP2/R1B2RK1 b - -,e6e5
1rbr2k1/2q1bppp/p1n1pn2/1ppp4/2P2P2/1P1PP1P1/PB1NQ1BP/R3NRK1 b - f3,b5c4
4R3/2p2pk1/3q1b1p/3P4/P7/2Q2BP1/1r3PK1/8 w - -,c3e3
6k1/5ppp/3bp3/B2p4/2n5/Pr4P1/1P2PPBP/2R3K1 w - -,a5b4
4r1k1/5p2/3Q2p1/3Pp2p/2P2q2/2Pn3P/6K1/6B1 w - -,c4c5
rn3rk1/5ppp/pb2pn2/3b4/3N4/1N2P3/1P2BPPP/R1BR2K1 w - -,e2f3
r1bq1rk1/3n1pbp/3p2p1/pP1np3/QP2P3/3B1N1P/P4PP1/R1B1K2R w KQ -,c1d2
r1b3k1/2q3pp/2p2n2/1p2n3/p3P3/P1Q2P2/1PPN2PP/4RR1K b - -,c8e6
3r3k/1q4p1/R4p1p/4p3/2N4P/1P2Q1P1/5P1K/8 b - -,b7a6
r4rk1/1b1n1ppp/p1pqpn2/1P6/8/RQN1N1P1/3PPPBP/2R3K1 b - -,a6b5
8/4kbpp/1ppp1p2/p7/3P4/1PPN1P1P/P3K1P1/8 b - -,a5a4
8/4k1p1/pPb5/P3rPK1/3R4/7P/8/8 w - -,d4b4
3r2k1/5pp1/8/2p4p/5B1P/1Pbr1qP1/2Q1RP2/2R3K1 w - -,c1f1
r3kb1r/pppqpppp/2n5/3p4/3P2bB/4PN2/PPPQBPPP/R3K2R b KQkq -,e7e6
rn2rk2/pb5Q/1p2p1p1/2b1q1P1/8/2NB4/PP4PP/2R4K w - -,c1f1
r1b1rk2/pp3ppB/2p1p3/2qpP1PQ/2P5/1P2P3/P2N3P/R4RK1 b - -,e8e7
1r4k1/8/p2P2p1/2p5/4ppB1/2B5/6PK/8 w - -,c3f6
r7/8/P7/4ppK1/4kP2/R3P3/8/8 b - -,e5f4
2r5/3bppk1/3p2p1/3P3p/3NP2P/1Pp1P3/5KP1/2R5 b - -,e7e5
8/8/3r4/1kp1Np2/p4P2/4K3/6P1/R2b4 b - -,c5c4
8/1pN2pkp/p7/P1p1R3/5K2/2P4P/8/3r4 b - -,c5c4
6rk/ppp2nrp/4bqp1/4p3/5P2/2NB4/PPP2P1Q/2K3RR w - -,g1g6
5n2/2q2pbk/6p1/4p2p/2Q5/1P6/PNP4P/1K2R3 b - -,c7e7
rn1qk2r/pp2ppbp/2pp1np1/8/2P1P1b1/2NP1NP1/PP3PBP/R1BQK2R w KQkq -,h2h3
r4rk1/pp1nbpp1/1qpppn1p/5b2/2PP1B2/1Q2PN1P/PP1NBPP1/R3R1K1 b - -,f8e8
8/4k1B1/1p1b1p2/p4K2/B1P3PP/3n4/8/8 b - -,d6e5
rn1qkbnr/1b1p1ppp/p3p3/2p5/1p1PP3/2N2NP1/PPP2PBP/R1BQK2R w KQkq -,c3a4
r4rk1/p1pn1ppp/4p3/1qp1P3/2p1Q3/5PP1/PP1BP2P/R4RK1 w - -,d2c3
