8/p7/1P6/2K2k2/r7/8/P3R3/8 b - -,a7b6
8/1br5/p3pk1p/6p1/2p1P3/6PP/PP3K2/1B1R4 b - -,f6e5
2rq1rk1/1p2pp1p/3p1np1/pP1P4/1n1QPP2/2N4P/1P4P1/1B1R1RK1 w - -,e4e5
1r1qr1k1/7p/p2p1bpB/1pp5/n5B1/3P3Q/PPP3PP/1R3R1K w - -,h3f3
3r4/p4pk1/1p2p2p/1qr3pP/3p2P1/R4P2/1P3K2/1QR5 b - -,a7a5
r1bq1rk1/ppp1n1b1/3p1n1p/3Pp1p1/1PP1Pp2/2N2P2/P1QNBBPP/R4RK1 w - -,c4c5
2r5/3k1p2/p2r1P2/1p1B1RP1/4P3/7P/PPP5/7K w - -,c2c3
r1b2rk1/pp3ppp/5n2/3p4/2n2B2/1Nq3P1/P3QPBP/2RR2K1 b - -,c3b4
6k1/p7/3qn2p/2p2p2/2Q2RP1/7P/PP5K/8 w - -,h2g3
2R1n1k1/5bp1/7p/8/1Q3N2/p3qPPP/r3B1K1/8 b - -,a2e2
r3rnbk/1p2b1pp/1qp1p3/p2nP3/P2N3P/1N3QP1/1P1B1P2/2R1RBK1 w - -,e1d1
1r1r1bk1/p1q2ppp/2p1p3/4P3/NPQ1PP2/6P1/3B3P/4RBK1 b - -,d8d2
5rk1/1q2p2p/r2p1ppb/2pPN3/P3P3/1PB3P1/2Q2P1P/R3R1K1 b - -,f6e5
r4rk1/2pq2pp/1p1bnp2/1Pp1p3/2N1P3/3PB1PP/2PQ1PK1/1R3R2 w - -,d2c3
8/1p1k1p2/2Pp4/4p3/1P2P3/2K5/2R5/1q6 b - -,b7c6
r4rk1/pp3bpp/3q4/3p4/8/5BP1/PP3PP1/R2QR1K1 w - -,d1d4
5k2/5p1p/1pB2p2/p4N1P/2K5/1P6/P4b2/8 w - -,c4b5
r2q1rk1/pp1bppbp/6p1/1B1Pp3/4P3/4B3/PP3PPP/2RQ1RK1 w - -,d1a4
2rb2k1/2r2pp1/1pn1p2p/pq1pP3/1P1P4/P1RNPN2/3Q1KPP/2R5 b - -,a5b4
5rk1/1prn1p2/4p1p1/3pPn1p/PPqP1P2/Q1p2N2/2R2BPP/3R2K1 b - -,f8c8
7r/p1r1kppp/2Bbpn2/8/Qq1P4/4B3/1P3PPP/1RR3K1 b - -,h8b8
r1r3k1/3nq1pp/bpp1pn2/p2p1p2/2PP1N2/1P2P1P1/PQ1N1PBP/R1R3K1 b - -,g7g5
r2q1rk1/3b1pbp/3p2p1/3B1p1P/pp2P3/5P2/PPPQN1P1/R3K2R w KQ -,h5g6
r1b1kb1r/1pqnpp1p/p1p2np1/2Pp4/3P4/2N2NPP/PP1BPPB1/R2QK2R b KQkq -,f8g7
5k2/1p2r3/p1p2rp1/P1Pp1p1p/3P3P/4PPP1/4RK2/1R6 w - -,b1b3
r2q1rk1/pb1pbppp/np3n2/3p1N2/8/6P1/PP2PPBP/RNBQ1RK1 w - -,b1c3
7k/p7/2NpR1pp/1P1n1p2/8/7P/6P1/r4K2 w - -,f1f2
8/3k1pp1/p3p1p1/1p1b2B1/2rP4/P1PK1P2/6PP/R7 b - -,f7f6
8/7p/4p3/1p3k2/1BbP4/2P3P1/p4r2/K5R1 b - -,f2c2
6k1/6N1/8/1p4R1/8/1p5P/6PK/2r5 b - -,b3b2
4b3/8/5p2/2k3p1/p1p5/2K1NP2/P5PP/8 w - -,a2a3
r3r1k1/pp1q2bp/2ppb1p1/8/QPPppP2/3P2P1/P2B2BP/2R2RK1 w - -,d3e4
6k1/1pp3pp/8/p1n5/2PNb3/K1P1r2P/P4rP1/2R2B1R w - a6,d4b3
2R1r3/p4k1p/3p2p1/q4p2/8/1P2Q3/PB3nPP/4R1K1 b - -,e8e3
2r5/p4p2/2pkb1p1/3p3p/7P/1BPPKP2/P5P1/4R3 b - h3,e6f5
rn2r1k1/1q3ppp/1R6/pp2P3/5PP1/B2BQ2P/P1R5/6Kb b - -,b7f3
4n3/5kpp/1N1p4/3P4/1P6/2r5/5PPP/5RK1 b - -,c3b3
rnb1k2r/pp3pp1/4p2p/3pP2P/q1pP2Rn/P1P5/2P2PP1/R1BQKB2 w Qkq -,g4h4
r4rk1/1q2b1p1/p1np3p/1p3b2/4p2P/2PB1P2/PPNQ1BP1/R3K2R w KQ -,f3e4
1rb4r/4qpk1/3n4/1p1Pp1pp/1Qp1P3/7P/1P3PP1/R2NRBK1 w - -,d1e3
2r2rk1/1p1qbbpp/pnn2p2/3p1P2/1PpP3N/P1N1B1P1/4P1BP/2RQ1RK1 w - -,g1h1
r4rk1/1bq1bppp/p1n1pn2/3p4/Pp2PB2/3B1N2/1PPQNPPP/3R1RK1 b - -,e6e5
8/5k2/5p2/1r1p1Rp1/p5Pr/3P4/PP3P2/1KR5 w - -,c1c7
r2rb1k1/5pp1/p1p4p/3ppPb1/Pp2P3/1P1P4/2R1NNPP/5RK1 w - -,f2g4
3r2k1/5p1p/p5p1/4p1b1/1p1r4/3N2R1/PPP5/1K1R1B2 b - -,g5f4
b5k1/r5bp/6p1/N1p2p2/2P1p1PP/1N2P2B/1n2K3/1R6 b - -,g7c3
1r1qr1k1/2pb1pbp/p1np1np1/8/1p2PP2/PNN1BB1P/1PP3P1/R2QR1K1 w - -,a3b4
8/1Q4bk/6bp/2p5/5q2/5N1P/6BK/8 w - -,h2h1
rnbqkbnr/1p2pppp/p2P4/2pP4/8/5N2/PPP2PPP/RNBQKB1R b KQkq -,d8d6
8/1pn1kppp/1N1p4/1n1Pp3/1q2P2P/6PB/4QP2/6K1 b - -,b5c3
1kr2b2/p1q2p2/Pp2p3/1Q6/3Pn1P1/4N3/NP6/1KR5 b - -,e4d2
r2q1rk1/pp3pbp/1n4p1/2pPp3/3nPPb1/2N1B3/PP1Q2PP/2K1RBNR w - c6,h2h3
3r2k1/2R2pp1/p5b1/1pp5/6P1/2BP4/PPP3K1/8 b - -,c5c4
3r2k1/pp4pp/2p5/5p2/4r1nP/P1B5/1PP1R3/2K2R2 w - -,e2e4
r6r/pp3p2/4kbp1/2p3p1/4P3/2P5/PP1N2PP/R4RK1 w - c6,d2c4
4rrk1/pp3p1p/1q4p1/2np4/1P6/2PB3P/P1Q2PP1/R4RK1 b - b3,c5e6
r2q1rk1/pp2ppbp/2Np2p1/8/2P1P1b1/2N1B3/PP3PPP/R2Q1RK1 b - -,g4d1
8/pp6/2p2kBp/6bP/2P1R1p1/1P6/P2r1P2/5K2 b - -,d2a2
3b4/3P4/5kp1/8/4R2p/1Bp5/1r5P/6K1 w - -,b3a4
rnbq1rk1/4ppbp/p1p2np1/1p6/3P4/1QN1PN2/PP2BPPP/R1B2RK1 b - -,a6a5
8/6k1/6p1/PR5p/4NK1P/8/r7/8 b - h3,a2a4
4r1k1/pp4pp/8/2p2r2/3p4/P2PqB2/1P2P2P/2RQ3K b - -,e3f2
5R2/8/8/8/8/2Kbk3/8/2r5 w - -,c3b4
8/2N5/1N6/5k2/8/n1K3R1/8/7r w - -,c7d5
8/8/p7/B4kpp/4p3/4K1PP/8/8 w - -,a5c3
r4rk1/pp1q1pp1/2p1bn1p/8/2Pb3B/1Q3B1P/PP2N1P1/3R1R1K b - -,c6c5
r3qrk1/1pp3bn/3p2pp/3Ppp2/bPP1P3/4B3/3NBPPP/R1Q2RK1 w - f6,f2f3
1r1qr1k1/1p1bppb1/p1np1np1/8/2P1PPP1/2N1B3/PP1NB3/2RQ1RK1 b - -,e7e6
1rr3k1/p3p1bp/3p1np1/qp1b2Q1/3BP1P1/P4P2/1PP5/2KR1B1R w - -,d4f6
8/pp6/8/1P4p1/P2R1pk1/8/2q2PK1/4R3 w - -,e1e3
r3r1k1/1b2p1bp/pn3pp1/3p4/3P4/2PB1N1P/1P3PPB/R2K3R w - -,h1e1
2R5/1p1r1kp1/p1p4p/2n1B3/4P1P1/5P1P/1P4K1/8 b - -,a6a5
6rk/7p/p3p3/5p2/1Q6/P5q1/3pnKB1/3R4 w - -,f2e2
r2q1rk1/pp4pp/2p1bp2/3nP3/Pb6/3BBPP1/1PP1Q2P/R4KNR w - -,e3f2
r2r2k1/pbp2ppp/1p2qn2/4N3/1PP1p3/P1Q1P2P/1B3PP1/R3K2R w KQ -,e1g1
2kr3r/1ppqn2p/1b2pp2/pP1pp3/P3P3/2PPBN2/4QPPP/R3K2R w KQ -,e3b6
r2qk2r/pb1nbppp/1pp2n2/3p4/3P4/2NBPN2/PPQB1PPP/R3K2R w KQkq -,e1g1
r5k1/5p2/6p1/7p/p1R4P/P3P1P1/5P2/6K1 b - h3,g8g7
3r2k1/1bp2pp1/1p2qnnp/p1b1p3/P3P3/1PP2NPP/1B1NQP1K/4RB2 b - -,f6h5
