8/7r/8/3R4/3K1kP1/7P/8/8 w - -,d5f5
8/pp2k1pp/8/3nN3/2pP4/P4P1P/1P1K2P1/8 b - -,b7b5
1r4kn/R4pp1/1p3b2/1Pp1p3/2B1P3/5PP1/3R4/6K1 w - -,d2a2
8/1p6/p3k1p1/Pn2Pp1p/5P1P/3KB3/8/8 b - -,e6d5
r1bqk2r/pp1n1ppp/2pb4/4p3/2PPQ3/5N2/PP3PPP/R1B1KB1R w KQkq -,c1d2:d4e5
r3k2r/1bqnbppp/pp1ppn2/8/2PNPP2/P1NBB3/1P4PP/2RQ1RK1 b kq -,d7c5
r1k5/4r1p1/1R2np1p/P1p1p3/4P3/2B3P1/5PKP/1R6 b - -,e6d4
r2qk2r/ppp3p1/2nppn1p/2b1p3/4P2B/2PP1N1P/PP3PP1/RN1QK2R b KQkq -,d8d7
1rbk1nnr/4q3/1p1p1pp1/pPpPp3/2P1PPPp/2N1N2P/P3BQ2/1R3RK1 b - -,e5f4
8/5p1p/2p3k1/1p2n1N1/8/RP2r2P/6P1/5K2 w - -,f1f2
8/1p2kR1p/p3p3/2b5/8/4N3/PPP2P1P/2K5 b - -,e7f7
6q1/4kr1r/1p2N3/p2p2P1/2p2P2/2P1P3/PPQ5/2K3RR w - -,f4f5
rnbqk2r/1pp2pbp/p2p1np1/8/P1BNP3/2N2P2/1PP3PP/R1BQK2R b KQkq a3,e8g8
r2q1rk1/pp2bppp/1n2p3/5bB1/3Pn3/1QN1PN2/PP2BPPP/R3K2R w KQ -,g5e7
8/2p3k1/p2pqpp1/P1p5/2P2RPP/1r2r3/2R2QK1/8 b - -,g6g5
8/3K4/k2B4/2P5/8/5b2/1R6/2r5 b - -,a6a5
1r1q1rk1/p2n1ppp/bp2p3/P2p4/1Q1Pn3/2N2NP1/1P2PP1P/R1R2BK1 b - -,e4f6
1r3rk1/2p2pn1/p1bp3p/1p2p1p1/1P2P1P1/2PPPNB1/P6P/R4RK1 b - -,f7f6
2r1rbk1/2q2ppp/p2p1n2/1b3P2/1P2Pp2/2N2Q2/P2NB1PP/3R1RK1 w - -,c3b5
6k1/1R4p1/1p5p/p4r2/1P6/4n1P1/P4N1P/6K1 b - -,f5b5
8/5k2/1P1p4/3Pb3/2P5/5p1p/1P2rB2/1R4K1 b - -,h3h2
6k1/1p3ppp/p3p3/P1br4/8/2B2P2/1P4PP/1R5K w - -,g2g4
r3kb1r/1b1n1ppp/ppn1p3/2ppP3/N2P1P2/PPP1BN2/3K2PP/R4B1R b kq -,c6a5
r2q1nk1/pb2p1bp/1p4p1/3pNrP1/3p1B2/4P2Q/PPP1NP2/R3K2R w KQ -,e3d4
5r2/2p2p1k/1b1pqpb1/1p5P/3PPQ2/2P4p/1P1N4/R5RK b - -,g6h5
r4r1k/Q2R2b1/1pq4p/2p1p1p1/8/2BP1PP1/4P1K1/5R2 w - -,a7b7
2rr2k1/p4ppp/4pb2/p2qN3/Q2P4/P7/1P3PPP/3RR1K1 w - -,h2h3
r4rk1/ppq2pp1/3p3p/3P4/3b4/1P1Q3P/P4PP1/1R3RK1 w - -,d3d4
2b4k/5qb1/1p1p2p1/2pPp1Bp/P1P1Q1P1/1P1N3P/8/5K2 w - -,f1g2
r1bq1rk1/3n1p1p/pnp3p1/3p3P/2pP1PP1/2N4B/PP1Q4/2KR2NR b - -,d7f6
8/2p2k1p/R1pr2p1/8/8/5P2/P3K1PP/8 b - -,f7e7
2r1k3/5p2/p3p1p1/3pP2B/1p1B3P/3b4/PP1b4/K2Q4 b - -,c8c1
4k3/2R2p1p/2p3p1/2P5/3p1B2/6P1/7P/r5K1 w - -,g1f2
1r6/6p1/4p1kp/p2bP1p1/3R2P1/1P6/2P2N1P/2K5 w - -,c1d2
6k1/6P1/2r2p2/pp6/4P1R1/PK6/1P6/8 w - -,a3a4
2n5/8/PBp1k2p/5p2/2P2P1P/2K5/4B3/1b6 w - -,b6c5
8/1p1r1ppk/p7/7p/P2p4/6P1/P3PPKP/3R4 b - -,h7g6
8/p7/6p1/5k1p/3b4/6BP/P3KP2/8 b - -,f5e4
5R2/8/8/3K4/6n1/4bpk1/8/8 w - -,d5e4
1r2q1k1/p4ppp/4p3/1pb2P2/8/PQ1RP3/5PBP/6K1 b - -,e6f5
1r6/p6r/b3Bp2/2kP1P2/2p3Rp/2K3pP/P5P1/2R5 w - -,d5d6
br3rk1/3n1p1p/q2P2p1/2p1p1b1/P7/1N3P2/4BBPP/1R3R1K w - -,e2a6
1r1q1rk1/p2bppbp/2pp1np1/n7/2PN4/1PN3P1/P2BPPBP/R1Q2RK1 b - -,c6c5
rnbq1rk1/pp2ppbp/2p2np1/3P4/3P4/2N2NP1/PP2PPBP/R1BQK2R b KQ -,f6d5:c6d5
4n3/pb1n1pkp/1p4p1/1P6/2N1P3/2N2P1P/B1P3P1/6K1 w - -,g1f2
6k1/1p4p1/4Nq2/pP6/6Q1/4b1PK/7P/8 b - -,a5a4
8/6pk/5p1p/5P2/4p3/4B1QP/6PK/1q6 b - -,b1d3
n1r1r3/5Nkp/6p1/pPBpN3/3P4/1PP5/4pKPP/4R3 b - -,c8c7
6k1/1pQ2b2/4q2p/2P3p1/8/2N2P1P/6PK/8 b - -,e6f5
8/5k1p/6p1/2bPR3/2K1B3/2P5/3r4/8 b - -,c5e7
2r2rk1/pq1pbppp/npp1p3/4N3/Q1PPPB2/6P1/PP3PKP/R3R3 w - -,a1d1
7R/1pp1nbk1/p4p2/4pPp1/2PpP1P1/3P2N1/1P1NK3/8 b - -,g7h8
8/1p6/8/1B1kn1p1/p2p4/5P2/PP1R2Pr/3K4 b - -,d5c5
r1bqkb1r/pp2pppp/2nn4/3p4/2pP3B/2P1P3/PPBN1PPP/R2QK1NR b KQkq -,d6f5
6k1/5p1p/3p2p1/4p3/2PpP1K1/rP1R1PP1/7P/8 b - -,g8g7
8/2p4p/1p1p1bk1/1P1Pp3/4PpK1/1P6/5B1P/8 b - -,f6e7
r1br2k1/1pR2p1p/6p1/8/q2P4/6P1/P4PBP/3Q1RK1 w - -,d4d5
4k3/4P1R1/5P2/8/8/2K3p1/8/4r3 w - -,g7g8
4k1r1/ppr1bp1p/q3p3/n2p1pB1/3P2nP/2P2NPN/PPQ2P2/R3R1K1 w - -,h3f4
r4k2/pQ2pb1r/1p1p1p1q/3P2p1/6P1/1PR3B1/P3PPB1/6K1 b - -,a8e8
8/p7/5k2/3B4/P2PK1pp/1P6/6P1/3r4 w - -,d5b7
r2qr1k1/1b1nbppp/pp1ppn2/8/2P1P3/NQN1BP2/PP1RB1PP/R5K1 b - -,d8c7
3r3r/2qbk1p1/p1p2p2/1pP1pP2/7p/2Q1B2P/PP2B1P1/5R1K w - -,c3b4
6k1/4qppp/pp6/3b4/PP2p3/8/4B1PP/2R3K1 w - -,c1c8
3r1rk1/p1q1ppbp/1pb2np1/2pp2B1/3P1P2/2PBP2Q/PP1N2PP/4RRK1 w - -,h3h4
4r3/6k1/2p5/1p3Rp1/4N1Pp/P1Pn4/1P5K/8 w - -,f5g5
r1bq2nr/ppp1nkb1/3p2pp/1B1Pp3/4pP2/2N1B2N/PPPQ2PP/R3K2R w KQ -,f4e5
8/3nk2p/3pN1p1/p1pP2P1/2P1P3/1P3K2/3bB3/8 w - -,f3g4
8/8/8/2Pk2n1/6Bp/1P2K3/8/8 w - -,b3b4
5r1k/1b2b1pp/1N2p1r1/8/B3N3/2Pp2P1/RP5P/3nR1K1 b - -,b7e4
4k3/p4ppp/1p1Rp3/4P3/P1r2PP1/7P/6K1/8 w - -,a4a5
1rb1n3/1p2rkpp/p1pR1p2/N4P2/PP2P3/2N3PP/5K2/3R4 w - -,d6d8
r1bqk1nr/pp1pppbp/6p1/2p5/2P5/1PN1PQ2/PB1P1PPP/R3KB1R b KQkq -,d7d6
2r5/3R4/p3p1k1/P2bBppp/2pP4/2P5/5PP1/6K1 w - -,g2g3
8/1nr1rkp1/p1p3p1/Pp2P1Pp/3R1P1P/2P1K3/2B5/R7 b - -,c6c5
r4r2/1pkb1pb1/1pn1p2p/2pPP2P/1nP2P1N/8/P3NBB1/R3K2R b KQ -,b4c2
r1bqk2r/pp2bppp/2n1pn2/3p4/2PP4/2NB1N2/PP3PPP/R1BQ1RK1 b kq -,e8g8
2rrn3/1b2qpkp/p3p1p1/Pp6/3Rp3/2P2B1P/NP2QPP1/R5K1 w - -,f3e4
r2qnrk1/1p3p1p/p2pb1p1/2p5/P2bPB2/2N5/1PP1BPPP/R2Q1RK1 w - -,f4h6
r1bq1rk1/pp1n1pbp/6p1/3p4/3Pp3/4PN2/PP1BBPPP/2RQ1RK1 w - -,f3e1
1rr3k1/p2qn1pp/1p1b4/2pPp1R1/2P1N2P/3QBP2/PP6/1K1R4 b - -,c8f8
4r1k1/5p1p/6p1/3pP3/R2N4/3P2PP/1b3PK1/8 w - -,f2f4
3r4/5pk1/r1p3pp/2n1p3/p2nP1P1/P1N2P1P/1P3K2/1RNR4 b - -,a6b6
r2qkb1r/1b1npp1p/pp1p1np1/2p3B1/P2P4/2P1PN1P/1P1NBPP1/R2QK2R b KQkq -,f8g7
rr6/4ppkp/3p2p1/2pP4/4b3/5NPP/PP3PB1/4R1K1 w - -,e1e4
1b2kB2/pp6/2p1ppp1/P7/5P2/2N4P/1r6/3R1K2 w - -,f8g7
