6r1/5R2/8/8/5p1K/5k2/8/8 w - -,f7h7
r3k2r/qp1n1pp1/2p1pbb1/p1Pp3n/3P1P1p/PP2PB1P/1B1NN1P1/R2Q1RK1 w kq -,b3b4
8/1pB2p1k/pnb1pPpp/3p3P/6P1/4PB2/PP3P1K/8 b - -,b6d7
8/p5p1/p1rk3p/3p3P/5PP1/R3K3/P7/8 w - -,e3d3
r1bq1rk1/ppp1bppp/4p3/3pn2n/2PP4/2NBPN2/PP3PPP/R2QK2R w KQ -,f3e5
r1r4k/pp3p1p/3pp1pP/q5Pn/2b1P3/P1N2P1B/1PPQ4/R3K2R w KQ -,h3g4
r1bqk2r/pp2nppp/2n1p3/2bpP3/8/3B1N2/PPP2PPP/RNBQ1RK1 w kq -,a2a3:c1f4
3r1r2/6kp/1q1pbp2/p3pPp1/2P1P2Q/1P4P1/6BP/R4R1K w - -,h4g4
5r2/4k2B/8/1R6/Pr3PKP/8/8/8 b - -,f8f4
8/1p6/2b1k1n1/p1p1b1p1/P1P1P1P1/1P2K2P/2B5/5R2 b - -,e5f4
2rq1rk1/3n1pbp/1p1p2p1/p2b4/2BP4/1Q2P3/P2N1PPP/1RR3K1 w - -,c4d5
5k2/5bpp/2p2p2/1p2r1P1/4P2P/1PKB4/2P5/6R1 w - -,b3b4
3r1k2/p3bppp/5n2/1B6/1p1pPB2/1P3P2/2P3PP/2K4R w - -,c1d1
r2q1rk1/1p1bppbp/p1pp1np1/3Pn3/2P1P3/2N1BPN1/PP4PP/2RQKB1R w K -,d5c6
3r1k2/1p1q1pp1/2p2np1/p1Pp4/P2P1Q2/1P3B1P/4RPP1/6K1 w - -,f3g4
3r3r/1pN2p1p/p2k1p2/4p3/3nB1b1/8/PPP2PPP/2R1K2R w K -,c7d5
3r1rk1/pp4pn/2pnp1pq/3pPp2/3P2P1/1P1Q1P1P/P1PN2B1/3RR1K1 b - -,d6c8
1K6/5R2/6p1/7p/7P/6P1/4pk2/8 b - -,f2g3
3r2k1/R4pp1/1pq2np1/2p1p1N1/2PbP3/6PP/4QPBK/8 b - -,d8d7
r1bq1rk1/1p3pbp/p1npp1p1/2p5/4PP2/3P1BP1/PPPBN2P/1R1Q1RK1 w - -,c2c3
8/Q5b1/3q1rk1/6N1/6P1/4B2P/5P1K/8 w - -,h2g2
1rr5/p5bp/3pk1p1/1n2p3/1P6/3PB1P1/5P1P/1RR1N2K w - -,e1f3
1rb1r1k1/5pb1/pp1p1qp1/2nPn3/PQ2P3/2N1BP2/2R1BNKP/3R4 b - -,f6h4
r3k2r/ppqn1pp1/2p1pn1p/8/3P1N1P/5QN1/PPP2PP1/1K1R3R b kq -,e8c8
1k2r3/1pb4p/p1br4/3n1p2/1PBB4/P3PP1P/5K2/1NR4R w - f6,h1d1
4r1k1/1p1b1pbp/2p3p1/4P1P1/1qPp1P2/1Pn3P1/3B2BN/2R1Q2K b - -,b4b3
r6k/bpp4p/p1np2b1/4P3/8/1BP2P2/PP2RP2/R4NK1 b - -,c6e5
2rr2k1/p3np1p/1p2pq2/2p2p1Q/2P4P/PP2R1P1/3P1PB1/3R2K1 w - -,h5e2
R7/8/8/8/5p1p/5k2/6rK/8 w - -,h2h3
1r3rk1/pp4p1/1qb1pn1p/3p4/3P4/P1N4P/1PB2PP1/R2QR1K1 w - -,d1d2
2r1rbk1/pbqn1p1p/1p2p1p1/2p1P3/3P1P2/P1PB4/1B1NQRPP/R5K1 w - -,h2h3
2r3k1/pp1b2p1/4p2p/3nP3/2B2r1P/1P3N2/PK1R2P1/4R3 b - -,c8e8
r1b3k1/p7/1p1n1qBp/n1pP4/2P5/P1P1NrPp/2QBRp1K/5R2 w - -,g6h5
1r2r1k1/1p4np/pN1p1qp1/P1nP1p2/1R1Nb3/4P1PP/5P2/Q1R2BK1 w - -,d4b3
4k3/1q3ppp/4pn2/2B5/1P2P3/4QP1P/4r1P1/6K1 w - -,e3e2
r4rk1/pp2bppp/2n1b3/4p3/q7/PNRQB1P1/1P2PPBP/5RK1 b - -,f8d8
2rr2k1/1pq2pbp/p1n1p1p1/4P3/8/P1B2N2/1P2QPPP/3RR1K1 w - -,g2g3
5r1k/5p2/pn5p/1p1pPN2/1P1P1b2/PQ4R1/2rq2PP/5RNK w - -,f1f4
r1bqkb1r/ppp2ppp/1nnp4/8/2PP4/3BB3/PP3PPP/RN1QK1NR b KQkq -,f8e7
2r5/pp1Rrpk1/7p/2p5/4P2P/P4P2/1P4K1/3R4 b - -,c8c7
5r1k/3P1B1p/6p1/2pQb3/8/2P1q3/6PP/R6K b - -,e5c7
1Rb4k/6p1/3p2np/5p2/P1P2P2/3B2P1/3N1KP1/r7 b - -,g6e7
rn1q1rk1/pbp2ppp/1p3b2/3p4/Q2P4/P1N2NPB/1P2PP1P/R3K2R w KQ -,a1d1
r4rk1/p3ppbp/2p2np1/q1p5/N7/6P1/PPQ1PP1P/R1B2RK1 w - -,a4c5
8/7p/3P3r/4k3/2p1bp2/5R2/4R3/6K1 b - -,h6d6
2r1r1k1/1pp2p1p/5qp1/3Pb3/bP6/4B1P1/4QPBP/2RR2K1 w - -,d1f1
8/8/8/k1p1b3/P7/PK4p1/5pB1/8 b - -,e5f4
5bk1/p5r1/2Bp4/3PP3/1PN2p1q/5Pn1/2Q2KP1/3R4 w - -,d1g1
4r1k1/pp1q3p/1n4p1/8/7Q/2P1R3/P7/K1R5 w - -,e3e8
8/2R4p/6p1/p1p3k1/3b4/5K1P/P6P/8 b - -,h7h5
2b5/7p/p1r1k1p1/R2p2P1/5P2/2PB4/1P1K4/8 w - -,d2e3
2k3r1/p4p2/1p2pBpp/2pQP3/2n2P2/P1P2RK1/6PP/8 b - -,e6d5
2r3k1/5p1p/6p1/ppq5/5QP1/7P/2P2R2/7K b - -,c5c4
r6k/8/5R2/4p2P/3pP1p1/p2Bb1P1/Pq6/5Q1K b - -,b2c1
8/bp1b2pk/2p2B2/p4P1p/2P1N3/1P2P3/P2K4/8 b - -,d7f5
5rk1/5pb1/p2p2pp/8/2PpP1PR/q2P1Q2/P6P/1r2NR1K b - -,a3a2
8/8/2k1p3/2pn1p2/P1N2P2/5K2/8/8 b - -,c6b7
6r1/3PbN2/5kP1/4p3/p5K1/P4P2/1P1R4/8 w - -,d7d8q
5R2/8/8/8/8/r2K1p1k/3N2n1/8 w - -,d3e4
rnbq1rk1/pp1n1pbp/4p1p1/3pN3/3P4/2N3P1/PP2PPBP/R1BQ1RK1 w - -,f2f4:c1f4:e5f3
1r3rk1/1bqn2pp/p2p4/P2Pppb1/2P5/1N3PP1/4BB1P/R2Q1R1K b - -,b7a8
r1bqk2r/p3b1pp/2p2pn1/2p1p2Q/2N5/1P6/PBPP1PPP/RN3RK1 w kq -,b1c3
1q1r4/6k1/RpPpnnp1/4pp2/1PP4p/2Q2P2/4B1PP/3R3K b - -,f5f4
rq2r1k1/3nbppp/p4n2/1bPp4/N7/1N2BP2/1P1Q2PP/R2BR1K1 b - -,d7e5
r1bqkb1r/pp2pppp/2nn4/8/8/4BN2/PPP2PPP/RN1QKB1R w KQkq -,b1c3
5r2/2p1q1kp/1p1p1p2/pPnP1rp1/P2QP1P1/5K2/1PB4P/5R2 w - -,g4f5
2rqr1k1/p4pb1/1pn1p2p/3p1bp1/3PN3/BP1NP1PP/P4PB1/2RQ1RK1 b - -,d5e4
8/6p1/1p4p1/p2k4/P4NP1/1PK2n2/7P/8 b - -,d5e4
2r1k2r/1bqnbppp/p2pp3/1pn3P1/3NPP2/P1NBBQ2/1PP4P/4RRK1 w k -,f3h3
4k3/8/2PpN3/p1PP1p1P/P6r/1P3K2/8/8 b - -,d6c5
1n2k3/5p1p/p3pb2/3p2p1/3P2P1/BP3N2/P3KP1P/8 b - -,b8c6
5rk1/2p1r1pp/1pp2n2/5qR1/4Np2/5P2/PP3PQP/3R3K b - -,f5e6
rn1q1rk1/pbppbppp/1p2p3/3nP3/4N3/3P1N2/PPP1BPPP/R1BQ1RK1 b - -,c7c5
6r1/3b3k/p3R3/4P1q1/4Rp2/1PP3PP/P7/4QK2 w - -,e6f6
4qrk1/pr4p1/1p2p2p/2n2p2/1PP2P2/4Q3/P3PN1P/3R1RK1 b - b3,c5d7
3bqr1k/r1pb2pp/1p2npn1/3Bp3/1P2P3/2P1BN2/3QNPPP/R3R1K1 b - -,a7a1
r1b1r1k1/ppp2ppp/2nb2q1/6N1/2BP4/2Q5/PPP2PPP/R1B2RK1 b - -,e8f8
2R5/1p1r1p1k/p2nq1pp/3p4/5Q2/P3PN1P/1P3PP1/6K1 w - -,c8c1
8/Q7/2k1p3/5p2/2p4P/P4RP1/1q1r1PK1/8 w - -,f3f4
r2qk2r/4ppb1/b2p2p1/p1n1nPPp/Pp1NPN1P/1P2B3/2PQ2B1/2KR3R b kq -,a8c8
r2k3r/1pp1n1pp/4bp2/p1n1p3/2P5/PPB1PN2/4BPPP/R3K2R w KQ -,a1b1
r1b1r1k1/pp1n1pbp/2p2np1/3qp3/1PN5/2P1PNBP/P3BPP1/R2Q1RK1 w - -,d1c2
5r2/p5k1/7p/2pr1P2/2p4K/P1P4P/8/4RR2 b - -,f8f5
