8/8/1R6/1p2p3/1p1kr3/8/3K4/8 w - -,b6b5
r1b2rk1/1pq1n1pp/p1nb1p2/3p4/7B/1NP2N2/PP2BPPP/R2QR1K1 b - -,c8d7
2q2rk1/1p2Qp1p/r5p1/p1P1p3/b1B5/8/1P1R1PPP/5RK1 w - -,c4a6
8/3n3p/1pk3p1/1b3p2/3B4/1P3PP1/3KP2P/3N4 b - -,d7f8
r1bq1rk1/p2nppbp/2p2np1/1p6/2BP4/2N1PN1P/PP3PP1/R1BQ1RK1 w - b6,c4d3
r2q1rk1/pp2bppp/2bppn2/8/2PQP3/1PN3PP/P4PB1/R1B2RK1 b - -,a7a6
rn1qk1nr/pbpp1pbp/1p2p1p1/8/2PPPP2/2N2N2/PP4PP/R1BQKB1R b KQkq -,g8e7
r3k2r/2qnbpp1/3p1n2/3Pp2p/pp2B1P1/1N2BP1P/PPP2Q2/1K1R3R w k -,b3c1
2kr3r/2pb2b1/pp4np/2pNPp2/5B2/1N4P1/PPP4P/2KRR3 b - -,d7e6
r3r2k/pp1RN1bp/6p1/6N1/6n1/8/PP4PP/2K4R b - -,g4e5
4r1k1/4bqp1/Q1R2p2/3pr1p1/1P4P1/3RPP1P/1P1B4/1K6 b - -,f7g6
7r/1p1k4/p1p1np2/2Pppp1r/3P2pP/PP1KPPPR/6B1/7R w - -,f3g4
3r2k1/pp3ppp/2p2b2/8/5P2/1NP3P1/PP3B1P/4rK2 w - -,f1e1
r1b1kb1r/pp1p1ppp/2n1p3/8/2BpP2q/8/PPPPNPPP/R1BQ1RK1 w kq -,f2f4
r3q1k1/b1p2r1p/p1npbpp1/3N4/2Q1PP2/B5PP/PP2R1BK/3R4 w - -,c4c3
r3k2r/p1p1b2n/1p1p2p1/4pqPp/7P/1P1PB3/1PPNQP2/R3K2R w KQkq -,e1c1
8/4bk2/p1b3p1/2pp4/4pPp1/PP2P1Pq/1B1Q4/3N2K1 w - -,d2f2
8/p1nk4/3r4/8/K7/8/8/4R3 w - -,e1h1
8/5kp1/pR6/1b5p/8/8/P5PP/7K w - h6,h2h4
8/7p/8/p1k1Kp2/1p1n1P2/1P2N2P/P7/8 b - -,d4c6
1r2r2k/2p4p/2p3pR/p2pp1N1/4P3/1PPP2K1/P4P2/8 b - -,e8e7
r1bb1rk1/p1p3n1/1p2p2p/3pN1p1/1P6/3P2PB/P2BPP1P/2R2RK1 w - -,f2f4
1r1qr1k1/4ppbp/p2p1np1/1p1P4/2nB1P1P/2N3PB/PP2QP2/1R2R1K1 w - -,b1d1
8/8/6pp/pb2p3/3nP1PP/1Pk5/3N4/3BK3 w - -,g4g5
8/8/6R1/5K2/8/5k2/6p1/8 b - -,f3f2
r3k2r/1pp2pp1/3pqn1p/p1b1n3/P2NP3/2P2P2/1PQ3PP/RNB2RK1 w kq -,g1h1
8/1p4n1/p1k5/3p1p1p/P2P1n1P/1P1B1P2/3K1B2/8 w - -,d3c2
8/8/1r3kp1/5p1p/R3PK1P/5PP1/8/8 w - -,e4e5
k2r4/N7/2p4p/8/P1r2B2/5B2/5P1P/1R5K b - -,a8a7
8/3r2B1/8/2p2kp1/5n2/2P2RP1/4KP2/8 w - -,g3f4
1rb1r1k1/ppb2ppp/2p2n2/2P2q2/2NPp2n/B1N1P1P1/P3BP1P/1R1QR1K1 b - -,f5g6
r2r2k1/1p3ppp/4q3/pPnnp3/2R5/P3PQ1P/1B3PP1/2R3K1 w - -,c4c5
8/3b4/5k2/1p1p4/1P3PPP/4P3/5K2/8 w - -,f2g3
8/6pp/pP1p1k2/3Bn3/1q6/3b4/P4QPP/4R2K b - -,f6g5
1r1q1rk1/2pn1p2/pb1pb2p/4P1p1/P2n4/1pNB1NBP/1P3PP1/R2Q1RK1 b - -,d4f3
8/5k2/5p1p/5p1P/5P2/6r1/1p2K3/1R6 w - -,e2d2
r3kb1r/ppq2pp1/2n1p3/1B1pPnBP/3Q3P/7R/PPP2P2/R4KN1 w kq -,d4a4
6k1/r6p/2pr1qn1/1p1p1R1Q/3N4/p1PP4/P1P2P2/2K3R1 b - -,f6g7
r4rk1/2pq1pp1/1bppbn1p/P7/3PP3/5N1P/P1Q2PPK/RNB1R3 b - -,a8a5
r1bQ1rk1/pp2bppp/2n2n2/2P1p3/N1P5/4BP2/PP4PP/R3KBNR b KQ -,f8d8
r2qk2r/1b2bppp/p1nppn2/1pp5/4PP2/2NP1NP1/PPP3BP/R1BQ1RK1 b kq -,e8g8
3B4/bp4pk/2pN4/7p/P1P5/4P3/b1K5/8 b - -,a7e3
4qbk1/p1r2ppp/1p6/2pPp3/2P4P/R3Q1PB/P4P1K/8 b - -,f8d6
5k2/1R6/1P3rp1/8/4b3/8/7K/8 w - -,b7b8
rnbq1rk1/pp2ppbp/2pp1np1/8/P2P4/5NP1/1PP1PPBP/RNBQR1K1 b - a3,c8g4
2rnk1r1/pp1q1p1p/8/3Ppp2/8/Q1P2B2/P4PPP/3RR1K1 b - -,f7f6
1qrr1bk1/pb3p1p/1pnppnp1/8/1PP1PP2/PNN1BB2/4Q1PP/2R2RK1 w - -,e3f2
3r3r/4kp2/p3b1p1/1p2P2p/3p2nP/P1PP1N2/2PKB1P1/R3R3 b - -,d4c3
r2q1rk1/pp1nnpp1/2p4p/3pN1PQ/3P4/P1N1P3/1P3PP1/R3K2R w KQ -,g5h6
r1b1kb1r/pp2pp1p/n5p1/2P2n2/1PP5/P4P2/5BPP/RN1K1BNR w kq -,f1d3
2rn4/ppp1kb1p/5pp1/5P2/1PP1B2P/P1K1N1P1/3R4/8 w - -,c4c5
8/2bnk1pp/3npp2/8/N3PPP1/3BB3/6KP/8 w - -,h2h3
3nk1r1/1p2bp1p/5p2/1R3N2/5B2/P5PP/1KP5/8 b - -,e8d7
2r3k1/2qnrpp1/1p3P2/4p2p/1PP1B3/P3Q1P1/3R3P/5RK1 b - -,d7f6
3rr1k1/pbqn1pbp/1ppp1np1/8/2PNPP2/2N1B1PP/PP1Q2B1/3RR1K1 b - -,d7c5
r2r2k1/pb2qpbp/2p2np1/4p3/2NnP3/2NBB3/1PP2PPP/R1Q2RK1 b - -,f6g4
5k2/2n1p2p/p3Ppp1/2p1b3/6P1/1R6/4R2P/7K w - -,b3b8
r1r5/R1knBpb1/1pq1p1p1/3pP2p/2pP3P/Q1P3N1/2B2PP1/1R4K1 b - -,a8a7
r1b2rk1/pp1n1ppp/5n2/q1pp2B1/3P4/2P1PN2/P3BPPP/R2Q1RK1 w - -,c3c4
2kr3r/1q1pbpp1/ppb1p2p/2pnP2P/P1B3QN/1PP5/2PB1PP1/3R1RK1 w - -,d1b1
r2q1rk1/pp1n1ppp/2p1pn2/b2p4/1PPP4/P1NBPQ1P/5PP1/R1B2RK1 b - b3,a5c7
1r5k/4qpr1/1pBp1n1b/pNpPpR2/2P1P1p1/P1B3Pn/1P2Q2P/R6K b - -,b8d8
r1bqk1nr/pppp1pbp/2n3p1/1B4B1/4P3/2PQ1N2/PP3PPP/RN2K2R b KQkq -,g7f6
r1bq1rk1/3nppbp/pP1p1np1/2pP4/8/2N1PN2/PP2BPPP/R1BQ1RK1 b - -,d7b6
8/8/3qnnk1/5ppp/1pQPp2P/1P2P1P1/3N2NK/r4R2 b - -,a1a2
r3k2r/1pp1nppp/p2p2q1/1b2n3/3NP1P1/2P1BP2/P1PQB2P/2KR3R w kq -,d4f5
r6k/6R1/6PK/8/8/8/8/8 w - -,g7h7
r2r2k1/p3bpp1/4bn1p/1pNp4/7B/4PB2/PP3PPP/2RR2K1 b - -,a8c8
r1b1k2r/1p1pppbp/p1n2np1/q7/2PNP3/2N1BP2/PP4PP/R2QKB1R b KQkq -,f6h5
r1b1kb1r/1pqp1ppp/p1n1p3/1BpnP3/2N5/1QP2N2/PP1P1PPP/R1B1K2R w KQkq -,b5c6
2k5/ppp1b3/4p3/4P3/2P3rp/1P1rBR2/1K4P1/6R1 b - -,d3e3
1r3r2/1p5k/2qp3p/p1pNbBp1/P1P1P2Q/3P4/1P4K1/R4R2 b - -,f8f5
8/5p2/1n1k3p/1B6/pP3P2/P7/3K1P1P/8 b - -,f7f6
r1n2r2/1p4qk/2b2pp1/4p2p/P1N1P3/1P2Q1PB/3R1P1P/3R2K1 w - -,h3e6
3q2k1/Q4p1p/5p2/bp3B2/4P3/6P1/PP3P1P/6K1 b - -,a5c7
r2q1rk1/pb1n1ppp/1pB1p3/4b3/3Pp3/1P2P3/PBP2PPP/R2Q1RK1 w - -,c6b7
2qr2k1/4rpbp/2Pp2p1/p1n5/1p3P2/6PP/PP3BBK/1Q1R1R2 b - -,e7e2
r3k2r/1pq1nppp/p3p3/nP1pP3/b2p1P2/P2B1N2/2P3PP/1RBQ1RK1 w kq -,b5a6
6k1/1q4p1/3bp2p/4p3/3P1K1P/1pQ1P3/1P3PP1/8 w - -,d4e5
6k1/p5b1/3N2p1/7r/3p4/1P1R3P/P4P2/5K2 w - -,a2a4
r1bqk2r/ppppbppp/2n2n2/4p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,d2d3
8/3r4/1k5P/2p1R3/2K1p3/1P6/8/8 w - -,e5e4
4k3/2p5/1p1pn3/p3p3/P1P1P1P1/KPPQ2N1/5q2/8 b - -,e6f4
r3k2r/pp3ppp/2nqpn2/3p1b2/2pP4/2P1PN2/PP1NBPPP/R2QK2R w KQkq -,a2a4
8/1b3k1p/6p1/1BbpP3/8/3N2P1/7P/5K2 b - -,c5d4
5r1k/2p3pp/p1pb4/4p3/4P3/1QP1Bq1P/PP1K1Pn1/3R3R b - -,f3e4
5r1k/5P2/5qp1/p6p/P1P1N3/1P4PP/8/5R1K w - -,f1f6
5q1k/1p2r1pp/p2n2n1/2p3Q1/4pr2/1NP4P/PPB1RPP1/3R2K1 b - -,e7e5
8/2n3kp/p7/3p4/1r5P/1N2PB2/P3K3/8 w - -,h4h5
