8/8/3B4/K2n1kp1/P7/7P/8/8 b - -,d5c3
2rqk2r/1p2bpp1/p1bpp2p/8/4n1P1/4BP2/PPPQN2P/2KR1B1R w k -,d2d3
1rr3k1/3n1p1p/1q2p1p1/p1bpP3/1p1B1P2/2PBQ3/PP4PP/R2R3K b - -,a5a4
r1bbk2r/5ppp/p1Pp4/P1q5/1p1pP1n1/3B4/1PPBNPPP/R1Q1R1K1 w kq -,h2h3
r1bq1rk1/pp2b1pp/2n1pp2/3pP3/1PP2n2/P2B1N2/1BQ2PPP/RN2R1K1 b - -,f4d3
r4rk1/2q1bppp/p2p4/1p1Qp1P1/5BB1/5P2/PPP4P/2KR2R1 b - -,e5f4
8/2p4p/3p1n1P/p1rP1k2/1p1R1P2/1PN5/PK6/8 w - -,c3a4
1b2r1k1/1p3p1p/p5p1/6B1/4p1b1/2N5/PP3PP1/3R2K1 w - -,d1d4
r2r2k1/1b3ppp/p2bpn2/1p1q4/3P4/1P1B1N1P/PBR1QPP1/2R3K1 b - -,h7h6
5r1k/3b2q1/p2p3r/1ppP1pN1/2P2P1N/b2B2Q1/P6R/1K6 w - b6,c4b5
4b3/pp2r3/3kp2p/1P2Rpp1/1P3P2/3B2P1/2P4P/5K2 b - -,g5f4
r1b2rk1/pp3ppp/2nq1n2/3pN3/3Pp3/1P2P3/PBQ2PPP/R3KB1R b KQ -,c8d7
rn2k2r/p1p5/1p1ppq1p/5pp1/2PPb3/P1P1P1B1/3Q1PPP/R3KB1R b KQkq -,b8d7
r2qr1k1/pbp2pbp/1p3np1/4p3/2P5/2N1P2P/PPQ1BPPB/R4RK1 b - -,f6d7
3r1k2/1R2bpp1/4p2p/8/2B1n2P/5NP1/5P2/6K1 b - -,e7c5
1k1r3r/pp3ppp/2p5/4q2b/2BP4/1NP1B2P/P1P5/2K2R2 w - -,d4e5
3r4/4k2p/p2pp1p1/1pr1p2n/2P1P3/1P1RNP2/PK4PP/3R4 w - -,a2a4
5k2/p6r/5p1p/1p3N2/1np1K1P1/8/PP6/7R w - -,a2a4
8/p7/P7/R4RpP/3P2k1/3qp3/8/4K3 b - -,d3d2
r2r1b2/pbnq1p1k/1p1p1npp/2pPp3/4PP1N/P1PBB1NP/1P1Q2P1/R4RK1 b - -,d7e7
1rbqk1nr/p4pbp/3pp1p1/1pp5/3nP3/3PB1P1/PPPQNPBP/R2NK2R w KQk b6,c2c3
8/1p4kp/3prqp1/2p3N1/PpP2Pn1/1P1Q2P1/3R2KP/8 b - -,e6e3
8/3R1k2/p3pn1r/6pp/P1P5/6PP/6P1/5RK1 b - -,f7e8
7k/1q3p2/1P4p1/8/5PP1/1R2N2P/1K6/8 b - -,h8h7
1k5r/5R2/1p1p1p2/p1pP4/B1P2n2/2P5/5K1P/8 b - -,f4d3
5r1k/1p5p/p2p2p1/3B1bP1/5B2/7P/Pbr3K1/5R1R w - -,g2g3
r2r2k1/1b2qpp1/p1p1p2p/1pPnN2P/P2P4/1B3QP1/1P3P2/3RR1K1 b - -,e7f6
2br1rk1/pp2q1p1/2p1p3/4P2P/1PQP1p2/5P2/P6P/3RRBK1 b - -,e7g5
r3k2B/p1p1np1p/b1pb4/3p4/1q6/1P2PN2/P1P3PP/RN1Q1K1R w q -,f1f2
k2r2b1/3r2P1/1Q6/7p/2N2P2/1P5K/P7/8 b - -,d8c8
r4rk1/pp1q1pbp/1n2P1p1/6B1/8/1PN2Q1P/1P3PP1/R3R1K1 b - -,f7e6
4r1k1/1b2rp1p/pq2n1p1/2pB4/P2b4/1P2B2P/2QRNPP1/3R1K2 w - -,e2d4
8/1p5p/p5p1/8/1Pkp1PPP/P4K2/2r5/R7 b - -,d4d3
r4rk1/pp1qppb1/5npp/2p1N3/P2p1P2/3P2Pb/1PPBP1BP/R3QRK1 b - -,d7c8
1r1q2k1/2n2pbp/p2p2p1/3Pn3/Np6/6PP/1P4BK/1RB2Q2 b - -,d8d7
6k1/3p2p1/1R6/3bPr2/5rK1/8/PP1B4/8 w - -,d2f4
r3k2r/1bq1bppp/p2ppn2/1p4P1/1n2PP2/1N1BB3/PPPNQ2P/1K1R3R b kq -,f6d7
r1bq1rk1/pp1nbppp/2pp1n2/4p3/2PP4/2N1P1P1/PP2NPBP/R1BQ1RK1 b - -,d7b6
3B2k1/1p1r1pbp/2p3p1/P7/2B2p2/3QqP1P/P5PK/3R4 b - -,d7d3
r3k2r/pp1n1pp1/6n1/3Pp3/6P1/4B2P/PP4B1/R4RK1 w q -,d5d6
r1bq1rk1/1p3ppp/3ppn2/p7/1nPP4/5NP1/1P2PPBP/RN1Q1RK1 w - -,b1c3
2r2rk1/1p1qbppp/p3p3/n1Pp4/1R1P1B2/P1NQPP2/6PP/5RK1 b - -,b7b5
8/6k1/pp2p3/2p3p1/Pn2Nb1p/1P5P/1q1p1BB1/3Q2K1 w - -,g2f1
r1bqr1k1/pp3pp1/1bp2n1p/3pn3/3PP3/1BP3NP/PP3PP1/R1BQR1K1 w - -,d4e5
r3r1k1/ppq1bpp1/2pp1nnp/4p3/2PP4/2N1PNB1/PPQ2PPP/2RR2K1 w - -,c4c5
r5k1/pp1bq1n1/4p1R1/3p2P1/3b2PQ/3P4/PP1BN2P/2K5 b - -,e7f7
6k1/2p1b1r1/1p1p2q1/3P4/1PPrpR1p/P6P/1RQ3P1/5N1K b - -,d4d3
b1r5/8/pBnR1ppk/1p6/1P3P2/P4BK1/7P/8 b - -,c6e7
r2qrbk1/1bp2p2/p2p1npp/1p1Pp3/4P1N1/1BP4P/PP3PP1/R2QRNK1 b - -,h6h5
1r1qkb1r/p2n1p1p/B1p3b1/2Ppp1p1/3P4/4P1B1/P2N1PPP/R1Q2RK1 b k -,d8a5
r2q1r1k/pp2bppp/1nn1p3/3pP2N/6Q1/3N4/PPP2PPP/R1B1R1K1 b - -,f8g8
6k1/8/6p1/R1n1r3/5P2/4P2P/6B1/6K1 b - f3,e5f5
2r2r1k/4qppp/p3pb1B/1p1b4/3N4/P1P2PQ1/1P4PP/3R1R1K w - -,h6e3
8/1p1r1rpp/p2pk3/3Rp3/P1P5/1P3P2/6PP/2KR4 b - -,g7g5
8/5p2/5k2/4p3/2P5/2K3r1/R5P1/8 w - -,c3b4
rn2kb1r/pp3ppp/4pq2/5b2/2B5/8/PPPBQPPP/R3K1NR w KQkq -,e1c1
r2qk1nr/p4pbp/1pp1b1p1/2p1p3/4P3/1P1P1N1P/P1P2PP1/RNBQR1K1 w kq -,a2a4
2rq1rk1/1p2ppbp/p2p1np1/8/Pn2P3/1PN1B3/1P3PPP/R2QRBK1 w - -,f1c4
r4rk1/1pq1bppp/2p1nn2/p3pN2/P3P3/5BP1/1PP2P1P/R1B1QRK1 w - a6,f5e7
1r3rk1/1bqnpp1p/pn1p2pb/2pP4/4P3/1BB2NNP/PP3PP1/2RQR1K1 w - -,c1c2
r5k1/ppq2p2/2p1N1p1/P4rPp/3B2bP/1P2Q3/2P3B1/5RK1 b - -,f5f1
r4r2/6k1/2NP3p/bp4p1/5P2/PR2P1P1/6BP/5K2 w - -,b3b5
2r2n1k/p4qp1/1p2p2p/1P2R3/3P4/4Q3/5P1P/4R1K1 w - -,d4d5
r3r1k1/pp3ppp/1n3p2/q1p2b2/PbpP4/4P3/1P1NBPPP/RNQR2K1 w - -,d4d5
8/8/5k2/7K/3n3P/p7/B7/8 b - -,f6f5
r1b1k2r/pppnqppp/5n2/4p3/2P5/P3PN2/1PQN1PPP/R3KB1R w KQkq -,f1e2
8/1B4k1/p5p1/Pb5p/1P1R4/4P1P1/1n3PP1/4rNK1 b - -,e1f1
r1b1k3/pp2np1p/4p1N1/2p5/2P5/2B5/PP1K1PPP/n4B1R b q -,h7g6
8/2b5/p1k5/P1p2p2/2P3p1/3NP3/5KPr/1R6 w - -,d3f4
r2r4/4qpkp/6p1/2n1p3/1pb1P3/P5NP/1P2QPP1/R3R1K1 w - -,e2c4
8/8/7P/5K2/pk6/7R/6r1/8 b - -,g2g8
r3rqk1/3n1pb1/2b2np1/1p1pp1B1/4P3/2P2NN1/1PBQ1PP1/3RR1K1 w - -,e4d5
rnbqkbnr/pp4pp/2p1p3/3p1p2/2PP4/1P3N2/P3PPPP/RNBQKB1R w KQkq f6,g2g3
3r3k/6qp/1p1p1r2/pPnBp3/P4p1P/1PQ3P1/3R1P2/3R2K1 w - -,d5g2
r1b2rk1/pp1n1ppp/1q2p3/2bpP3/3B1P2/2PB1N2/PP1Q2PP/R3K2R b KQ -,f7f6
r1bqk2r/pp2bppp/2n1p3/3pPn2/2pP1P2/5N2/PPPBN1PP/R2QKB1R b KQkq -,d8b6
3rk3/R2b1pp1/3R4/4P2p/p4P1P/4P3/6P1/6K1 b - -,g7g6
3q2k1/5p2/5n1p/p3Q3/5PPP/5B2/6K1/8 b - -,d8d2
4nrk1/r2pbppp/p1q1p3/4P3/3R4/2PQ1NB1/1P3PPP/3R2K1 b - -,d7d5
rnbq1rk1/pp1p1ppp/4pn2/2p5/2PP4/P1b1P3/1P2NPPP/R1BQKB1R w KQ -,e2c3
r4k1r/6p1/2R1Q2p/p2pP3/2P5/4BK2/2q2PPP/7R b - -,c2e4
r1bq1rk1/p2nbpp1/1ppp1B1p/4p3/P1BPP3/2N2N2/1PP2PPP/R2QR1K1 b - -,e7f6
5k2/n4ppp/N7/4P3/8/1P6/3N1PPP/6K1 w - -,g1f1
