8/2pk4/7R/p2P3p/1pK1n3/8/P7/8 b - -,e4c3
1kb1r1r1/p1p1P2p/2p2Bp1/6P1/2P5/1P2R2P/PK6/3R4 b - -,b8b7
8/p1r1qpbk/1pPp2p1/4p2p/4P3/BP1Q1PPB/P5KP/8 w - -,d3d5
8/5p2/6k1/5rp1/7p/4q2P/2Q3P1/5RK1 w - -,g1h1
8/5k1p/p1p3pb/5p2/1P1Br3/P3P1P1/6KP/4R3 w - -,g2f3
2rq2k1/pb3rpp/4p3/3pPpb1/P1pP4/1P2PR2/1BP1B1PP/R2Q2K1 w - -,b3b4
8/r5k1/4K1pp/8/6P1/7P/3R4/8 b - -,g6g5
5rk1/4q1pp/R2p4/3P4/2PQ4/1P2r2P/5Rp1/6K1 w - -,f2g2
8/1q2r3/2k5/Q2pP1p1/p1p5/6Pp/2P4P/3R2K1 w - -,a5d5
r1q2rk1/ppp2ppp/1n3n2/N2bN3/3Pp3/6PP/PP1QPPBK/R4R2 w - -,f1c1
2k2rr1/pp1bn3/2n1p3/3pP1NQ/q7/P1pB4/2P2PPP/R1B2RK1 b - -,c6e5
4rr2/nb2qp1k/p2p1b1p/1ppP1Rp1/4P1P1/1P2BQ1P/P5B1/2R3K1 w - -,f5f6
1r3rk1/2pnq1pp/3p4/p1p2b2/5P2/1PPQB2P/P2N2P1/R4RK1 w - -,d3d5
3q4/4bpkp/4p1p1/1Np1PnP1/p1P1NP2/P2Q4/3K3P/8 b - -,f5d4
r5k1/pp3r1p/4N1p1/1P1n1p2/8/P2Pp1N1/4P2P/R1R2K2 b - -,f5f4
5rk1/4pp1p/1p3bp1/8/r1P1B3/3RBP2/6PP/2K4R w - -,h1d1
2b1rrk1/8/p5qp/1p1Np2n/2pbP3/P3BP2/1PB1Q1PK/4RR2 w - -,g2g4
3rr1k1/pb1nqpp1/1ppbpn1p/3p4/2PP4/1PN1PN2/PBQ2PPP/3RRBK1 w - -,g2g3
3brrnk/1b1q1ppp/2pp1n2/1p2p3/4P3/1B1PBNNP/1PP2PP1/R2QR1K1 w - -,a1a7
8/7k/7p/1p5p/1Pb5/1rK1P1P1/5R2/8 w - -,c3d4
8/5kp1/4p3/6RP/1K3P2/6P1/8/2r5 b - -,f7f6
3kn2Q/3p1p2/2p2P2/4pq2/P7/6R1/2P4P/1r3BK1 w - -,h8h3
5rk1/1b3rq1/4p2p/pB1pP3/P2Q2p1/2R3P1/1P3PP1/4R1K1 w - -,c3c2
8/4nk2/R7/8/1pKNPn2/1P3N2/P7/2r5 w - -,c4b4
6k1/5p1p/1p2pRp1/p3P3/8/1R3P2/P1rr1PKP/8 b - -,d2f2
1r2r1k1/p4ppp/8/2R5/8/b4NP1/P3bPBP/1R4K1 w - -,b1b8
1r3r2/1p1q1pbk/2npbnpp/pNp1p3/2P5/P2P1NP1/1PQBPPBP/1R1R2K1 b - -,f8c8
3R4/8/p6p/1p4p1/4r1k1/2P5/PP4KP/8 w - -,d8d2
r1b2rk1/1p2p1b1/2pq2pp/8/p1PP1N2/Pn2QPP1/1B4BP/3R1RK1 w - -,c4c5
8/2p5/1p5p/pK3B1P/P4kP1/8/7b/8 b - -,f4e5
3r4/5k2/5p2/1Br1p2K/2P1P3/R4P2/8/8 w - -,a3a7
3r1r1k/pn3qb1/1p2b2p/1PpN1p2/2P1pP2/4P1N1/P2QB2P/1R1R2K1 b - -,e6d5
r4r2/1np1qpbk/1p1p2p1/pQ1PpP1p/PPN1P3/2P5/4N1PP/4RRK1 b - -,e7e8
r4rk1/pp3ppp/1np1pn2/7q/Pb1PP3/1BN1QP1P/1P3P1K/R1B2R2 b - -,c6c5
2b3k1/3r1pp1/p3p2p/q1ppP3/PR6/1PN1Q2P/2P2PP1/3R2K1 b - -,a5b4
1k6/1pb3p1/8/8/P7/2P5/1PQ1KP2/6q1 w - -,c2f5
r3kbnr/pp2pppp/6b1/2p1P3/2q2P2/PPNpQ3/3P2PP/R1B1KB1R b KQkq -,c4b3
r2qr1k1/pppb1pB1/3p2p1/2n5/2P1P1n1/PP3NP1/2QN1PB1/3RR1K1 b - -,g8g7
6k1/pR4B1/4r2p/8/8/5bP1/P4P1P/2R3K1 b - -,f3b7
4n3/p4pkp/bpq1p1p1/4N1P1/P2P3P/4PB2/5P2/6K1 w - -,e5c6
r7/4k3/3pb3/2p1p2p/p1P1Pp2/1P3P2/P3NK1P/3R4 b - -,a4b3
2r2rk1/pp3pbp/n3pnp1/1R6/3PP3/P1N1BBPP/5P2/2R3K1 b - -,b7b6
r1b2rk1/1p3pbp/p2p1np1/2pPq3/P7/2N3P1/1P2PPBP/R1BQ1RK1 w - -,c1f4
rnbqk2r/ppp1ppbp/5npB/3p4/3P4/2N5/PPPQPPPP/R3KBNR b KQkq -,e8g8
4kb1r/5pp1/2q1p1n1/1pPp4/1Pp4p/5r1P/PQ3PPB/2R1R1K1 w k -,g2f3
rn1qkb1r/pbp2ppp/1p3n2/3p2B1/3P4/P1N2N2/1P2PPPP/R2QKB1R b KQkq -,b8d7:f8e7
1r1q1rk1/1p1bppbp/2np1np1/p1p5/2P5/P1NP1NPP/1P2PPBK/1RBQ1R2 w - -,c1g5
4k3/5R2/5pKP/4p1b1/4B3/6P1/2P4r/8 w - -,e4c6
3r2k1/5p1p/2N1p1p1/p7/p3PP2/8/2B1Q1PP/q4K2 w - -,f1f2
2rb1rk1/1p1q2pp/p3p1p1/P2pP3/3P1PP1/2P2R1Q/2N4P/5RK1 b - g3,d8a5
r1q2rk1/pp2bpp1/2p1pn1p/3pN3/P1PP2b1/1QN3P1/1P2PPBP/R4RK1 b - -,g4f5
1r4k1/Rr3p1p/4p1p1/3p4/P7/7P/2PR1PP1/6K1 w - -,a7a5
1R6/4k1r1/1p1p1p2/3P1P2/Pb1p4/3B2p1/6K1/8 b - -,b4c5
r1bR4/1pp2pk1/p6p/4p3/2P1P3/2P2B2/P5P1/6K1 b - -,b7b6
r5k1/1pp1qpbp/4r1p1/2p5/p3P3/2PQ3P/PPB2PP1/3RR1K1 b - -,e6b6
rn1q1rk1/p1p2ppp/bp2pn2/6B1/Q2P4/P4N2/1P2PPPP/R3KB1R b KQ -,c7c5:d8d7:a6b7:h7h6
r3k2r/1bq1bppp/p2ppn2/1p2n1P1/3NP3/P1N1BB2/1PP2P1P/R2QR1K1 b kq -,e5f3
r2q1r2/2p2pk1/1p3np1/pPn1p1Qp/4P3/2N2P2/PP4PP/2KR1B1R b - -,d8e7
8/8/5pk1/7R/6P1/3r1PK1/8/8 b - -,d3a3
4qr1k/1p1b2p1/p6p/2Q2pN1/8/1B2P3/PP3PPP/3R2K1 b - -,h6g5
r3rb2/pp1q1kpp/4p3/n2N4/3B2Q1/1P5P/P4PP1/2R1R1K1 b - -,a5c6
r1bqk2r/pp2ppb1/2np1np1/2p4p/2P1P3/2N3PP/PP1PNPB1/R1BQK2R w KQkq -,d2d3
r2qkb1r/pppn1ppp/5n2/3p4/8/3P1BPP/PP2PP2/RNBQK2R b KQkq -,f8d6
4k3/2N2ppp/1p6/p1np4/P7/4rP2/6PP/R5K1 b - -,e8d7
rn1qkb1r/ppp2p1p/4pp2/3p1b2/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq -,f1d3
1q2nrk1/1brn1pbp/pp1pp1p1/6P1/2P1N2Q/1P2BN1B/P3PP1P/2RR2K1 b - -,d6d5
8/8/1p6/p1pBk3/P1K5/7P/3b1P2/8 b - -,d2e1
rnbqk1nr/ppppp1bp/6p1/8/2B1P3/5N2/PPP2PPP/RNBQK2R b KQkq -,e7e6
8/8/6p1/2B3P1/1pp1kP2/2b5/1r6/2R2K2 b - -,e4f4
3r4/2p1q2k/1p2bpp1/p3p1b1/4P1P1/1NP2Q2/PP3PN1/4R1K1 b - -,h7g7
r2q1r1k/1p1b1p1p/1n4p1/p2Pp3/2p1PPP1/P1N4P/1P1QB3/1K1R2R1 b - f3,f7f6
r2qkb1r/pp2pp1p/1np1bnp1/8/2N5/1P3NP1/2QPPPBP/R1B2RK1 b kq -,f8g7:b6c4
5b2/5p1p/r3p1k1/1R2P1p1/8/4N1P1/5PKP/8 b - -,a6a4
3r2k1/p4p1p/2p3p1/8/2B5/2P1PP1b/P3KP1P/1R6 b - -,d8d7
r4rk1/ppp2pp1/2nb1q1p/4Pb2/3P4/2PB4/PP4PP/R1BQ1RK1 b - -,f5g4
4b3/p2Q2pk/1p2p2p/1P1n1p2/1B1Pn3/4P1P1/5PBP/R5K1 b - -,e8d7
2k1r3/1b1r4/p1p3pp/1p2np2/8/5B1N/PPP1RPPP/2K4R b - -,d7e7
rn1q1rk1/p4ppp/1p3nb1/2pp4/3P4/2PNPP2/P3B1PP/R1BQ1RK1 b - -,c5c4
2rqkb1r/pp1bppp1/2np1n1p/8/3NPP1B/2N5/PPPQ2PP/R3KB1R b KQk -,c6d4
3r4/4kp2/1pR1p2p/bN1p1p2/3P4/P3P1P1/5P1P/5K2 b - -,d8d7
