8/6pk/7p/p1R5/6P1/Kp6/2p5/1r6 b - -,b3b2
8/4p1bp/6p1/2N1kp2/1KP5/4P3/5PPP/8 b - -,e5d6
8/pp6/8/P2p4/2pPb1p1/2Pk2N1/8/6K1 b - -,e4f3
r2r2k1/1pB1ppbp/p1n1bnp1/2qP4/N7/PB3N1P/1P3PP1/2RQ1RK1 b - -,c5a7
1kr1r3/p2b3p/Bp1Pn3/2p3p1/5p2/3R1P2/PB3KPP/3R4 w - -,a6c8
r3k2r/1p1bbpp1/p2p1nn1/q1pPp2p/P1P1P2P/2N1BPP1/1P1Q4/R1N1KB1R b KQkq -,f6h7
r2q1rk1/pp3np1/2p1p1bp/3pB3/3P1PPb/1P2R1NP/P1PQ2BK/R7 w - -,a1f1
1r2kb2/R7/4K3/4P3/6P1/4B3/8/8 w - -,g4g5
r1b2rk1/1p2bppp/pqnppn2/6B1/4P3/1NN2P2/PPPQ2PP/2KR1B1R w - -,h2h4:g2g4
4r3/5pk1/pp2r2p/2pR4/3p4/P2P2P1/3B3P/5BK1 w - -,g1f2
r3kb1r/pp2pppp/2n2n2/q2p1b2/3P4/P1N2NP1/1P2PP1P/R1BQKB1R w KQkq -,d1b3
3rr1k1/p1q2ppp/5n2/2pPpb2/2p1P3/P6P/1B1NQPP1/R4RK1 b - -,f6d5
2r2r2/1p1qnpkp/p3b1p1/2p5/3np3/3P2P1/PPPQ1RBP/2NN1RK1 w - -,d3e4
2kr1b1r/pppq1ppp/2n1p3/3n4/2QP4/6P1/PP2PPBP/RNB2RK1 w - -,f1d1
r4rk1/pbpn1ppp/1p1qpn2/3p4/3P4/2PBPN2/PP1N1PPP/RQ3RK1 b - -,e6e5
8/pN1bkpp1/7p/1n1Pp3/4P3/3B1P2/1K4P1/8 w - -,b2b3
6bk/1R5p/1p2rp2/pP1B1p1N/6r1/4p3/7P/2R3K1 w - -,g1f1
3r2k1/r4ppp/1p2pn2/1B6/PP6/7P/5PP1/2R1R1K1 b - -,g7g6
2r1kb1r/1bqn1p2/3p1p2/4pP1p/pp2P2P/3B1QN1/PPP3P1/1KNR3R b k -,a4a3
r1bq1rk1/pp1nbppp/2p2n2/8/2BP4/2N2N1P/PP3PP1/R1BQ1RK1 b - -,d7b6
3r1rk1/pb4np/1pp1pq2/2P2pp1/1P1P4/2Q2N2/P1B2PPP/3RR1K1 b - b3,f8f7
8/R4p2/8/8/4k3/6P1/pr3PK1/8 w - -,g3g4
r1k2br1/2p2pp1/1pb4p/pNpnP3/P7/1P4NP/1BP2PP1/3R1RK1 w - -,f1e1
r1n1k1r1/pp1b1p2/2p1pP1p/q2pN2P/1bPP2P1/2N5/PPQ1B3/1K1R1R2 b q -,c8d6
1r4k1/5pp1/4p2p/q2p4/Pb6/3N1PP1/R1Q1P1KP/8 b - -,b4c3
r1b1k2r/pp3ppp/4pn2/2n5/1bp1P3/2N2N2/PP1B1PPP/3RKB1R w Kkq -,f1c4
8/8/6R1/4k3/4p3/6P1/1p2BK2/1r6 w - -,g6b6
r5k1/pp2Q1b1/4p1P1/3pP3/2p5/2N5/PPbq1r2/1K1B2RR w - -,b1a1
r1bq1rk1/pp2ppbp/2ppnnp1/6B1/2PPPP2/2N2B2/PP1Q2PP/R3K1NR w KQ -,g5h4
7b/3r3k/5p1P/Bp1r4/7P/P2pR3/1P1R1P2/1K6 b - -,f6f5
r3k2r/1bqnbppp/p2ppn2/1p6/4PP2/PNNB4/1PP1Q1PP/R1B2RK1 w kq -,c1d2
1r2n1k1/5pp1/4n2p/1P2N3/1R6/2N2P1P/6P1/6K1 w - -,b5b6
6k1/4bpp1/3q3p/1pprpP2/4Q3/2P2N1P/1P3P2/5RK1 w - -,f1e1
r4rk1/1bp1b1pp/p2p2q1/1p2n3/1P2N3/5N1P/1PPBQPP1/R3R1K1 w - -,f3e5
r3kb2/8/r3p1P1/4P2p/1p2P3/2p1BK2/P1R5/3R4 w - -,e3g5
3q3r/1Q4pp/3bbpkn/3p4/1P1Pp3/1B2P3/1B2NPPP/4K2R b K -,d8b8
8/1p4p1/2n2pk1/3K2p1/6P1/4B2P/5P2/8 b - -,c6e5
r4r2/p2bq1bk/3p4/1p1Pp2p/2p1P3/2P1N3/PP4PP/3QRRK1 w - -,d1h5
r3nrk1/pbq1b2p/1p2ppp1/3pP3/2pP2P1/2P1PN1Q/PPB4P/R1B2RK1 w - -,c1d2
8/8/2B5/6p1/6Pp/7P/4nk1K/8 w - -,c6b7
r1bq1rk1/1p1nppbp/p1np2p1/2p5/2PP4/1P2PNP1/PB3PBP/RN1Q1RK1 w - -,b1c3
r3k2r/1pqbbppp/p2ppn2/8/2nNP3/4B1PP/PPP1QPB1/R2NR1K1 b kq -,h7h5
r2q1rk1/2pb1pbp/1p1p1np1/p2Pp3/1nP1P3/2N1BP2/PP2N1PP/RB1Q1RK1 w - -,d1d2
1r2rn1k/p6p/3N1p1B/2pp3P/8/P2P2P1/1Pn2PB1/R5K1 w - -,d6e8
5rk1/p3pp1p/3p2p1/q2P3n/2r5/1P4P1/P3QPBP/2R3K1 w - -,c1c4
r2q1rk1/pp1nbpp1/2p1p2p/8/3P2b1/2Q1P1P1/PP3PBP/R1BRN1K1 w - -,f2f3
2r5/pp1k1r2/1q4pp/3p1pBP/2P1bQ2/1P2R3/2P3P1/4R2K w - -,g5h6
2br1q1k/5r2/4p1Rp/1B1pPp1P/1p1P4/4PKQ1/P7/6R1 b - -,h8h7
6k1/R6p/8/6PP/P7/7K/r5P1/8 b - -,g8f8
r4rk1/1p1b1ppp/pq2pn2/8/3N4/2PR4/PPB1QPPP/5RK1 b - -,d7b5
rnr3k1/pp1qppbp/3p1np1/8/2PNP3/1PN2P2/P5PP/R1BQ1RK1 b - -,d6d5
rn1q1rk1/pp1bp1bp/2pp1np1/3P1p2/2PN4/2N3P1/PP2PPBP/R1BQK2R w KQ -,e1g1
7k/1p5p/pBb2p2/P3pP2/2r1P2b/7P/6B1/3R2K1 w - -,d1d8
1k1rr3/1pq2p1p/pn1b2p1/7Q/4p3/2P2B1P/PP1B1PP1/4RRK1 w - -,h5g4
rnbqkb1r/1p2pppp/p1p2n2/6B1/2pP4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,a2a4
2r2Qk1/p2n1p1p/1p2r1p1/4Pp2/2pP1N2/P1P5/2P3PP/3RR1K1 b - -,g8f8
8/p5p1/6kp/8/P2P1K2/5B2/1P4P1/4r3 b - a3,g6f6
8/5k2/3p3p/1B6/8/2b4K/6P1/8 b - -,f7e6
8/1R2p3/3p1kp1/3P3p/4PK1P/5P2/8/7r w - -,f4g3
8/8/5k1p/p1pP4/2P1NP2/2P5/8/3b3K b - -,f6f7
1r6/1b1p2k1/pQn1p1p1/8/1P2P3/PB2K1P1/1P4P1/8 b - -,b7c8
8/7p/5kp1/3Bn3/8/r3P1P1/4R1K1/8 w - -,e2f2
r1b1k2r/5ppp/p3pb2/1p6/3NB3/2P5/qP2QPPP/2KR3R b kq -,a8a7
r4r2/4p1k1/2qpP1p1/2p5/P5Q1/2P4P/6PK/R4R2 w - -,c3c4
r1b1k2r/ppP2p2/n4q2/6pp/1bP3n1/4P1B1/PP1N1PPP/R2QKBNR w KQkq -,h2h4
r7/1k3p2/2p5/1pP2p2/1P1P3p/5K1P/3R4/8 w - -,d4d5
3r1rk1/1bq1bpp1/p2ppn2/6B1/RP1NPP2/2P3N1/1P2Q2P/5RK1 w - -,f1f2
3r4/8/2P1k2p/ppP5/4pb2/8/P1R2K1P/5N2 w - -,c2b2
1rbq1rk1/2n2nbp/pp1p2p1/2pP1p2/P4P2/1RN1P1BP/1P1NB1P1/3Q1RK1 w - -,e2c4
b2r2k1/4qpp1/1N2p3/P2pP3/P2Q3p/4NP1P/r5P1/3R2K1 b - -,e7g5
8/6p1/B1P2k1p/4p3/7P/2n2K2/6P1/8 b - -,c3d5
r4rk1/1pp1n2n/p2p4/5ppQ/3P1P2/1q4BP/1P4P1/4RR1K w - -,e1e7
4b1k1/pp1qPp1p/5Pp1/8/1n6/R4QPP/P2b1P2/R3rBK1 w - -,a1e1
2rq2k1/RQp2bpp/5p2/4P3/8/3NP2P/5PP1/6K1 b - -,f7d5
1k4r1/1bp2p1p/1P2q3/1B1p4/2nP4/2Q1p1rP/2P2PP1/RR5K w - -,b6c7
2q1r1k1/1r1b1pbp/6p1/2PQ4/p2NP3/8/R3BPPP/3R2K1 b - -,b7c7
r1b1qbk1/p2r3p/1pNp1nn1/1N1Pp3/1B2Pp2/5B2/PPQ3PP/2R2RK1 b - -,g6h4
3r1rk1/6p1/7p/p2b4/3p1b2/P2q1RBP/1P4PK/1N1R4 w - -,f3d3
r1b1r1k1/1pqn1ppp/2p5/p1pnP1N1/8/P1B3P1/1PQ1PPBP/3R1RK1 b - -,d5c3
8/6k1/p7/p1pPp2q/P1N1rpb1/1P3P2/2P2QK1/4R3 w - -,f3e4
1n1q1rk1/1pp2pbp/6p1/1N1P4/n2Nb3/4P3/P2Q2PP/3RKB1R w K -,f1c4
