3R1k2/2K5/p7/Pr5p/1P5P/8/6P1/8 b - -,f8g7
4k3/7p/3b2p1/P2Pp3/4p3/3pr1P1/5NKP/2R5 b - -,e3e2
8/8/8/8/4p3/R7/3r4/4k1K1 b - -,d2d3
rq2kb1r/1p6/2n1bp1p/1Bnpp1p1/6PP/2P1PPB1/PP1R4/3QK1NR w Kkq -,h1h2
8/4k3/8/4NK2/7P/8/4b3/8 w - -,e5g4
r1bqr1k1/1ppn1ppp/4pn2/p2p4/2PP4/P2BPN2/1PQN1PPP/R4RK1 b - -,b7b6
r1bq1rk1/pp2ppbp/2n2np1/2pp4/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 w - -,a2a4:c2c3:h2h3:e4d5:f1e1
2r3k1/p4p1p/qp2p1p1/3pN3/3P4/bP2P1PP/P2Q1P2/5RK1 b - -,c8c7
2r1r1k1/1p3p2/p2q1n1p/P1pPR1p1/R1P2P2/2Q4P/5PB1/6K1 b - -,f6h5
6k1/2Q2ppp/4p3/8/1b1P4/1P3PP1/1q2PK1P/8 w - -,c7b6
2r5/1p2ppk1/p3n1pp/8/P7/R1n1PN1P/1P3PP1/6K1 w - -,b2c3
8/6k1/1p5p/p1r1pR2/P1B1P3/1P2PKP1/2n5/8 b - -,c2a3
6k1/p1q5/1p2p1n1/8/2bP4/6RP/P1Q2r1K/8 w - -,c2f2
1rb1k1nr/4ppb1/p1pp2p1/q5Np/1pBPP2P/2n1BP2/PPPQN1P1/1K1R3R w k -,b1a1
r1b3k1/2q2ppp/p1p1pn2/2B5/4p3/5P2/PPP1B1PP/2KQ3R b - -,c8b7
r7/1bp1r1pp/3pkp2/p3p3/2P5/4P3/PP1RKPPP/2R1N3 w - -,f2f3
1r4k1/4n1bp/r4pp1/p1pPp3/2N1P2P/6P1/P4PB1/1R2R1K1 b - -,b8b4
r1b1r1k1/1p3p1p/p2q2p1/2p1b2n/P7/2NB1N1P/1P3PP1/R2QR1K1 w - -,d3c4
1b2q1k1/3rBrp1/ppbP2Np/2pRp3/P1Q1p3/1P2P3/5PPP/2R3K1 b - -,c6d5
2r2rk1/1p3p2/3qp2p/3p2b1/1P1PbR2/P3Q2P/1B2B1PK/2R5 w - -,g2g3
7k/1p1r1p2/2bp1P1p/5Qp1/6P1/7P/1P6/6K1 w - -,h3h4
3r2k1/5p1p/1pnr2p1/1P1p4/8/5P2/3R1P2/2R3K1 w - -,b5c6
rn1r2k1/1pq1bppp/8/p1Pp4/P2Nn3/1NP1B2P/1P2QPP1/R4RK1 b - -,e4c5
rn1q1rk1/pb2bpp1/1pp1p2p/8/3P4/P1PBPN2/2Q2PPP/R1B2RK1 b - -,c6c5
8/p2r4/8/R1P3pk/8/1P4K1/P7/8 b - -,d7d3
1r4k1/p2b1rbp/1q4p1/1p1Qpp2/1P2P3/P5P1/1R1N1PBP/5RK1 w - -,b2c2
r4rk1/pp3pp1/3b1n1p/3N1b2/2N5/6P1/PP3PBP/2R1R1K1 b - -,f6d5
r1bqkb1r/pp1npppp/5n2/2Pp2B1/8/2N2P2/PPP1P1PP/R2QKBNR b KQkq -,e7e6
8/b1R2ppk/8/3r4/1p2pB2/1P3nPP/P7/7K w - -,c7a7
r2r2k1/ppp1ppbp/q1n2np1/8/3P4/5BP1/PPPBNP1P/R1Q1R1K1 b - -,e7e5
8/rB2R3/P7/b7/P7/3p4/5k2/3K4 b - -,a5b4
r7/1q2ppk1/r2p2p1/2pPn1Bp/2NbP3/1P1Q2PP/P1R1RP1K/8 w - -,c4e5
r1bq1rk1/ppp1n1bp/3p4/3Ppp2/2P3nB/2N5/PP1NBPPP/R2QK2R w KQ -,h2h3
3r2r1/2k1n3/p7/1pp2p1p/2Pp4/P2P1PRP/1N3P2/6RK b - -,f5f4
3r2k1/1p1r1pp1/pQ1pq2p/3R4/3R4/1P2P1P1/P4PKP/8 b - -,g8h7
1r2n1k1/5p1p/3p2p1/3N4/1R2P3/5P2/6PP/6K1 b - -,b8b4
2r3k1/1b2bpp1/1p2p2p/rB1n4/P1pN4/2P1PPqP/1BR1Q1P1/3R2K1 w - -,e2f2
r2n1rk1/1pp1qbpp/5p2/p2np3/4N3/P2P1NP1/1PQ1PPBP/2R2RK1 w - -,f1d1
r4rk1/p7/np1p2qb/2pPpb1p/2P1N1pB/P4P2/1PN3PP/1R2QR1K b - -,h6f4
8/5pkp/3N2p1/3p2n1/P2R2P1/7P/1r4PK/8 w - -,d4d5
N1b1r3/pp1k1ppp/3b4/8/6n1/4B3/PPP2PPP/2KR3R b - -,g4e3
1r1r3k/pBq4p/5pp1/PRP1p3/8/6Pb/2Q2P1P/1R4K1 b - -,d8d4
r1b1kb1r/p3q1pp/8/1p1pnp2/5N2/3P4/PP2Q1PP/R1B1KB1R b KQkq -,c8b7
3r4/8/2kN2p1/4Pp1p/p4P1P/PpPR2P1/3K1b2/8 b - -,f2c5
4rrk1/2p5/1pPp1b2/pP1Pp2p/4R1p1/1N1B1nP1/P4PKP/5R2 w - -,h2h4
r4rk1/ppq1bppp/1n2bn2/1Npp4/3P1N2/P2BPQ1P/1P3PP1/R1BR2K1 b - -,c7d7
4r1k1/4q2p/p2p1np1/P1pP1PB1/1pNb2P1/5Q2/1P5P/5R1K b - -,g6f5
8/1R6/k5p1/p5K1/8/2r3P1/2n4P/8 w - -,b7b2
8/r4pR1/2k1pK2/8/6p1/4PP2/7P/8 w - -,f3g4
8/7p/3b4/3k3P/1p3pp1/1P1K4/P7/2B5 b - -,f4f3
8/8/1p2k2p/1P3p2/2Rbp2P/6P1/5PK1/1r3N2 b - -,e6d5
r2q1rk1/pbpnb2p/1p1pp3/5pp1/2PP4/2N1PPB1/PP1QB1PP/R2R2K1 b - -,d7f6
2r1r1k1/1b1nbpp1/p2p1n1p/1p6/3NP2B/P1N5/1P3PPP/1BR1R1K1 b - -,e7f8
4Q3/6pk/8/2q2p2/5Pp1/p5P1/7P/6K1 w - -,g1f1
8/p1r2p1p/2n2kp1/4p3/1PB5/2P5/2K2PPP/4R3 w - -,c2b3
1B6/3p3p/p3k3/4b1p1/1p2N3/1P4P1/2P2PKP/8 b - -,e5b8
r3k2r/pp1bnpp1/2n1p2p/3pP3/q1pP4/P1P2N2/2PBBPPP/RQ3RK1 w kq -,a1a2
r1br2k1/pp2ppbp/2n3p1/q2n4/P7/1B2BNNP/1PP1QPP1/R4RK1 w - -,e3d2
1r6/pp2p3/4k1p1/8/2R5/5P2/PP3PKP/8 w - -,g2g3
4r2k/pp2r1pp/1q3p2/1PpBn3/P1PnP3/6Q1/1B4PP/3R1R1K b - -,e7c7
8/5k2/6pp/2n5/1N1R2PP/2r2PK1/8/8 b - -,c5e6
1n2kr2/r5pp/bq2B3/p1pPp1B1/P1p1N3/Rp1n2P1/1P3P1P/3Q1RK1 w - -,d1d2
r2rn1k1/1b1nqp1p/2pR1bp1/p1P1p3/PpB1P3/4BNNP/1PQ2PP1/3R2K1 w - -,d6d3
8/r5pp/2k5/3p4/P1nB2PP/b1NbPP2/4NK2/2R5 b - -,a7b7
8/5p2/pb6/3k1p1p/p1p2P1P/B1P2KP1/1P6/8 w - -,a3b4
r3k2r/ppqbbp2/3ppn1p/4n1p1/4P1P1/4B1NP/PPP1NPB1/R2Q1RK1 b kq -,h6h5
1rb1r1nk/2q1bp1p/pp1p2pB/2pPp3/P3P1P1/R1NQ3P/1PP2PK1/1R3N2 w - -,h6d2
r3q3/3p1k1p/1QpP2p1/p4p2/8/P3rPP1/1P2P2P/4RRK1 b - -,a8b8
1r4k1/5pp1/3qpnp1/1p1p4/1PrP3B/3Q1NNP/5PP1/1R4K1 w - -,g3e2
r1bq1rk1/4bppp/p1np1n2/1p2p3/4P3/2N1B3/PPPNBPPP/R2Q1RK1 w - b6,c3d5
8/1p1b4/8/2P5/3K4/6k1/p7/5R2 w - -,d4c3
r1b1k2r/pp2npp1/2n1p2p/3pP2P/q1pP4/P1PB1N2/2PB1PP1/R2QK2R w KQkq -,d3e2
r2q1r1k/ppp2ppp/1n1b4/8/8/P1NP1n2/BPP2PPP/R1BQ2K1 w - -,d1f3
1r4k1/pp1R1p2/2p1rbpp/4p3/4P3/4N2P/PPP2PP1/3R2K1 b - -,f6e7
r1bq1rk1/3nppbp/p1p2np1/1pP5/3Pp3/2NB1N2/PPQ2PPP/R1B2RK1 w - -,c3e4
4r1k1/1p1r2bp/pB4p1/P2qnn2/4N3/1R3P2/5QPP/1R3B1K b - -,g8h8
1r6/3Pr1k1/2R5/4b3/p7/2N5/P1K1R3/8 w - -,c6c5
8/p6k/6p1/R3p3/3b4/7n/6K1/8 b - -,h3g5
3r1rk1/pb1nqp2/1p1p2p1/2pPp2p/2PNPP1P/4N1P1/PP1Q2B1/3RR1K1 b - -,c5d4
r1r3k1/p2qppbp/6p1/1NnP4/2Q4B/2P1P2P/P3KPP1/2R4R b - -,a8b8
2r3k1/1p3pb1/6p1/1Pp1n3/2P5/4NB2/r3PPKp/2BR1R2 w - -,f3b7
2r4k/p3rp1p/3p1qp1/1p1Pb3/2PpP3/PP6/2Q1BPRP/3R2K1 b - -,c8b8
r5k1/p4ppp/2b5/r2p4/7P/P1pB1P2/5KP1/1RB4R b - -,d5d4
r3r3/1p2qpkp/1np3p1/p2P3n/Pb2Pp2/1BN2P2/1PQ2BPP/3R1R1K b - -,b6d7
5rk1/1pp1q1bp/p1n1p1p1/4p2n/P3P3/4B2P/1PP1NPQ1/R2R2K1 b - -,h5f4
