8/6k1/6p1/1Q2p2p/5q2/7P/2P2PP1/6K1 b - -,f4c1
1b1rrnk1/p4ppp/1p3q2/1P1P4/N3p3/PQ4Pb/4BPNP/3R1RK1 w - -,a4b2
r1b1r3/ppp2kb1/2nq2pp/2Npp3/3P4/2P2N1P/PP3PP1/R1BQR1K1 w - -,c5d3
8/6k1/1r3p2/7P/2R3PK/5P2/8/8 b - -,b6b7
2rq1rk1/1b2bppp/p1n1pn2/1p4B1/3P4/P1N2N2/1PB2PPP/R2QR1K1 w - -,d1d3
6k1/8/4pb2/3n4/3P3p/1P1R2pP/r2B2P1/4NK2 w - -,e1f3
8/3n2k1/2qP1pp1/p6p/1pBQPP2/1P6/6P1/7K w - -,e4e5
3r3k/4qp2/pQ1p2pp/1bpP2P1/4NP2/2R4P/7K/4b3 w - -,c3e3
rnbqk2r/ppp1ppbp/5np1/8/2BP4/2N1P3/PP3PPP/R1BQK1NR w KQkq -,g1f3
6k1/q2n1p1p/1n1p1pp1/2pP4/1pP1PP1P/1P4P1/3NQ1BK/r2R4 b - -,a1a2
1r1r4/pB3pkp/P2q2p1/2n1p3/4Q3/6P1/1R3PKP/1R6 w - -,e4e3
r4rk1/p2n1ppp/2p5/2pppP2/5q2/1P1PbN2/P1P1B1PP/R1B1QK1R b - -,e3c1
2r2rk1/1bqn1ppp/p3p3/npbpP3/3N1P2/P1P1BN2/1P1QB1PP/R4RK1 w - -,e3f2
7r/1p6/pR6/P1kPpn1P/2p2p2/2N2P1K/1P6/8 b - -,f5g3
2k3rr/bppq4/p2p3p/3Pppp1/1PP5/3PPN2/P5PP/2RQR2K b - -,h6h5
8/p2r1p1p/1p2pk2/5p2/7r/2N5/PP3P1P/2R1KN2 w - -,e1e2
r1bqk2r/1p2bppp/p1n2n2/3p2B1/3N4/2N5/PPP1BPPP/R2QR1K1 b kq -,e8g8
1k2r3/pppb1pp1/4Rq1p/3p3P/3P4/7R/PPPQ1PP1/2K2B2 b - -,e8e6
8/8/5k2/5P2/8/8/1K6/n7 b - -,f6f5
r3r1k1/ppq2pp1/2p2b1p/2Pp4/PP1Pb3/5N1P/1B3P1P/Q2RRBK1 b - -,e4f3
2r3k1/1p1bb1p1/3Ppp1p/pP6/P3P3/1N6/N4PPP/2rR2K1 w - -,d1c1
r1b2rk1/bp2qppp/p1pp1n2/4p3/1PP5/P1NPPBP1/1B3P1P/R2Q1RK1 w - -,a3a4
8/5K2/8/7k/6p1/8/8/4R3 b - -,g4g3
8/2k1r3/8/1PPpp1Rp/5p1P/2K5/5P2/8 w - -,g5f5
8/R7/4pk2/8/6K1/3r4/8/8 b - -,d3b3
r2q1b1r/pp2pkpp/3p1n2/8/3nP1b1/5N2/PP2QPPP/RNB1K2R w KQ -,e2c4
8/kp3p2/p1nqp2p/5p2/5r2/2Qn1N1P/P2R1PP1/1R5K b - -,c6b4
r4rk1/pp3pp1/2pb1q1p/3p1b2/5P2/2PBB3/PPP2QPP/3R1RK1 b - -,b7b6
1rqbb3/rpn3k1/2p1p2p/2PpNpp1/1R1P1P2/P2NP1P1/1Q5P/1R1B2K1 w - -,b4a4
r3r1k1/2pq1pbn/2bp2pp/p7/1B1pP3/1P3NNP/1P1Q1PP1/R3R1K1 w - -,b4a5
r6k/1b2q1pp/1B2pb2/3p4/2r2P2/1N6/PPPQ2PP/1K1RR3 b - -,e7d6
r2qk2r/1b1nppbp/p2p1np1/1p6/3BP3/2P2P1P/PPB1N1P1/RN1Q1RK1 b kq -,e8g8
r1bq1rk1/1p4b1/p1npp1pp/2p2p2/5P2/1PNPPN2/P1P1B1PP/1R2QRK1 b - -,d8f6
r2qr1k1/1b1n1pbp/pp2p1p1/4P2n/2P1B3/2N2N2/PP1BQ1PP/4RR1K b - -,b7e4
1r3rk1/6p1/Rpnpp1qp/1Q2p3/3PPn2/1NP1R2P/1P3PP1/4N1K1 b - -,e5d4
2k2nrr/pbq1b3/2n1p2p/1p1pP1p1/2pP2P1/2P1BN2/PP3PB1/R2QRNK1 w - -,f1g3
2qr2k1/1p1r2b1/1nnpb1pp/2p1p3/2P1P3/2BQ1NPP/3N1PBK/2RR4 w - -,f3h4
2r1b1k1/pp2prbp/1qn3p1/1n2P1N1/3P4/1Q2B2P/PP1N1PP1/R4RK1 w - -,g5f7
8/1R2Bpkp/p3r1p1/4p3/4P3/PP3P1P/2r3P1/6K1 b - -,e6c6
6k1/5pp1/4p3/p2n3p/3Q1P2/1P4P1/PKR4P/4q3 b - -,d5b4
4rrk1/6pp/p1p1bq2/1p1p4/7P/1NP2PK1/PPB5/R1BQ4 w - -,b3d4
r4nk1/p3q1p1/1p1N2pp/3Ppb2/PP2N3/2PQP3/6PP/5RK1 b - -,e7d7
8/3k1pp1/2b1p2p/1p1nP3/3B1P2/P2B2PP/5K2/8 b - -,b5b4
r1bq1rk1/5ppp/pP3nn1/3pp3/8/1BPPPN1P/1P1N2P1/R2Q1RK1 b - -,d8b6
8/1R6/5kp1/P4p1p/1p2r2P/5KP1/5P2/8 w - -,a5a6
r1bqkb1r/ppp2ppp/8/3pP3/8/2PB4/P1P2PPP/R1BQK2R b KQkq -,f8e7
1qr3k1/3npp1p/p2p2p1/6Q1/1rN1P3/1P5P/1P3PP1/2R1R1K1 b - -,c8e8
2b5/2P1k3/r2r1p2/p1R1p1p1/4P3/1P4R1/2B3PK/8 w - -,c2d3
r2rb1k1/pp3ppp/8/2b1N3/P7/2P1B2P/1P3PP1/R3R1K1 b - -,c5f8
r7/pbk1qp1Q/1p2p3/4P3/N2R1P2/6P1/PP4P1/6K1 w - -,h7c2
r1b2rk1/pp1nq1pp/2pb4/4p1B1/2P1N3/6P1/PPQ2PBP/R4RK1 b - -,d7f6
r2qk1nr/1b3pbp/p2pp1p1/2p2P2/1p1nP3/2NPB1PN/PPPQ2BP/1K1R3R w kq -,c3e2
6k1/1p4p1/p1b1p2p/3pN3/Pq1P1P2/1P1Q1KPP/8/8 b - -,b4e1
3r2k1/pp4pp/4p3/3bN1n1/8/4RP2/PP4KP/R7 w - -,a1c1
8/1b6/1P4k1/6p1/3R4/5P2/2KN4/r7 w - -,d4d7
r2q3k/p2n1Qbp/bp6/2p4p/3PPB2/2P2P2/P5P1/R3K2R w KQ -,h1h5
2r2rk1/pbq2pp1/1pp1p2p/2P5/Q2PB3/6P1/PP3P1P/R2R2K1 b - -,b6b5
6k1/p2n1pp1/1p3np1/b2p4/8/4P3/PP3PPP/2RR2K1 w - -,c1c8
r2qr1k1/bp3ppp/p1ppbnn1/4p3/3PP3/2P2N1P/PPB2PP1/R1BQRNK1 w - -,f1g3
8/1k6/6R1/2N5/5K2/8/4r3/8 b - -,b7c7
rn1qkb1r/pbpppppp/5n2/1p6/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq -,e2e3
Q3k3/3rr2p/1p6/8/8/1P4P1/3p1P1P/6K1 b - -,e8f7
8/3R4/1r6/5p2/3PpB2/bP2P1Pk/P4K2/8 b - -,h3g4
1q2r1k1/3r3p/1p1n1bpP/p1p1p3/P3P3/1P3QP1/1B3P2/3RR1K1 w - -,f3f6
r2q1rk1/pp1nbppp/2p1pn2/3p1b2/2PP4/1P3NP1/P2NPPBP/R1BQ1RK1 w - -,f3h4
4k3/1p6/1p2pbpp/5p2/2K4P/1PN3P1/1P1R1P2/2r5 b - -,e8e7
r4k1r/1bq3p1/3pQb1p/1Nn5/4PP2/P7/1PP3PP/2KR3R w - -,b5c7
1q3bk1/pp3pp1/4r1np/8/4b3/2B1N2P/PQ3PP1/3R1BK1 w - -,f1c4
4q1k1/2Qb3p/1p2p2p/pP1pP2N/P2P2B1/6P1/3b2KP/8 b - -,d2g5
4r3/1BB1bk2/1p5p/rNp2pp1/8/P5P1/4PP1P/3R2K1 w - -,b7d5
7r/5p2/p1kbpn2/P1p5/1pP2p1p/5P2/1P3B1P/R2R2K1 b - c3,h4h3
2rq1rk1/p2bppbp/3p1np1/1p6/3BP3/1BN2P2/PPPQ2PP/2KR3R w - b6,d4a7:h2h4:c1b1:e4e5:c3d5
r3kb1r/pp3ppp/4b3/3BN3/2p5/6P1/PP2nP1P/R1B2R1K w kq -,d5e6
1R6/1p1rk3/p7/2pBP3/4K3/1P6/3b4/8 w - -,b8h8
1r3rk1/2q1bppp/p1npb3/6P1/P2QP2P/2N1B3/1PP1BR2/R5K1 w - -,d4d2
rq3rk1/pp1n1ppp/3p1n2/3Pp3/2P5/2N1QB1P/PP3PP1/R2R2K1 b - -,a7a5
r2q1rk1/1b2ppbp/pp1p2p1/2p5/P2Pn3/2P1PN1P/1P2BPPB/R2QR1K1 w - c6,d1d3
r1bqk2r/p3npb1/1pn1p1pp/2pp4/4P3/2PPBNP1/PP3PBP/RNQ2RK1 w kq -,f1d1
5rk1/4qp2/p2p3r/1p2nQ2/3B1R1P/P7/1PP5/5RK1 w - -,f1f2
5Rk1/p5bp/1ppnq1p1/2p1p1B1/2N1P2Q/1P1P3P/P1P3P1/6K1 b - -,g7f8
2brr3/pp4kp/2p3p1/P2npp2/6Pq/2NPQP2/1P3P1P/2R1RBK1 w - -,c3d5
8/3rbp2/kp2p2p/pN1p4/2P1PP2/4N3/2K4P/6R1 w - -,e4d5
8/8/3PK1k1/5p2/7b/3N1P1P/8/8 b - -,h4d8
