3b4/7p/5p2/pk4p1/4P3/5P2/6PP/4BK2 w - -,f1e2
8/5ppk/4n2p/1r6/2N3PP/2K1RP2/1P6/8 b - -,h6h5
3rn3/5k2/1pppb1pp/p7/3P1PP1/P1N3KP/1P1N4/4R3 w - -,d2f1
r2q1rk1/1pp3p1/1p1p1n1p/8/P3Pp2/2N4P/1PP3P1/R2Q1RK1 w - -,f1f4
2rnk3/p1r2p2/2PR2p1/3BP3/8/6Kp/P4P2/2R5 w - -,g3h3
4rrk1/p1p2qpp/2Qbb3/8/7B/4N3/1PP2PPP/R4RK1 b - -,e6d7
r5k1/6bp/p5p1/Bp2pp2/2P2n2/qB3P2/2PQ2PP/3R3K b - -,g8h8
8/5pkp/4p1n1/3p4/3P1p2/2P2PPP/1R1B3K/r7 b - -,f4g3
2qr1r2/pp2npbk/3pB1pp/2p1p2P/4P3/2PPN3/PP2QPPN/R3R1K1 b - -,c8e6
4rr1k/1b4bp/3p4/1pqN1p2/4pP2/2P1Q1P1/1P2B2P/3R1R1K b - -,e8c8
5Q2/2k4p/8/6P1/8/8/7K/2q5 b - -,c1g5
8/2p1k3/1p1n1pR1/p1pPp3/P1P1P3/1P2r3/2KN4/8 w - -,g6g4
r4r2/1p2q1bk/3p1n1p/pbpPpPB1/PnP4P/1P4N1/3QBP2/2KR3R w - -,c4b5
6k1/5b2/7p/8/5p1P/4q3/5QPK/8 w - -,f2b2
3r1rk1/5pb1/1p4q1/p3p3/PpPp2Q1/1P1P2P1/5NK1/3RR3 b - -,g6c6
6k1/pppb1pp1/2np1q1p/5P2/6P1/1PPB1N1P/P1PQ4/2K1r3 w - -,d2e1
r2q1rk1/2p1npb1/bpn1p2p/p2p2p1/2PP4/BP2PNPP/P2N1PB1/R2Q1RK1 w - -,h3h4
r2qk2r/pp3ppp/1n1bpn2/2p5/1PPP4/3B1N1P/P4PP1/R1BQ1RK1 b kq b3,c5d4
r4rk1/1b2bp1p/2BB2p1/p1n1p1P1/1p2P2P/5PN1/PPP5/1K1R3R b - -,e7d6
R7/8/8/8/7p/5p1K/3rk3/8 b - -,d2d1
2Q5/4k1r1/pq6/1pp1Pp2/2Pp3P/1P1PnRB1/P3K3/8 w - -,h4h5
rn1qkb1r/pbpppp1p/1p3p2/8/3P4/2P1P3/PP3PPP/RN1QKBNR b KQkq -,e7e6
r1bqkb1r/2p2ppp/p3p3/2npP3/3N4/8/PPPN1PPP/R1BQ1RK1 b kq -,c8b7
2r2rk1/1bq3bp/pn1pp1p1/6PP/1p1pP3/1P3P1B/P1PQ4/1K1R2NR w - -,h3e6
5rn1/6k1/p2p2p1/Pp1Ppb2/1Pp5/2P1NP2/2B3P1/6KR w - -,c2f5
r1b2bk1/1p4pp/p1p5/2Pp1p2/3P1P1Q/1PN1PB1r/P7/R2R1K2 b - -,h3h4
5rk1/p1b3pp/8/2Pq3P/4pP2/1P5Q/P1R5/5R1K b - -,f8f5
8/p7/kp2RB2/3p1p1r/7P/8/5PP1/6K1 b - -,a6b5
3q1rnk/pp3r2/2n1b1pP/2p1p3/3pP2b/P2P1P2/1PPB2BN/R1Q2RKN b - -,g6g5
5k2/1R5p/3P1Np1/4K3/4P2P/3r1rP1/8/8 w - -,b7h7
2rq1rk1/p3pp1p/1pb3p1/2p5/3bPP2/2NBQ2P/PPP3P1/4RRK1 w - -,e3d4
2r5/6R1/p2P4/5p2/1PP1n3/P2K1kp1/8/4B3 b - -,e4f2
r3r1k1/pb1n1ppp/1p1q1b2/2pp4/Q2P4/P1N2NP1/1P2PPBP/3RR1K1 w - -,e2e3
2rq1rk1/pb1nbppp/1p2p3/4P3/4BB2/2N3P1/PPQ2P1P/R2R2K1 b - -,b7e4
rnbqkb1r/pp3ppp/3ppn2/8/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq -,c1e3
rn1qkb1r/ppp2ppp/4pn2/8/2BP2b1/4PN1P/PP3PP1/RNBQK2R b KQkq -,g4h5
8/3R4/p3nk2/8/1p4P1/r4PB1/5K2/8 w - -,g3h4
r2qr1k1/pp3pbp/4p1p1/nPPp4/3P1BPn/8/P3NP1P/2RQ1RKB b - -,g6g5
rnbqkbnr/p1p2ppp/1p2p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq -,f1b5
2q2rk1/4ppbp/3p2p1/3P4/b2rN3/1pB3PP/1Q2PPBK/5R2 b - -,d4e4
r4r2/1p5k/1p1p4/4bpK1/2P1P3/3P3P/PP6/RR5B b - -,f8g8
1r2qbk1/2R2pp1/7p/3N1Q1P/2P3P1/8/5PK1/8 b - -,f8d6
r3k2r/1pqbnppp/p2p1n2/4pPB1/2P1P3/P1PBN3/6PP/R2Q1RK1 w kq -,d1e1
8/5k2/5Pp1/6K1/2p3PP/8/1B6/3b4 b - -,d1e2
1rbq1rk1/2p2pbp/p1npp1p1/2P5/2nP4/2N2NP1/PB2PPBP/1R1Q1RK1 w - -,b2a1
r1b1k2r/1pq2pp1/p2ppb1p/2n5/3NPPP1/3B4/PPPQN2P/2KR3R b kq g3,c8d7
r4rk1/1pp2ppp/2bq1b2/p7/3np1PP/PP2Q2B/1BPP1P1R/2KR2N1 w - -,h2g2
8/1p3k1p/p3b3/2rp1p2/P4PrP/NPPp1K2/3P4/R3R3 w - -,h4h5
8/8/2Q5/kp1p3p/3qp1pP/8/8/1K6 w - -,c6c7
7q/4p1k1/3pPp2/r1pP2p1/6P1/rP1Q4/P1RR1PK1/8 b - -,h8h4
8/p7/3k4/1p1P3p/4P3/2r4P/P2R1KP1/8 w - -,g2g4
8/pp4kp/2b2bp1/2p5/2P3P1/PP3P2/5K1P/3R4 b - g3,f6d4
r1bq1rk1/p1ppbppp/1p3n2/n2Pp3/2P1P3/P1N2P2/1P1B2PP/R2QKBNR w KQ -,f1d3
r2qr1k1/pp3p1p/3pbnp1/8/4PP2/2bBB2P/PP4P1/R2Q1RK1 w - -,b2c3
r1bqr1k1/pppp1ppp/2n2n2/2b1p3/4P3/3P1NP1/PPP1QPBP/RNB2RK1 w - -,c2c4
3r4/pp3k2/8/3p2pp/3BPb2/P2R1P2/6KP/8 w - -,d4a7
2q3k1/1p3pp1/1Bn1n2p/P1pBP1bP/2P2r2/P7/6PN/4QRK1 w - -,f1f4
8/7p/rp1k1p2/P7/1P1pP3/5K2/R6P/8 w - -,f3e2
r1n1k2r/5ppp/p1q5/1p1pPR2/2pP4/2P5/PPQN2PP/R6K b kq -,c6g6
r4k2/p2qbp2/1pn1p2r/3pP2p/1P1P2p1/PNNQ4/5PPP/2R1R1K1 w - -,b4b5
r5k1/1p1b2pp/5b2/3P4/1B6/P2BP1P1/1p3RKP/8 b - -,a8c8
8/8/8/6P1/4K3/1r6/5Rk1/8 b - -,g2f2
r1b1k2r/2qnbppp/p2pp3/1pn3P1/4PP2/1N1BB3/PPPNQ2P/1K1R1R2 b kq -,c5a4
8/8/6pp/3n4/3k3P/5PP1/5K2/2N5 b - -,h6h5
1r1q2k1/p4pb1/2p1bn2/3p2Q1/8/2NB2R1/PPP2PPP/6K1 b - -,f6e8
rnbqk2r/pp1nbppp/2p1p3/3pP3/3P1P2/2N2N2/PPP3PP/R1BQKB1R b KQkq -,c6c5
8/p5k1/3p1q2/2p4Q/2Pb3P/1P4PK/P5B1/8 w - -,h5g4
2r1r1k1/1p3pbp/p1np1pp1/3N4/P1P1P2B/1P1N1q2/7P/1R1RQ1K1 w - -,e1f2
r2q1rk1/ppp1ppbp/1n3np1/3PNb2/3P4/2NB4/PPP2PPP/R1BQ1RK1 b - -,f5d3
r5r1/3k1p2/3Pb3/2p1B2p/Rn6/8/P1P1B1PP/5RK1 w - -,e2b5
4k2r/pp3p2/1n2p1p1/3pP3/1b1PqP1P/P7/1P1N1B1P/2Q1K1R1 w k -,e1f1
r3r3/ppq3kp/5n2/2pP1Pp1/P1P2R2/3P3B/2Q4P/5R1K w - -,f4f2
r5k1/1b3pp1/1qprpn1p/p1R5/3PQ3/3B1N1P/PP3PP1/2R3K1 w - -,e4e2
r4rk1/1p1q2bp/1Pppbnn1/5pp1/2PPp3/2N1P2P/3NBPPB/1R1Q1RK1 w - -,d4d5
r2qkb1r/pp3p1p/1np1ppb1/8/2BP1P1N/2P5/PP4PP/R1BQK2R w KQkq -,c4b3
r1b2r1k/1pp3p1/3p3p/1p1Pp3/3q4/5P1P/PPPN2P1/R2Q1R1K w - -,d2e4
3k4/8/3B4/b3Pp2/P1K2n2/8/6B1/8 w - -,g2f1
r5k1/1b1q1p1p/1Rp2bp1/p1Pp4/Q2P4/P3B1P1/5PBP/6K1 b - -,f6d8
1r2k2r/5pp1/N4n2/3qp3/1p6/P2P2P1/4QP2/2R1K3 b k -,d5h1
1r4k1/1bb3pp/2p3q1/2Pp1p2/3P1P2/3B2B1/3Q2PP/4R1K1 b - -,g6f6
1kr5/ppq2pp1/8/2b1p1P1/4Pn2/1B3Q2/PP3P2/1KBR4 b - -,f4e6
Q3R3/5ppk/1q5p/p3B3/1p6/2rK1N1P/5PP1/7r w - -,e5c3
r1b1k2r/2q1bppp/p1npp3/1p4P1/4PP1P/P1N1B3/1PPQ4/1K1R1B1R b kq -,c8d7
8/pp2N1k1/4B3/7p/1K2R1nP/2P3b1/P4r2/8 b - -,g3d6
4r2k/p7/3p2q1/1bpPbp2/2Nn3B/1P1Q3P/P2N2P1/4R1K1 w - -,g1h1
