8/8/8/p7/2K5/k7/8/1R6 b - -,a3a2
1r4k1/Q2n2bp/4q1p1/1P1pP3/2p5/5N2/2PB2PP/1R4K1 w - -,d2e3
r2r2k1/pp3ppp/n1p1bq2/2Pp4/1P1Pp3/4P1PP/P2QNPBK/2R2R2 b - b3,a6c7
rn1qkb1r/ppp2ppp/3ppn2/8/2PP2b1/4PN2/PP3PPP/RNBQKB1R w KQkq -,b1c3
8/1b6/3p4/2nPk1pp/2pNPp2/2P2P2/1PBK2P1/8 w - h6,d4f5
3r1rk1/pb2qpb1/4p2p/6pP/1n1NP3/3pQNPB/P1P4K/4RR2 w - -,c2d3
r4rk1/ppqb1p2/2nbp1p1/4N2p/3P1P1P/2PQ4/P1B3P1/1RB2RK1 b - -,c6e7
r3r1k1/p2nq1pp/Ppppb3/8/1PP1BP2/2Q4P/3B2P1/R4RK1 b - -,d6d5
r4rk1/pp1q3p/3p1b2/2pP2p1/2PpPp2/1P1B1P1P/P2Q2P1/R4RK1 b - -,f6e5
8/2KP2b1/2R5/NP2p2k/4Pp2/8/8/3r2q1 b - -,g1a7
1rb2rk1/2p2p2/3p1qnb/1P1Pp1pp/4Pn2/2N1BP2/1PBQ2PP/R3NR1K b - -,f6g7
r1b2rk1/2q1bppp/ppNp4/3P4/4nPP1/P3B3/1P2B2P/2RQ1RK1 w - -,e2f3
8/6n1/p2k1b2/1pp2pp1/8/2P1B1P1/PPB1KP2/8 b - -,c5c4
2r3k1/3r1pp1/p3p1bp/2b1P3/q7/2B2QN1/PP4PP/R4R1K w - -,a2a3
8/1p2r2p/pk1p2p1/8/2rn3P/5PK1/3Q2P1/8 b - -,e7e2
2b1rrk1/4q1p1/p4n1p/2pR1P2/2Pp1P1P/1P1B2Q1/P7/1N1R2K1 w - -,d5e5
r1bqr1k1/pp3ppp/2n5/3pPp2/8/5N2/PPPQNPPP/R4RK1 w - -,e2f4
8/4bpp1/2p3kp/3pP3/3P4/2N3P1/4KP1P/8 b - -,g6f5
r7/p7/1p2k3/4P3/6R1/1P6/P4BK1/8 b - -,e6e5
5rk1/1q1n1pbp/rp2pnp1/pQppN1B1/P2P1P2/2P1P3/1P1N2PP/R4RK1 b - -,f8c8
r5k1/1r4b1/q3n1p1/3QP2p/p7/7P/1PP3P1/1K1R1RB1 b - -,a8b8
8/1p3r1k/p5rp/5np1/8/1P3P2/PB2R1PP/4R1K1 w - -,e2e8
1rb1k2r/p1p1qp2/2p3pp/3n4/2BP4/8/PP2QPPP/RN2K2R w KQk -,b2b3
8/2k1b3/2p5/1pNn2p1/p3Bn2/P4P2/1P3B2/1K6 w - -,b1c2
r3rbk1/p4p2/1nN1p1p1/7p/4P3/3RB1P1/P4PKP/2R5 w - -,d3c3
r2qkb1r/5ppp/pn1pbn2/4p3/1p2P3/1N3P2/PPP1BBPP/RN1Q1RK1 b kq -,b6c4
4b3/r4k1p/2p3p1/N2pPp2/1Pp5/P5PP/8/3B1K2 w - -,d1a4
8/5k2/pp1r4/4pp2/2P5/2K5/P1P5/1R6 w - -,c4c5
r2qk2r/3n1ppp/p1pbp3/3p4/1pPPnP2/1P2P3/P3B1PP/RNB1QRK1 b kq -,a6a5
2r5/6R1/p7/3P1p2/1PP1n3/P2K1kp1/8/4B3 w - -,d5d6
r2q1rk1/6bp/2npb3/p2Npp2/R3Pp2/2PB4/1PN2PPP/3Q1R1K w - f6,f2f3
4r1k1/2n2p1p/6p1/2qpr1Q1/B2p3N/2bP2PP/R1P2P2/5RK1 w - -,g5f6
r4rk1/3q1ppp/1Q1p4/3Np1n1/1P2P3/p7/P1P2PPP/1K1R3R w - -,b6e3
5r1k/1p3p1p/2b1p2P/4P1Q1/1q1r4/1p6/5PP1/1B3RK1 b - -,d4g4
6k1/5p2/1p4p1/4n3/p2B3N/P2n2PP/1P5K/8 b - -,e5c4
7r/pn3pk1/1pp1r1q1/3pP3/P2P1QP1/2PbR1B1/5RB1/6K1 b - -,b7d8
8/8/2p1b1P1/p1k4p/1pNp3P/1K1P1R2/P3r3/8 b - -,a5a4
r5k1/pp1q1r1p/3p4/2pPb1p1/P1PpPp2/1P1B1P1P/3Q1KP1/R4R2 b - a3,f7g7
r1br3k/pp3ppp/q4b2/4p3/4N3/2P3Q1/PP1N2PP/4RR1K w - -,e4f6
6bk/Q5p1/2pq3p/5P2/1r1pP3/3P4/6BP/5RK1 w - -,a7a8
8/5ppk/5n2/5P1p/1R5P/6N1/1P1K2r1/8 w - -,g3e2
5b2/p1n2p2/1p1p1k2/2pB2p1/2PPP1P1/2PK4/P6B/8 b - -,f6e7
6k1/8/6P1/4B1KP/p7/P7/8/4r3 w - -,e5f4
4n1k1/4qppp/p3p3/1p2P3/4Nn2/P4N2/1P3PPP/3Q2K1 b - -,e7c7
r1b2rk1/ppqn1ppp/8/3p2n1/3P4/P1PB1N2/2Q2PPP/R4RK1 w - -,f3g5
r4rk1/1pqnppbp/p2p1np1/2pP4/P1P1P3/2N4P/1PQ1BPPB/3R1RK1 b - -,f6e8
r2qkb1r/ppp2ppp/n4n2/3p1b2/8/1Q3NP1/PP1PPPBP/RNB1K2R w KQkq -,d2d4
1qr1k2r/1p1bbpp1/p1n1p2p/3pP2P/1P6/P2BBN2/5PP1/2RQR1K1 w k -,e3f4
1rbq1rk1/1pp2pbp/p1nppNp1/8/2PP4/5NPP/PP2PPB1/R1BQ1RK1 b - -,g7f6
6k1/6p1/2N4p/1R6/3N1P2/3K2P1/rn5P/3b4 w - -,d3e4
r2rb1k1/ppq1bppp/2n1p3/4P3/5B2/2PB1N2/P3QPPP/R3R1K1 w - -,a1c1
2b2rk1/R1q2p2/1nNb2pp/1P2p1P1/1P2Pn1P/2P2P2/3Q1B2/4K1R1 b - -,c8b7
r1b1k2r/1p2bppp/p1n1pn2/8/2B5/1N2PN2/PP3PPP/R1BR2K1 w kq -,c1d2
4b3/4b3/7p/2pPk1p1/1pP1N1B1/1P2K2P/8/8 w - -,e4f2
r5k1/4pp1p/6p1/P3P3/1R1R1P2/3p3q/P2B3P/K7 w - -,b4b3
r4rk1/ppn2pbp/2pq2p1/2p1p3/4P3/P2PBN1P/1PP1QPP1/R4RK1 w - -,b2b4
r2q1rk1/1b1nbpp1/pp1ppn1p/8/P2P3B/2PB1N2/1P3PPP/R2QRNK1 b - -,f6h5
b2nr1k1/2p1r1p1/7p/1pN1p2q/7N/P1PP1PpK/1PBRQ2P/4R3 b - -,g7g5
q1r3k1/pb4pp/1pr1p3/2pp1p2/3P1P2/2P1P2P/PPQ3P1/2RR1BK1 b - -,a8b8
r4kr1/p1pb1p2/1p1p2qp/n2Pp1pn/2P1P3/1BPN1PP1/P3QB1P/R3R2K w - -,d3b2
2nb1B2/3k4/1p2p2p/1P1pPppn/K2P1P1P/N5P1/4N3/8 w - -,h4g5
5k2/1p2r3/p1b1P2p/3p1p2/2nN1P2/2R1P2P/P5PK/2R5 b - -,c6a4
r3kb1r/1p1n1pp1/p1p1p2p/2Pp1b2/1P1P4/2N3P1/1P1nPPBP/R1B2RK1 w kq -,c1d2
r1bq1rk1/1p1nbpp1/2p4p/p3p2n/4P3/2P2NB1/PPQNBPPP/R4RK1 b - -,h5g3
5b2/p3p2p/1p2B2k/6qN/4n1Q1/P5PP/1P4K1/8 w - -,g4e4
8/ppp1k3/5pp1/2r4p/6P1/4B3/PP4P1/1K5R b - -,c5d5
4r1k1/8/4r2p/7K/5P2/1R1RP3/8/8 b - -,g8g7
5rk1/ppp2ppp/8/4Pb2/1b1r4/2N3P1/PPPN1P1P/R1B2K2 b - -,f8d8
8/4Rpp1/1P4kp/4b1r1/2p5/2B2K2/1P6/8 b - -,e5c3
b5k1/3r2pp/5p2/1Pq1p3/8/8/4QPPP/4NRK1 b - -,a8d5
4nrk1/1r3pbp/2N3p1/3R4/8/4B3/PP3PPP/1R4K1 b - -,b7b2
8/2P2ppk/7p/3q4/8/7P/6P1/6Kn w - -,c7c8q
8/6p1/4p1k1/pR6/P2P1B1p/4pP1P/r2bK1P1/8 w - -,f4e3
6k1/5pb1/2p3p1/p3p1qp/2P1Nn2/1P3P2/P6P/2KR1Q2 b - -,g5e7
r4rk1/pp4pp/1qp1bpn1/3pp3/3PP3/1BP1PN1P/PP2Q1P1/R3R1K1 b - -,a8e8
r2q4/pp2b1k1/4b1p1/3p1pn1/PP6/2BB1N2/5PK1/R6Q b - -,d5d4
3r2k1/pp4p1/2pn4/3p1BPP/1P1P4/P4R1K/4r3/3R4 w - -,d1f1
6k1/p4p1p/6p1/1b1B4/1bN3P1/4P2P/5P2/6K1 w - -,c4e5
3r2k1/5rpp/p7/1p2Pp2/2p2P2/3n1K2/PP2R1PP/R4N2 b - -,f7d7
