8/6K1/2b5/4kP1p/7P/8/8/8 w - -,f5f6
8/8/8/5k1K/3n3P/p7/B7/8 w - -,a2b1
r2q1rk1/1b2ppbp/pn1p1np1/1p4B1/3PP3/P1NB1N1P/1P2QPP1/2R2RK1 b - -,a8c8
r4rk1/pp3pp1/2pNq1p1/4n1Pn/P6P/4P3/4KPB1/RQ1R4 w - -,e2e1
3r2k1/1b3Rp1/ppp4p/3pN3/1PnP4/8/6PK/2B5 b - -,c4e5
r1b1rnk1/pp2qpb1/3p1n1p/1Pp1p3/P1P3pP/2NP1NP1/2QBPPB1/R4RK1 w - -,f3h2
r2r2k1/p1q2ppp/4p3/n1p5/P1P3P1/4P3/1BQ1bPP1/R4RK1 w - -,c2e2
3r1bk1/pnqb1r1p/1p3pp1/3Pp3/P1p1P3/2P2P2/N1BQ1BPP/1R1R2K1 b - -,f8c5
4k3/8/3b4/1R3Pp1/1P1PB3/P3P1rp/5KP1/8 w - -,g2h3
8/1p1bk1p1/p3p3/P1PpPp2/3P1K2/4P1PN/8/8 b - -,d7b5
r5k1/p1R2r2/3Bpp2/3p2pp/2bP4/P3PK2/5PPP/2R5 w - -,c1b1
8/2R2k1p/6p1/p2Pr1P1/p3P3/8/1PK5/8 b - -,f7e8
r1b1k2r/3nbppp/pqn1p3/1pppP3/3P1P2/P1N1BN2/1PPQB1PP/R3K2R w KQkq -,d4c5
2b5/p4kp1/2p1ppn1/2B4p/2P1PP1P/2P1K1P1/Pr6/1R5R b - -,b2g2
r1bq1rk1/p3bppp/1pn1p3/2p1P3/3P4/P1PB1N2/4QPPP/R1B1K2R b KQ -,c8b7
rqb1k2r/3pbp2/2p1pp2/p6p/4P3/P1N3P1/1P1Q1PBP/R2R2K1 w kq -,a1c1
6k1/4qbp1/7p/8/8/PQ6/1P1R1KPP/2r5 w - -,b3b8
r1bqk1nr/pppp1ppp/2nb4/4p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,g8f6
8/2p3k1/2p1bpp1/p1q1n3/N1PrP3/2Q2P2/P4RPP/5BK1 b - -,c5a7
r4rk1/p1qn1ppp/1p2pn2/2b5/2PN4/1N4P1/PBQ1PPKP/R4R2 w - -,e2e4
2r2r1k/p2q2bp/1pBP2p1/1P3pN1/1Q1p4/6PP/P4P2/1R1n2K1 b - -,c8c6
2r4r/1p1kb3/pqn1p3/3p2pp/Q2Pp3/1PP1P1BP/4BPP1/R3K2R b KQ -,e7d6
8/1p1n4/1PpBk1p1/2Pb1p1p/3K3P/5PP1/4B3/8 b - -,d7b6
8/8/8/8/8/8/K1p2R2/3k4 b - -,c2c1q
r5k1/1rp2p1p/2n1pp2/2N5/8/6P1/1P2PP1P/R4RK1 b - -,a8a1
r4rk1/2n1ppbp/3p1np1/2pP4/1q2PB2/1PN3P1/P1Q1NPKP/1R5R b - -,f6d7
5rk1/p4qpp/1pR5/3p4/1P1P4/P3PPnP/2Q3P1/2R3K1 b - -,g3f5
4K3/4R3/4p1k1/5pP1/5P2/6n1/8/8 w - -,e8f8
3r4/3Pkp2/7p/2p3p1/2N5/1p6/4rPPP/1R1R3K w - -,b1b3
rnbq1rk1/ppp3bp/3p1pp1/4p2n/2PPP3/2N1BN2/PP2BPPP/R2Q1RK1 b - -,b8c6:h5f4
r4rk1/p2ppp1p/1p4p1/2q3B1/2Pb4/5QP1/PP2PP1P/R4RK1 w - -,a1d1
r1b1rbk1/1p2qp2/p3p1pp/2n1P3/2PN3P/8/P4QPB/1B1R1R1K w - -,h4h5
3r4/6KP/8/5k2/8/8/8/8 b - -,f5g5
rnb1kb1r/1p2qp1p/p2p1np1/2pP4/4PP2/2NB1N2/PP4PP/R1BQK2R b KQkq -,c8g4
r3r1k1/p4pp1/1p4p1/2pQ4/4n1P1/1P2PN1P/Pq3PK1/2R2R2 w - -,c1d1
1B6/8/8/8/2b5/5k2/6p1/5nK1 w - -,b8c7
2kr3r/1bq2p1p/p2p1np1/4p1Q1/1p2P1P1/1PN2P2/1PP1N2P/2KRR3 b - -,c7e7
7k/p2r1p1p/3n2r1/4p3/8/PB6/1P6/R1K1R3 w - -,c1b1
r2q3r/1p3pk1/p1b1p3/3pPB1p/1P1Q4/P1R5/6PP/5RK1 b - -,h8h6
r3k2r/pp1n1pb1/q1p1pnp1/3p3p/3PP2P/1B2BPN1/PPP1QP2/1R2K2R b Kkq -,b7b5
3r4/6kp/p3Q1p1/2q5/5rP1/1P1b1B2/P4R1P/4R1K1 w - -,e6e7
1R6/ppp1k3/6P1/6K1/8/6r1/8/8 w - -,g5f5
2k3r1/1bqnb2r/pp1pp3/5p2/1PPB1P1p/2NB1NnP/P4QP1/3RR1K1 b - -,g8g6
8/4k3/6K1/5PP1/8/2bB4/8/8 b - -,e7f8
8/2R3kp/6p1/6P1/p7/2P4P/8/1n5K b - -,g7f8
3r4/1p3pp1/2kn3p/P1p4P/8/4NKP1/5P2/R7 w - -,a5a6
8/8/8/8/1N3p1K/4k2P/8/8 b - -,f4f3
1r1q4/Q1pn2k1/3p1bp1/BP1Pp2p/4P3/3B1R1P/6P1/6K1 b - -,d7b6
5r2/1p1kb1pp/p1n1p3/3pP3/3P4/2N1PNKP/PP6/2R5 b - -,b7b5
2r1b3/2q3bk/p1p3pp/2B1p3/PPQ1p3/7P/2Pr1PPN/3R2K1 w - -,d1d2
r3r1k1/p1p3p1/1pn2pp1/8/2P2pP1/3P1N2/P1P2P1P/1R2R1K1 w - -,g1g2
8/5p2/7r/3p4/N2k4/P2B4/3K4/8 b - -,h6h2
8/6kp/1q1p1np1/p2Pp3/1p2P3/3K2P1/PP2QN1P/8 b - -,b4b3
r2q1rk1/pp3pbp/2npbnp1/2p5/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 w - -,c1f4:c1g5
2k5/8/1p6/p1p1p3/P1Q1P1K1/1P1P4/2Pq4/8 w - -,c4e6
r1bqk2r/ppp2pp1/2np3p/2bNp3/2B1P3/3P1N2/PPP2PPP/R2QK2R w KQkq -,c2c3
1k1r2r1/1p1b2p1/p1nbppNp/3p4/Nq1P4/4P1P1/PP2BPP1/2RQ1RK1 w - -,a2a3
8/5pp1/3Q3p/4p1k1/B3P3/5P2/7q/2K5 w - -,d6e7
rq3r2/p4pk1/2p1pnp1/4Q2p/2BP1P1P/6R1/PP3P2/2KR4 b - -,f8d8
5r2/1P6/7k/8/1KR5/1P5p/8/8 w - -,c4c8
8/8/r4p2/5kpp/3B3P/3K2P1/p4P2/R7 w - -,d3c2
r4rk1/2p3b1/1p1p2p1/pP1Ppq1p/P1P1p1bP/4B3/2Q1BPP1/2R1K2R w K -,e2g4
r3r1k1/ppqb1ppp/4p1n1/4P1P1/3PB3/2P1BQ1R/PP5P/R6K b - -,d7c6
r2q1rk1/pp1nbppp/4pn2/2ppN3/3P1B2/3PP2P/PP1N1PP1/R2Q1RK1 w - -,e5d7
rr4k1/3nqpp1/4b2p/pBpp4/P7/1Q2PN2/1P3PPP/2R2RK1 b - a3,c5c4
r2qk2r/pb1nppbp/1p1p1np1/8/2PQ4/2N1BNP1/PP2PPBP/R2R2K1 b kq -,a8c8
3r2k1/1pp2p2/p5p1/4p3/1b1rP1P1/1q1P2N1/1P2QPK1/2R2R2 b - -,d4d3
8/1k6/1r3N2/6P1/2r2P2/6K1/1p6/R7 w - -,a1b1
8/p3r1kp/1p3rp1/2pBp3/2Pn3P/5PP1/PP1R2K1/4R3 b - -,g7f8
r1bqr1k1/ppp2pp1/5nnp/3p4/2Pp4/P1N1P1B1/1P2BPPP/R2QK2R w KQ -,d1d4
1r4k1/5ppp/pq1nR3/1pp5/8/1P4PP/PB3QB1/3R3K b - -,f7e6
2n5/2pknrp1/pp3pp1/3P4/PPK2NPP/5N2/8/4R3 b - -,c8d6
7B/p6p/4k1p1/3R2P1/2p5/P1Pp4/7r/5K2 w - -,d5d4
6k1/p4pbp/2p3p1/1p3b2/1P6/P1N1P2P/1Bq2PP1/Q5K1 w - b6,c3a4
7r/2r1kp1p/pp2pn2/6p1/2P3P1/1PN5/P4PKP/R3R3 w - g6,a1d1
8/8/p3k3/PpPp4/4pp2/2P5/3K2b1/4B3 b - -,g2f1
2r4r/p3k1pp/4pp2/8/p2P4/2nN2P1/P3PP1P/R1R2K2 b - -,a4a3
6k1/7p/5r2/8/1p2R3/1P3P2/1PP5/2K5 b - -,f6f3
8/5b1p/1P1k4/1B4Pp/2pp4/P5K1/1P6/8 b - -,c4c3
3q2k1/6p1/2p5/p1PpP3/Pp1PrrPp/1P1Q1p1P/5R1K/5R2 w - -,d3a6
r1b1k2r/pp2bppp/2p4n/5q2/2BpN3/3Q4/PPPB2PP/R4RK1 b kq -,f5g6
r1bqrbk1/ppp2p2/3p1npp/2nP4/8/2N1BN1P/PPP1BPP1/R1Q1R1K1 b - -,g8h7
r5k1/pb4bp/1p6/2p1n1q1/2P1pr2/PP1p4/1N1NB1PP/1R1Q1R1K w - -,f1f4
r1bqkb1r/ppp1pppp/5n2/8/3P1B2/P1Nn4/1PP1NPPP/R2QK2R w KQkq -,d1d3
