8/1r6/1P2p3/P1k5/3p4/8/5P1K/1R6 w - -,h2g3
r4rk1/pp1bb2p/2p1p3/3p3q/2PPpB2/6P1/PPQ2PBP/R4RK1 w - -,f2f3
4n1k1/1r2pp1p/2Np2p1/3P4/r1pRP1P1/2P2PKP/P3R3/8 b - -,g8f8
2r2k2/p4p1p/6pb/3Rp3/4P2P/5P2/PP4P1/1K3bNR w - -,d5d1
r1n2rk1/pp1b1pnp/3p2p1/P1pPp1q1/4P1P1/2NBN2P/1PP2P2/R2QK2R w KQ -,h3h4
4r1k1/pbr1b2p/1pn3p1/1B2pp2/4P3/1N2BP2/PPR3PP/5RK1 b - -,e8c8
2kr3r/pp1q1bb1/3p1pp1/2pPp1Pp/2P5/3PBN2/PP2QP2/1K1R3R w - -,g5f6
7r/1k2r1p1/p6p/1pbn1R2/3p2P1/1P1P2NP/1BP5/R5K1 w - -,g3e4
r4rk1/1p1n2pb/p1pb1q1p/P2pn3/8/2PNBN2/1P2BPPP/R2Q1RK1 w - -,d3e5
1n3rk1/6pp/p7/3RPp2/1p3P2/1P1Qb3/6BP/q2N3K b - -,e3f4
r1r3k1/1q2bppp/p1bpp3/1p6/2n1PP2/P1N1B1PP/1PP1Q1BK/3RR3 w - -,e3c1
4R3/ppp3k1/1b5p/8/2B4P/2P3P1/PP3r2/2K5 b - -,f2g2
r1b2rk1/ppq1ppbp/2np1np1/8/4P3/2P1BN1P/PP1NBPP1/R2Q1RK1 w - -,f3d4
8/7p/R5p1/Pp1p2k1/1r4P1/8/4NK1P/8 b - -,g5g4
r3k2r/1b3pp1/p1nRpn1p/8/Pp6/1B2PN2/1P3PPP/R1B3K1 b kq -,f6e4
8/2p4R/2Nb1k2/1K6/1P6/2r5/8/8 b - -,c3c1
8/1p3r2/pR5p/6k1/2Prpp2/7P/P4PP1/1R4K1 w - -,b6e6
8/r4p2/P1k1p1pp/R7/1K6/8/5PPP/8 w - -,h2h4:a5a2
2rr2k1/4b1pp/p3pn2/1p2N2N/n2Pq3/4B3/1P2Q1PP/2R2R1K w - -,h5f6
r3k2r/ppq1bppp/1np1p1b1/4N3/5PP1/1BnP3P/PPPBQ3/2KR3R w kq -,d2c3
2br2r1/4pk2/p4qPp/1pp5/4B2N/1P4bP/P1Q5/1K2R2R b - -,f7g7
r3kb1r/pb1q4/npp1p2p/4Ppp1/2PP4/3Q1N2/PP2NBPP/R2R2K1 b kq -,a6c7
r1q3k1/5pb1/2nBp3/p7/B5p1/1P6/2P1Q3/2KR4 w - -,e2g4
6k1/6p1/8/3pRrR1/p2P3p/P5r1/1P6/6K1 w - -,g5g3
2r2rk1/pbpnqppp/1p6/3p4/3Pn3/2NBPN1P/PP3PP1/2RQ1RK1 w - -,c3b5
r2q1r1k/1pp1n1pp/3b1p2/p2bp3/Q7/P2PB1P1/1PRNPPBP/2R3K1 w - -,d2c4
1r2r1k1/Rb1nqppp/2pp4/8/1p1PP3/1B2bPN1/1P3QPP/3R2K1 w - -,f2e3
r3kb1r/2qn1p1p/b1p1p1p1/p2pP3/5P2/2P5/PPBN2PP/R1BQR2K b kq -,f8c5
5r2/p3n3/kp2pp2/3p2p1/b1pP4/P1P1NP2/2P1RPK1/7R b - -,e7g6
8/3k3p/8/3p1pb1/1PnN4/P1B4P/4K3/8 w - -,d4f3
4r3/1p3k2/p1p2p2/2Pr1N1p/1P2pbPP/PR1p4/5PK1/4R1N1 w - -,f5e3
rnb2rk1/pp2qpp1/2p1p2p/3p4/2PP4/2P1PN2/P1Q2PPP/1R2KB1R b K -,b7b6
r1bqkb1r/1p3ppp/p1n1pn2/2p5/2BP4/2N1PN2/PP3PPP/R1BQK2R w KQkq -,a2a4
2r3k1/5p2/R5pp/1p1Pp3/4n3/1P2N3/1P4PP/6K1 w - -,a6c6
2rr2k1/p5pp/5p2/PPNb1n2/2pp1P2/B4P2/6PP/R3R1K1 w - -,b5b6
r1bqkb1r/p2p2pp/2p1pP2/3n4/4N3/8/PPP2PPP/R1BQKB1R b KQkq -,d5f6
r2qkb1r/ppp3p1/4p1pp/3n4/2B3P1/3P1Q2/PPP2P1P/R4RK1 w kq -,f1e1
1rr3k1/ppNb1npp/3Bp1n1/3p1p2/8/P2B4/2P2PPP/1R2K2R w K -,d6g3
6k1/Q5p1/1p2pn1p/5q2/2r4P/P3B3/1P3PP1/5RK1 b - -,f6d5
r1bq1rk1/ppp3pp/2nppb2/5p2/3P4/1P4P1/PBPQPPBP/R3NRK1 w - -,e2e3
8/5k2/R5p1/4b2p/1r6/4B1PP/4KP2/8 b - -,b4b1
2k3r1/pp6/4q3/1P6/2p2p1p/1PQr3P/5PP1/RR4K1 w - -,c3c4
6k1/7q/1bbPp3/p1p1Pp2/P1P1p1p1/2B1P1P1/2BQ1KR1/7r b - -,h1h2
3rrbk1/5pp1/pqn4p/1p2p3/1PbpP3/P2N2PB/1Q1BPP1P/R2R2K1 w - -,d2e1
r2q1rk1/1p2ppbp/2p2np1/p3N3/PnNP4/BP4P1/4PPbP/R2QR1K1 w - -,g1g2
8/4bkpp/8/5p2/3N4/4P3/rP4PP/5RK1 w - -,f1f5
2r2q1k/1Q5p/P1Np4/3Pp3/2p1Pp1b/5P2/1P4RP/7K w - -,g2g7
QR6/6k1/r7/1p2K3/2b3B1/7P/8/8 b - -,a6a8
3r1br1/kpp5/p2p3p/1P1Pp3/P1N2nn1/6P1/1BP2P2/R2RNK2 b - -,f4h5
4k3/7p/1B2p1p1/2p5/2P1n1P1/5N1P/1b6/5K2 b - -,e8d7
5bk1/1B6/1B1p2r1/3Pp2p/4P3/5p2/4b1pP/2N1R1K1 b - -,e2c4
3k4/6b1/2K1N3/6p1/6P1/8/8/8 b - -,d8e7
2r1r1k1/p4p1p/1pb3p1/4p3/2P5/1PB1Q2P/P5q1/3RK3 w - -,d1d6
r1bqkbnr/pp3ppp/2n1p3/2p5/3pP3/3P1NP1/PPP1NP1P/R1BQKB1R b KQkq -,g7g6:g8f6
1b1r1rk1/pp3ppp/2n1p3/8/1P1P1q2/P3QN2/1B3PPP/2R2RK1 w - -,g2g3
4rr2/5kpp/p2q4/1p1P3P/5P2/b7/1PP1B1Q1/2KR3R w - -,d1d3
1r3rk1/2qp1ppp/2pb1n2/8/3BPp2/1P1B4/P1P3PP/R2Q1RK1 b - -,f4f3
6k1/r3b3/1p4qp/3bBpp1/2pPp3/2P1Q3/P4PPP/1R3BK1 w - -,e3e2
r4rk1/pp2npbp/1qn3p1/4p3/3pP1b1/3P1NP1/PP1BNPBP/R1QR2K1 b - -,a8c8
2r2rk1/p3ppbp/q2p2p1/2n5/8/4P1PP/PPQB1PB1/1RR3K1 w - -,c2c4
3qbrk1/4p1b1/pr1pP1pp/2p4n/2P5/1PB3P1/1Q1N1PBP/R3R1K1 b - -,g7c3
r2qkb1r/ppp2ppp/2n2n2/8/2Pp1P2/P6P/1P2BPP1/RNBQ1RK1 b kq -,f8e7
4r2k/1p3pb1/6pp/4PP2/3BKNPP/1P1R4/2r5/8 b - -,h8h7
1rb1r1k1/1p3p1p/3q2p1/1p2p3/P3Bn2/2P4P/1BQ2PP1/R3R1K1 w - -,a4b5
r1q1k1nr/pp1bN1bp/2p3p1/2P1pp2/8/3PP1P1/P2BNPBP/1R1QK2R b Kkq -,g8e7
4r1k1/4bpp1/3P2qp/1p2pR1N/2n3r1/p6P/P5P1/3R1Q1K w - -,h3g4
r1b1k2r/1p3ppp/p1n1pn2/2b5/2B5/P1N1PN2/1P3PPP/R1BK3R w kq -,b2b4
8/1p2k3/8/1pbrpBpp/8/P1P2NPP/1P3PK1/8 b - -,d5d1
r3r1k1/p1p2ppp/1p1n4/3P1b2/2PB4/q1P2NQP/P4PP1/R1R3K1 b - -,f5g6
4r3/3r4/1p3nk1/p1pP1p1p/2P2PpP/1P1R2N1/1P1K4/5R2 b - -,f6e4
6k1/4bp2/2rN1np1/8/1B5p/P6P/4K1P1/3R4 b - -,c6c2
3r2k1/1p2r1pp/p1np4/4pp2/2P5/1P4P1/PB2PPKP/R2R4 w - -,b2a3
8/2N1b1kp/4Ppp1/1p6/1pn5/8/P4PPP/3N2K1 b - -,f6f5
2r2rk1/p3ppbp/1q1p2p1/1p3P2/2pPP3/2Pn2PP/PP1QN1B1/3R1RK1 w - -,e2c1
8/2kb4/2n1p3/1pN1Pp1B/1P1p1P2/2PK4/8/8 w - -,h5f3
r2qk2r/1b1n1pb1/p2P2pp/1pn1p3/6PP/2N1BP2/PPPQ4/2KR1BNR b kq -,a8c8
1q4k1/p4p1p/1pQBp1p1/1P2P3/P4P2/4n1P1/7P/6K1 b - -,b8d8
5r1k/3R2p1/1p5p/p7/2P3Pq/P4p1P/KP3P1Q/8 w - a6,h2e5
2b1r1k1/7p/p6q/1p1pbp2/3Bn3/P3PQ1P/1P2B1P1/2R3K1 w - -,d4e5
r1bqk2r/1p3p2/p2pnnP1/P2Np3/4P2b/4B1NP/1PPQ1PB1/R4RK1 b kq -,f7g6
r1bq1rk1/ppp1n3/3p1bpp/3Ppp2/2P5/1N3NP1/PP1QPPBP/R4RK1 b - -,g6g5
r1bq1rk1/pp2bppp/2np1B2/2p1p3/2B1P3/2NP1N1P/PPP2PP1/R2QK2R b KQ -,e7f6
